CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18OL16015_1508;621;47.66617;-59.86567;418596;515.2;10-jun-16;08:35:00;34.92;5.72;151.53138;3.4985;33.445;0.03;22.67667;1.76667;NaN;0.027;NaN
18OL16015_1508;621;47.66617;-59.86567;418597;399.74;10-jun-16;08:35:00;34.89;5.77;144.9217;NaN;31.29;0.03;23.1;1.76;NaN;0.065;NaN
18OL16015_1508;621;47.66617;-59.86567;418598;301.43;10-jun-16;08:35:00;34.76;6.33;123.08296;NaN;28.66;0.035;23.705;1.755;NaN;0.059;NaN
18OL16015_1508;621;47.66617;-59.86567;418599;200.11;10-jun-16;08:35:00;34.28;5.83;152.5139;NaN;22.365;0.03;20.205;1.565;NaN;0.063;NaN
18OL16015_1508;621;47.66617;-59.86567;418600;100.73;10-jun-16;08:35:00;32.55;1.46;287.96768;NaN;8.345;0.12;9.715;1.035;NaN;0.099;0.12
18OL16015_1508;621;47.66617;-59.86567;418601;49.28;10-jun-16;08:35:00;31.83;0.66;339.01406;7.7005;1.74;0.095;2.645;0.735;NaN;0.132;0.105
18OL16015_1508;621;47.66617;-59.86567;418602;24.59;10-jun-16;08:35:00;31.54;3.9;351.07226;NaN;0.165;0.03;0.09;0.365;NaN;0.73;0.63
18OL16015_1508;621;47.66617;-59.86567;418603;14.97;10-jun-16;08:35:00;31.12;5.79;324.14228;NaN;0.105;0.04;0.07;0.32;NaN;0.53;0.45
18OL16015_1508;621;47.66617;-59.86567;418604;5.06;10-jun-16;08:35:00;30.73;5.8;324.32092;7.457;0.195;0.03;0.07;0.285;NaN;0.402;0.525
18OL16015_1508;621;47.66617;-59.86567;418605;1.69;10-jun-16;08:35:00;30.72;5.8;323.5617;NaN;0.125;0.02;0.06;0.285;NaN;0.39;0.455
18OL16015_1509;631;47.5835;-59.34083;418606;244.39;10-jun-16;11:40:00;34.57;6.82;160.59736;3.7035;19.17;0.09;19.89667;1.46;NaN;0.03;NaN
18OL16015_1509;631;47.5835;-59.34083;418607;200.02;10-jun-16;11:40:00;34.41;6.45;171.00314;NaN;17.86;0.075;18.53;1.405;NaN;NaN;NaN
18OL16015_1509;631;47.5835;-59.34083;418608;100.63;10-jun-16;11:40:00;32.43;1.88;306.99284;NaN;5.465;0.155;6.48;0.85;NaN;0.118;0.08
