CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU00062_561;31;47.08417;-59.9155;232919;104.2;29-nov-00;02:12:00;32.69;1.47;242.45914;5.7475;12.935;0.01;1.24;13.025;NaN;NaN;NaN;0.03;0.08;0.569;NaN
18HU00062_561;31;47.08417;-59.9155;232920;98.45;29-nov-00;02:12:00;32.66;1.43;245.63;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.588;NaN
18HU00062_561;31;47.08417;-59.9155;232921;49.98;29-nov-00;02:12:00;32.03;1.13;291.54048;9.214;7.395;0.025;1;9.035;NaN;NaN;NaN;0.075;0.145;0.698;NaN
18HU00062_561;31;47.08417;-59.9155;232922;24.89;29-nov-00;02:12:00;30.79;4.46;290.55796;7.232;3.785;0.215;0.575;3.375;NaN;NaN;NaN;0.295;0.54;2.355;NaN
18HU00062_561;31;47.08417;-59.9155;232923;15.17;29-nov-00;02:12:00;30.74;4.49;295.55988;7.775;3.735;0.195;0.585;3.425;NaN;NaN;NaN;0.37;0.66;2.656;NaN
18HU00062_561;31;47.08417;-59.9155;232924;5.16;29-nov-00;02:12:00;30.73;4.47;300.42782;7.276;3.725;0.19;0.575;3.44;NaN;NaN;NaN;0.355;0.62;2.661;NaN
18HU00062_561;31;47.08417;-59.9155;232925;3.37;29-nov-00;02:12:00;30.73;4.46;NaN;NaN;3.835;0.19;0.59;3.475;NaN;NaN;NaN;0.41;0.68;2.672;NaN
18HU00062_562;41;47.18167;-59.80017;232926;395.1;29-nov-00;04:43:00;34.8;5.24;151.12944;3.302;30.805;0.015;1.7;22.48;NaN;NaN;NaN;NaN;NaN;0.513;NaN
18HU00062_562;41;47.18167;-59.80017;232927;345.11;29-nov-00;04:43:00;34.71;5.52;129.60332;3.516;26.645;0.005;1.67;22.54;NaN;NaN;NaN;NaN;NaN;0.499;NaN
18HU00062_562;41;47.18167;-59.80017;232928;296.99;29-nov-00;04:43:00;34.56;5.46;117.36648;2.816;28.44;0.005;1.74;22.55;NaN;NaN;NaN;NaN;NaN;0.502;NaN
18HU00062_562;41;47.18167;-59.80017;232929;248.86;29-nov-00;04:43:00;34.25;4.83;130.31788;2.653;29.06;0.01;1.795;21.975;NaN;NaN;NaN;NaN;NaN;0.538;NaN
18HU00062_562;41;47.18167;-59.80017;232930;198.84;29-nov-00;04:43:00;33.79;3.82;166.40316;3.777;20.81;0.005;1.57;18.705;NaN;NaN;NaN;NaN;NaN;0.556;NaN
18HU00062_562;41;47.18167;-59.80017;232931;149.09;29-nov-00;04:43:00;33.15;2.3;206.7758;4.799;16.285;0.005;1.385;15.35;NaN;NaN;NaN;NaN;NaN;0.574;NaN
18HU00062_562;41;47.18167;-59.80017;232932;98.65;29-nov-00;04:43:00;32.7;1.48;247.99698;5.589;13.725;0.005;1.29;13.38;NaN;NaN;NaN;0.025;0.075;0.568;NaN
18HU00062_562;41;47.18167;-59.80017;232933;49.58;29-nov-00;04:43:00;32.13;0.87;292.56766;7.145;7.22;0.01;0.97;8.67;NaN;NaN;NaN;0.05;0.12;0.63;NaN
18HU00062_562;41;47.18167;-59.80017;232934;24.29;29-nov-00;04:43:00;30.89;4.36;299.80258;7.222;3.53;0.2;0.565;3.24;NaN;NaN;NaN;0.225;0.595;2.521;NaN
18HU00062_562;41;47.18167;-59.80017;232935;15.37;29-nov-00;04:43:00;30.88;4.66;305.16178;7.227;3.17;0.19;0.525;2.835;NaN;NaN;NaN;0.3;0.69;2.797;NaN
18HU00062_562;41;47.18167;-59.80017;232936;6.25;29-nov-00;04:43:00;30.88;4.73;310.02972;7.235;3.145;0.18;0.515;2.775;NaN;NaN;NaN;0.28;0.625;2.842;NaN
18HU00062_562;41;47.18167;-59.80017;232937;3.57;29-nov-00;04:43:00;30.88;4.74;311.23554;NaN;3.125;0.2;0.515;2.7;NaN;NaN;NaN;0.265;0.615;2.83;NaN
18HU00062_563;51;47.28283;-59.6845;232938;446.56;29-nov-00;07:19:00;34.82;5.2;173.19148;3.42;31.665;0;1.68;21.995;NaN;NaN;NaN;NaN;NaN;0.521;NaN
18HU00062_563;51;47.28283;-59.6845;232939;398.66;29-nov-00;07:19:00;34.79;5.29;152.2906;3.358;29.515;0.01;1.675;22.145;NaN;NaN;NaN;NaN;NaN;0.492;NaN
18HU00062_563;51;47.28283;-59.6845;232940;347.19;29-nov-00;07:19:00;34.72;5.39;129.0674;2.983;31.2;0.005;1.72;22.53;NaN;NaN;NaN;NaN;NaN;0.497;NaN
18HU00062_563;51;47.28283;-59.6845;232941;298.08;29-nov-00;07:19:00;34.62;5.43;117.58978;2.715;30.625;0.005;1.75;22.705;NaN;NaN;NaN;NaN;NaN;0.503;NaN
18HU00062_563;51;47.28283;-59.6845;232942;248.56;29-nov-00;07:19:00;34.46;5.57;144.87704;3.162;23.09;0.01;1.61;21.33;NaN;NaN;NaN;NaN;NaN;0.491;NaN
18HU00062_563;51;47.28283;-59.6845;232943;199.53;29-nov-00;07:19:00;34.04;4.47;156.48864;3.311;23.23;0.005;1.625;19.94;NaN;NaN;NaN;NaN;NaN;0.519;NaN
18HU00062_563;51;47.28283;-59.6845;232944;149.79;29-nov-00;07:19:00;33.44;2.85;195.96808;4.097;20.995;0.01;1.56;17.595;NaN;NaN;NaN;NaN;NaN;0.548;NaN
18HU00062_563;51;47.28283;-59.6845;232945;100.83;29-nov-00;07:19:00;32.88;1.71;257.15228;5.789;12.205;0.01;1.19;12.275;NaN;NaN;NaN;0.015;0.04;0.545;NaN
18HU00062_563;51;47.28283;-59.6845;232946;51.36;29-nov-00;07:19:00;31.89;1.4;301.58898;6.879;7.37;0.02;0.96;8.35;NaN;NaN;NaN;0.06;0.13;0.684;NaN
18HU00062_563;51;47.28283;-59.6845;232947;25.68;29-nov-00;07:19:00;30.9;4.82;311.10156;7.201;3.23;0.2;0.52;2.685;NaN;NaN;NaN;0.225;0.445;2.344;NaN
18HU00062_563;51;47.28283;-59.6845;232948;15.57;29-nov-00;07:19:00;30.83;4.65;316.68406;7.242;3.395;0.2;0.54;2.9;NaN;NaN;NaN;0.405;0.7;2.727;NaN
18HU00062_563;51;47.28283;-59.6845;232949;5.85;29-nov-00;07:19:00;30.82;4.59;322.2219;7.247;3.515;0.205;0.545;2.995;NaN;NaN;NaN;0.375;0.655;2.706;NaN
18HU00062_563;51;47.28283;-59.6845;232950;3.77;29-nov-00;07:19:00;30.82;4.58;323.3384;7.245;3.43;0.19;0.545;2.965;NaN;NaN;NaN;0.395;0.685;2.731;NaN
18HU00062_564;61;47.38433;-59.56733;232951;446.06;29-nov-00;09:48:00;34.84;5.11;183.64192;3.587;32.9;0.005;1.675;21.26;NaN;NaN;NaN;NaN;NaN;0.513;NaN
18HU00062_564;61;47.38433;-59.56733;232952;396.08;29-nov-00;09:48:00;34.81;5.2;160.86532;3.466;31.16;0.005;1.67;21.655;NaN;NaN;NaN;NaN;NaN;0.491;NaN
18HU00062_564;61;47.38433;-59.56733;232953;346.19;29-nov-00;09:48:00;34.79;5.39;149.70032;3.546;26.545;0.01;1.595;21.665;NaN;NaN;NaN;NaN;NaN;0.464;NaN
18HU00062_564;61;47.38433;-59.56733;232954;297.28;29-nov-00;09:48:00;34.71;5.78;138.75862;3.433;21.33;0.01;1.545;21.565;NaN;NaN;NaN;NaN;NaN;0.455;NaN
18HU00062_564;61;47.38433;-59.56733;232955;247.37;29-nov-00;09:48:00;34.56;5.83;142.77802;3.231;22.335;0;1.56;21.205;NaN;NaN;NaN;NaN;NaN;0.469;NaN
18HU00062_564;61;47.38433;-59.56733;232956;198.53;29-nov-00;09:48:00;34.24;5.16;155.72942;3.283;22.02;0.005;1.57;19.98;NaN;NaN;NaN;NaN;NaN;0.496;NaN
18HU00062_564;61;47.38433;-59.56733;232957;148.5;29-nov-00;09:48:00;33.96;5.29;216.3777;5.201;11.075;0.005;1.065;12.835;NaN;NaN;NaN;NaN;NaN;0.491;NaN
18HU00062_564;61;47.38433;-59.56733;232958;98.35;29-nov-00;09:48:00;33.08;2.01;254.96394;6.296;8.635;0.01;1.01;9.595;NaN;NaN;NaN;0.02;0.055;0.579;NaN
18HU00062_564;61;47.38433;-59.56733;232959;49.87;29-nov-00;09:48:00;32;4.89;281.49198;6.771;3.43;0.145;0.62;4.095;NaN;NaN;NaN;0.13;0.475;0.925;NaN
18HU00062_564;61;47.38433;-59.56733;232960;24.89;29-nov-00;09:48:00;31.4;6.55;306.50158;7.179;1.675;0.155;0.41;1.3;NaN;NaN;NaN;0.66;1.01;3.516;NaN
18HU00062_564;61;47.38433;-59.56733;232961;14.87;29-nov-00;09:48:00;31.35;6.44;311.14622;6.915;1.75;0.155;0.405;1.335;NaN;NaN;NaN;0.78;1.165;3.665;NaN
18HU00062_564;61;47.38433;-59.56733;232962;4.96;29-nov-00;09:48:00;31.35;6.47;315.61222;6.911;1.7;0.145;0.405;1.3;NaN;NaN;NaN;0.59;0.87;3.547;NaN
18HU00062_564;61;47.38433;-59.56733;232963;3.27;29-nov-00;09:48:00;31.35;6.46;315.92484;6.906;1.785;0.15;0.405;1.325;NaN;NaN;NaN;0.705;1.05;3.585;NaN
18HU00062_565;71;47.48383;-59.45267;232964;396.97;29-nov-00;12:38:00;34.83;5.2;180.24776;3.847;27.765;0.005;1.565;21.185;NaN;NaN;NaN;NaN;NaN;0.47;NaN
