CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;Si_01;PO4_01;NOx_01;OXYM_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18PZ96058_497;431;47.8245;-62.81617;181313;51.76;10-dec-96;22:18:00;31.56;0.24;278.14248;24.2;1.6;14.18;5.2395;0.05;0.09
18PZ96058_497;431;47.8245;-62.81617;181314;27.27;10-dec-96;22:18:00;30.19;3.01;340.26454;4.135;0.66;3.7;7.793;0.35;0.45
18PZ96058_497;431;47.8245;-62.81617;181315;17.75;10-dec-96;22:18:00;30.18;3;341.73832;4.05;0.695;3.68;7.678;0.45;0.58
18PZ96058_497;431;47.8245;-62.81617;181316;7.54;10-dec-96;22:18:00;30.18;3;342.63152;3.485;0.62;3.625;7.6775;0.37;0.48
18PZ96058_497;431;47.8245;-62.81617;181317;0.5;10-dec-96;22:18:00;NaN;NaN;NaN;2.795;0.535;2.585;NaN;0.45;0.59
18PZ96058_498;441;47.834;-63.7535;181318;68.81;11-dec-96;03:01:00;31.5;1.87;287.20846;12.905;1.46;9.98;6.2145;0.15;0.17
18PZ96058_498;441;47.834;-63.7535;181319;53.04;11-dec-96;03:01:00;30.33;2.38;341.96162;4.8;0.69;4.59;7.747;0.2;0.27
18PZ96058_498;441;47.834;-63.7535;181320;29.45;11-dec-96;03:01:00;29.88;2.39;352.32274;5.115;0.765;4.77;7.9065;0.39;0.5
18PZ96058_498;441;47.834;-63.7535;181321;19.24;11-dec-96;03:01:00;29.84;2.28;354.73438;5.46;0.785;4.95;7.9555;0.17;0.2
18PZ96058_498;441;47.834;-63.7535;181322;5.95;11-dec-96;03:01:00;29.84;2.27;356.47612;5.32;0.72;4.93;7.951;0.32;0.4
18PZ96058_498;441;47.834;-63.7535;181323;0.5;11-dec-96;03:01:00;NaN;NaN;NaN;5.505;0.71;4.67;NaN;1.04;1.02
18PZ96058_499;451;47.26467;-64.12717;181324;33.81;11-dec-96;07:16:00;29.63;3.17;338.88008;5.475;0.76;3.855;7.6905;0.54;0.58
18PZ96058_499;451;47.26467;-64.12717;181325;23.6;11-dec-96;07:16:00;29.58;3.11;341.15774;4.925;0.685;3.725;7.7155;0.41;0.56
18PZ96058_499;451;47.26467;-64.12717;181326;16.16;11-dec-96;07:16:00;29.58;3.11;342.40822;5.43;0.755;3.98;7.737;0.62;0.69
