CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU13008_121;HL_16;39.6903;-59.548;392789;4501.45;24-may-13;09:44:00;34.8862;2.2725;5.8752;NaN;NaN;NaN;NaN;34.8858;NaN;6.022;0.06;19.18;1.3885;31.79
18HU13008_121;HL_16;39.6903;-59.548;392790;4252.87;24-may-13;09:44:00;34.8902;2.2902;5.8979;NaN;NaN;NaN;NaN;34.8915;NaN;5.818;0.055;18.965;1.389;29.75
18HU13008_121;HL_16;39.6903;-59.548;392791;4000.22;24-may-13;09:44:00;34.8954;2.3332;5.9188;NaN;NaN;NaN;NaN;34.8943;NaN;6.211;0.06;18.86;1.3385;27.33
18HU13008_121;HL_16;39.6903;-59.548;392792;3750.01;24-may-13;09:44:00;34.903;2.4312;5.9204;NaN;NaN;NaN;NaN;34.9032;NaN;6.221;0.06;18.44;1.309;24.93
18HU13008_121;HL_16;39.6903;-59.548;392793;3471.15;24-may-13;09:44:00;34.9136;2.595;5.9092;NaN;NaN;NaN;NaN;34.9128;NaN;6.182;0.06;18.51;1.3045;23.005
18HU13008_121;HL_16;39.6903;-59.548;392794;3181.37;24-may-13;09:44:00;34.9265;2.8196;5.8714;NaN;NaN;NaN;NaN;34.92633;NaN;6.187;0.065;18.775;1.2165;21.26
18HU13008_121;HL_16;39.6903;-59.548;392795;2877.34;24-may-13;09:44:00;34.9378;3.0464;5.8389;NaN;NaN;NaN;NaN;34.9382;NaN;5.959;0.07;18.86;1.204;19.64
18HU13008_121;HL_16;39.6903;-59.548;392796;2571.7;24-may-13;09:44:00;34.9449;3.2659;5.8443;NaN;NaN;NaN;NaN;34.9451;NaN;6.099;0.085;18.885;1.187;17.57
18HU13008_121;HL_16;39.6903;-59.548;392797;2277.05;24-may-13;09:44:00;34.9469;3.4678;5.8632;NaN;NaN;NaN;NaN;34.9467;NaN;6.149;0.1;18.55;1.1675;15.25
18HU13008_121;HL_16;39.6903;-59.548;392798;2002.92;24-may-13;09:44:00;34.9549;3.6935;5.838;NaN;NaN;NaN;NaN;34.9558;NaN;6.119;0.115;18.65;1.1575;13.85
18HU13008_121;HL_16;39.6903;-59.548;392799;1721.53;24-may-13;09:44:00;34.9649;3.9345;5.7896;NaN;NaN;NaN;NaN;34.966;NaN;6.03933;0.125;18.48;1.155;12.96
18HU13008_121;HL_16;39.6903;-59.548;392800;1450.62;24-may-13;09:44:00;34.9746;4.1728;5.7388;NaN;NaN;NaN;NaN;34.9743;NaN;5.969;0.135;18.7;1.1655;12.275
18HU13008_121;HL_16;39.6903;-59.548;392801;1201.6;24-may-13;09:44:00;34.9942;4.5686;5.574;NaN;NaN;NaN;NaN;34.9948;NaN;5.782;0.15;19.02;1.179;12.035
18HU13008_121;HL_16;39.6903;-59.548;392802;960.45;24-may-13;09:44:00;35.0251;5.2234;5.193;NaN;NaN;NaN;NaN;35.025;NaN;5.375;0;20.035;1.2795;12.37
18HU13008_121;HL_16;39.6903;-59.548;392803;730.25;24-may-13;09:44:00;35.0974;7.2709;3.9579;NaN;NaN;NaN;NaN;35.099;NaN;NaN;0.06;23.865;1.499;14.23
18HU13008_121;HL_16;39.6903;-59.548;392804;536.12;24-may-13;09:44:00;35.3955;10.9943;3.1706;NaN;NaN;NaN;NaN;35.3806;NaN;NaN;0.04;23.3;1.4165;11.675
18HU13008_121;HL_16;39.6903;-59.548;392805;331.34;24-may-13;09:44:00;35.782;13.8555;4.9268;NaN;NaN;NaN;NaN;35.778;NaN;5.121;0.04;9.84;0.585;4.075
18HU13008_121;HL_16;39.6903;-59.548;392806;194.96;24-may-13;09:44:00;36.3082;16.9578;4.0889;NaN;NaN;NaN;NaN;36.3006;NaN;4.28;0;7.89;0.4165;2.555
18HU13008_121;HL_16;39.6903;-59.548;392807;100.03;24-may-13;09:44:00;36.6237;20.5754;3.4732;NaN;NaN;NaN;NaN;36.6547;NaN;3.581;0.07;6.235;0.318;2.255
18HU13008_121;HL_16;39.6903;-59.548;392808;49.12;24-may-13;09:44:00;36.3715;21.4302;4.7682;NaN;NaN;NaN;NaN;36.3842;NaN;4.965;0.12;0;0.03;0.485
18HU13008_121;HL_16;39.6903;-59.548;392809;3.07;24-may-13;09:44:00;36.2356;22.3438;4.7817;NaN;NaN;NaN;NaN;36.2374;NaN;4.966;0.1;0;0.0135;0.85
18HU13008_124;HL_16;39.7659;-59.5297;392810;105.03;24-may-13;14:45:00;36.6158;20.6671;3.5094;0.1628;NaN;NaN;NaN;NaN;NaN;NaN;0.08;5.605;0.2795;2.095
18HU13008_124;HL_16;39.7659;-59.5297;392811;79.21;24-may-13;14:45:00;36.8091;21.8032;3.3007;0.253;NaN;NaN;NaN;NaN;NaN;NaN;0.1;5.3;0.2375;1.805
18HU13008_124;HL_16;39.7659;-59.5297;392812;60;24-may-13;14:45:00;36.4487;21.5885;4.6322;0.7152;NaN;NaN;NaN;NaN;NaN;NaN;0.095;0.15;0;0.59
18HU13008_124;HL_16;39.7659;-59.5297;392813;60.53;24-may-13;14:45:00;36.4488;21.5843;4.6512;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
