CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL04524_036;SEGB-12;43.6333;-50.5167;258099;30;20-apr-04;04:33:00;30.03;32.214;7.36901030004478;4.34;1.92;0.41;0.64;6.09
18TL04524_036;SEGB-12;43.6333;-50.5167;258100;19;20-apr-04;04:33:00;19.51;32.203;7.21898790864308;4.76;1.15;0.29;0.88;4.67
18TL04524_036;SEGB-12;43.6333;-50.5167;258101;10;20-apr-04;04:33:00;9.69;32.2;7.06000895656068;4.85;1.53;0.32;0.41;4.53
18TL04524_036;SEGB-12;43.6333;-50.5167;258102;5;20-apr-04;04:33:00;4.93;32.199;7.12942230183609;4.84;1.15;0.32;0.13;4.43
18TL04524_047;SEGB-13;43.2;-50.1667;258103;61;20-apr-04;07:35:00;61.05;33.253;7.38916256157635;1.2;3.46;0.88;5.79;4.06
18TL04524_047;SEGB-13;43.2;-50.1667;258104;47;20-apr-04;07:35:00;47.68;33.25;7.40035826242723;1.19;3.03;0.93;5.59;3.32
18TL04524_047;SEGB-13;43.2;-50.1667;258105;40;20-apr-04;07:35:00;40.15;33.057;7.46977160770264;1.55;0.96;0.55;2.04;12.8
18TL04524_047;SEGB-13;43.2;-50.1667;258106;30;20-apr-04;07:35:00;30.72;32.586;7.83922973578146;3.71;1.99;0.34;0.99;1.25
18TL04524_047;SEGB-13;43.2;-50.1667;258107;21;20-apr-04;07:35:00;20.86;32.348;7.5705329153605;4.75;1.56;0.3;0.66;0.94
18TL04524_047;SEGB-13;43.2;-50.1667;258108;11;20-apr-04;07:35:00;11;32.331;7.40035826242723;4.84;1.2;0.26;0.1;1
