CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18NE95008_461;1341;46.3119;-62.0751;1341_40;1.39;23-sep-95;08:11:00;28.42;15.49;254.20472;NaN;0.62;0.19333;1.18667;0.34;0.38;0.52
18NE95008_461;1341;46.3119;-62.0751;1341_41;4.76;23-sep-95;08:11:00;28.43;15.5;255.36588;NaN;0.68;0.32;0.85;0.33;0.35;0.49
18NE95008_461;1341;46.3119;-62.0751;1341_42;14.98;23-sep-95;08:11:00;28.43;15.49;244.15622;NaN;1;0.19;0.67;0.31;0.33333;0.49333
18NE95008_461;1341;46.3119;-62.0751;1341_43;35.8;23-sep-95;08:11:00;30.3;3.64;230.8922;NaN;25.02;0.47;7.68;1.4;0.19;0.34
18NE95008_462;1351;46.3328;-61.53438;195;1.98;08-sep-95;00:49:00;28.29;16.65;NaN;NaN;1.57;0.085;0.86;0.25;0.78;0.78
18NE95008_462;1351;46.3328;-61.53438;196;4.76;08-sep-95;00:49:00;28.29;16.65;NaN;5.25;0.79;0.08;0.64;0.21;0.65;0.68
18NE95008_462;1351;46.3328;-61.53438;197;14.88;08-sep-95;00:49:00;28.29;16.64;NaN;5.76;1.74;0.07;0.67;0.21;0.68;0.8
18NE95008_462;1351;46.3328;-61.53438;198;54.54;08-sep-95;00:49:00;31.34;-0.48;NaN;6.54;13.83;0.14;9.33;1.57;0.07;0.12
18NE95008_463;1361;46.4605;-61.52673;1361_44;0.99;24-sep-95;15:17:00;28.36;14.21;NaN;NaN;1.19667;0.21;0.88667;0.42333;0.78;0.8
18NE95008_463;1361;46.4605;-61.52673;1361_45;4.36;24-sep-95;15:17:00;28.38;14.18;NaN;NaN;1.36;0.15;0.66;0.42;0.82;0.87
18NE95008_463;1361;46.4605;-61.52673;1361_46;22.71;24-sep-95;15:17:00;29.46;9.56;NaN;NaN;6.24;0.35;2.68;0.83;0.38;0.55667
18NE95008_463;1361;46.4605;-61.52673;1361_47;58.31;24-sep-95;15:17:00;NaN;NaN;NaN;NaN;NaN;0.28;12.62;1.5;0.08;0.16
18NE95008_464;1391;46.58282;-61.16247;1391_48;1.39;25-sep-95;04:33:00;28.71;14.76;256.52704;NaN;0.9525;0.26667;0.91;0.36333;0.41;0.59
18NE95008_464;1391;46.58282;-61.16247;1391_49;4.96;25-sep-95;04:33:00;28.76;14.62;263.13672;NaN;0.8;0.2;0.84;0.37;0.41;0.61
18NE95008_464;1391;46.58282;-61.16247;1391_50;14.78;25-sep-95;04:33:00;28.95;14.23;284.17158;NaN;0.72;0.15;0.66;0.33;0.43333;0.73667
18NE95008_464;1391;46.58282;-61.16247;1391_51;56.32;25-sep-95;04:33:00;32.57;1.01;283.50168;NaN;12.36;0.26;12.73;1.46;0.17;0.28
18NE95008_465;1421;47.12633;-61.11538;1421_52;2.08;25-sep-95;17:53:00;29.88;13;278.27646;NaN;0.25667;0.14667;0.73667;0.22333;0.38;0.55
18NE95008_465;1421;47.12633;-61.11538;1421_53;5.16;25-sep-95;17:53:00;29.92;12.21;278.6784;NaN;0.2;0.14;0.63;0.2;0.41;0.6
18NE95008_465;1421;47.12633;-61.11538;1421_54;24.79;25-sep-95;17:53:00;30.19;10.85;281.358;NaN;4.27;0.32;3.28;0.85;1.27;1.42
18NE95008_465;1421;47.12633;-61.11538;1421_55;60.48;25-sep-95;17:53:00;32.05;0.51;303.19674;NaN;8.52;0.33;7.69;1.19;0.19;0.33
18NE95008_466;1451;47.06843;-61.489;199;0.99;08-sep-95;20:05:00;NaN;14.46;NaN;NaN;0.48;0.095;0.99;0.27;0.57;0.63
18NE95008_466;1451;47.06843;-61.489;200;14.87;08-sep-95;20:05:00;29.64;13.99;269.56776;6.205;1.29;0.08;0.65;0.25;0.84;0.95
18NE95008_466;1451;47.06843;-61.489;201;24.69;08-sep-95;20:05:00;NaN;7.08;NaN;NaN;6.52;0.21;3.27;0.88;0.52;0.71
18NE95008_466;1451;47.06843;-61.489;202;30.34;08-sep-95;20:05:00;30.67;4.68;NaN;6.845;NaN;NaN;NaN;NaN;NaN;NaN
18NE95008_467;1481;47.78222;-61.1;203;1.78;12-sep-95;22:54:00;29.51;11.99;280.15218;NaN;2.95;0.11667;1.73;0.55;0.81;0.83
18NE95008_467;1481;47.78222;-61.1;204;5.16;12-sep-95;22:54:00;29.51;11.99;303.28606;6.31;3.36;0.09;1.63;0.54;0.8;0.78
18NE95008_467;1481;47.78222;-61.1;205;14.87;12-sep-95;22:54:00;29.55;11.84;285.55604;6.3;2.83;0.1;2.01;0.53;0.85;0.96667
18NE95008_467;1481;47.78222;-61.1;206;26.77;12-sep-95;22:54:00;29.87;10.3;284.84148;6.435;3.44;0.13;2.44;0.62;0.91;0.98
18NE95008_468;1541;47.44363;-61.02578;1541_56;1.39;26-sep-95;04:19:00;29.68;12.58;269.56776;NaN;0.3;0.14333;0.68333;0.3;0.33;0.36
18NE95008_468;1541;47.44363;-61.02578;1541_57;5.06;26-sep-95;04:19:00;29.67;12.58;274.61434;NaN;0.27;0.15;0.83;0.3;0.16;0.41
18NE95008_468;1541;47.44363;-61.02578;1541_58;24;26-sep-95;04:19:00;29.97;9.72;283.68032;NaN;3.18;0.22;2.55;0.84;2.42333;2.30333
18NE95008_468;1541;47.44363;-61.02578;1541_59;41.15;26-sep-95;04:19:00;31.25;1.36;293.10358;NaN;8.32;0.34;7.14;1.28;0.31;0.56
18NE95008_469;1581;46.96885;-60.78245;1581_60;1.29;25-sep-95;15:30:00;28.97;14.63;234.19704;NaN;2.29333;0.21;0.79;0.27333;0.3;0.45
18NE95008_469;1581;46.96885;-60.78245;1581_61;4.96;25-sep-95;15:30:00;28.98;14.23;241.3873;NaN;0.38;0.26;0.81;0.29;0.41;0.6
18NE95008_469;1581;46.96885;-60.78245;1581_62;32.82;25-sep-95;15:30:00;29.76;7.9;261.08236;NaN;2.36;0.26;2.95;0.69;2.44667;2.51667
18NE95008_469;1581;46.96885;-60.78245;1581_63;126.11;25-sep-95;15:30:00;32.96;1.48;222.49612;NaN;12.95;0.22;14.3;1.5;0.1;0.18
18NE95008_470;1601;47.23652;-60.56975;1601_64;1.29;27-sep-95;07:47:00;29.64;12.86;256.61636;NaN;0.74667;0.22;0.72333;0.32667;0.28;0.38
18NE95008_470;1601;47.23652;-60.56975;1601_65;4.76;27-sep-95;07:47:00;29.64;12.84;259.74256;NaN;0.59;0.22;0.8;0.32;0.29;0.4
18NE95008_470;1601;47.23652;-60.56975;1601_66;25.88;27-sep-95;07:47:00;30.96;5;298.73074;NaN;5.24;0.28;4.39;0.93;0.95;0.955
18NE95008_470;1601;47.23652;-60.56975;1601_67;126.99;27-sep-95;07:47:00;32.91;1.04;259.9212;NaN;8.91;0.19;11.73;1.34;0.05;0.1
18NE95008_471;1651;47.40872;-60.40497;1651_68;1.69;26-sep-95;21:43:00;31;11.61;277.42792;NaN;2.19667;0.21;0.87;0.47667;0.33;0.46
18NE95008_471;1651;47.40872;-60.40497;1651_69;4.26;26-sep-95;21:43:00;31.03;11.59;276.892;NaN;1.42;0.19;0.66;0.47;0.36;0.45
18NE95008_471;1651;47.40872;-60.40497;1651_70;21.91;26-sep-95;21:43:00;31.38;11.19;274.34638;NaN;1.19;0.13;0.2;0.43;0.43333;0.57667
18NE95008_471;1651;47.40872;-60.40497;1651_71;82.39;26-sep-95;21:43:00;32.44;0.3;300.74044;NaN;4.39;0.33;7.86;1.17;0.04;0.06
18NE95008_471;1651;47.40872;-60.40497;1651_72;171.29;26-sep-95;21:43:00;33.87;4.02;172.78954;NaN;16.22;0.23;19.34;1.74;0.02;0.04
18NE95008_472;2011;46.60237;-63.56523;2011_73;0.99;22-sep-95;06:31:00;28.41;15.1;235.62616;NaN;0.77333;0.24333;0.76333;0.29333;0.4;0.64
18NE95008_472;2011;46.60237;-63.56523;2011_74;4.96;22-sep-95;06:31:00;28.42;15.11;244.37952;NaN;0.68;0.22;0.8;0.28;0.65;0.7
18NE95008_472;2011;46.60237;-63.56523;2011_75;15.37;22-sep-95;06:31:00;28.63;14.15;244.02224;NaN;0.89;0.23;1;0.33;0.79;0.81
18NE95008_473;2021;46.4656;-62.98768;2021_76;1.49;22-sep-95;17:27:00;28.56;14.81;228.34658;NaN;3.43667;0.19667;0.93667;0.34;0.32;0.54
18NE95008_473;2021;46.4656;-62.98768;2021_77;5.06;22-sep-95;17:27:00;28.57;14.79;233.3485;NaN;NaN;0.19;0.99;0.34;NaN;NaN
18NE95008_473;2021;46.4656;-62.98768;2021_78;14.78;22-sep-95;17:27:00;28.62;14.51;233.88442;NaN;1.12;0.15;0.65;0.36;0.59;0.64
18NE95008_473;2021;46.4656;-62.98768;2021_79;22.11;22-sep-95;17:27:00;29.22;12.4;224.23786;NaN;2.3;0.27;1.38;0.47;0.34;0.55
