CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU09063_1059;761;47.828;-64.24983;343331;38.37;07-nov-09;11:12:00;30.25;6.2;301.94626;8.742;6.772;0.135;0.625;2.545;3.93;0.425;0.074
18HU09063_1059;761;47.828;-64.24983;343332;25.19;07-nov-09;11:12:00;29.82;6.08;311.9501;8.762;6.998;0.115;0.475;2.44;3.29;0.665;0.094
18HU09063_1059;761;47.828;-64.24983;343333;14.87;07-nov-09;11:12:00;29.75;6.05;311.5035;8.772;7.006;0.11;0.475;2.475;3.325;0.67;0.104
18HU09063_1059;761;47.828;-64.24983;343334;5.45;07-nov-09;11:12:00;29.73;6.04;312.8433;8.778;7.014;0.115;0.475;2.52;3.38;0.66;0.104
18HU09063_1059;761;47.828;-64.24983;343335;2.48;07-nov-09;11:12:00;29.73;6.04;312.88796;8.787;7.023;0.11;0.48;2.505;3.43;0.725;0.112
18HU09063_1060;771;47.74067;-64.00317;343336;74.95;07-nov-09;13:12:00;31.72;2.45;229.73104;8.558;5.129;0.135;1.41;12.685;21.83;0.23;0.054
18HU09063_1060;771;47.74067;-64.00317;343337;50.27;07-nov-09;13:12:00;30.89;5.52;294.80066;8.727;6.634;0.175;0.62;3.975;4.285;0.155;0.046
18HU09063_1060;771;47.74067;-64.00317;343338;26.77;07-nov-09;13:12:00;30.44;5.7;315.47824;8.789;7.087;0.125;0.51;2.275;2.68;0.665;0.09
18HU09063_1060;771;47.74067;-64.00317;343339;16.86;07-nov-09;13:12:00;30.44;5.7;315.43358;8.801;7.093;0.125;0.525;2.27;2.63;0.665;0.095
18HU09063_1060;771;47.74067;-64.00317;343340;7.14;07-nov-09;13:12:00;30.44;5.7;316.23746;8.801;7.092;0.125;0.475;2.275;2.7;0.74;0.098
18HU09063_1060;771;47.74067;-64.00317;343341;4.36;07-nov-09;13:12:00;30.44;5.71;316.1928;8.808;7.1095;0.125;0.48;2.295;2.62;0.67;0.096
18HU09063_1061;781;47.65917;-63.7535;343342;59.99;07-nov-09;15:36:00;31.7;2.47;250.67658;8.622;5.613;0.135;1.23;12.11;15.635;0.145;0.042
18HU09063_1061;781;47.65917;-63.7535;343343;51.46;07-nov-09;15:36:00;31.5;3.2;268.09398;8.652;NaN;0.145;1.045;10.01;10.085;0.075;0.039
18HU09063_1061;781;47.65917;-63.7535;343344;25.58;07-nov-09;15:36:00;30.35;6.16;306.68022;8.776;6.954;0.135;0.435;2.1;2.295;0.485;0.084
18HU09063_1061;781;47.65917;-63.7535;343345;15.27;07-nov-09;15:36:00;29.98;6.38;311.45884;8.802;7.003;0.125;0.405;1.905;2.16;0.72;0.114
18HU09063_1061;781;47.65917;-63.7535;343346;5.55;07-nov-09;15:36:00;29.98;6.38;311.5035;8.814;6.988;0.125;0.41;1.91;2.1;0.66;0.114
18HU09063_1061;781;47.65917;-63.7535;343347;3.17;07-nov-09;15:36:00;29.98;6.38;311.59282;8.815;6.967;0.13;0.4;1.895;2.15;0.67;0.11
18HU09063_1062;791;47.49967;-63.25233;343348;74.16;07-nov-09;18:15:00;31.98;0.75;230.2223;8.544;5.1285;0.065;1.49;15.25;26.12;0.085;0.05
18HU09063_1062;791;47.49967;-63.25233;343349;49.58;07-nov-09;18:15:00;31.33;4.12;277.5619;8.659;NaN;0.06;1.495;15.245;25.91;0.075;0.04
18HU09063_1062;791;47.49967;-63.25233;343350;25.09;07-nov-09;18:15:00;29.87;6.72;310.56564;8.786;6.979;0.135;0.36;1.62;1.96;0.87;0.14
18HU09063_1062;791;47.49967;-63.25233;343351;14.97;07-nov-09;18:15:00;29.86;6.74;310.387;8.805;6.983;0.135;0.36;1.61;1.9;0.87;0.136
18HU09063_1062;791;47.49967;-63.25233;343352;5.75;07-nov-09;18:15:00;29.86;6.74;310.387;8.821;6.965;0.135;0.355;1.605;1.875;0.885;0.148
18HU09063_1062;791;47.49967;-63.25233;343353;2.08;07-nov-09;18:15:00;29.86;6.74;310.74428;8.831;6.975;0.135;0.355;1.59;2.065;0.92;0.136
18HU09063_1063;801;47.3295;-62.749;343354;51.06;07-nov-09;20:45:00;31.38;2.44;248.48824;8.62;5.561;0.075;1.215;12.285;18.27;0.245;0.051
18HU09063_1063;801;47.3295;-62.749;343355;24.79;07-nov-09;20:45:00;30;6.84;302.97344;8.791;6.837;0.12;0.425;2.005;3.1;0.715;0.103
18HU09063_1063;801;47.3295;-62.749;343356;15.57;07-nov-09;20:45:00;29.92;6.94;302.25888;8.81;6.776;0.12;0.43;2.175;3.3;0.62;0.102
18HU09063_1063;801;47.3295;-62.749;343357;5.65;07-nov-09;20:45:00;29.9;6.94;301.9016;8.82;6.794;0.12;0.43;2.14;3.18;0.615;0.094
18HU09063_1063;801;47.3295;-62.749;343358;2.38;07-nov-09;20:45:00;29.9;6.95;301.455;8.82;6.798;0.12;0.425;2.125;3.31;0.72;0.098
18HU09063_1064;811;47.16967;-62.24967;343359;37.58;07-nov-09;23:15:00;30.6;6.27;296.81036;8.83;6.672;0.08;0.54;2.195;5.715;1.22;0.165
18HU09063_1064;811;47.16967;-62.24967;343360;25.29;07-nov-09;23:15:00;30.51;6.84;302.66082;8.845;6.81;0.08;0.465;1.125;4.36;1.3;0.172
18HU09063_1064;811;47.16967;-62.24967;343361;15.47;07-nov-09;23:15:00;30.49;6.88;303.77732;8.849;6.826;0.075;0.45;0.97;4;1.18;0.172
