CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18PZ97042_516;51;47.28322;-59.68343;051_1;147.61;16-nov-97;08:33:00;33.2;1.2;280.42014;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.514
18PZ97042_516;51;47.28322;-59.68343;193634;5.85;16-nov-97;08:33:00;31.24;6.29;320.07822;6.95;2.38;0.11;0.54;0.41;0.82;0.97;2.601
18PZ97042_516;51;47.28322;-59.68343;193635;15.97;16-nov-97;08:33:00;31.26;6.21;314.4064;NaN;3.34;0.11;0.74;0.46;0.79;0.94;2.498
18PZ97042_516;51;47.28322;-59.68343;193636;24.99;16-nov-97;08:33:00;31.34;6.02;312.8433;6.92;3.02;0.12;0.84;0.47;0.69;0.83;2.485
18PZ97042_516;51;47.28322;-59.68343;193637;49.88;16-nov-97;08:33:00;31.7;5.64;296.72104;6.92;3.52;0.16;1.44;0.53;0.33;0.36;1.224
18PZ97042_516;51;47.28322;-59.68343;193638;98.65;16-nov-97;08:33:00;32.73;0.51;307.35012;6.91;10.03;0.08;8.85;1.04;0.03;0.04;0.694
18PZ97042_516;51;47.28322;-59.68343;193639;199.03;16-nov-97;08:33:00;34.29;5.73;190.11762;4.04;25.86;0.08;18.64;1.45;0.01;0.01;0.454
18PZ97042_516;51;47.28322;-59.68343;193640;248.26;16-nov-97;08:33:00;34.63;6.29;175.7371;3.73;31.02;0.08;23.17;1.6;0.01;0.01;0.404
18PZ97042_516;51;47.28322;-59.68343;193641;297.58;16-nov-97;08:33:00;34.71;5.55;200.25544;4.22;30.28;0.08;22.26;1.53;0.01;0.02;0.437
18PZ97042_516;51;47.28322;-59.68343;193642;396.78;16-nov-97;08:33:00;34.87;5.29;180.6497;3.74;47.23;0.08;22.67;1.72;0.01;0.02;0.577
