CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3)
18TL06043_860;101;47.74883;-59.58717;290158;370.73;04-aug-06;03:32:00;34.85;5.5;183.5526;4.142;0.185
18TL06043_860;101;47.74883;-59.58717;290159;250.13;04-aug-06;03:32:00;34.75;5.81;156.80126;3.597;0.192
18TL06043_860;101;47.74883;-59.58717;290160;1.78;04-aug-06;03:32:00;30.9;12.03;288.2803;6.416;3.196
18TL06043_861;11;46.882;-60.14867;290134;157.92;03-aug-06;11:19:00;33.99;4.37;163.50026;3.617;0.264
18TL06043_861;11;46.882;-60.14867;290135;1.49;03-aug-06;11:19:00;28.12;19.19;244.5135;5.4335;2.558
18TL06043_862;111;47.7145;-59.61817;290161;393.8;04-aug-06;06:35:00;34.86;5.17;183.46328;4.14;0.184
18TL06043_862;111;47.7145;-59.61817;290162;250.93;04-aug-06;06:35:00;34.72;5.91;153.6304;3.432;0.186
18TL06043_862;111;47.7145;-59.61817;290163;1.88;04-aug-06;06:35:00;31.04;9.82;288.86088;6.6265;3.321
18TL06043_863;131;47.43283;-59.9305;290164;489.3;04-aug-06;12:38:00;34.87;4.98;180.29242;4.0655;0.202
18TL06043_863;131;47.43283;-59.9305;290165;250.34;04-aug-06;12:38:00;34.68;5.71;151.26342;3.2775;0.203
18TL06043_863;131;47.43283;-59.9305;290166;1.69;04-aug-06;12:38:00;30.39;16.92;257.4649;5.719;0.967
18TL06043_864;141;47.40183;-60.26;290167;193.88;04-aug-06;15:40:00;34.17;4.76;131.92564;2.883;0.23
18TL06043_864;141;47.40183;-60.26;290168;1.88;04-aug-06;15:40:00;29.84;16.59;265.727;5.914;0.9
18TL06043_865;151;47.69233;-60.10683;290169;504.62;04-aug-06;19:25:00;34.87;4.98;181.81086;4.14;0.178
18TL06043_865;151;47.69233;-60.10683;290170;250.63;04-aug-06;19:25:00;34.62;5.88;148.44984;3.299;0.189
18TL06043_865;151;47.69233;-60.10683;290171;1.78;04-aug-06;19:25:00;30.37;17.44;255.81248;5.689;1.162
