CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_102;19;43.0083;-63.5083;-59;50;01-jul-76;23:41:00;31.98;6.8;3.74;0.64;2.98
18HU76020_102;19;43.0083;-63.5083;-60;75;01-jul-76;23:41:00;32.8;5.9;8.84;0.84;6.58
18HU76020_102;19;43.0083;-63.5083;-61;100;01-jul-76;23:41:00;34.19;4.9;13.18;1.02;11.26
18HU76020_102;19;43.0083;-63.5083;-62;125;01-jul-76;23:41:00;34.8;3.9;18.31;1.46;15.16
18HU76020_102;19;43.0083;-63.5083;-63;150;01-jul-76;23:41:00;35.01;4;18.24;1.2;14.55
18HU76020_127;21;43.005;-63.3333;-64;10;02-jul-76;01:30:00;31.28;5.8;0.13;0.25;1.62
18HU76020_127;21;43.005;-63.3333;-65;20;02-jul-76;01:30:00;31.34;5.9;0.06;0.25;1.82
18HU76020_127;21;43.005;-63.3333;-66;30;02-jul-76;01:30:00;31.23;6.6;0.25;0.31;2.18
18HU76020_127;21;43.005;-63.3333;-67;50;02-jul-76;01:30:00;32.04;6.6;3.04;0.55;3.77
18HU76020_127;21;43.005;-63.3333;-68;75;02-jul-76;01:30:00;33;6.3;10.89;0.89;10.26
18HU76020_127;21;43.005;-63.3333;-69;100;02-jul-76;01:30:00;34;4.4;16.86;1.27;15.11
18HU76020_149;23;43;-63.1667;-70;10;02-jul-76;03:13:00;31;6;0.09;0.27;1.41
18HU76020_149;23;43;-63.1667;-71;20;02-jul-76;03:13:00;31.92;6;0.14;0.31;1.89
18HU76020_149;23;43;-63.1667;-72;30;02-jul-76;03:13:00;32.07;6.4;0.09;0.31;2.01
18HU76020_149;23;43;-63.1667;-73;50;02-jul-76;03:13:00;32.69;6.3;5.42;0.69;5.19
18HU76020_149;23;43;-63.1667;-74;75;02-jul-76;03:13:00;34.27;5.1;10.27;0.76;8.38
18HU76020_171;25;42.9975;-63;-75;10;02-jul-76;05:24:00;NaN;6;0.09;0.27;2.04
18HU76020_171;25;42.9975;-63;-76;20;02-jul-76;05:24:00;NaN;6.2;0.48;0.34;1.83
18HU76020_171;25;42.9975;-63;-77;30;02-jul-76;05:24:00;NaN;6.6;0.77;0.47;2.72
18HU76020_171;25;42.9975;-63;-78;50;02-jul-76;05:24:00;NaN;6.2;7.62;0.85;6.65
18HU76020_239;32;42.6675;-63.5;-119;10;04-jul-76;01:55:00;32.02;5.7;0.26;0.31;1.22
18HU76020_239;32;42.6675;-63.5;-120;30;04-jul-76;01:55:00;32.94;6.1;0.17;0.33;2.19
18HU76020_239;32;42.6675;-63.5;-121;40;04-jul-76;01:55:00;33.42;5.9;0.17;0.34;2.36
18HU76020_239;32;42.6675;-63.5;-122;50;04-jul-76;01:55:00;33.69;5.6;2.7;0.4;4.07
18HU76020_239;32;42.6675;-63.5;-123;75;04-jul-76;01:55:00;34.17;5.1;9.03;0.78;7.2
18HU76020_239;32;42.6675;-63.5;-124;100;04-jul-76;01:55:00;34.89;4.4;9.51;1.01;7.96
18HU76020_239;32;42.6675;-63.5;-125;125;04-jul-76;01:55:00;35.17;4.1;9.86;1.07;9.33
18HU76020_239;32;42.6675;-63.5;-126;150;04-jul-76;01:55:00;35.2;3.7;14.85;1.2;10.62
18HU76020_243;33;42.75;-63.5058;-127;10;04-jul-76;04:26:00;31.54;NaN;0.19;0.32;1.19
18HU76020_243;33;42.75;-63.5058;-128;30;04-jul-76;04:26:00;32.85;NaN;0.15;0.26;3.89
