CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL17008_1608;1271;47.1695;-61.247;421547;25.19;14-jun-17;08:38:00;31.21;-0.24;350.22372;7.7015;1.62;0.08;2.71;0.7;NaN;0.353;NaN
18TL17008_1608;1271;47.1695;-61.247;421548;2.88;14-jun-17;08:38:00;30.46;7.63;329.50148;7.461;0.085;0.00667;0.07;0.05;NaN;0.923;NaN
18TL17008_1609;1291;47.49867;-60.757;421549;49.68;14-jun-17;13:53:00;31.72;0.35;310.87826;6.917;6.12;0.1;4.555;0.86;NaN;0.366;0.655
18TL17008_1609;1291;47.49867;-60.757;421550;26.57;14-jun-17;13:53:00;31.02;1.3;363.979;8.138;0.33;0.03;0.405;0.365;NaN;3.605;5.71
18TL17008_1609;1291;47.49867;-60.757;421551;1.98;14-jun-17;13:53:00;30.66;7.21;327.49178;7.4115;0.095;0.005;0.085;0.095;NaN;0.357;1.135
18TL17008_1610;1311;47.83933;-61.25183;421552;16.16;14-jun-17;19:11:00;31.02;6.66;330.9306;7.4835;0.615;0.00667;0.12;0.27333;NaN;0.577;0.735
18TL17008_1610;1311;47.83933;-61.25183;421553;3.47;14-jun-17;19:11:00;31.01;6.83;328.6976;7.449;0.58;0.01;0.095;0.27667;NaN;0.282;0.725
18TL17008_1611;1381;47.58333;-61.83233;421557;27.57;15-jun-17;12:21:00;31.13;4.54;314.27242;7.062;0.775;0.015;0.14;0.55;NaN;1.925;2.985
18TL17008_1611;1381;47.58333;-61.83233;421558;1.78;15-jun-17;12:21:00;30.93;7.91;317.35396;7.2625;0.21;0.00333;0.08;0.2;NaN;0.536;1.04
18TL17008_1612;1401;47.83117;-62.2485;421559;54.33;15-jun-17;17:25:00;32.15;-0.1;267.20078;6.324;7.965;0.115;7.195;1.13667;NaN;0.134;0.265
18TL17008_1612;1401;47.83117;-62.2485;421560;25.58;15-jun-17;17:25:00;30.91;4.22;359.2897;7.7555;2.145;0.04;1.965;0.5;NaN;3.282;2.49
18TL17008_1612;1401;47.83117;-62.2485;421561;2.28;15-jun-17;17:25:00;30.38;8.11;328.9209;7.4305;1.08;0.005;0.08;0.145;NaN;0.321;1.37
18TL17008_1613;1471;47.833;-63.2595;421577;77.73;16-jun-17;10:33:00;31.55;-0.87;309.4938;6.8275;11.77;0.13;7.765;1.15;NaN;0.119;0.17
18TL17008_1613;1471;47.833;-63.2595;421578;25.09;16-jun-17;10:33:00;30.01;2.32;356.8334;7.903;4.02;0.205;3.725;0.605;NaN;0.579;0.855
18TL17008_1613;1471;47.833;-63.2595;421579;2.97;16-jun-17;10:33:00;27.79;10.61;334.95;7.467;1.84;0.025;0.11;0.02;NaN;1.251;2.355
18TL17008_1614;1481;47.79167;-64.03033;421580;79.41;16-jun-17;14:10:00;31.69;-0.26;276.892;6.1815;20.79;0.14;10.86;1.32;NaN;0.114;0.155
18TL17008_1614;1481;47.79167;-64.03033;421581;50.27;16-jun-17;14:10:00;30.84;-0.41;330.484;7.2265;9.95;0.205;7.86;1.03;NaN;0.134;0.105
18TL17008_1614;1481;47.79167;-64.03033;421582;25.09;16-jun-17;14:10:00;29.45;3.63;332.9403;NaN;7.735;0.185;6.08;0.845;NaN;0.42;0.27
18TL17008_1614;1481;47.79167;-64.03033;421583;15.57;16-jun-17;14:10:00;28.32;4.63;327.40246;NaN;7.75;0.15;4.685;0.56;NaN;2.715;1.305
18TL17008_1614;1481;47.79167;-64.03033;421584;5.55;16-jun-17;14:10:00;26.68;10.82;341.2024;7.639;3.905;0.02333;0.37;0.04333;NaN;2.242;3.465
18TL17008_1614;1481;47.79167;-64.03033;421585;2.48;16-jun-17;14:10:00;26.67;11.23;337.13834;NaN;3.42;0.01333;0.1;0.01667;NaN;1.333;3.045
18TL17008_1615;1661;47.91967;-69.77317;421670;108.26;19-jun-17;00:27:00;30.84;1.57;293.14824;6.4865;16.365;0.105;11.305;1.095;NaN;0.203;NaN
18TL17008_1615;1661;47.91967;-69.77317;421671;99.63;19-jun-17;00:27:00;30.83;1.57;293.23756;NaN;16.395;0.11;11.27;1.095;0.255;0.197;NaN
18TL17008_1615;1661;47.91967;-69.77317;421672;52.15;19-jun-17;00:27:00;29.86;1.87;304.08994;6.668;16.145;0.12;10.86;1.035;0.3;0.232;NaN
18TL17008_1615;1661;47.91967;-69.77317;421673;24.79;19-jun-17;00:27:00;27.82;3.22;308.95788;NaN;16.855;0.13;10.8;0.98;0.39;0.355;NaN
18TL17008_1615;1661;47.91967;-69.77317;421674;15.77;19-jun-17;00:27:00;24.56;4.97;309.62778;NaN;19.575;0.135;11.56;0.88;0.25;0.398;NaN
18TL17008_1615;1661;47.91967;-69.77317;421675;4.76;19-jun-17;00:27:00;17.89;9.35;304.67052;6.7945;24.255;0.13;14.595;0.69;0.39;0.571;NaN
18TL17008_1615;1661;47.91967;-69.77317;421676;2.18;19-jun-17;00:27:00;16.95;10.4;303.37538;NaN;25.205;0.13;15.255;0.64;0.47;0.592;NaN
18TL17008_1616;1671;47.7065;-69.9165;421677;91.41;19-jun-17;02:24:00;29.95;1.75;306.05498;6.7685;15.79;0.13;10.555;1.01;0.305;0.251;NaN
18TL17008_1616;1671;47.7065;-69.9165;421678;50.17;19-jun-17;02:24:00;29.56;1.93;307.43944;6.932;16.125;0.14;10.575;1;0.28;0.252;NaN
18TL17008_1616;1671;47.7065;-69.9165;421679;25.68;19-jun-17;02:24:00;26.6;3.64;307.9307;NaN;18.54;0.145;11.29;0.92;0.175;0.32;NaN
18TL17008_1616;1671;47.7065;-69.9165;421680;15.77;19-jun-17;02:24:00;25.05;4.4;306.23362;NaN;19.045;0.145;11.675;0.905;0.145;0.339;NaN
18TL17008_1616;1671;47.7065;-69.9165;421681;5.55;19-jun-17;02:24:00;20.51;6.98;304.1346;6.7035;22.335;0.135;13.625;0.775;0.15;0.445;NaN
18TL17008_1616;1671;47.7065;-69.9165;421682;1.69;19-jun-17;02:24:00;16.34;9.43;299.6686;NaN;24.72;0.135;15.27;0.675;0.195;0.566;NaN
18TL17008_1617;1681;47.53183;-70.1705;421683;82.29;19-jun-17;03:57:00;27.96;2.83;306.94818;6.773;17.52;0.14;11.25;0.955;0.485;0.333;NaN
18TL17008_1617;1681;47.53183;-70.1705;421684;50.57;19-jun-17;03:57:00;25.8;4.05;306.23362;6.7475;18.74;0.13;11.855;0.915;0.65;0.438;NaN
18TL17008_1617;1681;47.53183;-70.1705;421685;25.58;19-jun-17;03:57:00;24.03;5.05;304.8045;NaN;20.235;0.13;12.565;0.86;0.375;0.4;NaN
18TL17008_1617;1681;47.53183;-70.1705;421686;15.77;19-jun-17;03:57:00;20.17;7.49;303.0181;NaN;22.05;0.125;13.775;0.775;0.43;0.469;NaN
18TL17008_1617;1681;47.53183;-70.1705;421687;5.45;19-jun-17;03:57:00;17.5;9.54;303.0181;6.7115;24.065;0.125;14.835;0.705;0.4;0.498;NaN
18TL17008_1617;1681;47.53183;-70.1705;421688;1.69;19-jun-17;03:57:00;17.42;9.7;301.36568;NaN;24.195;0.13;15.23;0.685;0.345;0.508;NaN
18TL17008_1618;1691;47.44983;-70.14767;421689;17.35;19-jun-17;05:03:00;26.64;3.54;305.78702;6.739;18.83;0.125;11.93;0.92;0.505;0.439;NaN
18TL17008_1618;1691;47.44983;-70.14767;421690;5.16;19-jun-17;05:03:00;15.78;9.75;295.2026;6.6115;21.955;0.12667;16.60333;0.66667;0.31;0.569;NaN
18TL17008_1618;1691;47.44983;-70.14767;421691;2.08;19-jun-17;05:03:00;15.74;9.78;295.02396;NaN;24.775;0.12333;16.54333;0.62667;0.37;0.583;NaN
18TL17008_1619;1701;47.605;-69.95583;421692;26.18;19-jun-17;06:20:00;29.21;2.12;306.8142;6.754;16.475;0.135;10.79;0.99;0.225;0.277;NaN
18TL17008_1619;1701;47.605;-69.95583;421693;15.96;19-jun-17;06:20:00;27.5;3.03;306.41226;NaN;16.845;0.13;10.97;0.975;0.235;0.28;NaN
18TL17008_1619;1701;47.605;-69.95583;421694;5.65;19-jun-17;06:20:00;15.59;9.89;297.25696;6.632;25.085;0.13;16.085;0.64;0.295;0.576;NaN
18TL17008_1619;1701;47.605;-69.95583;421695;1.78;19-jun-17;06:20:00;12.69;11.85;295.2026;NaN;24.475;0.12667;17.13667;0.62333;0.355;0.654;NaN
18TL17008_1620;1711;47.9555;-69.59;421696;30.64;19-jun-17;08:33:00;28.77;2.68;303.06276;6.675;16.535;0.12333;11.35667;0.99667;0.535;0.346;NaN
18TL17008_1620;1711;47.9555;-69.59;421697;15.27;19-jun-17;08:33:00;23.69;5.92;306.01032;NaN;19.175;0.13;11.985;0.88;0.485;0.525;NaN
18TL17008_1620;1711;47.9555;-69.59;421698;4.66;19-jun-17;08:33:00;18.93;8.84;304.89382;6.7735;20.705;0.11;14.1;0.715;0.8;0.669;NaN
18TL17008_1620;1711;47.9555;-69.59;421699;1.78;19-jun-17;08:33:00;18.72;9.21;301.85694;NaN;22.02;0.12667;14.39;0.69333;0.875;0.73;NaN
18TL17008_1621;321;47.83617;-64.2475;421196;37.18;02-jun-17;16:22:00;29.61;3.28;348.7946;7.807;4.045;0.045;2.24;0.345;NaN;0.275;0.325
18TL17008_1621;321;47.83617;-64.2475;421197;25.19;02-jun-17;16:22:00;29;5.48;338.47814;NaN;5.875;0.07;3.1;0.4;NaN;0.321;0.395
18TL17008_1621;321;47.83617;-64.2475;421198;15.27;02-jun-17;16:22:00;28.44;5.83;338.2995;NaN;10.635;0.115;5.5;0.495;NaN;0.426;0.56
18TL17008_1621;321;47.83617;-64.2475;421199;4.96;02-jun-17;16:22:00;27.92;7.24;333.65486;7.5595;11.865;0.11;5.11333;0.42667;NaN;1.143;1.9
18TL17008_1621;321;47.83617;-64.2475;421200;1.98;02-jun-17;16:22:00;27.61;7.71;330.75196;NaN;13.24;0.115;5.645;0.415;NaN;1.988;2.98
18TL17008_1622;331;47.785;-64.03033;421201;76.84;02-jun-17;17:45:00;31.87;-0.01;282.6978;6.3265;19.665;0.13;11.145;1.28;NaN;0.122;0.14
18TL17008_1622;331;47.785;-64.03033;421202;50.17;02-jun-17;17:45:00;30.83;-0.35;303.82198;6.811;12.425;0.14;8.445;1.165;NaN;0.217;0.215
18TL17008_1622;331;47.785;-64.03033;421203;25.19;02-jun-17;17:45:00;29.23;6.15;339.28202;NaN;3.45;0.045;1.675;0.325;NaN;0.44;0.75
18TL17008_1622;331;47.785;-64.03033;421204;15.47;02-jun-17;17:45:00;28.39;5.72;337.67426;NaN;8.095;0.08;4.1;0.42;NaN;0.494;0.915
18TL17008_1622;331;47.785;-64.03033;421205;5.16;02-jun-17;17:45:00;27.55;7.34;336.5131;7.1245;12.65;0.105;5.51;0.43;NaN;1.387;1.92
18TL17008_1622;331;47.785;-64.03033;421206;2.08;02-jun-17;17:45:00;27.44;7.52;334.0568;NaN;13.575;0.11;5.62;0.405;NaN;1.021;2.485
18TL17008_1623;341;47.66617;-63.749;421207;60.38;02-jun-17;19:35:00;30.79;-0.91;320.52482;7.1845;7.63;0.13;7.265;1.03;NaN;0.217;0.225
18TL17008_1623;341;47.66617;-63.749;421208;50.27;02-jun-17;19:35:00;30.53;-0.39;335.75388;7.392;4.23;0.14;6.19;0.95;NaN;0.195;0.185
18TL17008_1623;341;47.66617;-63.749;421209;25.48;02-jun-17;19:35:00;29.61;3.58;344.37326;NaN;7.075;0.1;4.04;0.55;NaN;0.291;0.215
18TL17008_1623;341;47.66617;-63.749;421210;14.97;02-jun-17;19:35:00;28.47;3.57;339.99658;NaN;10.655;0.125;6.14;0.625;NaN;0.255;0.22
18TL17008_1623;341;47.66617;-63.749;421211;5.65;02-jun-17;19:35:00;27.84;4.58;336.46844;7.5715;13.705;0.145;7.635;0.645;NaN;0.55;0.575
18TL17008_1623;341;47.66617;-63.749;421212;1.98;02-jun-17;19:35:00;27.71;4.69;337.09368;NaN;14.075;0.145;7.51;0.615;NaN;0.852;1.13
18TL17008_1624;351;47.50067;-63.24783;421213;73.77;02-jun-17;22:02:00;31.27;-1.17;315.70154;7.0585;5.59;0.095;6.785;1.065;NaN;0.525;0.58
18TL17008_1624;351;47.50067;-63.24783;421214;49.97;02-jun-17;22:02:00;31.01;-1.19;345.08782;7.3955;4.48;0.105;7.23;1.05;NaN;0.471;0.485
18TL17008_1624;351;47.50067;-63.24783;421215;25.38;02-jun-17;22:02:00;30.36;4.16;363.57706;NaN;0.35;0.02;1.1;0.325;NaN;1.403;1.57
18TL17008_1624;351;47.50067;-63.24783;421216;15.97;02-jun-17;22:02:00;30.27;4.16;367.59646;NaN;0.13;0.01;0.08;0.175;NaN;1.258;2.04
18TL17008_1624;351;47.50067;-63.24783;421217;5.35;02-jun-17;22:02:00;29.65;6.39;344.19462;7.8535;2.335;0.035;1.075;0.25;NaN;0.757;1.425
18TL17008_1624;351;47.50067;-63.24783;421218;2.28;02-jun-17;22:02:00;29.61;6.59;340.57716;NaN;3.185;0.05;1.515;0.29;NaN;0.764;1.07
18TL17008_1625;371;47.33483;-62.758;421219;45.02;03-jun-17;00:57:00;31.12;-0.95;309.22584;6.972;2.135;0.09;5.05;1.045;NaN;0.557;0.945
18TL17008_1625;371;47.33483;-62.758;421220;24.89;03-jun-17;00:57:00;30.38;3.51;359.513;NaN;0.295;0.025;0.445;0.28;NaN;1.467;1.895
18TL17008_1625;371;47.33483;-62.758;421221;15.17;03-jun-17;00:57:00;30.35;4.1;368.93626;NaN;NaN;NaN;NaN;NaN;NaN;1.512;2.19
18TL17008_1625;371;47.33483;-62.758;421222;5.16;03-jun-17;00:57:00;30.23;6.14;347.6781;8.0285;0.15;0.005;0.075;0.15;NaN;0.761;1.81
18TL17008_1625;371;47.33483;-62.758;421223;1.69;03-jun-17;00:57:00;30.23;6.33;344.06064;NaN;0.145;0.005;0.085;0.165;NaN;0.743;1.265
18TL17008_1626;381;47.16683;-62.24833;421224;33.52;03-jun-17;03:40:00;31.21;2.18;327.08984;7.3785;0.915;0.03;0.97;0.515;NaN;1.135;1.51
18TL17008_1626;381;47.16683;-62.24833;421225;25.39;03-jun-17;03:40:00;31.07;3.21;334.19078;NaN;1.03;0.035;1.055;0.535;NaN;1.416;2.21
18TL17008_1626;381;47.16683;-62.24833;421226;15.47;03-jun-17;03:40:00;30.87;4.57;349.77712;NaN;0.455;0.015;0.375;0.37;NaN;1.74;2.605
18TL17008_1626;381;47.16683;-62.24833;421227;5.45;03-jun-17;03:40:00;30.73;5.69;354.19846;7.9545;0.115;0.005;0.085;0.19;NaN;0.957;1.34
18TL17008_1626;381;47.16683;-62.24833;421228;2.38;03-jun-17;03:40:00;30.7;6.34;345.31112;NaN;0.1;0.005;0.075;0.19;NaN;0.648;1.02
18TL17008_1627;391;46.99917;-61.74867;421229;35.7;03-jun-17;06:18:00;31.3;1.3;324.81218;7.283;3.045;0.06;2.135;0.665;NaN;0.931;1.745
18TL17008_1627;391;46.99917;-61.74867;421230;25.58;03-jun-17;06:18:00;31.06;2.32;333.07428;NaN;2.04;0.045;1.315;0.565;NaN;1.184;1.905
18TL17008_1627;391;46.99917;-61.74867;421231;14.68;03-jun-17;06:18:00;30.47;5.7;356.29748;NaN;0.865;0.02;0.515;0.365;NaN;1.063;2.045
18TL17008_1627;391;46.99917;-61.74867;421232;5.36;03-jun-17;06:18:00;30.34;6.71;344.68588;7.833;0.125;0.005;0.08;0.115;NaN;0.742;1.045
18TL17008_1627;391;46.99917;-61.74867;421233;1.88;03-jun-17;06:18:00;30.33;6.75;342.22958;NaN;0.135;0.005;0.08;0.095;NaN;0.746;1
18TL17008_1628;411;46.91567;-61.5005;421234;51.26;03-jun-17;08:01:00;32.04;0.22;299.75792;6.892;6.95;0.12;6.135;0.965;NaN;0.481;1.5
18TL17008_1628;411;46.91567;-61.5005;421235;25.68;03-jun-17;08:01:00;31.22;0.63;376.0372;NaN;0.105;0.055;1.15;0.555;NaN;0.956;1.375
18TL17008_1628;411;46.91567;-61.5005;421236;15.87;03-jun-17;08:01:00;30.74;5.74;354.42176;NaN;0.14;0.015;0.125;0.29;NaN;1.35;2.08
18TL17008_1628;411;46.91567;-61.5005;421237;5.26;03-jun-17;08:01:00;30.68;7.18;339.50532;7.772;0.045;0.005;0.08;0.13;NaN;0.666;1.195
18TL17008_1628;411;46.91567;-61.5005;421238;1.88;03-jun-17;08:01:00;30.67;7.31;336.11116;NaN;0.14;0.00667;0.07333;0.15333;NaN;0.625;0.985
18TL17008_1629;431;46.83617;-61.25217;421239;56.72;03-jun-17;14:44:00;32.15;0.47;305.2511;6.9495;8.98;0.15;7.185;0.955;NaN;0.297;1.105
18TL17008_1629;431;46.83617;-61.25217;421240;50.08;03-jun-17;14:44:00;32.08;0.35;310.47632;6.903;9.775;0.16;7.545;0.985;NaN;0.287;0.345
18TL17008_1629;431;46.83617;-61.25217;421241;25.19;03-jun-17;14:44:00;31.11;1.39;369.69548;NaN;0.12;0.03;0.345;0.455;NaN;2.025;1.9
18TL17008_1629;431;46.83617;-61.25217;421242;15.67;03-jun-17;14:44:00;30.75;5.78;359.02174;NaN;0.1;0.005;0.1;0.21;NaN;1.153;2.365
18TL17008_1629;431;46.83617;-61.25217;421243;5.75;03-jun-17;14:44:00;30.55;6.56;345.75772;7.9815;0.09;0.01;0.1;0.16667;NaN;0.291;2.075
18TL17008_1629;431;46.83617;-61.25217;421244;2.28;03-jun-17;14:44:00;30.47;7.12;339.46066;NaN;0.095;0;0.085;0.135;NaN;0.178;1.385
18TL17008_1630;441;46.74533;-60.99567;421245;56.32;03-jun-17;16:17:00;31.37;-0.41;337.8529;7.595;2.265;0.08;3.195;0.72;NaN;0.25;0.845
18TL17008_1630;441;46.74533;-60.99567;421246;51.46;03-jun-17;16:17:00;31.26;-0.42;341.91696;7.5935;2.5;0.085;3.71;0.805;NaN;0.31;0.65
18TL17008_1630;441;46.74533;-60.99567;421247;25.98;03-jun-17;16:17:00;30.67;4.64;377.68962;NaN;0.64;0.02;0.57;0.255;NaN;2.05;2.15
18TL17008_1630;441;46.74533;-60.99567;421248;15.47;03-jun-17;16:17:00;29.85;4.67;372.82168;NaN;0.64;0.005;0.08;0.165;NaN;1.408;2.265
18TL17008_1630;441;46.74533;-60.99567;421249;5.26;03-jun-17;16:17:00;29.54;8.4;334.7267;7.757;0.71;0;0.065;0.185;NaN;0.197;0.755
18TL17008_1630;441;46.74533;-60.99567;421250;1.79;03-jun-17;16:17:00;29.47;7.3;343.39074;NaN;0.705;0;0.065;0.185;NaN;0.255;0.735
18TL17008_1631;451;46.95967;-60.21433;421251;76.84;03-jun-17;20:27:00;32.16;1.16;303.42004;6.7955;8.61;0.135;7.77;0.97;NaN;0.151;0.235
18TL17008_1631;451;46.95967;-60.21433;421252;49.98;03-jun-17;20:27:00;31.35;2.75;354.51108;7.8355;1.1;0.025;1.045;0.43;NaN;0.186;0.265
18TL17008_1631;451;46.95967;-60.21433;421253;24.99;03-jun-17;20:27:00;30.63;2.85;355.047;NaN;1.22;0.03;0.945;0.38;NaN;0.952;1.48
18TL17008_1631;451;46.95967;-60.21433;421254;15.27;03-jun-17;20:27:00;30.25;4.77;358.93242;NaN;0.555;0.01;0.13;0.215;NaN;1.406;2.285
