CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18NA97015_002;CAST#1;46.1242;-60.7047;147675;27;02-jun-97;12:20:00;23.97;0.839;6.784;4.92;0.136;0.788;1.67
18NA97015_002;CAST#1;46.1242;-60.7047;147676;5;02-jun-97;12:20:00;21.305;7.473;7.889;3.515;0.0445;0.1565;0
18NA97015_002;CAST#1;46.1242;-60.7047;147677;1;02-jun-97;12:20:00;20.255;9.161;7.414;3.73;0.0455;0.139;0
18NA97015_036;CAST#1;46.0815;-60.8923;147687;8;02-jun-97;20:11:00;22.101;5.625;8.316;2.955;0.066;0.238;0
18NA97015_036;CAST#1;46.0815;-60.8923;147688;4;02-jun-97;20:11:00;21.368;7.09;8.002;3.8;NaN;0.1165;0
18NA97015_127;CAST#1;45.917;-60.9623;147689;7;03-jun-97;15:16:00;NaN;NaN;8.009;3.27;0.066;0.1525;0
18NA97015_127;CAST#1;45.917;-60.9623;147690;1;03-jun-97;15:16:00;NaN;NaN;7.89;3.175;0.037;0.1565;0
18NA97015_138;CAST#1;45.903;-61.0605;147691;5;03-jun-97;15:52:00;NaN;NaN;7.986;2.755;NaN;0.171;0
18NA97015_138;CAST#1;45.903;-61.0605;147692;1;03-jun-97;15:52:00;NaN;NaN;7.988;2.725;0.037;0.2095;0
18NA97015_149;CAST#1;45.8737;-61.0698;147693;4;03-jun-97;16:28:00;NaN;NaN;8.042;3.155;0.037;0.1255;0
18NA97015_149;CAST#1;45.8737;-61.0698;147694;1;03-jun-97;16:28:00;NaN;NaN;7.446;3.595;0.037;0.088;0
