CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL12001_1203;411;47.43283;-59.56083;347049;197.34;10-jun-12;09:20:00;34.52;7.06;181.7662;8.088;4.1255;14.425;0.005;18.53;1.3;NaN;0.264
18TL12001_1203;411;47.43283;-59.56083;347050;99.44;10-jun-12;09:20:00;32.81;1.94;297.92686;8.107;NaN;7.68;0.12;9.21;0.915;0.025;0.307
18TL12001_1203;411;47.43283;-59.56083;347051;50.67;10-jun-12;09:20:00;32.28;1.64;324.58888;8.144;NaN;2.4;0.095;4.62;0.745;0.075;0.462
18TL12001_1203;411;47.43283;-59.56083;347052;25.19;10-jun-12;09:20:00;31.91;2.86;363.5324;8.29;NaN;0.915;0;0.06;0.355;0.635;2.702
18TL12001_1203;411;47.43283;-59.56083;347053;15.07;10-jun-12;09:20:00;31.23;8.09;310.56564;8.285;NaN;0.515;0;0.03;0.305;0.185;1.137
18TL12001_1203;411;47.43283;-59.56083;347054;5.65;10-jun-12;09:20:00;31.23;8.09;310.1637;8.286;7.0065;0.54;0;0.03;0.295;0.215;1.131
18TL12001_1203;411;47.43283;-59.56083;347055;1.88;10-jun-12;09:20:00;31.23;8.1;310.11904;8.285;NaN;NaN;NaN;NaN;NaN;0.2;1.105
18TL12001_1204;421;47.273;-59.781;347056;456.46;10-jun-12;12:00:00;34.9;5.26;189.53704;8.041;3.1615;26.55;0.005;21.085;1.515;NaN;0.281
18TL12001_1204;421;47.273;-59.781;347057;396.98;10-jun-12;12:00:00;34.88;5.43;177.34486;8.03;NaN;26.205;0.005;22.395;1.58;NaN;0.281
18TL12001_1204;421;47.273;-59.781;347058;298.57;10-jun-12;12:00:00;34.73;5.87;137.9994;7.961;NaN;28.815;0.015;23.83;1.725;NaN;0.306
18TL12001_1204;421;47.273;-59.781;347059;201.81;10-jun-12;12:00:00;34.64;7.12;167.16238;8.065;NaN;16.42;0.015;20.205;1.4;NaN;0.276
18TL12001_1204;421;47.273;-59.781;347060;100.63;10-jun-12;12:00:00;32.86;2.36;279.03568;8.08;NaN;8.75;0.135;10.35;0.99;0.03;0.324
18TL12001_1204;421;47.273;-59.781;347061;50.97;10-jun-12;12:00:00;32.03;1.75;333.02962;8.177;NaN;2.255;0.065;3.315;0.65;0.115;0.805
18TL12001_1204;421;47.273;-59.781;347062;25.98;10-jun-12;12:00:00;31.61;4.1;340.48784;8.261;NaN;1.025;0.015;0.745;0.39;0.625;2.329
18TL12001_1204;421;47.273;-59.781;347063;15.67;10-jun-12;12:00:00;31.24;7.53;317.04134;8.285;NaN;0.55;0;0.06;0.28;0.34;1.414
18TL12001_1204;421;47.273;-59.781;347064;5.85;10-jun-12;12:00:00;31.23;7.65;315.79086;8.285;7.146;0.565;0;0.04;0.28;0.35;1.292
18TL12001_1204;421;47.273;-59.781;347065;2.68;10-jun-12;12:00:00;31.23;7.65;315.65688;8.282;NaN;0.605;0.005;0.04;0.28;0.31;1.187
18TL12001_1205;431;47.09833;-59.99;347066;322.94;10-jun-12;14:41:00;34.78;5.75;146.61878;7.969;3.3;28.695;0.025;23.02;1.65;NaN;0.282
18TL12001_1205;431;47.09833;-59.99;347067;298.08;10-jun-12;14:41:00;34.75;5.86;141.75084;7.964;NaN;27.94;0.025;23.155;1.675;NaN;0.281
18TL12001_1205;431;47.09833;-59.99;347068;197.45;10-jun-12;14:41:00;34.35;5.4;133.66738;7.91;NaN;27.7;0.055;22.025;1.675;NaN;0.312
18TL12001_1205;431;47.09833;-59.99;347069;99.94;10-jun-12;14:41:00;33.08;2.52;220.21846;7.954;NaN;16.375;0.025;15.16;1.34;NaN;0.328
18TL12001_1205;431;47.09833;-59.99;347070;50.77;10-jun-12;14:41:00;32.18;2.01;313.91514;8.144;NaN;4.88;0.075;5.43;0.775;NaN;0.785
18TL12001_1205;431;47.09833;-59.99;347071;26.08;10-jun-12;14:41:00;31.61;3.91;341.82764;8.265;NaN;1.12;0.01667;0.9;0.43;NaN;2.183
18TL12001_1205;431;47.09833;-59.99;347072;16.16;10-jun-12;14:41:00;31.11;7.41;320.52482;8.295;NaN;0.625;0;0.03;0.29667;NaN;2.424
18TL12001_1205;431;47.09833;-59.99;347073;6.25;10-jun-12;14:41:00;31.08;7.44;320.70346;8.293;7.2195;0.6;0;0.02;0.29667;NaN;1.867
18TL12001_1205;431;47.09833;-59.99;347074;1.69;10-jun-12;14:41:00;31.08;7.44;320.74812;8.293;NaN;0.695;0.00333;0.025;0.30333;NaN;1.049
18TL12001_1206;441;47.02317;-60.11683;347075;174.37;10-jun-12;16:25:00;34.31;5.17;122.27908;7.857;2.706;31.76;0.05667;22.52;1.77667;NaN;0.34
18TL12001_1206;441;47.02317;-60.11683;347076;100.24;10-jun-12;16:25:00;32.74;1.86;247.1931;7.971;NaN;13.92;0.12667;12.8;1.26;NaN;0.37
18TL12001_1206;441;47.02317;-60.11683;347077;50.97;10-jun-12;16:25:00;31.97;2.02;346.38296;8.214;7.818;1.865;0.04;2.05;0.55333;NaN;0.953
18TL12001_1206;441;47.02317;-60.11683;347078;25.68;10-jun-12;16:25:00;31.26;5.11;337.4063;8.279;NaN;0.91;0.00667;0.365;0.37333;NaN;3.12
18TL12001_1206;441;47.02317;-60.11683;347079;15.97;10-jun-12;16:25:00;31.01;7.47;321.73064;8.298;NaN;0.635;0;0.025;0.31;NaN;2.116
18TL12001_1206;441;47.02317;-60.11683;347080;5.65;10-jun-12;16:25:00;30.9;7.96;317.39862;8.3;7.172;0.765;0;0.03;0.30333;NaN;1.037
18TL12001_1206;441;47.02317;-60.11683;347081;2.28;10-jun-12;16:25:00;30.91;7.95;317.57726;8.297;NaN;0.63;0;0.025;0.30333;NaN;0.9
18TL12001_1207;451;46.957;-60.21517;347082;70.4;10-jun-12;19:03:00;31.87;1.37;302.16956;8.073;6.8065;7.94;0.1;6.68;0.96;0.12;0.532
