CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_010;S27-05;47.74;-51.65;258007;73;06-dec-03;00:38:00;32.81;7.10093596059113;-0.84;8.76;0.81;8.23;0.05
18HU03075_010;S27-05;47.74;-51.65;258008;49;06-dec-03;00:38:00;32.68;7.283934169279;1.07;6.17;0.63;5.55;0.12
18HU03075_010;S27-05;47.74;-51.65;258009;40;06-dec-03;00:38:00;32.49;7.31093372145096;1.32;5.65;0.63;4.77;0.26
18HU03075_010;S27-05;47.74;-51.65;258010;31;06-dec-03;00:38:00;32.38;7.3699328257949;1.83;4.86;0.61;4.35;0.54
18HU03075_010;S27-05;47.74;-51.65;258011;20;06-dec-03;00:38:00;32.25;7.40093372145096;2.19;3.67;0.49;3.1;0.74
18HU03075_010;S27-05;47.74;-51.65;258012;10;06-dec-03;00:38:00;32.23;7.41693237796686;2.26;4.64;0.65;3.61;0.84
18HU03075_010;S27-05;47.74;-51.65;258013;5;06-dec-03;00:38:00;32.23;7.413934169279;2.26;4.14;0.57;3.62;0.72
18HU03075_011;S27-04;47.68;-51.88;258014;179;06-dec-03;02:26:00;33.3;6.68094043887147;-0.88;NaN;NaN;NaN;NaN
18HU03075_012;S27-03;47.63;-52.12;258015;164;06-dec-03;03:36:00;33.32;6.58894088669951;-0.83;15.07;0.88;11.65;NaN
18HU03075_012;S27-03;47.63;-52.12;258016;150;06-dec-03;03:36:00;33.23;6.77793999104344;-0.8;11.08;0.93;10.55;NaN
18HU03075_012;S27-03;47.63;-52.12;258017;101;06-dec-03;03:36:00;32.76;7.21993506493506;0.69;6.51;0.69;6.3;0.1
18HU03075_012;S27-03;47.63;-52.12;258018;76;06-dec-03;03:36:00;32.61;7.29993506493507;1.36;5.46;0.69;5.27;0.13
18HU03075_012;S27-03;47.63;-52.12;258019;51;06-dec-03;03:36:00;32.34;7.30993506493507;1.87;4.82;0.66;4.52;0.21
18HU03075_012;S27-03;47.63;-52.12;258020;40;06-dec-03;03:36:00;32.08;7.32593372145096;2.51;4.8;0.67;3.79;0.43
18HU03075_012;S27-03;47.63;-52.12;258021;29;06-dec-03;03:36:00;31.96;7.31093372145096;2.7;3.73;0.38;2.57;0.56
18HU03075_012;S27-03;47.63;-52.12;258022;20;06-dec-03;03:36:00;31.95;7.3129355127631;2.74;4.26;0.54;2.91;0.62
18HU03075_012;S27-03;47.63;-52.12;258023;10;06-dec-03;03:36:00;31.9;7.31093372145096;2.82;4.01;0.52;2.58;0.57
18HU03075_012;S27-03;47.63;-52.12;258024;5;06-dec-03;03:36:00;31.9;7.313934169279;2.82;4.2;0.58;2.7;0.58
18HU03075_013;S27-02;47.58;-52.35;258025;164;06-dec-03;06:03:00;33.41;6.46394312583968;-0.62;NaN;NaN;NaN;NaN
18HU03075_014;SEGB-10;44.3633;-51.1033;257430;70;20-nov-03;15:00:00;32.67;6.54094043887147;3.03;NaN;NaN;NaN;NaN
18HU03075_015;STN27;47.5467;-52.5867;258026;174;06-dec-03;08:45:00;33.2;6.71993954321541;-0.96;13.51;1.07;9.9;NaN
18HU03075_015;STN27;47.5467;-52.5867;258027;151;06-dec-03;08:45:00;32.98;6.9009381997313;-0.95;11.11;1.05;8.33;0.03
18HU03075_015;STN27;47.5467;-52.5867;258028;99;06-dec-03;08:45:00;32.52;7.28693461710703;0.45;6.39;0.84;4.77;0.09
18HU03075_015;STN27;47.5467;-52.5867;258029;75;06-dec-03;08:45:00;32.31;7.2579355127631;1.55;5.04;0.76;3.64;0.09
18HU03075_015;STN27;47.5467;-52.5867;258030;51;06-dec-03;08:45:00;31.88;7.15093596059113;3.4;3.76;0.62;2.04;0.25
18HU03075_015;STN27;47.5467;-52.5867;258031;40;06-dec-03;08:45:00;31.73;7.1119368562472;3.85;3.57;0.58;1.81;0.3
18HU03075_015;STN27;47.5467;-52.5867;258032;30;06-dec-03;08:45:00;31.71;7.12393640841917;3.86;4.15;0.71;2.32;0.4
18HU03075_015;STN27;47.5467;-52.5867;258033;21;06-dec-03;08:45:00;31.67;7.11993506493507;3.91;3.18;0.54;1.81;0.44
18HU03075_015;STN27;47.5467;-52.5867;258034;10;06-dec-03;08:45:00;31.67;7.0969368562472;3.94;3.59;0.57;1.5;0.34
18HU03075_015;STN27;47.5467;-52.5867;258035;5;06-dec-03;08:45:00;31.66;7.10593596059113;3.93;3.43;0.54;1.65;0.34
18HU03075_025;SEGB-11;44;-50.8083;257431;69;20-nov-03;17:29:00;32.63;6.78293999104344;2.64;8.65;0.96;2.7;0.32
18HU03075_025;SEGB-11;44;-50.8083;257432;50;20-nov-03;17:29:00;32.63;6.79493954321541;2.66;9.33;2.02;4.39;0.26
18HU03075_025;SEGB-11;44;-50.8083;257433;40;20-nov-03;17:29:00;32.38;6.60694133452754;7.68;NaN;NaN;NaN;0.59
18HU03075_025;SEGB-11;44;-50.8083;257434;25;20-nov-03;17:29:00;32.38;6.62194133452754;7.79;2.6;0.77;1.03;0.93
18HU03075_025;SEGB-11;44;-50.8083;257435;20;20-nov-03;17:29:00;32.38;6.64493954321541;7.87;2.66;0.7;0.99;1.18
18HU03075_025;SEGB-11;44;-50.8083;257436;10;20-nov-03;17:29:00;32.38;6.68793999104344;7.99;3.22;0.91;1.17;1.52
18HU03075_025;SEGB-11;44;-50.8083;257437;5;20-nov-03;17:29:00;32.38;6.68993954321541;8.01;2.59;0.4;0.73;1.26
18HU03075_036;SEGB-12;43.6333;-50.5167;257438;64;20-nov-03;20:38:00;32.91;6.20594491715181;3.01;8.59;1.74;4.41;0.31
18HU03075_036;SEGB-12;43.6333;-50.5167;257439;50;20-nov-03;20:38:00;32.88;6.21394536497985;3.29;7.43;1.02;3;0.25
18HU03075_036;SEGB-12;43.6333;-50.5167;257440;40;20-nov-03;20:38:00;32.42;6.53194133452754;8.31;3.34;1.12;1.23;1.22
18HU03075_036;SEGB-12;43.6333;-50.5167;257441;30;20-nov-03;20:38:00;32.42;6.55894088669951;8.35;3.5;1.2;1.31;1.11
18HU03075_036;SEGB-12;43.6333;-50.5167;257442;20;20-nov-03;20:38:00;32.42;6.58694133452754;8.38;2.37;0.33;0.48;1.14
18HU03075_036;SEGB-12;43.6333;-50.5167;257443;10;20-nov-03;20:38:00;32.42;6.58394088669951;8.38;1.98;0.3;0.48;1.19
18HU03075_036;SEGB-12;43.6333;-50.5167;257444;5;20-nov-03;20:38:00;32.42;6.58994178235558;8.38;2.57;0.4;0.53;1.16
18HU03075_047;SEGB-13;43.2;-50.1667;257445;65;20-nov-03;23:33:00;32.75;6.87793775190327;2.73;6.58;0.67;2.74;1.52
18HU03075_047;SEGB-13;43.2;-50.1667;257446;50;20-nov-03;23:33:00;32.62;6.9509381997313;3.52;3.74;0.5;2.4;1.12
18HU03075_047;SEGB-13;43.2;-50.1667;257447;41;20-nov-03;23:33:00;32.58;6.98993730407524;3.83;4.26;0.68;3.49;1.84
18HU03075_047;SEGB-13;43.2;-50.1667;257448;31;20-nov-03;23:33:00;32.5;7.05793775190327;4.4;2.4;0.54;1.22;2.2
18HU03075_047;SEGB-13;43.2;-50.1667;257449;20;20-nov-03;23:33:00;32.45;7.0769368562472;6.04;2.47;0.45;1.3;2.72
18HU03075_047;SEGB-13;43.2;-50.1667;257450;10;20-nov-03;23:33:00;32.44;6.94793775190327;6.71;2.32;0.44;0.48;1.95
18HU03075_047;SEGB-13;43.2;-50.1667;257451;5;20-nov-03;23:33:00;32.44;6.91893864755934;6.79;1.74;0.37;0.48;2.17
18HU03075_058;SEGB-14;42.92;-49.9417;257452;165;21-nov-03;01:52:00;33.76;6.74693909538737;0.54;NaN;NaN;NaN;NaN
18HU03075_069;SEGB-15;42.85;-49.8867;257453;389;21-nov-03;02:44:00;34.7;6.32294223018361;3.83;8.51;1.07;11.99;NaN
18HU03075_069;SEGB-15;42.85;-49.8867;257454;151;21-nov-03;02:44:00;33.76;6.74393864755934;0.62;8.42;0.9;8.32;NaN
18HU03075_069;SEGB-15;42.85;-49.8867;257455;100;21-nov-03;02:44:00;33.6;6.83993954321541;0.36;6.95;0.83;7;0.08
18HU03075_069;SEGB-15;42.85;-49.8867;257456;76;21-nov-03;02:44:00;33.48;6.90293775190327;0.03;8.28;0.95;8.2;0.08
18HU03075_069;SEGB-15;42.85;-49.8867;257457;51;21-nov-03;02:44:00;33.3;6.96493730407524;0.33;8.21;0.94;8.1;0.17
18HU03075_069;SEGB-15;42.85;-49.8867;257458;40;21-nov-03;02:44:00;33.24;6.97493730407524;0.37;6.89;0.81;5.74;0.15
