CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU10070_1117;121;47.02483;-60.1205;344762;99.15;09-nov-10;16:15:00;33.07;2.34;265.41438;8.047;5.921;0.04;1.06;12.04;11.025;NaN;NaN;NaN;0.04;0.038
18HU10070_1117;121;47.02483;-60.1205;344763;49.38;09-nov-10;16:15:00;30.25;7.87;293.8628;8.179;6.496;0.13;0.5;2.505;4.47;NaN;NaN;NaN;0.305;0.123
18HU10070_1117;121;47.02483;-60.1205;344764;24.39;09-nov-10;16:15:00;29.94;8.78;301.63364;8.2;6.679;0.1;0.415;1.63;3.55;NaN;NaN;NaN;0.825;0.265
18HU10070_1117;121;47.02483;-60.1205;344765;15.37;09-nov-10;16:15:00;29.94;8.77;303.0181;8.199;6.682;0.105;0.415;1.625;3.63;NaN;NaN;NaN;0.71;0.265
18HU10070_1117;121;47.02483;-60.1205;344766;4.56;09-nov-10;16:15:00;29.94;8.78;302.25888;8.204;6.682;0.105;0.415;1.685;3.635;NaN;NaN;NaN;0.66;0.28
18HU10070_1117;121;47.02483;-60.1205;344767;3.07;09-nov-10;16:15:00;29.94;8.78;301.9016;8.203;6.6975;0.11;0.415;1.755;3.74;NaN;NaN;NaN;0.495;0.272
18HU10070_1118;131;46.95983;-60.21617;344768;70.2;09-nov-10;18:46:00;32.54;2.7;289.21816;8.079;6.412;0.07;0.865;8.48;7.91;NaN;NaN;NaN;0.07;0.052
18HU10070_1118;131;46.95983;-60.21617;344769;50.47;09-nov-10;18:46:00;31.16;7.19;298.50744;8.192;6.573;0.105;0.41;2.015;3.33;NaN;NaN;NaN;0.265;0.115
18HU10070_1118;131;46.95983;-60.21617;344770;24.49;09-nov-10;18:46:00;29.94;8.66;302.70548;8.198;6.67;0.095;0.415;1.455;3.26;NaN;NaN;NaN;0.75;0.276
18HU10070_1118;131;46.95983;-60.21617;344771;14.48;09-nov-10;18:46:00;29.93;8.7;304.17926;8.204;6.723;0.09333;0.41;1.28333;3.165;NaN;NaN;NaN;1.045;0.329
