CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU10070_1132;51;43.17817;-62.09667;344692;29.86;07-nov-10;16:46:00;31.93;12.24;272.426;NaN;NaN;NaN;NaN;NaN;1.44;0.11;0.45;0.355;0.58;0.218
18HU10070_1132;51;43.17817;-62.09667;344693;20.14;07-nov-10;16:46:00;31.51;11.73;285.55604;NaN;6.291;NaN;NaN;NaN;1.245;0.03;0.13;0.33;1.225;0.426
18HU10070_1132;51;43.17817;-62.09667;344694;3.27;07-nov-10;16:46:00;31.5;11.78;287.69972;NaN;6.30633340797134;NaN;NaN;NaN;1.55;0.03;0.125;0.315;1.335;0.438
18HU10070_1133;61;42.84983;-61.72667;344696;1000.06;07-nov-10;20:03:00;34.95;4.35;268.31728;NaN;6.0105;NaN;NaN;NaN;12.115;0.01;18.18;1.2;NaN;0.01
18HU10070_1133;61;42.84983;-61.72667;344697;749.83;07-nov-10;20:03:00;34.96;4.73;258.49208;NaN;5.725;NaN;NaN;NaN;11.565;0.01;18.695;1.25;NaN;0.012
18HU10070_1133;61;42.84983;-61.72667;344698;499.8;07-nov-10;20:03:00;35.01;5.85;219.86118;NaN;4.842;NaN;NaN;NaN;13.215;0.005;21.13;1.41;NaN;0.013
18HU10070_1133;61;42.84983;-61.72667;344699;250.05;07-nov-10;20:03:00;35.39;11.02;154.7469;NaN;NaN;NaN;NaN;NaN;11.03;0.01;21.865;1.41;NaN;0.013
18HU10070_1133;61;42.84983;-61.72667;344700;99.48;07-nov-10;20:03:00;35.32;12.93;182.92736;NaN;NaN;NaN;NaN;NaN;6.39;0.015;12.575;0.885;0.045;0.032
18HU10070_1133;61;42.84983;-61.72667;344701;79.65;07-nov-10;20:03:00;34.88;11.93;198.02244;NaN;NaN;NaN;NaN;NaN;6.45;0.015;11.47;0.88;0.045;0.034
18HU10070_1133;61;42.84983;-61.72667;344702;59.62;07-nov-10;20:03:00;34.89;14.13;208.91948;NaN;NaN;NaN;NaN;NaN;3.975;0.045;6.86;0.59;0.175;0.086
18HU10070_1133;61;42.84983;-61.72667;344703;49.5;07-nov-10;20:03:00;34.42;14.65;222.71942;NaN;NaN;NaN;NaN;NaN;3.19;0.09;4.625;0.465;0.23;0.111
18HU10070_1133;61;42.84983;-61.72667;344704;39.38;07-nov-10;20:03:00;32.58;13.45;269.88038;NaN;NaN;NaN;NaN;NaN;1.71;0.035;0.325;0.25;0.48;0.2
18HU10070_1133;61;42.84983;-61.72667;344705;30.26;07-nov-10;20:03:00;32.4;13.45;275.68618;NaN;6.061;NaN;NaN;NaN;1.555;0.02;0.07;0.23;0.765;0.285
18HU10070_1133;61;42.84983;-61.72667;344706;19.84;07-nov-10;20:03:00;32.36;13.47;276.49006;NaN;6.067;NaN;NaN;NaN;1.65;0.01;0.045;0.225;0.72;0.288
18HU10070_1133;61;42.84983;-61.72667;344707;9.62;07-nov-10;20:03:00;32.34;13.47;277.24928;NaN;6.061;NaN;NaN;NaN;1.565;0.015;0.03;0.23;0.74;0.284
18HU10070_1133;61;42.84983;-61.72667;344708;3.97;07-nov-10;20:03:00;32.34;13.47;277.96384;NaN;6.136;NaN;NaN;NaN;1.625;0.015;0.05;0.23;0.705;0.281
18HU10070_1134;641;47.67033;-59.87;345146;521.04;16-nov-10;08:54:00;34.89;5.38;183.106;7.992;4.0725;0.02;1.475;21.425;25.895;NaN;NaN;NaN;NaN;0.023
18HU10070_1134;641;47.67033;-59.87;345147;499.28;16-nov-10;08:54:00;34.89;5.37;181.49824;7.987;4.031;0.015;1.505;21.555;26.32;NaN;NaN;NaN;NaN;0.025
18HU10070_1134;641;47.67033;-59.87;345148;399.84;16-nov-10;08:54:00;34.86;5.48;172.07498;7.977;3.807;0.01;1.525;21.84;25.49;NaN;NaN;NaN;NaN;0.023
18HU10070_1134;641;47.67033;-59.87;345149;300.05;16-nov-10;08:54:00;34.77;6.24;157.73912;7.975;3.491;0.01;1.52;22.21;20.875;NaN;NaN;NaN;NaN;0.023
18HU10070_1134;641;47.67033;-59.87;345150;200.21;16-nov-10;08:54:00;34.37;6.09;178.01476;7.994;3.959;0.02;1.33;18.565;16.105;NaN;NaN;NaN;NaN;0.025
18HU10070_1134;641;47.67033;-59.87;345151;100.23;16-nov-10;08:54:00;32.76;1.23;306.5909;8.095;6.877;0.02;0.87;8.335;6.205;NaN;NaN;NaN;0.045;0.038
18HU10070_1134;641;47.67033;-59.87;345152;49.97;16-nov-10;08:54:00;32.18;2.64;297.83754;8.099;6.661;0.025;0.805;6.955;6.215;NaN;NaN;NaN;0.08;0.055
18HU10070_1134;641;47.67033;-59.87;345153;25.38;16-nov-10;08:54:00;31.23;7.02;300.51714;8.195;6.584;0.135;0.44;2.23;3.195;NaN;NaN;NaN;0.25;0.119
18HU10070_1134;641;47.67033;-59.87;345154;14.58;16-nov-10;08:54:00;30.44;7.37;313.82582;8.22;6.921;0.09;0.38;1.375;2.805;NaN;NaN;NaN;1.235;0.437
18HU10070_1134;641;47.67033;-59.87;345155;4.66;16-nov-10;08:54:00;30.44;7.36;314.31708;8.215;6.933;0.085;0.37;1.31;2.87;NaN;NaN;NaN;1.265;0.416
18HU10070_1134;641;47.67033;-59.87;345156;1.39;16-nov-10;08:54:00;30.44;7.36;315.43358;8.211;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.26;0.42
18HU10070_1135;71;42.5245;-61.40367;344709;2695.2;08-nov-10;01:52:00;34.92;2.86;273.94444;NaN;6.287;NaN;NaN;NaN;17.465;0.005;17.76;1.2;NaN;0.009
18HU10070_1135;71;42.5245;-61.40367;344710;1998.75;08-nov-10;01:52:00;34.94;3.47;271.5328;NaN;NaN;NaN;NaN;NaN;14.3;0.005;18.145;1.205;NaN;0.009
18HU10070_1135;71;42.5245;-61.40367;344711;1501.25;08-nov-10;01:52:00;34.95;3.91;269.43378;NaN;6.092;NaN;NaN;NaN;12.625;0;18.17;1.22;NaN;0.012
18HU10070_1135;71;42.5245;-61.40367;344712;997.92;08-nov-10;01:52:00;34.95;4.29;268.54058;NaN;6.012;NaN;NaN;NaN;11.505;0.005;18.075;1.22;NaN;0.009
18HU10070_1135;71;42.5245;-61.40367;344713;500.31;08-nov-10;01:52:00;34.96;5.5;228.39124;NaN;NaN;NaN;NaN;NaN;13.015;0.005;20.255;1.37;NaN;0.014
18HU10070_1135;71;42.5245;-61.40367;344714;248.97;08-nov-10;01:52:00;35.42;11.25;165.50996;NaN;3.6425;NaN;NaN;NaN;10.775;0.01;20.085;1.295;NaN;0.014
18HU10070_1135;71;42.5245;-61.40367;344715;99.39;08-nov-10;01:52:00;35.83;14.55;185.7856;NaN;NaN;NaN;NaN;NaN;5.515;0.015;11.64;0.765;0.015;0.019
18HU10070_1135;71;42.5245;-61.40367;344716;79.35;08-nov-10;01:52:00;35.9;15.19;184.84774;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.033
18HU10070_1135;71;42.5245;-61.40367;344717;59.22;08-nov-10;01:52:00;35.72;15.74;190.6982;NaN;4.21;NaN;NaN;NaN;3.525;0.025;7.055;0.535;0.19;0.09
18HU10070_1135;71;42.5245;-61.40367;344718;49.2;08-nov-10;01:52:00;35.42;16.11;202.35446;NaN;NaN;NaN;NaN;NaN;3.035;0.04;4.94;0.435;0.26;0.118
18HU10070_1135;71;42.5245;-61.40367;344719;38.99;08-nov-10;01:52:00;33.51;14.26;244.20088;NaN;NaN;NaN;NaN;NaN;2.515;0.12;2.125;0.355;0.365;0.163
18HU10070_1135;71;42.5245;-61.40367;344720;29.86;08-nov-10;01:52:00;32.55;14.08;270.8629;NaN;NaN;NaN;NaN;NaN;1.47;0.015;0.075;0.23;0.61;0.299
18HU10070_1135;71;42.5245;-61.40367;344721;19.54;08-nov-10;01:52:00;32.54;14.06;271.13086;NaN;5.915;NaN;NaN;NaN;1.505;0.015;0.06;0.22;0.635;0.284
18HU10070_1135;71;42.5245;-61.40367;344722;8.43;08-nov-10;01:52:00;32.55;14.08;272.29202;NaN;NaN;NaN;NaN;NaN;1.565;0.015;0.07;0.22;0.66;0.272
18HU10070_1135;71;42.5245;-61.40367;344723;2.18;08-nov-10;01:52:00;32.55;14.08;271.9794;NaN;5.974;NaN;NaN;NaN;1.625;0.015;0.04;0.22;0.61;0.272
18HU10070_1136;81;47.58217;-59.34417;344724;259.65;09-nov-10;05:19:00;34.79;6.8;165.50996;8.016;3.7075;0.035;1.43;21.125;18.095;NaN;NaN;NaN;NaN;0.025
18HU10070_1136;81;47.58217;-59.34417;344725;199.42;09-nov-10;05:19:00;34.09;5.22;209.72336;8.036;4.778;0.02;1.22;16.355;13.775;NaN;NaN;NaN;NaN;0.034
18HU10070_1136;81;47.58217;-59.34417;344726;99.54;09-nov-10;05:19:00;32.66;1.66;312.30738;8.136;7.148;0.055;0.805;7.155;5.52;NaN;NaN;NaN;0.045;0.041
18HU10070_1136;81;47.58217;-59.34417;344727;48.78;09-nov-10;05:19:00;32.04;4.91;312.21806;8.201;6.914;0.19;0.555;3.765;3.04;NaN;NaN;NaN;0.22;0.106
18HU10070_1136;81;47.58217;-59.34417;344728;25.09;09-nov-10;05:19:00;31.54;7.17;311.5035;8.24;6.889;0.155;0.37;1.38;1.87;NaN;NaN;NaN;0.61;0.198
18HU10070_1136;81;47.58217;-59.34417;344729;14.68;09-nov-10;05:19:00;31.47;7.31;312.79864;8.229;6.879;0.145;0.365;1.34;1.835;NaN;NaN;NaN;0.575;0.198
18HU10070_1136;81;47.58217;-59.34417;344730;4.66;09-nov-10;05:19:00;31.46;7.32;313.24524;8.219;6.896;0.16;0.37;1.415;2.015;NaN;NaN;NaN;0.64;0.2
18HU10070_1136;81;47.58217;-59.34417;344731;1.39;09-nov-10;05:19:00;31.45;7.32;313.55786;8.214;6.886;0.165;0.37;1.42;1.965;NaN;NaN;NaN;0.6;0.189
18HU10070_1137;91;47.435;-59.55933;344732;463.47;09-nov-10;07:36:00;34.87;5.33;174.53128;7.958;3.8635;0.02;1.545;21.665;26.73;NaN;NaN;NaN;NaN;0.025
18HU10070_1137;91;47.435;-59.55933;344733;399.35;09-nov-10;07:36:00;34.86;5.3;167.83228;7.944;3.703;0.015;1.585;21.875;30.35;NaN;NaN;NaN;NaN;0.025
18HU10070_1137;91;47.435;-59.55933;344734;299.56;09-nov-10;07:36:00;34.87;6.45;167.16238;7.988;3.708;0.025;1.445;21.225;18.5;NaN;NaN;NaN;NaN;0.021
18HU10070_1137;91;47.435;-59.55933;344735;199.62;09-nov-10;07:36:00;34.49;6.3;168.1449;7.965;3.734;0.015;1.375;19.88;17.71;NaN;NaN;NaN;NaN;0.027
18HU10070_1137;91;47.435;-59.55933;344736;100.63;09-nov-10;07:36:00;32.9;1.56;287.02982;8.048;6.465;0.02;0.955;10.115;8.7;NaN;NaN;NaN;0.025;0.034
18HU10070_1137;91;47.435;-59.55933;344737;49.18;09-nov-10;07:36:00;32.31;2.51;310.87826;8.114;6.994;0.035;0.705;5.795;4.41;NaN;NaN;NaN;0.07;0.056
18HU10070_1137;91;47.435;-59.55933;344738;24.49;09-nov-10;07:36:00;31.38;6.93;306.68022;8.193;6.803;0.1;0.395;1.685;2.5;NaN;NaN;NaN;0.39;0.147
18HU10070_1137;91;47.435;-59.55933;344739;14.97;09-nov-10;07:36:00;31.13;7.67;310.02972;8.196;6.831;0.075;0.35;1.17;2.55;NaN;NaN;NaN;0.655;0.259
18HU10070_1137;91;47.435;-59.55933;344740;4.76;09-nov-10;07:36:00;31.08;7.76;310.74428;8.193;6.839;0.075;0.34;1.1;2.395;NaN;NaN;NaN;0.835;0.305
18HU10070_1137;91;47.435;-59.55933;344741;1.59;09-nov-10;07:36:00;31.09;7.76;310.69962;8.189;6.849;0.07;0.33;1.035;2.27667;NaN;NaN;NaN;0.845;0.3
