CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU94030_003;CAST#1;40.41783;-50.30417;150754;204.34;16-oct-94;14:26:00;206.024;36.5852;18.4247;4.84201007613077;0.58899;0.17103;3.53253
18HU94030_003;CAST#1;40.41783;-50.30417;150755;109.75;16-oct-94;14:26:00;110.631;36.6802;20.9766;4.57101007613077;-0.134;0.113;2.14853
18HU94030_003;CAST#1;40.41783;-50.30417;150756;12.1;16-oct-94;14:26:00;12.195;36.2517;23.5146;4.90601007613077;-0.294;0.04046;0.34351
18HU94030_014;CAST#1;40.08067;-50.2965;150757;5395.93;16-oct-94;19:16:00;5507.432;34.8876;2.2739;6.148;38.089;1.38105;21.41948
18HU94030_014;CAST#1;40.08067;-50.2965;150758;5293.43;16-oct-94;19:16:00;5401.542;34.8871;2.2589;5.46966995073892;29.36598;1.28205;20.21405
18HU94030_014;CAST#1;40.08067;-50.2965;150759;5066.24;16-oct-94;19:16:00;5167.028;34.8912;2.2617;6.175;35.71201;1.38998;21.27098
18HU94030_014;CAST#1;40.08067;-50.2965;150760;4527.03;16-oct-94;19:16:00;4611.367;34.8996;2.2623;6.274;32.00906;1.29899;20.01152
18HU94030_014;CAST#1;40.08067;-50.2965;150761;4217.1;16-oct-94;19:16:00;4292.585;34.9068;2.2785;6.299;29.56154;1.28145;19.75506
18HU94030_014;CAST#1;40.08067;-50.2965;150762;3740.95;16-oct-94;19:16:00;3803.69;34.9196;2.3984;6.364;22.61856;1.24053;19.31698
18HU94030_014;CAST#1;40.08067;-50.2965;150763;3376.17;16-oct-94;19:16:00;3429.869;34.932;2.5865;6.359;21.76757;1.22454;19.39
