CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU04061_730;11;46.95783;-60.2175;278501;74.96;02-nov-04;23:07:00;32.06;1.72;255.94646;6.255;0.1;1.09;10.83;14.285;0.12;0.424
18HU04061_730;11;46.95783;-60.2175;278502;50.47;02-nov-04;23:07:00;31.1;2.67;250.05134;5.556;0.105;1.09;9.615;14.06;0.09;0.462
18HU04061_730;11;46.95783;-60.2175;278503;24.49;02-nov-04;23:07:00;29.29;9.38;280.55412;6.189;0.075;0.45;2.875;4.395;0.59;1.834
18HU04061_730;11;46.95783;-60.2175;278504;14.78;02-nov-04;23:07:00;29.11;9.82;283.76964;6.272;0.06;0.46;1.55;NaN;0.8;2.622
18HU04061_730;11;46.95783;-60.2175;278505;5.45;02-nov-04;23:07:00;29.1;9.83;285.73468;6.28;0.055;0.45;1.555;3.885;0.725;2.419
18HU04061_730;11;46.95783;-60.2175;278506;2.88;02-nov-04;23:07:00;29.1;9.82;285.95798;6.28;0.065;0.43;1.5;4.22;0.9;2.364
18HU04061_731;21;47.02317;-60.114;278507;178.33;03-nov-04;00:54:00;34.21;4.7;149.52168;3.201;0.05;1.69;21.4;27.435;NaN;0.29
18HU04061_731;21;47.02317;-60.114;278508;103.61;03-nov-04;00:54:00;32.57;1.38;302.08024;6.876;0.03;0.935;8.125;6.08;0.045;0.298
18HU04061_731;21;47.02317;-60.114;278509;49.98;03-nov-04;00:54:00;31.84;7.54;297.8822;6.614;0.16;0.49;1.255;1.605;0.215;0.871
18HU04061_731;21;47.02317;-60.114;278510;25.78;03-nov-04;00:54:00;30.77;8.79;296.81036;6.573;0.06;0.405;0.705;2.015;1.005;2.987
18HU04061_731;21;47.02317;-60.114;278511;15.37;03-nov-04;00:54:00;30.31;8.93;295.02396;6.542;0.055;0.405;0.945;2.65;0.895;2.715
18HU04061_731;21;47.02317;-60.114;278512;5.55;03-nov-04;00:54:00;29.09;9.98;290.02204;6.348;0.215;0.4;1.335;3.42;0.75;2.139
18HU04061_731;21;47.02317;-60.114;278513;3.27;03-nov-04;00:54:00;29.05;9.95;288.36962;6.355;0.065;0.4;1.42;3.455;0.805;2.132
18HU04061_732;31;47.1005;-59.99117;278514;321.06;03-nov-04;02:30:00;34.81;5.36;166.71578;3.7335;0.025;1.5;22.065;27.72;NaN;0.247
18HU04061_732;31;47.1005;-59.99117;278515;295.11;03-nov-04;02:30:00;34.8;5.5;157.6498;3.547;0.02;1.46;22.38;28.37;NaN;0.246
18HU04061_732;31;47.1005;-59.99117;278516;201.61;03-nov-04;02:30:00;34;4.3;153.09448;3.394;0.1;1.515;20.92;25.7;NaN;0.3
18HU04061_732;31;47.1005;-59.99117;278517;100.43;03-nov-04;02:30:00;32.7;1.11;303.2414;7.441;0.015;0.96;8.825;6.9;0.035;0.288
18HU04061_732;31;47.1005;-59.99117;278518;49.88;03-nov-04;02:30:00;32.27;3.7;311.86078;6.997;0.265;0.625;3.53;2.91;0.095;0.525
18HU04061_732;31;47.1005;-59.99117;278519;25.29;03-nov-04;02:30:00;31.67;8.47;299.13268;6.626;0.06;0.345;0.305;1.16;0.655;2.526
18HU04061_732;31;47.1005;-59.99117;278520;15.27;03-nov-04;02:30:00;31.65;8.49;298.73074;6.617;0.04;0.36;0.33;1.4;0.67;2.652
18HU04061_732;31;47.1005;-59.99117;278521;5.55;03-nov-04;02:30:00;31.33;8.69;298.28414;6.598;0.085;0.365;0.54;1.36;0.75;2.687
18HU04061_732;31;47.1005;-59.99117;278522;2.98;03-nov-04;02:30:00;31.34;8.69;298.28414;6.604;0.04;0.36667;0.465;1.35;0.785;2.702
18HU04061_733;41;47.2715;-59.78667;278523;448.94;03-nov-04;05:02:00;34.84;5.11;181.3196;4.07;0.02;1.485;20.865;29.345;NaN;0.257
18HU04061_733;41;47.2715;-59.78667;278524;398.07;03-nov-04;05:02:00;34.83;5.25;173.01284;3.96;0.01;1.48;20.31;26.605;NaN;0.248
18HU04061_733;41;47.2715;-59.78667;278525;295.01;03-nov-04;05:02:00;34.72;5.94;146.52946;0.909;0.02;1.61;22.565;23.895;NaN;0.261
18HU04061_733;41;47.2715;-59.78667;278526;201.01;03-nov-04;05:02:00;34.12;4.85;147.46732;3.965;0.015;1.4;19.335;19.975;NaN;0.287
