CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
89037_182;26;42.68;-48.56;66536;494;22-jan-90;01:03:00;499;5.093;34.997;5.604;11.18;1.24;18.21
89037_182;26;42.68;-48.56;66537;246;22-jan-90;01:03:00;248;7.164;35.004;4.11;13.73;1.51;23.24
89037_182;26;42.68;-48.56;66538;97;22-jan-90;01:03:00;98;10.022;35.021;4.549;7.11;1.03;14.7
89037_182;26;42.68;-48.56;66539;50;22-jan-90;01:03:00;50;7.189;33.924;6.663;3.13;0.54;5.52
89037_182;26;42.68;-48.56;66540;14;22-jan-90;01:03:00;14;7.191;33.926;6.681;3.07;0.52;5.41
89037_193;27;43;-50.26;66541;69;22-jan-90;08:49:00;70;0.32;33.24;7.819;6.47;0.81;7.67
89037_193;27;43;-50.26;66542;69;22-jan-90;08:49:00;70;0.32;33.24;7.787;6.61;0.78;7.65
89037_193;27;43;-50.26;66543;55;22-jan-90;08:49:00;55;0.724;33.123;7.767;5.85;0.73;6.56
89037_193;27;43;-50.26;66544;55;22-jan-90;08:49:00;55;0.724;33.123;7.756;6.03;0.76;6.66
89037_193;27;43;-50.26;66545;17;22-jan-90;08:49:00;17;3.883;32.566;7.44;3.61;0.46;2.07
89037_204;28;42.83;-50.26;66546;542;22-jan-90;10:28:00;547;3.219;34.72;6.573;9.91;1.1;15.99
89037_204;28;42.83;-50.26;66547;148;22-jan-90;10:28:00;149;0.115;33.538;7.535;8;0.89;9.53
89037_204;28;42.83;-50.26;66548;100;22-jan-90;10:28:00;101;-0.221;33.316;7.828;6.68;0.83;7.92
89037_204;28;42.83;-50.26;66549;56;22-jan-90;10:28:00;56;0.698;NaN;7.813;5.29;0.69;5.46
89037_204;28;42.83;-50.26;66550;17;22-jan-90;10:28:00;17;2.01;32.734;7.736;4.38;0.61;4.08
89037_215;29;42.65;-50.28;66551;1791;22-jan-90;13:03:00;1813;3.255;34.853;6.682;9.96;1.09;16.42
89037_215;29;42.65;-50.28;66552;1652;22-jan-90;13:03:00;1672;3.259;34.837;6.72;9.86;1.12;16.49
89037_215;29;42.65;-50.28;66553;1382;22-jan-90;13:03:00;1398;3.336;34.833;6.69;9.55;1.15;16.59
89037_215;29;42.65;-50.28;66554;1171;22-jan-90;13:03:00;1184;3.341;34.825;6.683;9.35;1.11;16.64
89037_215;29;42.65;-50.28;66555;963;22-jan-90;13:03:00;973;3.4;34.815;6.654;9.28;1.11;16.29
89037_215;29;42.65;-50.28;66556;738;22-jan-90;13:03:00;745;3.511;34.799;6.603;9.46;1.12;16.43
89037_215;29;42.65;-50.28;66557;501;22-jan-90;13:03:00;506;3.525;34.754;6.514;9.73;1.1;16.4
89037_215;29;42.65;-50.28;66558;257;22-jan-90;13:03:00;259;2.06;34.29;6.55;11.2;1.06;14.55
89037_215;29;42.65;-50.28;66559;106;22-jan-90;13:03:00;107;0.106;33.611;NaN;6.72;0.79;7.82
89037_215;29;42.65;-50.28;66560;17;22-jan-90;13:03:00;17;-0.343;33.145;8.109;6.11;0.76;7.13
89037_226;30;42.5;-50.27;66561;2204;22-jan-90;15:43:00;2233;3.144;34.925;6.39;13.21;1.12;16.75
89037_226;30;42.5;-50.27;66562;1620;22-jan-90;15:43:00;1639;3.364;34.862;6.639;9.94;1.09;16.11
89037_226;30;42.5;-50.27;66563;1426;22-jan-90;15:43:00;1442;3.223;34.837;6.72;9.56;1.06;16.29
89037_226;30;42.5;-50.27;66564;1191;22-jan-90;15:43:00;1204;3.205;34.827;6.742;9.36;1.07;16.22
89037_226;30;42.5;-50.27;66565;970;22-jan-90;15:43:00;980;3.221;34.825;6.735;9.33;1.07;16.41
89037_226;30;42.5;-50.27;66566;748;22-jan-90;15:43:00;755;3.275;34.828;6.671;9.6;1.06;16.68
89037_226;30;42.5;-50.27;66567;498;22-jan-90;15:43:00;503;3.378;34.816;NaN;9.3;1.08;16.59
89037_226;30;42.5;-50.27;66568;254;22-jan-90;15:43:00;256;3.321;34.655;NaN;9.64;1.06;15.71
89037_226;30;42.5;-50.27;66569;100;22-jan-90;15:43:00;101;1.171;33.899;7.607;5.78;0.78;9.95
89037_226;30;42.5;-50.27;66570;16;22-jan-90;15:43:00;16;-0.214;33.147;8.107;6.01;0.78;7.4
89037_237;31;42.33;-50.2;66571;2921;22-jan-90;20:13:00;2965;2.587;34.915;6.452;14.85;1.09;16.54
89037_237;31;42.33;-50.2;66572;2460;22-jan-90;20:13:00;2494;2.96;34.926;6.406;13.38;1.11;16.75
89037_237;31;42.33;-50.2;66573;1897;22-jan-90;20:13:00;1921;3.538;34.926;6.379;12.04;1.15;17.21
89037_237;31;42.33;-50.2;66574;1457;22-jan-90;20:13:00;1474;3.581;34.91;6.419;11.13;1.14;17.48
89037_237;31;42.33;-50.2;66575;947;22-jan-90;20:13:00;957;3.157;34.828;6.79;9.35;1.08;16.32
89037_237;31;42.33;-50.2;66576;738;22-jan-90;20:13:00;745;3.214;34.829;6.76;9.31;1.09;16.59
89037_237;31;42.33;-50.2;66577;505;22-jan-90;20:13:00;510;4.349;34.978;5.853;11.48;1.22;18.56
89037_237;31;42.33;-50.2;66578;269;22-jan-90;20:13:00;271;4.9;34.907;5.392;11.71;1.28;19.41
89037_237;31;42.33;-50.2;66579;106;22-jan-90;20:13:00;107;1.375;33.993;7.505;5.75;0.78;10.63
89037_237;31;42.33;-50.2;66580;16;22-jan-90;20:13:00;16;2.359;NaN;7.663;4.91;0.67;5.97
89037_239;32;42.16;-50.23;66581;3217;22-jan-90;23:40:00;3268;2.174;34.899;6.425;NaN;NaN;NaN
89037_239;32;42.16;-50.23;66582;2500;22-jan-90;23:40:00;2535;3.123;34.933;6.336;13.7;1.12;16.84
89037_239;32;42.16;-50.23;66583;2000;22-jan-90;23:40:00;2026;3.427;34.923;6.382;11.84;1.13;17.31
89037_239;32;42.16;-50.23;66584;1500;22-jan-90;23:40:00;1517;3.202;34.856;6.729;10.01;1.08;16.55
89037_239;32;42.16;-50.23;66585;999;22-jan-90;23:40:00;1009;3.283;34.851;6.692;9.32;1.07;16.55
89037_239;32;42.16;-50.23;66586;754;22-jan-90;23:40:00;761;3.696;34.876;6.432;9.76;1.19;17.12
89037_239;32;42.16;-50.23;66587;504;22-jan-90;23:40:00;509;3.956;34.83;6.226;12.25;1.13;17.54
89037_239;32;42.16;-50.23;66588;260;22-jan-90;23:40:00;262;7.262;34.984;4.039;13.64;1.47;22.66
89037_239;32;42.16;-50.23;66589;107;22-jan-90;23:40:00;108;8.841;34.852;4.563;8.56;1.04;15.77
89037_239;32;42.16;-50.23;66590;20;22-jan-90;23:40:00;20;4.93;33.01;7.219;3.61;0.55;3.85
89037_243;33;42;-50.22;66591;3547;23-jan-90;03:27:00;3605;2.229;34.903;6.472;18.8;1.21;16.38
89037_243;33;42;-50.22;66592;2993;23-jan-90;03:27:00;3038;2.561;34.919;6.412;15.64;1.1;16.92
89037_243;33;42;-50.22;66593;2462;23-jan-90;03:27:00;2496;3.133;34.934;6.337;13.61;1.12;17.21
89037_243;33;42;-50.22;66594;1673;23-jan-90;03:27:00;1693;3.659;34.946;6.083;12.2;1.2;17.45
89037_243;33;42;-50.22;66595;1002;23-jan-90;03:27:00;1012;3.299;34.837;6.67;9.31;1.09;16.62
89037_243;33;42;-50.22;66596;756;23-jan-90;03:27:00;763;3.438;34.823;6.568;10.27;1.11;16.84
89037_243;33;42;-50.22;66597;501;23-jan-90;03:27:00;506;5.516;35.025;5.047;13.03;1.34;20.84
89037_243;33;42;-50.22;66598;245;23-jan-90;03:27:00;247;9.376;35.22;3.263;14.02;1.58;24.67
89037_243;33;42;-50.22;66599;103;23-jan-90;03:27:00;104;13.374;35.448;4.759;3.92;0.63;9.09
89037_243;33;42;-50.22;66600;16;23-jan-90;03:27:00;16;6.073;33.328;7.055;3.77;0.55;3.73
89037_244;34;41.68;-50.25;66601;3866;23-jan-90;08:31:00;3933;2.218;34.898;6.349;23.07;1.22;17.58
89037_244;34;41.68;-50.25;66602;3435;23-jan-90;08:31:00;3491;2.251;34.903;6.345;21.82;1.23;17.46
89037_244;34;41.68;-50.25;66603;2934;23-jan-90;08:31:00;2978;2.588;34.922;6.355;16.64;1.15;16.95
89037_244;34;41.68;-50.25;66604;1966;23-jan-90;08:31:00;1991;3.535;34.955;6.183;13.67;1.22;17.58
89037_244;34;41.68;-50.25;66605;966;23-jan-90;08:31:00;976;4.392;34.99;5.89;11.34;1.18;18.05
89037_244;34;41.68;-50.25;66606;741;23-jan-90;08:31:00;748;4.887;35.006;5.576;12.34;1.31;19.5
89037_244;34;41.68;-50.25;66607;474;23-jan-90;08:31:00;478;6.546;NaN;NaN;13.82;1.49;22.76
89037_244;34;41.68;-50.25;66608;243;23-jan-90;08:31:00;245;10.966;35.347;3.415;10.84;1.36;21.41
89037_244;34;41.68;-50.25;66609;93;23-jan-90;08:31:00;94;13.138;35.265;5.725;3.54;0.41;5.41
89037_244;34;41.68;-50.25;66610;14;23-jan-90;08:31:00;14;13.15;35.249;5.742;2.57;0.45;5.46
89037_247;35;41.34;-50.23;66611;3640;23-jan-90;13:18:00;3701;2.184;34.9;6.45;20.82;1.18;17.29
89037_247;35;41.34;-50.23;66612;3489;23-jan-90;13:18:00;3546;2.251;34.903;6.395;21.1;1.16;18.76
89037_247;35;41.34;-50.23;66613;2983;23-jan-90;13:18:00;3028;2.672;34.922;6.389;14.81;1.11;16.33
89037_247;35;41.34;-50.23;66614;1993;23-jan-90;13:18:00;2018;3.587;34.965;6.173;13.71;1.19;17.49
89037_247;35;41.34;-50.23;66615;981;23-jan-90;13:18:00;991;4.47;35.005;5.864;13.26;1.26;21.28
89037_247;35;41.34;-50.23;66616;750;23-jan-90;13:18:00;757;5.004;35.014;5.484;NaN;NaN;NaN
89037_247;35;41.34;-50.23;66617;498;23-jan-90;13:18:00;503;6.504;35.027;4.433;13.81;1.48;22.69
89037_247;35;41.34;-50.23;66618;255;23-jan-90;13:18:00;257;10.988;35.36;3.471;10.26;1.34;20.19
89037_247;35;41.34;-50.23;66619;105;23-jan-90;13:18:00;106;12.567;NaN;5.803;2.62;0.41;5.73
89037_247;35;41.34;-50.23;66620;16;23-jan-90;13:18:00;16;5.48;33.054;7.208;3.12;0.55;3.65
89037_253;36;41;-50.21;66621;3789;23-jan-90;18:02:00;3853;2.218;34.901;6.466;18.51;1.18;17.12
