CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
89037_277;43;38.53;-50.25;66696;730;25-jan-90;18:09:00;737;13.278;35.687;4.121;5.55;0.8;13.61
89037_277;43;38.53;-50.25;66697;484;25-jan-90;18:09:00;488;16.735;36.287;4.316;2.54;0.36;7.47
89037_277;43;38.53;-50.25;66698;246;25-jan-90;18:09:00;248;18.643;36.546;4.736;1.35;0.16;2.75
89037_277;43;38.53;-50.25;66699;102;25-jan-90;18:09:00;103;19.167;36.525;5.21;0.8;0.07;0.93
89037_277;43;38.53;-50.25;66700;17;25-jan-90;18:09:00;17;19.198;36.526;5.273;0.93;0.06;0.79
89037_278;44;38.02;-50.25;66701;5405;25-jan-90;23:56:00;5516;2.278;34.88;6.003;39.15;1.35;21.18
89037_278;44;38.02;-50.25;66702;4984;25-jan-90;23:56:00;5081;2.304;34.904;6.109;30.73;1.33;19.7
89037_278;44;38.02;-50.25;66703;4480;25-jan-90;23:56:00;4562;2.327;34.901;6.193;29.2;1.31;19.27
89037_278;44;38.02;-50.25;66704;1963;25-jan-90;23:56:00;1987;3.95;34.969;NaN;12.19;1.18;18.03
89037_278;44;38.02;-50.25;66705;972;25-jan-90;23:56:00;982;7.613;35.123;4.176;12.86;1.4;21.61
89037_278;44;38.02;-50.25;66706;718;25-jan-90;23:56:00;725;12.35;35.6;4.069;7.26;0.99;16.49
89037_278;44;38.02;-50.25;66707;476;25-jan-90;23:56:00;480;15.924;36.161;4.536;2.85;0.47;8.3
89037_278;44;38.02;-50.25;66708;243;25-jan-90;23:56:00;245;18.302;36.526;4.597;1.4;0.2;3.93
89037_278;44;38.02;-50.25;66709;102;25-jan-90;23:56:00;103;19.229;36.557;5.085;NaN;NaN;NaN
89037_278;44;38.02;-50.25;66710;17;25-jan-90;23:56:00;17;19.273;36.554;5.276;NaN;NaN;NaN
89037_315;7;43.99;-49.2;66331;49;13-jan-90;06:26:00;49;-0.122;33.248;8.112;6.71;0.75;7.83
89037_315;7;43.99;-49.2;66332;46;13-jan-90;06:26:00;46;-0.121;33.229;7.939;NaN;NaN;NaN
89037_315;7;43.99;-49.2;66333;46;13-jan-90;06:26:00;46;-0.121;33.228;7.922;6.49;0.76;7.81
89037_315;7;43.99;-49.2;66334;12;13-jan-90;06:26:00;12;-0.014;33.166;7.977;6.5;0.73;7.45
89037_315;7;43.99;-49.2;66335;13;13-jan-90;06:26:00;13;-0.013;33.166;8.004;6.27;0.71;7.36
89037_326;8;43.9;-49.16;66336;138;13-jan-90;08:35:00;139;0.306;33.672;7.452;8.12;0.77;10.09
89037_326;8;43.9;-49.16;66337;138;13-jan-90;08:35:00;139;0.306;33.678;7.459;7.69;0.77;10.21
89037_326;8;43.9;-49.16;66338;106;13-jan-90;08:35:00;107;0.231;33.644;7.454;7.9;0.76;9.98
89037_326;8;43.9;-49.16;66339;57;13-jan-90;08:35:00;57;0.049;NaN;7.586;7.59;0.7;9.74
89037_326;8;43.9;-49.16;66340;18;13-jan-90;08:35:00;18;-0.114;33.334;7.853;7.18;0.69;8.57
89037_339;9;43.86;-48.98;66341;414;13-jan-90;10:32:00;418;3.253;34.679;6.482;10.64;0.95;16.1
89037_339;9;43.86;-48.98;66342;382;13-jan-90;10:32:00;385;3.229;34.651;6.465;10.88;0.95;16.05
89037_339;9;43.86;-48.98;66343;305;13-jan-90;10:32:00;308;2.467;34.436;6.415;11.7;0.96;15.49
89037_339;9;43.86;-48.98;66344;203;13-jan-90;10:32:00;205;1.569;34.189;6.593;10.66;0.82;12.34
89037_339;9;43.86;-48.98;66345;108;13-jan-90;10:32:00;109;0.73;33.858;7.387;7.54;0.7;10.7
89037_339;9;43.86;-48.98;66346;58;13-jan-90;10:32:00;58;0.264;33.66;7.785;6.46;0.65;9.37
89037_339;9;43.86;-48.98;66347;18;13-jan-90;10:32:00;18;-0.001;33.465;7.813;6.92;0.64;8.48
