CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU15041_1479;141;47.01733;-60.12633;417326;24.89;20-oct-15;20:03:00;29.24;11.95;269.43378;8.211;NaN;2.615;0.08;0.485;0.34;1.655;0.11
18HU15041_1479;141;47.01733;-60.12633;417327;14.87;20-oct-15;20:03:00;29.12;12.18;272.2027;8.221;NaN;2.54;0.075;0.415;0.335;2.02;0.116
18HU15041_1479;141;47.01733;-60.12633;417328;5.06;20-oct-15;20:03:00;29.11;12.2;272.47066;8.217;6.2275;2.545;0.08;0.395;0.33;2.425;0.119
18HU15041_1479;141;47.01733;-60.12633;417329;2.18;20-oct-15;20:03:00;29.11;12.2;272.82794;8.217;NaN;2.6;0.07667;0.455;0.32667;2.025;0.118
18HU15041_1480;151;46.95817;-60.21767;417330;70.2;20-oct-15;22:38:00;31.88;1.94;278.9017;7.974;6.3015;10.25;0.2;8.155;1.095;0.145;0.04
18HU15041_1480;151;46.95817;-60.21767;417331;50.47;20-oct-15;22:38:00;30.72;6.62;267.78136;8.07;6.0315;6.055;0.245;3.525;0.715;0.295;0.055
18HU15041_1480;151;46.95817;-60.21767;417332;25.19;20-oct-15;22:38:00;29.34;12.24;271.04154;8.212;NaN;2.055;0.07;0.34;0.295;2.625;0.141
18HU15041_1480;151;46.95817;-60.21767;417333;15.37;20-oct-15;22:38:00;29.24;12.26;271.48814;8.212;NaN;2.205;0.06;0.305;0.3;2.035;0.129
18HU15041_1480;151;46.95817;-60.21767;417334;4.96;20-oct-15;22:38:00;29.23;12.26;271.39882;8.209;6.204;2.215;0.065;0.305;0.3;1.96;0.121
18HU15041_1480;151;46.95817;-60.21767;417335;2.38;20-oct-15;22:38:00;29.23;12.26;271.39882;8.208;NaN;2.23;0.06;0.325;0.3;1.92;0.121
18HU15041_1481;161;47.2665;-59.78283;417336;451.71;22-oct-15;05:50:00;34.91;5.61;160.41872;7.922;3.568;32.7;0.01667;23.15;1.81333;NaN;0.022
18HU15041_1481;161;47.2665;-59.78283;417337;400.64;22-oct-15;05:50:00;34.89;5.63;153.31778;7.913;NaN;32.815;0.01667;23.585;1.82333;NaN;0.023
18HU15041_1481;161;47.2665;-59.78283;417338;300.95;22-oct-15;05:50:00;34.8;6.02;134.15864;7.888;NaN;30.085;0.01667;24.48;1.82667;NaN;0.024
18HU15041_1481;161;47.2665;-59.78283;417339;200.52;22-oct-15;05:50:00;34.62;6.98;161.40124;7.97;NaN;18.28;0.01667;20.945;1.5;NaN;0.021
18HU15041_1481;161;47.2665;-59.78283;417340;100.93;22-oct-15;05:50:00;33.02;2.76;273.22988;8.028;NaN;8.35;0.01667;10.78;1.04667;0.04;0.028
18HU15041_1481;161;47.2665;-59.78283;417341;51.16;22-oct-15;05:50:00;32.19;1.13;323.91898;8.063;7.312;3.1;0.01333;5.965;0.80333;1.615;0.036
18HU15041_1481;161;47.2665;-59.78283;417342;26.18;22-oct-15;05:50:00;31.2;8.7;298.86472;8.197;NaN;1.295;0.01;0.055;0.26;1.605;0.164
18HU15041_1481;161;47.2665;-59.78283;417343;16.26;22-oct-15;05:50:00;31.12;8.79;299.6686;8.201;NaN;1.22;0.01;0.04;0.25333;0.165;0.157
18HU15041_1481;161;47.2665;-59.78283;417344;6.25;22-oct-15;05:50:00;31.12;8.79;299.62394;8.203;6.711;1.22;0.01;0.03;0.24667;1.64;0.159
18HU15041_1481;161;47.2665;-59.78283;417345;2.98;22-oct-15;05:50:00;31.12;8.8;299.53462;8.202;NaN;1.23;0.01333;0.035;0.25;1.62;0.165
18HU15041_1482;171;47.43267;-59.5515;417346;461.3;22-oct-15;08:27:00;34.92;5.59;170.28858;7.93;3.824;30.31;0.015;22.3;1.75;NaN;0.024
18HU15041_1482;171;47.43267;-59.5515;417347;399.74;22-oct-15;08:27:00;34.9;5.63;156.13136;7.903;NaN;31.425;0.01;22.97;1.795;NaN;0.024
18HU15041_1482;171;47.43267;-59.5515;417348;300.75;22-oct-15;08:27:00;34.81;6.31;143.17996;7.903;NaN;25.33;0.01;23.69;1.73;NaN;0.021
18HU15041_1482;171;47.43267;-59.5515;417349;200.61;22-oct-15;08:27:00;34.59;7.1;170.3779;7.974;NaN;16.175;0.015;19.47;1.425;NaN;0.021
18HU15041_1482;171;47.43267;-59.5515;417350;99.34;22-oct-15;08:27:00;32.95;2.45;275.06094;8.002;NaN;9.095;0.015;10.9;1.075;0.04;0.026
18HU15041_1482;171;47.43267;-59.5515;417351;48.68;22-oct-15;08:27:00;32.02;1.49;331.68982;8.066;7.4775;2.66;0.25;4.055;0.745;0.28;0.052
18HU15041_1482;171;47.43267;-59.5515;417352;26.87;22-oct-15;08:27:00;31.55;8.02;302.88412;8.164;NaN;1.735;0.045;0.355;0.33;1.505;0.151
18HU15041_1482;171;47.43267;-59.5515;417353;13.49;22-oct-15;08:27:00;31.55;8.02;303.10742;8.164;NaN;1.735;0.045;0.345;0.325;1.495;0.152
18HU15041_1482;171;47.43267;-59.5515;417354;6.74;22-oct-15;08:27:00;31.55;8.01;303.37538;8.164;6.8;1.74;0.045;0.345;0.32;1.475;0.158
18HU15041_1482;171;47.43267;-59.5515;417355;1.98;22-oct-15;08:27:00;31.54;8.02;303.33072;8.164;NaN;1.75;0.045;0.36;0.31;1.515;0.156
18HU15041_1483;181;47.583;-59.34217;417356;251.43;22-oct-15;12:10:00;34.77;6.56;151.12944;7.919;3.366;23.405;0.025;22.74;1.68;NaN;0.022
18HU15041_1483;181;47.583;-59.34217;417357;201.21;22-oct-15;12:10:00;34.53;6.57;165.50996;7.94;NaN;19.195;0.02;20.24;1.515;NaN;0.023
18HU15041_1483;181;47.583;-59.34217;417358;101.72;22-oct-15;12:10:00;33.08;2.91;271.48814;8.002;NaN;8.91;0.015;10.865;1.065;0.02;0.025
18HU15041_1483;181;47.583;-59.34217;417359;51.76;22-oct-15;12:10:00;32.36;2.06;312.48602;8.036;7.0225;4.255;0.03;6.02;0.815;0.1;0.035
18HU15041_1483;181;47.583;-59.34217;417360;26.28;22-oct-15;12:10:00;32.13;3.22;316.05882;8.062;NaN;3.46;0.045;4.76;0.71;0.245;0.053
18HU15041_1483;181;47.583;-59.34217;417361;16.66;22-oct-15;12:10:00;31.81;4.55;315.56756;8.101;NaN;2.465;0.09;3.14;0.57;0.815;0.1
18HU15041_1483;181;47.583;-59.34217;417362;7.14;22-oct-15;12:10:00;31.74;4.67;317.086;8.107;7.0975;2.41;0.085;3.01;0.555;0.785;0.094
18HU15041_1483;181;47.583;-59.34217;417363;2.18;22-oct-15;12:10:00;31.69;4.68;318.38114;8.107;NaN;2.42;0.085;2.945;0.54;0.725;0.07
