CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;OXYM_01;SSAL_XX;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);((none));(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA70002_1859;1611;47.94444;-62.71667;2505;15;27-oct-70;18:40:00;0.64;NaN;30.36;7.44;0.48;1.2;3.02
18VA70002_1859;1611;47.94444;-62.71667;2506;25;27-oct-70;18:40:00;0.56;NaN;30.44;7.32;0.4;1.1;2.09
18VA70002_1859;1611;47.94444;-62.71667;2507;50;27-oct-70;18:40:00;0.09;NaN;32.15;1.11;0.89;6.8;5.65
18VA70002_1860;1661;46.72667;-62.725;2550;0;11-nov-70;13:32:00;0.3;NaN;NaN;NaN;0.6;3.03;5.68
18VA70002_1860;1661;46.72667;-62.725;2552;5;11-nov-70;13:32:00;0.3;NaN;29.62;6.78;0.63;2.65;6.2
18VA70002_1860;1661;46.72667;-62.725;2555;15;11-nov-70;13:32:00;0.27;NaN;29.71;6.79;0.66;1.67;6.04
18VA70002_1860;1661;46.72667;-62.725;2556;25;11-nov-70;13:32:00;0.18;NaN;30.1;6.94;0.73;3.49;6.33
18VA70002_1860;1661;46.72667;-62.725;2558;45;11-nov-70;13:32:00;0.17;NaN;NaN;NaN;0.99;9.26;13.62
18VA70002_1861;1671;47.59667;-59.34;154;0;02-nov-70;20:25:00;0.4;NaN;NaN;NaN;0.33;0.79;1.42
18VA70002_1861;1671;47.59667;-59.34;155;5;02-nov-70;20:25:00;0.48;NaN;NaN;NaN;0.36;0.69;1.22
18VA70002_1861;1671;47.59667;-59.34;156;15;02-nov-70;20:25:00;0.45;NaN;NaN;NaN;0.42;0.73;1.22
18VA70002_1861;1671;47.59667;-59.34;157;25;02-nov-70;20:25:00;0.3;NaN;31.39;7.9;0.39;0.94;1.72
18VA70002_1861;1671;47.59667;-59.34;158;50;02-nov-70;20:25:00;0.26;NaN;31.83;5.69;0.53;1.5;3.65
18VA70002_1862;1691;48;-59.5;164;0;05-nov-70;16:43:00;0.48;NaN;NaN;NaN;0.45;0.57;1.29
18VA70002_1862;1691;48;-59.5;165;5;05-nov-70;16:43:00;0.44;NaN;NaN;NaN;0.33;0.46;0.92
18VA70002_1862;1691;48;-59.5;166;15;05-nov-70;16:43:00;0.46;NaN;31.6;8.08;0.29;0.57;1.42
18VA70002_1862;1691;48;-59.5;167;25;05-nov-70;16:43:00;0.42;NaN;31.63;7.93;0.28;1.02;1.65
18VA70002_1862;1691;48;-59.5;168;50;05-nov-70;16:43:00;0.15;NaN;32.12;5.36;0.56;2.66;2.13
18VA70002_1863;21;47.24306;-59.95972;21_1;0;10-apr-70;20:15:00;NaN;NaN;30.91;-1;0.46;4.05;8.2
18VA70002_1863;21;47.24306;-59.95972;21_10;200;10-apr-70;20:15:00;NaN;5.24;33.1;4.2;0.93;10.4;6.88
18VA70002_1863;21;47.24306;-59.95972;21_11;250;10-apr-70;20:15:00;NaN;NaN;NaN;4.7;NaN;NaN;NaN
18VA70002_1863;21;47.24306;-59.95972;21_12;300;10-apr-70;20:15:00;NaN;3.96;34.35;NaN;1.46;16.89;14.95
18VA70002_1863;21;47.24306;-59.95972;21_13;400;10-apr-70;20:15:00;NaN;3.14;NaN;NaN;1.82;18.29;NaN
18VA70002_1863;21;47.24306;-59.95972;21_2;10;10-apr-70;20:15:00;NaN;7.32;31.73;-0.8;0.42;0.41;1.58
18VA70002_1863;21;47.24306;-59.95972;21_3;15;10-apr-70;20:15:00;NaN;7.53;31.59;-0.5;0.42;0.66;1.54
18VA70002_1863;21;47.24306;-59.95972;21_4;20;10-apr-70;20:15:00;NaN;7.28;31.62;-0.3;0.53;0.76;1.8
18VA70002_1863;21;47.24306;-59.95972;21_5;25;10-apr-70;20:15:00;NaN;6.83;31.61;0;0.58;0.47;1.54
18VA70002_1863;21;47.24306;-59.95972;21_6;50;10-apr-70;20:15:00;NaN;7;31.71;0.5;0.32;2.14;2.28
18VA70002_1863;21;47.24306;-59.95972;21_7;75;10-apr-70;20:15:00;NaN;6.17;31.93;0.7;0.6;3.27;3.56
18VA70002_1863;21;47.24306;-59.95972;21_8;100;10-apr-70;20:15:00;NaN;6.1;32.41;1.3;0.48;6.44;5.21
18VA70002_1863;21;47.24306;-59.95972;21_9;150;10-apr-70;20:15:00;NaN;6.38;32.23;2.4;0.81;5.59;5.3
18VA70002_1864;22;47.24306;-59.95972;22_14;0;22-apr-70;17:30:00;2.21;8.16;31.87;1.86;0.32;0.24;0.6
18VA70002_1864;22;47.24306;-59.95972;22_15;5;22-apr-70;17:30:00;2.17;8.29;31.86;1.83;0.39;0.13;0.75
18VA70002_1864;22;47.24306;-59.95972;22_16;15;22-apr-70;17:30:00;2.62;8.3;31.95;1.43;0.39;0.02;0.45
18VA70002_1864;22;47.24306;-59.95972;22_17;25;22-apr-70;17:30:00;2.86;8.24;31.99;1.43;0.42;0;0.68
18VA70002_1864;22;47.24306;-59.95972;22_18;100;22-apr-70;17:30:00;NaN;7.35;33.02;1.9;0.95;7.25;7.33
18VA70002_1864;22;47.24306;-59.95972;22_19;300;22-apr-70;17:30:00;NaN;4.1;34.55;5.02;1.65;19.65;19.25
18VA70002_1864;22;47.24306;-59.95972;22_20;400;22-apr-70;17:30:00;NaN;4.1;34.69;4.51;1.77;19.72;28.53
18VA70002_1865;221;47.38472;-62.61667;2098;0;04-may-70;11:00:00;0.85;NaN;30.65;1.39;0.32;0.07;0.23
18VA70002_1865;221;47.38472;-62.61667;2100;5;04-may-70;11:00:00;0.85;NaN;30.65;1.37;0.4;0;0.11
18VA70002_1865;221;47.38472;-62.61667;2102;15;04-may-70;11:00:00;1.51;NaN;30.8;1.04;0.21;0;0.17
18VA70002_1865;221;47.38472;-62.61667;2103;25;04-may-70;11:00:00;2.22;NaN;30.8;0.98;0.3;0;0.17
18VA70002_1865;221;47.38472;-62.61667;2104;50;04-may-70;11:00:00;NaN;NaN;31.01;-0.31;0.54;1.33;1.2
18VA70002_1865;221;47.38472;-62.61667;2105;75;04-may-70;11:00:00;NaN;NaN;31.21;-0.58;1.05;6.51;8.24
18VA70002_1866;222;47.38472;-62.61667;2246;0;16-jul-70;01:35:00;0.48;NaN;27.55;14.7;0.13;0.43;2.31
