CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18NA95908_264;CAST#1;45.9795;-61.008;152210;5;26-sep-95;13:48:00;22.004;15.5;6.03;4.66;0.1525;0.226;0.16
18NA95908_284;CAST#1;46.0147;-60.9538;152211;9;26-sep-95;14:20:00;23.453;16.2;5.13;6.3;0.114;0.373;0.11
18NA95908_284;CAST#1;46.0147;-60.9538;152212;5;26-sep-95;14:20:00;21.622;15.3;6.28;7.255;0.32;0.159;0.18
18NA95908_284;CAST#1;46.0147;-60.9538;152248;5;26-sep-95;14:20:00;21.622;15.3;NaN;7.245;0.069;0.17;0.03
18NA95908_304;CAST#1;46.0523;-60.8957;152213;9;26-sep-95;15:03:00;23.368;16.3;5.8;3.635;0.127;0.196;0
18NA95908_304;CAST#1;46.0523;-60.8957;152214;5;26-sep-95;15:03:00;22.457;15.7;6.16;5.8;0.0795;0.1475;0
18NA95908_315;CAST#1;46.0827;-60.892;152215;10;26-sep-95;15:56:00;23.411;16.3;5.33;5.42;0.1095;0.43;0.07
18NA95908_315;CAST#1;46.0827;-60.892;152216;5;26-sep-95;15:56:00;22.969;16.7;6.14;5.07;0.0895;0.252;0
18NA95908_315;CAST#1;46.0827;-60.892;152250;10;26-sep-95;15:56:00;23.411;16.3;NaN;5.505;0.096;0.459;0.05
18NA95908_326;CAST#1;46.0465;-60.8398;152217;9;26-sep-95;16:46:00;23.526;16.2;5.49;4.29;0.179;0.249;0.055
18NA95908_326;CAST#1;46.0465;-60.8398;152218;5;26-sep-95;16:46:00;23.093;16.6;6.14;3.805;0.3165;0.1725;0.22
18NA95908_326;CAST#1;46.0465;-60.8398;152251;9;26-sep-95;16:46:00;23.526;16.2;NaN;4.23;0.0705;0.2365;0
18NA95908_339;CAST#1;46.0662;-60.8102;152219;9;26-sep-95;17:37:00;23.21;15.9;6.12;2.97;0.083;0.152;0
18NA95908_339;CAST#1;46.0662;-60.8102;152220;5;26-sep-95;17:37:00;22.862;15.9;6.21;4.24;0.0805;0.166;0
18NA95908_339;CAST#1;46.0662;-60.8102;152254;5;26-sep-95;17:37:00;22.862;15.9;NaN;4.11;0.059;0.0465;0.175
