CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_002;STN27;47.5467;-52.5867;255580;167;10-nov-02;02:01:00;168.63;33.239;6.63894088669951;-0.993;13.62;1.61;10.61;NaN
18HU02070_002;STN27;47.5467;-52.5867;255581;149;10-nov-02;02:01:00;150.05;33.226;6.62094043887147;-0.986;13.29;1.76;10.97;NaN
18HU02070_002;STN27;47.5467;-52.5867;255582;98;10-nov-02;02:01:00;99.27;32.395;7.0569368562472;1.532;3.3;0.79;2.42;0.07
18HU02070_002;STN27;47.5467;-52.5867;255583;74;10-nov-02;02:01:00;74.51;32.123;7.0279355127631;2.715;2.15;0.62;1.53;0.23
18HU02070_002;STN27;47.5467;-52.5867;255584;50;10-nov-02;02:01:00;50.28;31.962;6.9969368562472;3.14;2.59;0.51;1.28;0.27
18HU02070_002;STN27;47.5467;-52.5867;255585;40;10-nov-02;02:01:00;40.22;31.889;6.98793775190327;3.331;2.84;0.76;1.43;0.28
18HU02070_002;STN27;47.5467;-52.5867;255586;30;10-nov-02;02:01:00;30.53;31.822;6.9709381997313;3.501;2.07;0.54;1.01;0.3
18HU02070_002;STN27;47.5467;-52.5867;255587;20;10-nov-02;02:01:00;19.81;31.803;6.9569368562472;3.549;2.46;0.42;1.28;NaN
18HU02070_002;STN27;47.5467;-52.5867;255588;10;10-nov-02;02:01:00;10.06;31.677;6.9209381997313;3.884;NaN;NaN;NaN;0.32
18HU02070_002;STN27;47.5467;-52.5867;255589;5;10-nov-02;02:01:00;5.13;31.637;6.9159381997313;3.987;2.64;0.79;0.84;0.35
18HU02070_003;SEGB-09;44.725;-51.395;255624;66;11-nov-02;10:02:00;66.55;32.828;6.25994402149575;2.156;6.53;1.13;3.66;0.17
18HU02070_003;SEGB-09;44.725;-51.395;255625;51;11-nov-02;10:02:00;51.33;32.827;6.27794446932378;2.164;8.53;1.33;4.41;0.1
18HU02070_003;SEGB-09;44.725;-51.395;255626;41;11-nov-02;10:02:00;41.39;32.386;6.37194357366771;5.582;3.16;0.57;2.03;0.16
18HU02070_003;SEGB-09;44.725;-51.395;255627;31;11-nov-02;10:02:00;31.25;32.294;6.45194133452754;6.512;2.83;0.46;1.4;0.33
18HU02070_003;SEGB-09;44.725;-51.395;255628;21;11-nov-02;10:02:00;21.15;32.29;6.47994178235558;6.523;2.48;0.41;1.22;0.49
18HU02070_003;SEGB-09;44.725;-51.395;255629;11;11-nov-02;10:02:00;10.87;32.285;6.49894088669951;6.508;3.1;0.48;1.64;0.53
18HU02070_003;SEGB-09;44.725;-51.395;255630;6;11-nov-02;10:02:00;5.86;32.283;6.50594267801164;6.506;2.43;0.37;0.8;0.59
18HU02070_014;SEGB-10;44.3633;-51.1033;255631;66;11-nov-02;13:15:00;66.21;32.845;5.91294670846395;2.71;NaN;NaN;NaN;NaN
18HU02070_014;SEGB-10;44.3633;-51.1033;255632;12;11-nov-02;13:15:00;12.08;32.369;6.34294223018361;7.402;NaN;NaN;NaN;0.62
18HU02070_025;SEGB-11;44;-50.805;255633;65;11-nov-02;15:47:00;65.15;32.942;6.11294446932378;2.594;9.84;1.67;4.72;0.15
18HU02070_025;SEGB-11;44;-50.805;255634;50;11-nov-02;15:47:00;50.73;32.828;6.05094491715181;3.967;7.72;1.07;2.88;0.12
18HU02070_025;SEGB-11;44;-50.805;255635;40;11-nov-02;15:47:00;40.78;32.606;6.05994626063592;7.038;4.52;0.71;1.61;0.19
18HU02070_025;SEGB-11;44;-50.805;255636;29;11-nov-02;15:47:00;29.67;32.499;6.20594491715181;7.712;3.46;0.81;1.49;0.56
