CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3)
18BA68003_1753;541;47.365;-59.8133;366;30;08-may-68;17:24:00;7.53
18BA68003_1753;541;47.365;-59.8133;367;49;08-may-68;17:24:00;7.53
18BA68003_1753;541;47.365;-59.8133;368;74;08-may-68;17:24:00;7.57
18BA68003_1753;541;47.365;-59.8133;369;99;08-may-68;17:24:00;7.34
18BA68003_1753;541;47.365;-59.8133;370;148;08-may-68;17:24:00;5.77
18BA68003_1753;541;47.365;-59.8133;371;197;08-may-68;17:24:00;4.55
18BA68003_1753;541;47.365;-59.8133;372;296;08-may-68;17:24:00;4.45
18BA68003_1753;541;47.365;-59.8133;373;394;08-may-68;17:24:00;4.35
18BA68003_1753;541;47.365;-59.8133;374;468;08-may-68;17:24:00;4.35
18BA68003_1754;551;47.2583;-59.9833;375;1;09-may-68;00:54:00;7.71
18BA68003_1754;551;47.2583;-59.9833;376;10;09-may-68;00:54:00;7.59
18BA68003_1754;551;47.2583;-59.9833;377;20;09-may-68;00:54:00;7.25
18BA68003_1754;551;47.2583;-59.9833;378;30;09-may-68;00:54:00;7.43
18BA68003_1754;551;47.2583;-59.9833;379;50;09-may-68;00:54:00;7.41
18BA68003_1754;551;47.2583;-59.9833;380;75;09-may-68;00:54:00;7.12
18BA68003_1754;551;47.2583;-59.9833;381;100;09-may-68;00:54:00;7.04
18BA68003_1754;551;47.2583;-59.9833;382;150;09-may-68;00:54:00;5.19
18BA68003_1754;551;47.2583;-59.9833;383;200;09-may-68;00:54:00;4.48
18BA68003_1754;551;47.2583;-59.9833;384;300;09-may-68;00:54:00;4.37
18BA68003_1754;551;47.2583;-59.9833;385;400;09-may-68;00:54:00;4.32
18BA68003_1754;551;47.2583;-59.9833;386;440;09-may-68;00:54:00;4.26
18BA68003_1755;561;47.1083;-60.275;387;1;09-may-68;08:30:00;7.78
18BA68003_1755;561;47.1083;-60.275;388;9;09-may-68;08:30:00;8
18BA68003_1755;561;47.1083;-60.275;389;18;09-may-68;08:30:00;7.35
18BA68003_1755;561;47.1083;-60.275;390;27;09-may-68;08:30:00;7.95
18BA68003_1755;561;47.1083;-60.275;391;46;09-may-68;08:30:00;7.53
18BA68003_1755;561;47.1083;-60.275;392;68;09-may-68;08:30:00;7.04
18BA68003_1755;561;47.1083;-60.275;393;91;09-may-68;08:30:00;6.29
18BA68003_1755;561;47.1083;-60.275;394;136;09-may-68;08:30:00;4.55
18BA68003_1755;561;47.1083;-60.275;395;150;09-may-68;08:30:00;4.33
