CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU95016_372;1;47.55;-52.59;160501;154;06-jul-95;00:00:00;-1.4;7.35;13.41;1.23;9.51;0.03
18HU95016_372;1;47.55;-52.59;160502;123;06-jul-95;00:00:00;-1.6;7.67;9.6;1.1;8.66;0.04
18HU95016_372;1;47.55;-52.59;160503;105;06-jul-95;00:00:00;-1.6;7.64;10.19;1.15;9.11;0.03
18HU95016_372;1;47.55;-52.59;160504;95;06-jul-95;00:00:00;-1.5;7.62;9.65;1.14;8.77;0.03
18HU95016_372;1;47.55;-52.59;160505;84;06-jul-95;00:00:00;-1.5;7.69;8.83;1.12;8.22;0.05
18HU95016_372;1;47.55;-52.59;160506;75;06-jul-95;00:00:00;-1.5;7.8;7.49;1.08;7.61;0.07
18HU95016_372;1;47.55;-52.59;160507;65;06-jul-95;00:00:00;-1.3;7.83;4.97;1.05;5.67;0.11
18HU95016_372;1;47.55;-52.59;160508;54;06-jul-95;00:00:00;-1.2;7.88;2.91;1.02;4.82;0.16
18HU95016_372;1;47.55;-52.59;160509;44;06-jul-95;00:00:00;-0.8;8.09;0.5;0.95;3.07;0.18
18HU95016_372;1;47.55;-52.59;160510;38;06-jul-95;00:00:00;-0.5;8.27;0;0;0;0
18HU95016_372;1;47.55;-52.59;160511;34;06-jul-95;00:00:00;0.3;8.21;0.14;0.49;0.16;0.35
18HU95016_372;1;47.55;-52.59;160512;29;06-jul-95;00:00:00;1.3;8.06;0.14;0.4;0;0.36
18HU95016_372;1;47.55;-52.59;160513;24;06-jul-95;00:00:00;2.1;7.79;0.19;0.39;0;0.34
18HU95016_372;1;47.55;-52.59;160514;19;06-jul-95;00:00:00;5.6;7.28;0.2;0.37;0;0.34
