CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l)
18HU11004_005;CSL_05;47.4338;-59.5623;373262;466;16-apr-11;01:31:00;5
18HU11004_005;CSL_05;47.4338;-59.5623;373273;10;16-apr-11;01:50:00;8.1
18HU11004_008;CSL_04;47.2675;-59.7743;373275;457;16-apr-11;04:05:00;4.4
18HU11004_008;CSL_04;47.2675;-59.7743;373287;3;16-apr-11;04:25:00;8
18HU11004_010;CSL_03;47.096;-59.9685;373288;340;16-apr-11;06:18:00;4
18HU11004_010;CSL_03;47.096;-59.9685;373299;3;16-apr-11;06:35:00;8.1
18HU11004_012;CSL_02;47.008;-60.1055;373300;161;16-apr-11;08:25:00;5.5
18HU11004_012;CSL_02;47.008;-60.1055;373310;3;16-apr-11;08:40:00;8.7
18HU11004_014;HL_01;44.3955;-63.4437;372751;74.6;07-apr-11;23:53:00;7.6
18HU11004_014;HL_01;44.3955;-63.4437;372758;2.8;08-apr-11;00:02:00;8.4
18HU11004_016;CSL_01;46.9518;-60.2178;373311;76;16-apr-11;13:30:00;8.1
18HU11004_016;CSL_01;46.9518;-60.2178;373318;4;16-apr-11;13:37:00;8.7
18HU11004_020;LL_01;45.8288;-59.8545;373330;95;16-apr-11;21:52:00;8.5
18HU11004_020;LL_01;45.8288;-59.8545;373337;4;16-apr-11;22:00:00;9
18HU11004_023;LL_02;45.6632;-59.6913;373338;121;16-apr-11;23:56:00;7
18HU11004_023;LL_02;45.6632;-59.6913;373347;4;17-apr-11;00:09:00;9.2
18HU11004_026;LL_03;45.4992;-59.5187;373348;120;17-apr-11;01:49:00;6.8
18HU11004_026;LL_03;45.4992;-59.5187;373357;4;17-apr-11;02:01:00;9.1
18HU11004_028;LL_04;45.1678;-59.1692;373358;97;17-apr-11;04:55:00;7.1
18HU11004_028;LL_04;45.1678;-59.1692;373366;3;17-apr-11;05:06:00;9
18HU11004_030;LL_05;44.8205;-58.8522;373367;182;17-apr-11;07:50:00;6.7
18HU11004_030;LL_05;44.8205;-58.8522;373373;2;17-apr-11;08:00:00;8.9
18HU11004_033;LL_06;44.4778;-58.5157;373380;4;17-apr-11;11:04:00;8.9
18HU11004_037;LL_07;44.1157;-58.2033;373382;857;17-apr-11;15:09:00;6.2
18HU11004_037;LL_07;44.1157;-58.2033;373384;250;17-apr-11;15:21:00;4
18HU11004_037;LL_07;44.1157;-58.2033;373393;3;17-apr-11;15:32:00;8.7
18HU11004_040;LL_08;43.7782;-57.8317;373395;2974;18-apr-11;00:55:00;6.4
18HU11004_040;LL_08;43.7782;-57.8317;373400;253;18-apr-11;01:49:00;4.3
18HU11004_040;LL_08;43.7782;-57.8317;373409;1.5;18-apr-11;02:08:00;8.6
18HU11004_041;LL_09;43.4688;-57.5322;373411;3776;18-apr-11;07:13:00;6.4
18HU11004_041;LL_09;43.4688;-57.5322;373417;250;18-apr-11;08:22:00;3.7
18HU11004_041;LL_09;43.4688;-57.5322;373426;1.5;18-apr-11;08:36:00;7.5
18HU11004_045;SPB_12;42.5598;-55.217;373427;4782;19-apr-11;03:03:00;6.1
18HU11004_045;SPB_12;42.5598;-55.217;373436;251;19-apr-11;04:26:00;3.8
18HU11004_045;SPB_12;42.5598;-55.217;373445;3;19-apr-11;04:39:00;7.5
18HU11004_048;SPB_11;43.201;-55.4052;373449;4370;19-apr-11;10:01:00;6.3
18HU11004_048;SPB_11;43.201;-55.4052;373458;250;19-apr-11;11:19:00;3.4
18HU11004_048;SPB_11;43.201;-55.4052;373467;3;19-apr-11;11:29:00;7.2
18HU11004_050;SPB_10A;43.7988;-55.6547;373468;3649;19-apr-11;16:15:00;6.5
18HU11004_050;SPB_10A;43.7988;-55.6547;373475;250;19-apr-11;17:18:00;3.5
18HU11004_050;SPB_10A;43.7988;-55.6547;373484;4;19-apr-11;17:29:00;7.7
18HU11004_053;SPB_10;44.2383;-55.842;373486;2939;19-apr-11;23:04:00;6.3
18HU11004_053;SPB_10;44.2383;-55.842;373493;250;19-apr-11;23:57:00;3.8
18HU11004_053;SPB_10;44.2383;-55.842;373502;2;20-apr-11;00:10:00;7.8
18HU11004_055;SPB_09;44.523;-55.8353;373503;2226;20-apr-11;03:30:00;6.3
18HU11004_055;SPB_09;44.523;-55.8353;373507;251;20-apr-11;04:08:00;4.7
18HU11004_057;SPB_08;44.7567;-55.845;373517;1057;20-apr-11;07:04:00;6.4
18HU11004_057;SPB_08;44.7567;-55.845;373520;250;20-apr-11;07:22:00;4.2
18HU11004_057;SPB_08;44.7567;-55.845;373529;3;20-apr-11;07:36:00;8.5
18HU11004_058;HL_02;44.2693;-63.3262;372759;161.4;08-apr-11;02:13:00;4.7
18HU11004_058;HL_02;44.2693;-63.3262;372764;41.4;08-apr-11;02:24:00;7.7
18HU11004_058;HL_02;44.2693;-63.3262;372768;3.3;08-apr-11;02:30:00;8
18HU11004_060;EH_04;44.8188;-55.8578;373530;830;20-apr-11;10:07:00;6.1
18HU11004_060;EH_04;44.8188;-55.8578;373532;250;20-apr-11;10:20:00;4
18HU11004_060;EH_04;44.8188;-55.8578;373541;4;20-apr-11;10:29:00;8.4
18HU11004_062;EH_03;44.8692;-55.8612;373542;405;20-apr-11;12:06:00;4.7
18HU11004_062;EH_03;44.8692;-55.8612;373543;249;20-apr-11;12:10:00;4.3
18HU11004_062;EH_03;44.8692;-55.8612;373552;4;20-apr-11;12:20:00;8.4
18HU11004_064;EH_02;44.921;-55.863;373554;173;20-apr-11;13:35:00;6.3
18HU11004_064;EH_02;44.921;-55.863;373563;2;20-apr-11;13:44:00;8.3
18HU11004_067;EH_01;45.047;-55.88;373565;81;20-apr-11;15:23:00;7.8
18HU11004_067;EH_01;45.047;-55.88;373572;4;20-apr-11;15:30:00;8.2
18HU11004_070;BP_01;44.9845;-56.1403;373574;215;20-apr-11;17:09:00;4.7
18HU11004_070;BP_01;44.9845;-56.1403;373584;3;20-apr-11;17:19:00;8.6
18HU11004_072;BP_04;44.9183;-56.4382;373585;384;20-apr-11;19:17:00;5.2
18HU11004_072;BP_04;44.9183;-56.4382;373596;3;20-apr-11;19:30:00;8.7
18HU11004_074;BP_05;44.8833;-56.6225;373597;399;20-apr-11;20:58:00;5.4
18HU11004_074;BP_05;44.8833;-56.6225;373608;3;20-apr-11;21:16:00;8.6
18HU11004_076;BANQ_B04;44.7797;-57.2553;373609;386;21-apr-11;00:19:00;5.3
18HU11004_076;BANQ_B04;44.7797;-57.2553;373610;250;21-apr-11;00:22:00;4.3
18HU11004_076;BANQ_B04;44.7797;-57.2553;373619;3;21-apr-11;00:35:00;9
18HU11004_078;SG_23;43.8703;-58.7418;373620;1022;21-apr-11;09:43:00;6.2
18HU11004_078;SG_23;43.8703;-58.7418;373623;251;21-apr-11;09:59:00;3.5
18HU11004_078;SG_23;43.8703;-58.7418;373632;3;21-apr-11;10:10:00;7.9
18HU11004_081;GULD_04;43.7895;-58.9162;373634;2133;21-apr-11;13:05:00;6.2
18HU11004_081;GULD_04;43.7895;-58.9162;373638;249;21-apr-11;13:42:00;3.8
18HU11004_083;SG_28;43.7095;-59.0187;373649;695;21-apr-11;15:57:00;5.8
18HU11004_083;SG_28;43.7095;-59.0187;373653;101;21-apr-11;16:09:00;6.2
18HU11004_083;SG_28;43.7095;-59.0187;373661;3;21-apr-11;16:16:00;7.8
18HU11004_086;GULD_03;44.0182;-59.0373;373662;521;21-apr-11;20:40:00;5.5
18HU11004_086;GULD_03;44.0182;-59.0373;373672;3;21-apr-11;21:00:00;8.8
18HU11004_088;GWA_02;44.2203;-59.533;373674;206;22-apr-11;00:07:00;5.2
18HU11004_088;GWA_02;44.2203;-59.533;373684;3;22-apr-11;00:23:00;8.2
18HU11004_193;HL_03;43.8838;-62.882;372818;264;09-apr-11;00:35:00;3.5
18HU11004_193;HL_03;43.8838;-62.882;372828;4;09-apr-11;00:51:00;8.4
18HU11004_237;HL_04;43.4792;-62.4473;372829;76;09-apr-11;04:12:00;5.9
18HU11004_237;HL_04;43.4792;-62.4473;372836;3;09-apr-11;04:21:00;7.7
18HU11004_247;HL_05;43.1693;-62.151;372837;99;09-apr-11;07:03:00;6.2
18HU11004_247;HL_05;43.1693;-62.151;372845;3;09-apr-11;07:14:00;7.8
18HU11004_257;HL_05A;42.9358;-61.819;372846;519;09-apr-11;10:36:00;5.5
18HU11004_257;HL_05A;42.9358;-61.819;372847;251;09-apr-11;10:42:00;3.8
18HU11004_257;HL_05A;42.9358;-61.819;372856;4;09-apr-11;10:54:00;7.9
18HU11004_263;HL_06;42.8578;-61.7595;372858;949;09-apr-11;13:25:00;5.5
18HU11004_263;HL_06;42.8578;-61.7595;372861;250;09-apr-11;13:40:00;3.6
18HU11004_263;HL_06;42.8578;-61.7595;372871;4;09-apr-11;13:53:00;7.9
