CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU16006_203;HL_07;42.4802;-61.4395;434186;202.95;23-may-16;03:13:00;202.958;35.6127;13.4778;5.0725;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.437;0.01;6.165;0.522;2.975
18HU16006_203;HL_07;42.4802;-61.43942;434187;152.43;23-may-16;03:14:00;152.432;35.6564;13.7398;5.1621;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.457;0.01;5.56;0.4885;2.525
18HU16006_203;HL_07;42.48026;-61.43957;434188;101.16;23-may-16;03:16:00;101.166;35.7911;14.6179;4.6832;NaN;0.02435;NaN;NaN;NaN;NaN;NaN;4.891;0.015;6.365;0.5175;2.755
18HU16006_203;HL_07;42.4804;-61.43974;434189;80.44;23-may-16;03:16:00;80.447;35.7931;14.8365;4.6686;NaN;0.02283;NaN;NaN;NaN;NaN;NaN;4.94;0.015;5.93;0.494;2.735
18HU16006_203;HL_07;42.48056;-61.43976;434190;60.59;23-may-16;03:17:00;60.595;35.8495;15.4661;4.5609;NaN;0.26554;NaN;NaN;NaN;NaN;NaN;NaN;0.095;4.97;0.407;1.965
18HU16006_203;HL_07;42.48072;-61.43976;434191;50.41;23-may-16;03:18:00;50.418;35.8743;15.6639;4.6901;NaN;0.18019;NaN;NaN;NaN;NaN;NaN;5.026;0.14;4.335;0.3495;1.605
18HU16006_203;HL_07;42.48087;-61.43974;434192;39.76;23-may-16;03:19:00;39.767;35.4032;14.3775;5.4628;NaN;0.7826;NaN;NaN;NaN;NaN;NaN;NaN;0.17;1.715;0.177;0.805
18HU16006_203;HL_07;42.48092;-61.43975;434193;29.56;23-may-16;03:19:00;29.562;35.4873;15.2371;5.5389;NaN;1.831;NaN;NaN;NaN;NaN;NaN;5.936;0.035;1.06;0.1215;0.285
18HU16006_203;HL_07;42.48087;-61.4398;434194;19.5;23-may-16;03:20:00;19.504;35.24;14.6592;5.7411;NaN;1.93436;NaN;NaN;NaN;NaN;NaN;NaN;0.02;0;0.107;0.635
18HU16006_203;HL_07;42.48086;-61.43992;434195;10.22;23-may-16;03:21:00;10.228;35.2415;14.6591;5.7347;NaN;1.7867;NaN;NaN;NaN;NaN;NaN;6.121;0.025;0;0.1025;0.595
18HU16006_203;HL_07;42.48084;-61.43996;434196;3.47;23-may-16;03:21:00;3.473;35.2374;14.6564;5.7948;NaN;1.59474;NaN;NaN;NaN;NaN;NaN;6.136;0.03;0;0.1;0.755
18HU16006_208;HL_06;42.83522;-61.73498;434202;1085.58;23-may-16;10:58:00;1085.583;34.9527;4.2298;5.6741;7.899;NaN;NaN;NaN;NaN;NaN;NaN;6.047;0.06;16.905;1.176;11.785
18HU16006_208;HL_06;42.83552;-61.73468;434203;980.75;23-may-16;11:00:00;980.756;34.9587;4.3716;5.627;7.9;NaN;NaN;NaN;NaN;NaN;NaN;5.995;0.045;16.65;1.1775;11.345
18HU16006_208;HL_06;42.83592;-61.7346;434204;849.47;23-may-16;11:03:00;849.475;34.9716;4.5737;5.5354;7.904;NaN;NaN;NaN;NaN;NaN;NaN;5.857;0.04;17.02;1.192;11.175
18HU16006_208;HL_06;42.83618;-61.73472;434205;719.38;23-may-16;11:06:00;719.382;34.9982;5.0441;5.1971;7.898;NaN;NaN;NaN;NaN;NaN;NaN;5.496;0.045;17.88;1.2425;11.775
18HU16006_208;HL_06;42.83636;-61.73476;434206;617.26;23-may-16;11:08:00;617.269;35.0151;5.4439;4.9047;7.893;NaN;NaN;NaN;NaN;NaN;NaN;5.191;0.04;22.325;1.304;12.295
18HU16006_208;HL_06;42.8365;-61.73466;434207;500.03;23-may-16;11:10:00;500.035;35.0501;6.342;4.3103;7.882;NaN;NaN;NaN;NaN;NaN;NaN;4.556;0.055;20.57;1.3915;13.385
18HU16006_208;HL_06;42.83674;-61.73476;434208;400.74;23-may-16;11:12:00;400.744;35.109;7.7339;3.5702;7.866;NaN;NaN;NaN;NaN;NaN;NaN;3.79;0.05;22.945;1.518;14.55
18HU16006_208;HL_06;42.83678;-61.73464;434209;300.11;23-may-16;11:14:00;300.115;35.3088;10.3431;2.9836;7.872;NaN;NaN;NaN;NaN;NaN;NaN;3.167;0.035;22.355;1.4505;12.505
18HU16006_208;HL_06;42.83703;-61.73474;434210;200.13;23-may-16;11:16:00;200.139;35.6536;13.2703;3.8331;7.983;NaN;NaN;NaN;NaN;NaN;NaN;4.009;0.065;14.25;0.9125;6.825
18HU16006_208;HL_06;42.83705;-61.73472;434211;149.71;23-may-16;11:17:00;149.714;35.6837;13.7362;4.3544;8.036;NaN;NaN;NaN;NaN;NaN;NaN;4.675;0.07;10.285;0.684;4.75
18HU16006_208;HL_06;42.83714;-61.73478;434212;101.65;23-may-16;11:18:00;101.655;35.6766;14.002;4.6959;8.069;0.01065;NaN;NaN;NaN;NaN;NaN;5.023;0.065;6.095;0.566;3.565
18HU16006_208;HL_06;42.83726;-61.7348;434213;79.29;23-may-16;11:19:00;79.29;35.6687;14.0828;4.8475;8.083;0.01674;NaN;NaN;NaN;NaN;NaN;5.175;0.065;6.28;0.513;2.88
18HU16006_208;HL_06;42.8374;-61.73478;434214;61.21;23-may-16;11:19:00;61.215;35.7122;14.4963;5.0237;8.109;0.04566;NaN;NaN;NaN;NaN;NaN;5.402;0.105;4.085;0.391;1.79
18HU16006_208;HL_06;42.83746;-61.73474;434215;51.2;23-may-16;11:20:00;51.203;35.6882;14.7342;5.3297;8.14;0.10808;NaN;NaN;NaN;NaN;NaN;5.678;0.42;2.835;0.2595;1.245
18HU16006_208;HL_06;42.83752;-61.73464;434216;39.24;23-may-16;11:21:00;39.24;35.4904;14.5775;5.4326;8.157;0.45047;NaN;NaN;NaN;NaN;NaN;5.823;0.29;2.035;0.188;0.815
18HU16006_208;HL_06;42.83758;-61.73458;434217;28.34;23-may-16;11:21:00;28.343;33.6262;9.3864;6.0807;8.131;1.62427;NaN;NaN;NaN;NaN;NaN;6.458;0.135;2.68;0.4195;2.71
18HU16006_208;HL_06;42.8377;-61.7346;434218;19.23;23-may-16;11:22:00;19.234;32.2141;6.0599;6.8264;8.075;1.35848;NaN;NaN;NaN;NaN;NaN;7.071;0.06;1.615;0.3865;2.04
18HU16006_208;HL_06;42.83782;-61.73463;434219;11.47;23-may-16;11:22:00;11.474;32.1719;8.002;6.748;8.066;1.22559;NaN;NaN;NaN;NaN;NaN;7.123;0.045;0;0.3505;1.51
18HU16006_208;HL_06;42.83794;-61.73466;434220;4.04;23-may-16;11:23:00;4.045;32.1438;7.9176;6.7717;8.057;1.21082;NaN;NaN;NaN;NaN;NaN;7.144;0.045;0;0.3435;1.555
18HU16006_214;HL_05.5;42.93788;-61.8158;434226;512.01;23-may-16;18:04:00;512.011;34.9987;5.203;5.0519;7.945;NaN;NaN;NaN;NaN;NaN;NaN;5.325;0.05;18.06;1.2805;12.325
18HU16006_214;HL_05.5;42.93784;-61.81582;434227;399.88;23-may-16;18:07:00;399.88;35.051;6.5162;4.2221;7.918;NaN;NaN;NaN;NaN;NaN;NaN;4.484;0.03;20.25;1.419;13.55
18HU16006_214;HL_05.5;42.93788;-61.81597;434228;300.47;23-may-16;18:09:00;300.479;35.1424;8.3808;3.3369;7.895;NaN;NaN;NaN;NaN;NaN;NaN;3.528;0.045;23.06;1.5745;14.59
18HU16006_214;HL_05.5;42.93808;-61.81557;434229;198.26;23-may-16;18:11:00;198.267;35.4582;11.6801;3.2975;7.958;NaN;NaN;NaN;NaN;NaN;NaN;3.534;0.04;18.13;1.217;9.645
18HU16006_214;HL_05.5;42.93828;-61.81531;434230;150.28;23-may-16;18:12:00;150.282;35.58;13.0276;4.1243;8.037;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU16006_214;HL_05.5;42.93858;-61.81509;434231;100.83;23-may-16;18:14:00;100.836;35.6443;13.9186;5.0177;8.123;0.04719;NaN;NaN;NaN;NaN;NaN;5.399;0.06;4.475;0.4495;2.155
18HU16006_214;HL_05.5;42.93873;-61.81498;434232;79.83;23-may-16;18:14:00;79.832;35.3354;12.9914;5.2464;8.13;0.11721;NaN;NaN;NaN;NaN;NaN;NaN;0.07;4.235;0.4345;2.195
18HU16006_214;HL_05.5;42.93883;-61.81481;434233;59.16;23-may-16;18:15:00;59.167;35.1926;12.6068;5.3025;8.13;0.137;NaN;NaN;NaN;NaN;NaN;NaN;0.08;4.775;0.436;2.565
18HU16006_214;HL_05.5;42.9389;-61.81468;434234;48.95;23-may-16;18:16:00;48.958;35.0774;12.2691;5.3319;8.125;0.28451;NaN;NaN;NaN;NaN;NaN;5.711;0.085;4.86;0.487;2.055
18HU16006_214;HL_05.5;42.93896;-61.81455;434235;40.63;23-may-16;18:16:00;40.638;34.6491;11.3183;5.6725;8.131;0.63494;NaN;NaN;NaN;NaN;NaN;NaN;0.16;3.59;0.4235;1.34
18HU16006_214;HL_05.5;42.93913;-61.81442;434236;29.33;23-may-16;18:17:00;29.337;33.3394;9.5419;6.6284;8.162;3.2415;NaN;NaN;NaN;NaN;NaN;6.982;0.015;0;0.2105;1.17
18HU16006_214;HL_05.5;42.9393;-61.81429;434237;18.81;23-may-16;18:17:00;18.818;32.095;8.0273;6.9045;8.111;1.63904;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0.295;1.085
18HU16006_214;HL_05.5;42.93947;-61.81416;434238;9.92;23-may-16;18:18:00;9.927;31.9947;8.1452;6.8298;8.09;1.04839;NaN;NaN;NaN;NaN;NaN;7.232;0;0;0.3065;0.91
18HU16006_214;HL_05.5;42.93959;-61.81404;434239;4.06;23-may-16;18:18:00;4.066;31.9639;8.2516;6.8007;8.081;0.93027;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0.324;1.105
18HU16006_219;HL_05;43.189;-62.11096;434240;95.57;23-may-16;21:08:00;95.578;34.958;11.2238;4.7406;8.037;0.0411;NaN;NaN;NaN;NaN;NaN;5.051;0.065;9.325;0.751;6.63
18HU16006_219;HL_05;43.18922;-62.11102;434241;79.52;23-may-16;21:09:00;79.522;34.9553;11.217;4.7314;8.044;0.04719;NaN;NaN;NaN;NaN;NaN;NaN;0.045;9.225;0.7575;6.58
18HU16006_219;HL_05;43.18948;-62.11108;434242;58.74;23-may-16;21:10:00;58.743;34.3652;9.7465;5.3605;8.064;0.09438;NaN;NaN;NaN;NaN;NaN;NaN;0.08;4.815;0.6415;4.405
18HU16006_219;HL_05;43.18975;-62.11114;434243;49.35;23-may-16;21:10:00;49.353;34.2176;9.5251;5.5631;8.069;0.23235;NaN;NaN;NaN;NaN;NaN;5.917;0.26;3.985;0.5805;3.795
18HU16006_219;HL_05;43.18998;-62.11118;434244;41.85;23-may-16;21:11:00;41.858;33.9055;9.0124;5.9834;8.092;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU16006_219;HL_05;43.19022;-62.11121;434245;30.76;23-may-16;21:12:00;30.76;32.9955;7.9275;6.8137;8.12;1.37325;NaN;NaN;NaN;NaN;NaN;NaN;0.02;0;0.309;1.285
18HU16006_219;HL_05;43.19044;-62.11122;434246;20.72;23-may-16;21:13:00;20.723;32.1922;6.8843;6.9967;8.082;0.44298;NaN;NaN;NaN;NaN;NaN;NaN;0.01;0;0.353;0.7
18HU16006_219;HL_05;43.1906;-62.11126;434247;11.38;23-may-16;21:13:00;11.38;32.1185;7.3583;6.8704;8.069;0.46944;NaN;NaN;NaN;NaN;NaN;7.252;0;0;0.3455;0.665
18HU16006_219;HL_05;43.19076;-62.1113;434248;2.28;23-may-16;21:14:00;2.286;32.1152;7.5283;6.8553;8.066;0.39357;NaN;NaN;NaN;NaN;NaN;7.23;0.015;0;0.349;0.655
18HU16006_222;HL_04;43.49167;-62.45631;434249;78.24;23-may-16;23:32:00;78.247;33.942;8.454;4.689;7.962;0.0548;NaN;NaN;NaN;NaN;NaN;4.987;0.11;9;0.8775;8.76
18HU16006_222;HL_04;43.49171;-62.45633;434250;78.95;23-may-16;23:32:00;78.956;33.942;8.456;4.6967;7.963;0.05328;NaN;NaN;NaN;NaN;NaN;NaN;0.115;8.705;0.881;8.76
18HU16006_222;HL_04;43.49188;-62.45646;434251;59.5;23-may-16;23:33:00;59.502;33.5206;7.3058;5.6349;8.019;0.13091;NaN;NaN;NaN;NaN;NaN;NaN;0.25;4.22;0.6955;4.815
18HU16006_222;HL_04;43.49198;-62.45648;434252;52.22;23-may-16;23:34:00;52.22;33.2393;6.4963;6.0884;7.999;0.30822;NaN;NaN;NaN;NaN;NaN;6.361;0.36;3.05;0.6065;2.905
18HU16006_222;HL_04;43.49208;-62.45652;434253;40.05;23-may-16;23:35:00;40.054;33.0816;6.0685;6.3332;8.031;0.7826;NaN;NaN;NaN;NaN;NaN;NaN;0.32;2.56;0.543;2.125
18HU16006_222;HL_04;43.49216;-62.45656;434254;29.7;23-may-16;23:35:00;29.704;32.9097;5.8893;6.5998;8.043;1.44708;NaN;NaN;NaN;NaN;NaN;NaN;0.24;1.97;0.4845;1.57
18HU16006_222;HL_04;43.49222;-62.4566;434255;20.31;23-may-16;23:36:00;20.316;31.9913;6.7032;7.0068;8.066;0.8712;NaN;NaN;NaN;NaN;NaN;NaN;0.025;0;0.3355;0.795
18HU16006_222;HL_04;43.4923;-62.45664;434256;9.87;23-may-16;23:36:00;9.871;31.7933;7.6889;6.8323;8.055;0.53583;NaN;NaN;NaN;NaN;NaN;7.226;0.03;0;0.318;0.69
18HU16006_222;HL_04;43.49234;-62.45666;434257;1.55;23-may-16;23:37:00;1.553;31.6235;7.3933;6.9172;8.056;0.42202;NaN;NaN;NaN;NaN;NaN;7.273;0.035;0;0.3445;0.59
18HU16006_227;HL_03;43.88173;-62.8804;434258;263.18;24-may-16;03:20:00;263.181;35.2662;10.862;2.905;7.94;NaN;NaN;NaN;NaN;NaN;NaN;2.646;0.095;19.45;1.4375;15.91
18HU16006_227;HL_03;43.8819;-62.8805;434259;201.76;24-may-16;03:22:00;201.76;35.1514;10.7871;2.6381;7.922;NaN;NaN;NaN;NaN;NaN;NaN;2.807;0.045;18.775;1.461;17.265
18HU16006_227;HL_03;43.88208;-62.88061;434260;149.23;24-may-16;03:23:00;149.234;35.1149;10.9959;2.9399;7.938;NaN;NaN;NaN;NaN;NaN;NaN;3.122;0.045;17.065;1.333;13.885
18HU16006_227;HL_03;43.8822;-62.88066;434261;98.96;24-may-16;03:25:00;98.963;34.5658;10.0532;3.4009;7.962;0.00608;NaN;NaN;NaN;NaN;NaN;3.565;0.045;13.91;1.1945;11.79
18HU16006_227;HL_03;43.88226;-62.88072;434262;79.98;24-may-16;03:25:00;79.982;33.9627;8.6157;4.3396;7.986;0.01218;NaN;NaN;NaN;NaN;NaN;NaN;0.045;10.525;1.021;8.505
18HU16006_227;HL_03;43.88234;-62.8808;434263;60.13;24-may-16;03:26:00;60.131;33.2508;6.9167;6.2063;8.082;0.59064;NaN;NaN;NaN;NaN;NaN;NaN;0.31;2.63;0.5755;2.25
18HU16006_227;HL_03;43.88238;-62.88085;434264;49.57;24-may-16;03:27:00;49.575;33.0054;6.0048;6.4314;8.09;0.90073;NaN;NaN;NaN;NaN;NaN;6.702;0.225;2.425;0.605;2.885
18HU16006_227;HL_03;43.88246;-62.88092;434265;39.87;24-may-16;03:28:00;39.875;32.3888;4.5893;6.8497;8.059;0.79737;NaN;NaN;NaN;NaN;NaN;NaN;0.165;2.105;0.5365;2.065
18HU16006_227;HL_03;43.88252;-62.88102;434266;29.12;24-may-16;03:28:00;29.126;31.7602;4.8733;7.263;8.076;0.75307;NaN;NaN;NaN;NaN;NaN;NaN;0.06;1.5;0.41;0.79
18HU16006_227;HL_03;43.88254;-62.88108;434267;20.1;24-may-16;03:29:00;20.108;31.2431;5.5921;7.2062;8.072;0.58325;NaN;NaN;NaN;NaN;NaN;NaN;0.045;0;0.3905;0.465
18HU16006_227;HL_03;43.88258;-62.88116;434268;10.69;24-may-16;03:30:00;10.695;30.9786;6.4347;7.102;8.064;0.44573;NaN;NaN;NaN;NaN;NaN;7.467;0.045;0;0.3795;0.45
18HU16006_227;HL_03;43.88256;-62.88124;434269;3.63;24-may-16;03:31:00;3.636;30.966;6.4545;7.0815;8.065;0.4078;NaN;NaN;NaN;NaN;NaN;7.456;0.04;0;0.382;0.46
18HU16006_230;HL_02;44.26658;-63.31654;434270;146;24-may-16;08:15:00;146.002;34.6318;9.9765;3.1975;7.888;0.01522;15.99;1.352;16.67;NaN;0.06;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26646;-63.31659;434271;99.33;24-may-16;08:16:00;99.334;33.2969;6.2266;4.7845;7.942;0.01217;10.66;1.1245;11.41;NaN;0.055;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26644;-63.31664;434272;75.12;24-may-16;08:17:00;75.128;32.4018;3.1107;5.8758;7.928;0.01522;6.885;0.9365;7.39;NaN;0.08;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26644;-63.3167;434273;50.98;24-may-16;08:18:00;50.98;31.9645;3.1314;6.7654;8.025;0.04414;1.94;0.627;2.285;NaN;0.19;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26645;-63.31672;434274;40.48;24-may-16;08:19:00;40.486;31.6834;2.2811;7.1169;8.037;0.1431;1.18;0.576;1.325;NaN;0.145;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26646;-63.31674;434275;29.85;24-may-16;08:20:00;29.859;31.4549;2.2441;7.3634;8.044;0.36986;0.87;0.5955;0.935;NaN;0.09;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26651;-63.31681;434276;20.27;24-may-16;08:21:00;20.278;31.0768;5.5067;7.1953;8.054;0.45047;0.205;0.378;0;NaN;0;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26654;-63.31684;434277;10.26;24-may-16;08:21:00;10.263;31.0884;5.5921;7.1921;8.058;0.3746;0.3;0.393;0;NaN;0;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26656;-63.31686;434278;5.13;24-may-16;08:22:00;5.136;31.085;5.7247;7.1951;8.059;0.28925;0.42;0.4345;0.115;NaN;0.08;NaN;NaN;NaN;NaN;NaN
18HU16006_230;HL_02;44.26658;-63.3169;434279;2.69;24-may-16;08:22:00;2.693;31.0734;5.8449;7.191;8.061;0.28451;0.43;0.432;0.18;NaN;0.06;NaN;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95832;-60.21588;433026;73.57;02-may-16;01:28:00;73.573;31.4368;-0.0515;7.7953;8;2.33579;3.10333;0.68667;3.03667;31.33;0.08333;8.101;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95828;-60.21584;433027;60.32;02-may-16;01:29:00;60.329;31.0347;0.1285;8.0979;8.055;3.14616;NaN;NaN;NaN;NaN;NaN;8.457;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95822;-60.2159;433028;50.36;02-may-16;01:30:00;50.366;30.7094;0.6027;8.2845;8.102;3.57519;0.30667;0.397;0.79;30.761;0.03333;8.642;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95816;-60.216;433029;40.21;02-may-16;01:31:00;40.211;30.5238;0.754;8.3617;8.111;4.38557;0;0.41;0.57667;NaN;0.04333;NaN;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95804;-60.21606;433030;30.72;02-may-16;01:32:00;30.726;30.4128;1.0288;8.3764;8.12;4.19489;0;0.38367;0;30.477;0.03667;8.75;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95798;-60.2161;433031;19.85;02-may-16;01:33:00;19.851;30.2213;1.3333;8.398;8.133;3.43218;0;0.35067;0;NaN;0.05;NaN;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95794;-60.21612;433032;9.67;02-may-16;01:34:00;9.672;30.155;1.5628;8.3634;8.132;2.38346;0;0.29667;0;30.225;0.03333;8.788;NaN;NaN;NaN;NaN
18HU16006_315;CSL_01;46.95792;-60.21614;433033;1.46;02-may-16;01:35:00;1.465;30.0747;1.7787;8.3262;8.13;1.40278;0;0.34467;0;30.097;0.02;8.694;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01753;-60.11916;433034;169.7;02-may-16;03:44:00;169.704;33.6286;4.0624;4.4724;7.844;NaN;14.02333;1.16833;11.76333;33.619;0.11;4.724;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01738;-60.1192;433035;149.76;02-may-16;03:45:00;149.763;33.4762;3.6974;4.7666;7.86;NaN;16.42;1.31833;14.13333;33.492;0.15667;5;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01714;-60.11926;433036;100.17;02-may-16;03:47:00;100.179;32.0023;1.0559;7.6647;8.055;0.38883;1.52;0.538;1.08;NaN;0.04667;7.997;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.017;-60.11932;433037;80.18;02-may-16;03:48:00;80.187;31.6855;0.0072;8.0285;8.05;2.52646;1.39333;0.54967;1.68333;31.713;0.05667;NaN;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01682;-60.11942;433038;59.53;02-may-16;03:49:00;59.539;31.4836;-0.0528;8.4178;8.086;5.91098;0.34667;0.46833;0.98667;NaN;0.04333;NaN;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01666;-60.1195;433039;50.3;02-may-16;03:50:00;50.304;31.3501;-0.2135;8.5121;8.096;7.06292;0.27;0.446;0.86667;NaN;0.02667;8.893;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01652;-60.11956;433040;39.78;02-may-16;03:51:00;39.785;31.2671;-0.1854;8.5848;8.115;7.4364;0.34333;0.49367;1.19;31.301;0.04667;NaN;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01636;-60.11964;433041;30.17;02-may-16;03:52:00;30.175;31.211;-0.5199;8.5299;8.107;7.34106;0;0.381;0.61;NaN;0.03667;NaN;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.0162;-60.11972;433042;20.34;02-may-16;03:53:00;20.346;30.9578;-0.0326;8.8139;8.144;3.28917;0.24;0.519;0.78;NaN;0.04333;NaN;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01606;-60.11978;433043;9.89;02-may-16;03:54:00;9.892;30.4865;1.563;8.435;8.166;1.95283;0;0.34467;0;30.476;0.02333;8.818;NaN;NaN;NaN;NaN
18HU16006_339;CSL_02;47.01593;-60.11984;433044;1.26;02-may-16;03:55:00;1.267;30.324;1.808;8.344;8.162;1.56521;0;0.27333;0;30.335;0.02667;8.719;NaN;NaN;NaN;NaN
