CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL15133_2157;1001;47.03933;-64.246;402811;36.99;17-sep-15;16:13:00;29.9;8.19;188.2419;0.32;16.55;0.995;2.9;0.31;NaN;0.151
18TL15133_2157;1001;47.03933;-64.246;402812;4.96;17-sep-15;16:13:00;28.59;17.37;253.57948;1.15;1.485;0.175;0.19;0.06;NaN;0.225
18TL15133_2158;1011;47.253;-64.186;402813;45.02;17-sep-15;17:48:00;31.33;2.23;215.97576;0.4;21.42;1.35;6.375;0.355;NaN;0.105
18TL15133_2158;1011;47.253;-64.186;402814;24.89;17-sep-15;17:48:00;30.16;7.54;269.47844;0.29;4.13;0.66;2.215;0.24;NaN;0.09
18TL15133_2158;1011;47.253;-64.186;402815;4.56;17-sep-15;17:48:00;28.68;16.79;256.39306;0.955;1.085;0.155;0.13;0.06;NaN;0.232
18TL15133_2159;1021;47.38067;-64.25233;402816;53.54;17-sep-15;21:17:00;31.62;1.76;250.14066;0.245;15.165;1.205;6.45;0.235;NaN;0.094
18TL15133_2159;1021;47.38067;-64.25233;402817;24.99;17-sep-15;21:17:00;29.52;10.88;256.75034;0.345;3.735;0.59;1.915;0.225;NaN;0.128
18TL15133_2159;1021;47.38067;-64.25233;402818;4.46;17-sep-15;21:17:00;28.47;15.71;268.89786;1.525;1.415;0.23;0.165;0.06;NaN;0.429
18TL15133_2160;1041;47.53833;-63.93317;402819;51.06;18-sep-15;01:09:00;31.82;1.22;266.66486;0.12;14.965;1.23;8.325;0.16;NaN;0.062
18TL15133_2160;1041;47.53833;-63.93317;402820;21.62;18-sep-15;01:09:00;29.44;12.26;261.57362;0.395;5.415;0.71;2.74;0.24;NaN;0.288
18TL15133_2160;1041;47.53833;-63.93317;402821;5.26;18-sep-15;01:09:00;28.49;15.58;266.75418;1.48;1.405;0.245;0.17;0.06;NaN;0.456
18TL15133_2161;1051;47.60117;-63.446;402822;81.1;18-sep-15;04:32:00;32.25;0.49;222.09418;0.085;24.87;1.63;13.63;0.115;NaN;0.059
18TL15133_2161;1051;47.60117;-63.446;402823;49.77;18-sep-15;04:32:00;31.86;0.2;274.16774;0.065;17.575;1.385;10.715;0.105;NaN;0.051
18TL15133_2161;1051;47.60117;-63.446;402824;24.29;18-sep-15;04:32:00;30.41;8.03;274.07842;0.16;6.78;0.865;4.64;0.25;NaN;0.108
18TL15133_2161;1051;47.60117;-63.446;402825;4.76;18-sep-15;04:32:00;28.88;15.08;264.34254;0.83;1.165;0.225;0.11;0.04;NaN;0.305
18TL15133_2162;1061;47.54717;-63.09433;402826;56.12;18-sep-15;07:13:00;31.61;0.14;266.3969;0.09;16.13;1.345;9.175;0.175;NaN;0.066
18TL15133_2162;1061;47.54717;-63.09433;402827;49.68;18-sep-15;07:13:00;31.6;0.16;265.99496;0.1;16.935;1.38;9.445;0.17;NaN;0.065
18TL15133_2162;1061;47.54717;-63.09433;402828;24.29;18-sep-15;07:13:00;30.53;7;283.27838;0.27;6.26;0.9;4.51;0.36;NaN;0.125
