CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18NA96022_036;CAST#1;46.1445;-60.5003;175707;15;22-sep-96;18:20:00;23.445;16.056;5.975;3.24;0.1605;0.232;0.545;0.6408
18NA96022_036;CAST#1;46.1445;-60.5003;175708;5;22-sep-96;18:20:00;23.439;16.139;5.507;3.645;0.0935;0.1925;0.1;0.4806
18NA96022_036;CAST#1;46.1445;-60.5003;175709;1;22-sep-96;18:20:00;23.396;16.144;5.997;3.2;0.1435;0.176;0.19;0.801
18NA96022_047;CAST#1;46.1333;-60.545;175710;7;22-sep-96;19:08:00;23.642;15.507;6.042;3.315;0.079;0.2355;0.085;0.5607
18NA96022_047;CAST#1;46.1333;-60.545;175711;1;22-sep-96;19:08:00;23.601;15.675;6.071;3.12;0.079;0.232;0.17;0.4005
18NA96022_058;CAST#1;46.1067;-60.7268;175712;13;23-sep-96;11:13:00;23.939;15.631;5.456;4.06;0.1885;0.3;0.68;0.801
18NA96022_058;CAST#1;46.1067;-60.7268;175713;5;23-sep-96;11:13:00;23.264;15.81;5.84;3.665;0.154;0.2175;0.2;1.1214
18NA96022_058;CAST#1;46.1067;-60.7268;175714;1;23-sep-96;11:13:00;21.906;15.591;5.946;6.45;0.102;0.206;0.13;0.6408
18NA96022_069;CAST#1;46.1238;-60.7042;175715;27;23-sep-96;11:55:00;24.043;6.446;0.373;37.23;0;1.1975;18.5;0.2403
18NA96022_069;CAST#1;46.1238;-60.7042;175716;5;23-sep-96;11:55:00;23.409;16.278;5.76;5.625;0.0925;0.224;0.1;0.801
18NA96022_069;CAST#1;46.1238;-60.7042;175717;1;23-sep-96;11:55:00;22.202;16.083;5.888;5.475;0.0865;0.1445;0.11;0.801
18NA96022_080;CAST#1;46.0897;-60.7245;175718;17;23-sep-96;12:46:00;23.985;14.861;5.602;4.33;0.3665;0.3725;1.42;0.6408
18NA96022_080;CAST#1;46.0897;-60.7245;175719;5;23-sep-96;12:46:00;23.245;15.91;5.799;3.885;0.095;0.2645;0.14;1.2015
18NA96022_080;CAST#1;46.0897;-60.7245;175720;1;23-sep-96;12:46:00;22.023;15.841;5.832;6.63;0.113;0.2335;0.67;1.4418
18NA96022_091;CAST#1;46.0693;-60.8167;175721;12;23-sep-96;13:24:00;24.052;14.434;5.602;4.74;0.351;0.377;1.505;0
18NA96022_091;CAST#1;46.0693;-60.8167;175722;5;23-sep-96;13:24:00;22.782;16.325;5.807;4.79;0.1325;0.1875;0.415;2.0025
18NA96022_091;CAST#1;46.0693;-60.8167;175723;1;23-sep-96;13:24:00;21.64;15.698;5.857;7.71;0.0905;0.251;0.185;2.0826
18NA96022_102;CAST#1;46.0445;-60.8448;175724;9;23-sep-96;13:54:00;24.018;15.651;5.051;7.21;0.4455;0.539;1.74;0.4005
18NA96022_102;CAST#1;46.0445;-60.8448;175725;5;23-sep-96;13:54:00;23.108;16.33;5.411;7;0.121;0.327;0.33;1.602
18NA96022_114;CAST#1;45.9717;-61.0202;175726;27;23-sep-96;15:46:00;23.142;2.714;2.615;27.69;0.2015;1.901;14.895;0
18NA96022_114;CAST#1;45.9717;-61.0202;175727;5;23-sep-96;15:46:00;20.08;15.639;5.931;8.02;0.0995;0.3605;0.345;2.0025
18NA96022_114;CAST#1;45.9717;-61.0202;175728;1;23-sep-96;15:46:00;20.038;15.552;6.019;8.265;0.0885;0.329;0.11;1.3617
18NA96022_127;CAST#1;45.9462;-61.122;175729;39;23-sep-96;16:30:00;23.053;3.026;0.023;52.73;0;10.24;0;NaN
18NA96022_127;CAST#1;45.9462;-61.122;175730;25;23-sep-96;16:30:00;23.049;3.164;0.022;41.5;0;8.24;0;0
18NA96022_127;CAST#1;45.9462;-61.122;175731;20;23-sep-96;16:30:00;23.042;3.335;0.021;38.465;0;5.685;0.565;NaN
18NA96022_127;CAST#1;45.9462;-61.122;175732;15;23-sep-96;16:30:00;22.806;5.248;0.997;17.565;1.5575;2.2325;11.89;0.4806
18NA96022_127;CAST#1;45.9462;-61.122;175733;10;23-sep-96;16:30:00;21.372;15.783;4.639;8.625;0.214;0.715;1.21;0.6408
18NA96022_127;CAST#1;45.9462;-61.122;175734;5;23-sep-96;16:30:00;20.467;15.761;5.742;7.215;0.128;0.4585;0.46;3.5244
18NA96022_127;CAST#1;45.9462;-61.122;175735;1;23-sep-96;16:30:00;20.093;15.463;5.811;8.74;0.1405;0.377;0.48;1.2816
18NA96022_138;CAST#1;46.0043;-60.965;175736;7;23-sep-96;17:49:00;21.718;15.931;5.776;7.67;0.1405;0.291;0.52;2.2428
