CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU98051_529;691;47.1565;-63.15417;209024;48.98;12-nov-98;04:59:00;31.78;1.49;286.85118;5.92466659202866;16.44;0.07;10.63;1.32;0.1;0.12;0.723
18HU98051_529;691;47.1565;-63.15417;209025;24.79;12-nov-98;04:59:00;30.29;5.69;316.81804;7;4.31;0.14;2.98;0.61;0.46;0.5;1.536
18HU98051_529;691;47.1565;-63.15417;209026;14.97;12-nov-98;04:59:00;30.04;5.5;333.43156;6.601;3.87;0.14;2.6;0.71;0.58;0.6;1.662
18HU98051_529;691;47.1565;-63.15417;209027;5.16;12-nov-98;04:59:00;29.84;5.44;335.6199;7.16;5.655;0.17;4.07;0.7;0.61333;0.65;1.758
18HU98051_530;701;47.13467;-64.14233;209028;25.29;12-nov-98;08:31:00;29.82;5.93;317.13066;6.887;9.63;0.2;5.5;0.78;0.32;0.32;1.121
18HU98051_530;701;47.13467;-64.14233;209029;14.97;12-nov-98;08:31:00;29.22;6.34;316.32678;6.97133340797134;7.29;0.18;6.67;0.675;0.69;0.72;1.902
18HU98051_530;701;47.13467;-64.14233;209030;5.45;12-nov-98;08:31:00;29.2;6.38;325.30344;6.966;7.11;0.18;7.38;0.67;0.66;0.7;1.946
18HU98051_531;711;46.69767;-64.55017;209031;22.31;12-nov-98;11:16:00;28.17;7.47;300.20452;6.728;7.62;0.24;3.51;0.65;0.83;0.94;2.658
18HU98051_531;711;46.69767;-64.55017;209032;7.14;12-nov-98;11:16:00;28.14;7.47;305.65304;6.728;7.34;0.24;3.72;0.58;0.79;0.81;2.523
18HU98051_531;711;46.69767;-64.55017;209033;5.45;12-nov-98;11:16:00;28.15;7.47;306.27828;6.734;7.73;0.19;2.46;0.58;0.81;0.81;2.515
