CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU87037_305;CAST#1;45.20667;-48.00333;39450;914;31-oct-87;04:31:00;3.48;6.7;9.49;NaN;17.76
18HU87037_305;CAST#1;45.20667;-48.00333;39451;711;31-oct-87;04:31:00;3.558;6.65;9.34;NaN;17.83
18HU87037_305;CAST#1;45.20667;-48.00333;39452;610;31-oct-87;04:31:00;3.366;6.81;8.92;NaN;17.7
18HU87037_305;CAST#1;45.20667;-48.00333;39453;508;31-oct-87;04:31:00;3.806;6.49;9.44;NaN;18.31
18HU87037_305;CAST#1;45.20667;-48.00333;39454;404;31-oct-87;04:31:00;4.48;5.95;10.71;NaN;19.36
18HU87037_305;CAST#1;45.20667;-48.00333;39455;304;31-oct-87;04:31:00;5.089;5.48;11.55;NaN;20.14
18HU87037_305;CAST#1;45.20667;-48.00333;39456;103;31-oct-87;04:31:00;5.606;4.88;11.08;NaN;20.21
18HU87037_305;CAST#1;45.20667;-48.00333;39457;12;31-oct-87;04:31:00;7.972;7.14;0.62;NaN;0.04
18HU87037_306;CAST#1;45.30667;-48.325;39458;1440;31-oct-87;04:31:00;3.296;6.89;9.66;NaN;17.04
18HU87037_306;CAST#1;45.30667;-48.325;39459;1371;31-oct-87;04:31:00;3.287;6.94;10.09;NaN;17.68
18HU87037_306;CAST#1;45.30667;-48.325;39460;1319;31-oct-87;04:31:00;3.278;6.91;10.19;NaN;17.78
18HU87037_306;CAST#1;45.30667;-48.325;39461;1267;31-oct-87;04:31:00;3.271;6.98;10.13;NaN;17.92
18HU87037_306;CAST#1;45.30667;-48.325;39462;1263;31-oct-87;04:31:00;3.271;6.98;9.86;NaN;17.66
18HU87037_306;CAST#1;45.30667;-48.325;39463;1220;31-oct-87;04:31:00;3.273;6.99;9.85;NaN;17.83
18HU87037_306;CAST#1;45.30667;-48.325;39464;1166;31-oct-87;04:31:00;3.291;6.99;9.6;NaN;17.73
18HU87037_306;CAST#1;45.30667;-48.325;39465;1111;31-oct-87;04:31:00;3.298;6.98;9.52;NaN;17.58
18HU87037_306;CAST#1;45.30667;-48.325;39466;1012;31-oct-87;04:31:00;3.356;6.93;9.38;NaN;18.21
18HU87037_306;CAST#1;45.30667;-48.325;39467;910;31-oct-87;04:31:00;3.403;6.86;NaN;NaN;NaN
18HU87037_306;CAST#1;45.30667;-48.325;39468;812;31-oct-87;04:31:00;3.403;6.86;9.39;NaN;17.85
18HU87037_306;CAST#1;45.30667;-48.325;39469;710;31-oct-87;04:31:00;3.367;6.86;9.38;NaN;17.97
18HU87037_306;CAST#1;45.30667;-48.325;39470;607;31-oct-87;04:31:00;3.263;6.98;8.76;NaN;17.35
18HU87037_306;CAST#1;45.30667;-48.325;39471;510;31-oct-87;04:31:00;3.364;6.87;8.93;NaN;17.44
18HU87037_306;CAST#1;45.30667;-48.325;39472;408;31-oct-87;04:31:00;3.432;6.8;8.84;NaN;17.42
18HU87037_306;CAST#1;45.30667;-48.325;39473;307;31-oct-87;04:31:00;3.509;6.76;9.62;NaN;17.52
18HU87037_306;CAST#1;45.30667;-48.325;39474;206;31-oct-87;04:31:00;3.573;6.61;8.97;NaN;17.76
18HU87037_306;CAST#1;45.30667;-48.325;39475;154;31-oct-87;04:31:00;3.331;6.59;8.77;NaN;17.56
18HU87037_306;CAST#1;45.30667;-48.325;39476;103;31-oct-87;04:31:00;2.747;6.84;6.81;NaN;14.95
18HU87037_306;CAST#1;45.30667;-48.325;39477;55;31-oct-87;04:31:00;5.199;7.25;2.67;NaN;3.54
18HU87037_306;CAST#1;45.30667;-48.325;39478;15;31-oct-87;04:31:00;8.47;6.88;1.25;NaN;0.09
18HU87037_307;CAST#1;45.41167;-48.66667;39479;317;31-oct-87;11:07:00;1.009;6.89;10.47;NaN;15.06
18HU87037_307;CAST#1;45.41167;-48.66667;39480;285;31-oct-87;11:07:00;0.524;1.59;9.71;NaN;14.59
18HU87037_307;CAST#1;45.41167;-48.66667;39481;243;31-oct-87;11:07:00;0.332;7.05;9.67;NaN;14.48
18HU87037_307;CAST#1;45.41167;-48.66667;39482;203;31-oct-87;11:07:00;0.08;7.08;9.5;NaN;14.1
18HU87037_307;CAST#1;45.41167;-48.66667;39483;162;31-oct-87;11:07:00;-0.429;7.14;9.37;NaN;13.16
18HU87037_307;CAST#1;45.41167;-48.66667;39484;124;31-oct-87;11:07:00;-0.534;7.19;9.76;NaN;12.91
18HU87037_307;CAST#1;45.41167;-48.66667;39485;93;31-oct-87;11:07:00;-0.774;7.26;9.29;NaN;11.92
18HU87037_307;CAST#1;45.41167;-48.66667;39486;63;31-oct-87;11:07:00;-1.137;7.38;8.29;NaN;10.34
18HU87037_307;CAST#1;45.41167;-48.66667;39487;32;31-oct-87;11:07:00;-0.907;7.63;7.03;NaN;8.1
18HU87037_307;CAST#1;45.41167;-48.66667;39488;12;31-oct-87;11:07:00;5.773;7.46;1.43;NaN;0.33
