CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU05656_047;SEGB-13;43.2;-50.1667;260569;9;30-nov-05;05:40:00;8.93;32.74;7.31079265562024;4.73;0.91;0.32;0.16;1.09
18HU05656_047;SEGB-13;43.2;-50.1667;260570;4;30-nov-05;05:40:00;4.35;32.74;7.31079265562024;4.72;1.27;0.38;0.16;1.16
18HU05656_058;SEGB-14;42.92;-49.9417;260571;165;30-nov-05;08:15:00;166.11;34.01;6.48007165248545;1.72;NaN;NaN;NaN;NaN
18HU05656_069;SEGB-15;42.85;-49.8867;260572;397;30-nov-05;09:04:00;399.79;34.79;6.35020152261532;3.81;9.66;0.94;15.74;NaN
18HU05656_069;SEGB-15;42.85;-49.8867;260573;150;30-nov-05;09:04:00;150.65;33.85;6.67935512763099;1.46;8.44;0.68;10.89;NaN
18HU05656_069;SEGB-15;42.85;-49.8867;260574;100;30-nov-05;09:04:00;100.51;33.87;6.82042095835199;4.24;4.03;0.45;5.61;0.29
18HU05656_069;SEGB-15;42.85;-49.8867;260575;75;30-nov-05;09:04:00;75.88;33.63;7.06000895656068;3.6;3.14;0.35;3.83;0.54
18HU05656_069;SEGB-15;42.85;-49.8867;260576;51;30-nov-05;09:04:00;50.93;33.27;7.21003134796238;2.3;5.03;0.52;5.21;0.54
18HU05656_069;SEGB-15;42.85;-49.8867;260577;40;30-nov-05;09:04:00;40.6;33.17;7.18987908643081;2.58;5.06;0.54;5.03;0.59
18HU05656_069;SEGB-15;42.85;-49.8867;260578;30;30-nov-05;09:04:00;30.37;33.26;6.86072548141514;6.17;2.61;0.33;2.15;1.13
18HU05656_069;SEGB-15;42.85;-49.8867;260579;20;30-nov-05;09:04:00;20.54;33.24;6.54052843708016;8.27;1.97;0.32;0.97;1.3
18HU05656_069;SEGB-15;42.85;-49.8867;260580;10;30-nov-05;09:04:00;10.38;33.25;6.2897447380206;9.97;1.79;0.26;1.26;1.26
18HU05656_069;SEGB-15;42.85;-49.8867;260581;5;30-nov-05;09:04:00;5.42;33.25;6.26959247648903;10.02;1.38;0.2;0.32;1.27
18HU05656_080;SEGB-17;42.5883;-49.6833;260582;1487;30-nov-05;14:16:00;1494.13;34.87;6.41961486789073;3.62;NaN;NaN;NaN;NaN
18HU05656_080;SEGB-17;42.5883;-49.6833;260583;2609;30-nov-05;14:16:00;2614.18;34.91;6.20913569189431;2.88;12.07;0.93;15.82;NaN
18HU05656_080;SEGB-17;42.5883;-49.6833;260584;149;30-nov-05;14:16:00;150.33;34.94;4.63949843260188;6.04;12.13;1.34;19.63;NaN
18HU05656_080;SEGB-17;42.5883;-49.6833;260585;99;30-nov-05;14:16:00;100.14;34.51;5.66950291088222;4.24;9.64;1.1;14.91;0.03
18HU05656_080;SEGB-17;42.5883;-49.6833;260586;74;30-nov-05;14:16:00;74.97;34.31;6.1307657859382;3.79;7.99;0.83;13.41;0.05
18HU05656_080;SEGB-17;42.5883;-49.6833;260587;49;30-nov-05;14:16:00;49.65;33.97;6.54948499776086;4.14;5.27;0.72;9.91;0.11
18HU05656_080;SEGB-17;42.5883;-49.6833;260588;41;30-nov-05;14:16:00;40.84;33.82;6.60994178235558;5.31;3.33;0.46;6.16;0.28
18HU05656_080;SEGB-17;42.5883;-49.6833;260589;30;30-nov-05;14:16:00;30.33;33.52;6.73981191222571;6.51;2.74;0.54;3.78;1.03
18HU05656_080;SEGB-17;42.5883;-49.6833;260590;20;30-nov-05;14:16:00;20.1;33.41;6.80026869682042;7.1;1.55;0.26;1.43;2.23
18HU05656_080;SEGB-17;42.5883;-49.6833;260591;11;30-nov-05;14:16:00;10.82;33.43;6.84057321988357;7.13;2.26;0.41;3.11;2.12
18HU05656_080;SEGB-17;42.5883;-49.6833;260592;5;30-nov-05;14:16:00;5;NaN;NaN;NaN;1.76;0.38;1.72;2.2
18HU05656_091;SEGB-19;42.0817;-49.27;260594;3244;01-dec-05;00:04:00;3245.48;34.89;6.24944021495746;2.1;NaN;NaN;NaN;NaN
18HU05656_113;SEGB-01;46.5833;-52.9333;260508;48;29-nov-05;03:44:00;48.7;32.13;7.03090013434841;3.54;4.39;0.37;4.68;0.16
18HU05656_113;SEGB-01;46.5833;-52.9333;260509;31;29-nov-05;03:44:00;31.23;31.68;7.03985669502911;5.61;2.76;0.27;1.69;0.77
18HU05656_113;SEGB-01;46.5833;-52.9333;260510;20;29-nov-05;03:44:00;19.78;31.66;7.03985669502911;5.61;2.38;0.22;0.64;0.84
18HU05656_113;SEGB-01;46.5833;-52.9333;260511;10;29-nov-05;03:44:00;10.19;31.64;7.03090013434841;5.61;2.29;0.2;0.73;0.84
18HU05656_113;SEGB-01;46.5833;-52.9333;260512;5;29-nov-05;03:44:00;5.1;31.64;7.05105239587998;5.6;2.34;0.2;0.7;0.85
18HU05656_225;SEGB-02;46.5;-52.85;260513;173;29-nov-05;04:44:00;174.54;33.31;6.41065830721003;-0.46;NaN;NaN;NaN;NaN
18HU05656_264;SEGB-03;46.35;-52.7333;260514;167;29-nov-05;05:56:00;168.3;33.37;6.2807881773399;-0.34;17.3;0.75;13.32;NaN
18HU05656_264;SEGB-03;46.35;-52.7333;260515;150;29-nov-05;05:56:00;150.98;33.37;6.30094043887147;-0.36;17.39;0.92;13.51;NaN
18HU05656_264;SEGB-03;46.35;-52.7333;260516;99;29-nov-05;05:56:00;100.19;33.1;6.90103000447828;-0.82;11.93;0.97;11.27;0.05
18HU05656_264;SEGB-03;46.35;-52.7333;260517;75;29-nov-05;05:56:00;75.34;32.75;7.46081504702194;-1.24;8.08;0.64;9.4;0.05
18HU05656_264;SEGB-03;46.35;-52.7333;260518;50;29-nov-05;05:56:00;50.25;32.4;7.34885803851321;1.38;NaN;NaN;NaN;0.06
18HU05656_264;SEGB-03;46.35;-52.7333;260519;40;29-nov-05;05:56:00;40.23;32.24;7.18092252575011;3.17;3.56;0.31;2.62;0.14
18HU05656_264;SEGB-03;46.35;-52.7333;260520;30;29-nov-05;05:56:00;30.1;31.99;7.01074787281684;4.98;2.75;0.25;1.13;0.2
18HU05656_264;SEGB-03;46.35;-52.7333;260521;20;29-nov-05;05:56:00;19.87;31.8;6.99955217196597;5.75;2.62;0.29;0.59;0.46
18HU05656_264;SEGB-03;46.35;-52.7333;260522;10;29-nov-05;05:56:00;9.81;31.66;7.03985669502911;5.63;2.34;0.21;0.83;0.64
18HU05656_264;SEGB-03;46.35;-52.7333;260523;5;29-nov-05;05:56:00;4.86;31.66;7.03985669502911;5.63;2.83;0.27;1.22;0.74
18HU05656_279;FC-12;47;-48.1167;260720;129;05-dec-05;03:09:00;130.18;33.3;6.84057321988357;-0.55;12.88;0.89;11.39;NaN
18HU05656_279;FC-12;47;-48.1167;260721;100;05-dec-05;03:09:00;101.31;33.22;6.9704433497537;-0.69;12.37;1.05;12.22;0.08
18HU05656_279;FC-12;47;-48.1167;260722;76;05-dec-05;03:09:00;76.13;32.94;7.55038065382893;-0.76;7.38;0.9;8.31;0.07
18HU05656_279;FC-12;47;-48.1167;260723;50;05-dec-05;03:09:00;50.69;32.6;7.08016121809225;3.13;3.16;0.44;2.82;0.38
18HU05656_279;FC-12;47;-48.1167;260724;40;05-dec-05;03:09:00;40.43;32.38;7.03090013434841;4.33;2.53;0.41;1.01;0.47
18HU05656_279;FC-12;47;-48.1167;260725;30;05-dec-05;03:09:00;30.53;32.31;6.97939991043439;4.94;2.35;0.36;1.28;0.75
