CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_036;SEGB-07;45.4583;-52;197941;50;23-apr-00;18:32:00;50.27;8.05992834751456;0;0.86;2.08;0.46;0.55
18TL00002_036;SEGB-07;45.4583;-52;197942;40;23-apr-00;18:32:00;40.18;8.11992834751456;0.13;0.87;2.17;0.63;0.62
18TL00002_036;SEGB-07;45.4583;-52;197943;30;23-apr-00;18:32:00;30.43;8.11992834751456;0.04;0.9;2.14;0.77;0.66
18TL00002_036;SEGB-07;45.4583;-52;197944;20;23-apr-00;18:32:00;20.15;8.12992834751456;0.03;0.82;2.12;0.69;0.66
18TL00002_036;SEGB-07;45.4583;-52;197945;11;23-apr-00;18:32:00;11.4;8.12992834751456;0.13;0.85;2.14;0.71;0.72
18TL00002_036;SEGB-07;45.4583;-52;197946;7;23-apr-00;18:32:00;6.61;8.12992834751456;0.05;0.84;2.27;0.68;0.67
18TL00002_047;SEGB-08;45.0967;-51.7033;197947;66;23-apr-00;21:43:00;66.93;7.24993506493507;2.41;1.51;4.77;2.77;2.24
18TL00002_047;SEGB-08;45.0967;-51.7033;197948;49;23-apr-00;21:43:00;49.84;7.96992834751456;0.2;0.77;0.88;1.17;1.03
18TL00002_047;SEGB-08;45.0967;-51.7033;197949;40;23-apr-00;21:43:00;40.29;8.05992834751456;0.19;0.75;0.82;1.09;0.95
18TL00002_047;SEGB-08;45.0967;-51.7033;197950;30;23-apr-00;21:43:00;30.04;8.08992834751455;0.16;0.69;0.86;0.88;0.78
18TL00002_047;SEGB-08;45.0967;-51.7033;197951;20;23-apr-00;21:43:00;20.31;8.10992610837438;0.19;0.71;0.87;0.91;0.75
18TL00002_047;SEGB-08;45.0967;-51.7033;197952;11;23-apr-00;21:43:00;11.59;8.09992834751455;0.26;1.06;0.66;0.93;0.82
18TL00002_047;SEGB-08;45.0967;-51.7033;197953;6;23-apr-00;21:43:00;5.93;8.10992610837438;0.27;1.01;0.66;0.96;0.8
18TL00002_058;SEGB-09;44.7283;-51.3983;197954;67;24-apr-00;00:59:00;67.5;7.46993282579489;2.31;1.57;1.56;0.49;0.38
18TL00002_058;SEGB-09;44.7283;-51.3983;197955;51;24-apr-00;00:59:00;50.99;7.82993058665473;0.55;1.13;0.61;0.32;0.41
18TL00002_058;SEGB-09;44.7283;-51.3983;197956;40;24-apr-00;00:59:00;39.92;7.86992834751455;0.57;1.16;0.68;0.38;0.37
18TL00002_058;SEGB-09;44.7283;-51.3983;197957;32;24-apr-00;00:59:00;31.89;7.87992834751455;0.36;1.11;0.68;0.47;0.45
18TL00002_058;SEGB-09;44.7283;-51.3983;197958;21;24-apr-00;00:59:00;21.09;7.88992834751455;0.33;1.12;0.7;0.51;0.51
18TL00002_058;SEGB-09;44.7283;-51.3983;197959;12;24-apr-00;00:59:00;11.79;7.88992834751455;0.39;1.14;0.62;0.48;0.48
18TL00002_058;SEGB-09;44.7283;-51.3983;197960;5;24-apr-00;00:59:00;4.97;7.88992834751455;0.38;0.97;0;0.42;0.4
18TL00002_060;S27-10;47.99;-50.48;221415;132;06-may-00;17:39:00;132.98;7.51993282579489;9.9;1.67;9.3;NaN;NaN
18TL00002_060;S27-10;47.99;-50.48;221416;99;06-may-00;17:39:00;100.24;8.17992610837439;6.78;1.52;8;0.44;0.42
18TL00002_060;S27-10;47.99;-50.48;221417;74;06-may-00;17:39:00;74.35;8.38992610837438;4.8;1.08;6.78;1.19;1.01
18TL00002_060;S27-10;47.99;-50.48;221418;50;06-may-00;17:39:00;50.21;8.63992163009404;1.81;1.03;4.02;2.77;3.15
18TL00002_060;S27-10;47.99;-50.48;221419;39;06-may-00;17:39:00;39.63;9.1499171518137;0.23;0.7;0.15;5.02;6.15
18TL00002_060;S27-10;47.99;-50.48;221420;30;06-may-00;17:39:00;30.11;9.2599171518137;0;0.66;0;3.45;3.03
18TL00002_060;S27-10;47.99;-50.48;221421;20;06-may-00;17:39:00;20.03;9.2899171518137;0;0.68;0;2.66;3.06
18TL00002_060;S27-10;47.99;-50.48;221422;9;06-may-00;17:39:00;9.35;9.3099171518137;0;0.65;0;3.19;2.88
18TL00002_060;S27-10;47.99;-50.48;221423;5;06-may-00;17:39:00;4.95;9.2799171518137;0.24;0.97;0;2.71;3.23
18TL00002_061;S27-08;47.89;-50.95;221424;119;06-may-00;20:32:00;120.04;7.26993506493507;10.11;2.19;8.97;NaN;NaN
18TL00002_061;S27-08;47.89;-50.95;221425;103;06-may-00;20:32:00;104.28;7.35993506493507;9.71;2.13;8.76;0.86;0.68
18TL00002_061;S27-08;47.89;-50.95;221426;75;06-may-00;20:32:00;75.86;8.19992610837438;4.53;1.75;6.57;1.38;1.2
18TL00002_061;S27-08;47.89;-50.95;221427;51;06-may-00;20:32:00;51.32;8.60992163009404;1.28;1.54;2.87;3.45;4.43
18TL00002_061;S27-08;47.89;-50.95;221428;38;06-may-00;20:32:00;38.62;9.21991715181371;0.28;0.92;0;2.86;2.6
18TL00002_061;S27-08;47.89;-50.95;221430;30;06-may-00;20:32:00;29.77;9.1799171518137;0.125;0.85;0;2.675;2.6
18TL00002_061;S27-08;47.89;-50.95;221431;10;06-may-00;20:32:00;10.09;9.1199171518137;0.12;0.91;0;2.3;2.08
18TL00002_061;S27-08;47.89;-50.95;221432;4;06-may-00;20:32:00;4.49;9.1199171518137;0.05;0.88;0;2.19;1.91
18TL00002_062;S27-06;47.79;-51.42;221433;138;06-may-00;22:52:00;139.38;7.19993506493507;11.21;2.17;9.32;NaN;NaN
18TL00002_062;S27-06;47.79;-51.42;221434;99;06-may-00;22:52:00;100.13;8.09992834751455;6.78;1.89;7.48;0.52;0.53
18TL00002_062;S27-06;47.79;-51.42;221435;74;06-may-00;22:52:00;74.26;8.19992610837438;5.97;1.77;7.12;1.28;1.15
18TL00002_062;S27-06;47.79;-51.42;221436;48;06-may-00;22:52:00;48.29;8.67992163009404;0.81;1.15;1.37;4.63;5.71
18TL00002_062;S27-06;47.79;-51.42;221437;39;06-may-00;22:52:00;39.38;9.00991939095387;0.2;1.02;0;3.44;5.37
18TL00002_062;S27-06;47.79;-51.42;221438;31;06-may-00;22:52:00;31.32;9.1899171518137;0.2;0.83;0;2.49;2.92
18TL00002_062;S27-06;47.79;-51.42;221439;19;06-may-00;22:52:00;19.29;9.12991939095387;0.09;0.79;0;2.39;2.82
18TL00002_062;S27-06;47.79;-51.42;221440;11;06-may-00;22:52:00;11.04;9.1799171518137;0.19;0.64;0;3.18;2.85
18TL00002_062;S27-06;47.79;-51.42;221441;5;06-may-00;22:52:00;5.06;9.1499171518137;0.17;0.87;0;2.63;3.05
18TL00002_064;S27-04;47.68;-51.88;221442;180;07-may-00;01:35:00;181.69;6.97993730407524;13.44;2.28;9.91;NaN;NaN
18TL00002_064;S27-04;47.68;-51.88;221443;151;07-may-00;01:35:00;151.8;7.31993506493507;10.62;1.92;8.89;NaN;NaN
18TL00002_064;S27-04;47.68;-51.88;221444;98;07-may-00;01:35:00;99.17;8.12992834751456;6.72;1.99;7.5;0.57;0.62
18TL00002_064;S27-04;47.68;-51.88;221445;75;07-may-00;01:35:00;75.18;8.25992610837439;4.73;1.78;6.41;1.3;1.14
18TL00002_064;S27-04;47.68;-51.88;221446;51;07-may-00;01:35:00;50.94;8.66992163009404;0.5;1.28;1.49;5.05;6.4
18TL00002_064;S27-04;47.68;-51.88;221447;40;07-may-00;01:35:00;40.72;9.1999171518137;0.28;1.16;0;2.73;2.36
18TL00002_064;S27-04;47.68;-51.88;221448;32;07-may-00;01:35:00;31.89;8.98991939095387;0;0.39;0;1.68;1.49
18TL00002_064;S27-04;47.68;-51.88;221449;20;07-may-00;01:35:00;20.66;9.00991939095387;0;0.4;0;1.75;1.56
18TL00002_064;S27-04;47.68;-51.88;221450;11;07-may-00;01:35:00;10.88;8.98991939095387;0;0.37;0;1.18;1.05
18TL00002_064;S27-04;47.68;-51.88;221451;6;07-may-00;01:35:00;5.63;9.00991939095387;0.18;0.45;0;1.48;1.42
18TL00002_066;S27-02;47.58;-52.35;221452;159;07-may-00;04:30:00;159.94;7.31993506493507;12.37;1.12;9.47;NaN;NaN
18TL00002_066;S27-02;47.58;-52.35;221453;149;07-may-00;04:30:00;150.52;7.57993058665472;9.72;1.04;8.98;NaN;NaN
18TL00002_066;S27-02;47.58;-52.35;221454;99;07-may-00;04:30:00;99.79;8.15992610837439;6.1;0.94;7.32;0.46;0.49
18TL00002_066;S27-02;47.58;-52.35;221455;77;07-may-00;04:30:00;77.24;8.14992610837439;5.84;0.93;7.11;0.27;0.25
18TL00002_066;S27-02;47.58;-52.35;221456;52;07-may-00;04:30:00;51.96;8.71992163009404;0;0.61;0;6.57;7.61
18TL00002_066;S27-02;47.58;-52.35;221457;40;07-may-00;04:30:00;40.24;8.97991939095387;0;0.41;0;2.28;2.67
18TL00002_066;S27-02;47.58;-52.35;221458;30;07-may-00;04:30:00;30.38;8.86991939095387;0;0.42;0;1.79;1.97
18TL00002_066;S27-02;47.58;-52.35;221459;20;07-may-00;04:30:00;20.47;8.78992163009404;0.17;0.39;0;2.17;1.88
18TL00002_066;S27-02;47.58;-52.35;221460;11;07-may-00;04:30:00;10.89;8.80992163009404;0;0.42;0;2.13;2.13
18TL00002_066;S27-02;47.58;-52.35;221461;5;07-may-00;04:30:00;5.13;8.79992163009404;0;0.39;0;1.96;1.73
18TL00002_067;STN27;47.5467;-52.5867;221462;165;07-may-00;06:33:00;166.13;7.24993506493507;11.76;1.1;9.1;NaN;NaN
18TL00002_067;STN27;47.5467;-52.5867;221463;150;07-may-00;06:33:00;151.1;7.6199328257949;9.84;1.06;8.77;NaN;NaN
18TL00002_067;STN27;47.5467;-52.5867;221464;100;07-may-00;06:33:00;100.36;8.35992386923421;3.64;0.83;5.14;0.31;0.31
18TL00002_067;STN27;47.5467;-52.5867;221465;74;07-may-00;06:33:00;74.84;8.31992386923421;2.39;0.89;5.06;2.34;2.01
18TL00002_067;STN27;47.5467;-52.5867;221466;50;07-may-00;06:33:00;50.58;8.75992163009404;0.52;0.55;1;4.03;4.98
18TL00002_067;STN27;47.5467;-52.5867;221467;40;07-may-00;06:33:00;40.42;8.87991939095387;0.15;0.39;0;3.24;3.62
18TL00002_067;STN27;47.5467;-52.5867;221468;30;07-may-00;06:33:00;30.17;8.88992163009405;0;0.44;0;2.94;2.57
18TL00002_067;STN27;47.5467;-52.5867;221469;20;07-may-00;06:33:00;20.52;8.87991939095387;0;0.42;0;2.84;2.46
18TL00002_067;STN27;47.5467;-52.5867;221470;10;07-may-00;06:33:00;10.56;8.87991939095387;0;0.45;0;2.72;2.35
18TL00002_067;STN27;47.5467;-52.5867;221471;5;07-may-00;06:33:00;5.46;8.85991939095388;0;0.46;0;3.01;2.59
18TL00002_069;SEGB-10;44.3633;-51.1033;197961;65;24-apr-00;04:21:00;65.23;7.17993506493506;1.44;1.54;1.6;3.27;3.49
18TL00002_069;SEGB-10;44.3633;-51.1033;197962;50;24-apr-00;04:21:00;49.98;7.3699328257949;0.5;1.27;0.48;0.37;0.41
18TL00002_069;SEGB-10;44.3633;-51.1033;197963;39;24-apr-00;04:21:00;38.97;7.83993058665473;0.18;1.05;0.38;0.4;0.3
18TL00002_069;SEGB-10;44.3633;-51.1033;197964;28;24-apr-00;04:21:00;28.45;7.89993058665473;0.29;1;0.3;0.48;0.48
18TL00002_069;SEGB-10;44.3633;-51.1033;197965;19;24-apr-00;04:21:00;18.89;7.92992834751456;0.15;0.84;0.26;0.54;0.53
18TL00002_069;SEGB-10;44.3633;-51.1033;197966;11;24-apr-00;04:21:00;10.71;7.93992834751456;0.29;1.1;0.3;0.58;0.58
18TL00002_069;SEGB-10;44.3633;-51.1033;197967;6;24-apr-00;04:21:00;5.72;7.93992834751456;0.22;0.96;0.2;0.61;0.59
18TL00002_080;SEGB-11;44;-50.8083;197968;66;24-apr-00;07:42:00;66.13;7.3899328257949;1.59;1.45;0.22;0.68;0.54
18TL00002_080;SEGB-11;44;-50.8083;197969;50;24-apr-00;07:42:00;49.9;7.5499328257949;0.86;1.13;0;0.37;0.35
18TL00002_080;SEGB-11;44;-50.8083;197970;39;24-apr-00;07:42:00;39.7;7.75993058665472;0.36;0.97;0;0.44;0.45
18TL00002_080;SEGB-11;44;-50.8083;197971;29;24-apr-00;07:42:00;29.57;7.79993058665473;0.4;1.03;0;0.5;0.49
18TL00002_080;SEGB-11;44;-50.8083;197972;21;24-apr-00;07:42:00;20.9;7.79993058665473;0.33;0.93;0;0.49;0.52
18TL00002_080;SEGB-11;44;-50.8083;197973;10;24-apr-00;07:42:00;10.44;7.80993058665473;0.3;0.98;0;0.58;0.56
18TL00002_080;SEGB-11;44;-50.8083;197974;5;24-apr-00;07:42:00;5.39;7.80993058665473;0.36;1.03;0;0.46;0.46
18TL00002_091;SEGB-12;43.6333;-50.5167;197975;60;24-apr-00;11:01:00;60.14;7.69993058665472;2.13;1.61;0.79;0.65;0.51
18TL00002_091;SEGB-12;43.6333;-50.5167;197976;49;24-apr-00;11:01:00;49.31;8.01992834751456;0.92;1.17;0;0.56;0.55
18TL00002_091;SEGB-12;43.6333;-50.5167;197977;39;24-apr-00;11:01:00;39.57;8.06992834751455;0.36;0.74;0.36;0.61;0.71
18TL00002_091;SEGB-12;43.6333;-50.5167;197978;30;24-apr-00;11:01:00;29.88;8.06992834751455;0.44;0.78;0.4;0.66;0.67
18TL00002_091;SEGB-12;43.6333;-50.5167;197979;19;24-apr-00;11:01:00;19.42;8.04992834751456;0.38;0.74;0.44;0.52;0.51
18TL00002_091;SEGB-12;43.6333;-50.5167;197980;10;24-apr-00;11:01:00;10.08;8.03992834751456;0.45;0.78;0.42;0.54;0.54
18TL00002_091;SEGB-12;43.6333;-50.5167;197981;4;24-apr-00;11:01:00;4.37;8.04992834751456;0.48;0.82;0.41;0.57;0.58
18TL00002_102;SEGB-13;43.2;-50.1667;197982;64;24-apr-00;14:40:00;64.6;7.91992834751456;4.09;1.3;5.3;3.5;4.33
18TL00002_102;SEGB-13;43.2;-50.1667;197983;51;24-apr-00;14:40:00;50.9;7.90992834751456;3.86;1.21;5.15;3.17;3.55
18TL00002_102;SEGB-13;43.2;-50.1667;197984;40;24-apr-00;14:40:00;40.5;8.00992834751456;3.75;1.23;5.4;3.79;4.67
18TL00002_102;SEGB-13;43.2;-50.1667;197985;30;24-apr-00;14:40:00;30.6;8.95991939095387;0.16;0.47;0.3;5.41;6.11
