CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU18051_1699;101;47.82383;-64.2465;454632;34.9;16-oct-18;02:17:00;29.7;8.12;296.58706;8.201;6.661;2.91;0.09;1.35;0.475;1.028;NaN
18HU18051_1699;101;47.82383;-64.2465;454633;25.68;16-oct-18;02:17:00;29.62;8.14;301.32102;8.216;6.7605;2.265;0.075;1.065;0.42;1.601;1.405
18HU18051_1699;101;47.82383;-64.2465;454634;15.47;16-oct-18;02:17:00;29.6;8.22;301.49966;8.219;NaN;NaN;NaN;NaN;NaN;1.746;1.6
18HU18051_1699;101;47.82383;-64.2465;454635;4.96;16-oct-18;02:17:00;29.51;8.58;301.85694;8.229;6.7525;2.655;0.06;0.82;0.385;1.771;1.65
18HU18051_1700;241;47.881;-62.413;454682;81.69;20-oct-18;20:01:00;32.02;0.54;286.98516;7.904;6.346;13.68;0.08;10.9;1.18;0.122;NaN
18HU18051_1700;241;47.881;-62.413;454683;25.19;20-oct-18;20:01:00;30.69;5.95;310.56564;8.122;6.93;3.45;0.125;1.7;0.525;0.894;0.785
18HU18051_1700;241;47.881;-62.413;454684;14.97;20-oct-18;20:01:00;30.67;6.12;311.5035;8.148;NaN;NaN;NaN;NaN;NaN;1.004;0.85
18HU18051_1700;241;47.881;-62.413;454685;2.97;20-oct-18;20:01:00;30.68;6.1;312.08408;8.153;6.9605;3.34;0.12;1.64;0.515;0.963;0.875
18HU18051_1701;251;47.40567;-62.59583;454686;62.86;21-oct-18;01:13:00;31.22;0.81;244.7368;7.779;5.453;21.035;0.61;5.885;1.33;0.294;NaN
18HU18051_1701;251;47.40567;-62.59583;454687;25.68;21-oct-18;01:13:00;29.53;8.81;295.11328;8.18;6.628;1.45;0.105;0.65;0.33;1.049;1.325
18HU18051_1701;251;47.40567;-62.59583;454688;15.97;21-oct-18;01:13:00;29.54;8.82;295.29192;8.199;NaN;NaN;NaN;NaN;NaN;1.076;1.365
18HU18051_1701;251;47.40567;-62.59583;454689;3.47;21-oct-18;01:13:00;29.54;8.82;295.15794;8.204;6.617;1.415;0.115;0.635;0.315;1.114;1.36
18HU18051_1702;261;47.4995;-62.751;454690;48.98;21-oct-18;03:07:00;31.17;1.55;269.43378;7.876;5.9975;16.945;0.12333;6.59667;1.18333;0.225;NaN
18HU18051_1702;261;47.4995;-62.751;454691;25.68;21-oct-18;03:07:00;29.68;8.75;293.8628;8.166;6.615;2.06;0.115;0.815;0.33;0.985;1.175
18HU18051_1702;261;47.4995;-62.751;454692;15.57;21-oct-18;03:07:00;29.69;8.78;294.3094;8.194;NaN;NaN;NaN;NaN;NaN;0.976;1.155
18HU18051_1702;261;47.4995;-62.751;454693;3.37;21-oct-18;03:07:00;29.69;8.78;294.26474;8.199;6.605;2.09;0.115;0.8;0.32;1.018;1.14
18HU18051_1703;271;47.499;-63.251;454694;72.58;21-oct-18;06:24:00;31.74;0.38;229.37376;7.724;5.068;25.885;0.105;12.98;1.505;0.16;NaN
18HU18051_1703;271;47.499;-63.251;454695;25.29;21-oct-18;06:24:00;29.79;7.31;304.3579;8.148;6.8685;3.12;0.085;1.695;0.46;1.031;1.045
18HU18051_1703;271;47.499;-63.251;454696;15.97;21-oct-18;06:24:00;29.79;7.34;304.44722;8.165;NaN;NaN;NaN;NaN;NaN;1.069;1.13
18HU18051_1703;271;47.499;-63.251;454697;2.97;21-oct-18;06:24:00;29.78;7.35;304.3579;8.168;6.8105;2.965;0.085;1.63;0.46;1.075;1.075
18HU18051_1704;281;47.83067;-63.25617;454698;80.01;21-oct-18;09:39:00;31.92;0.34;229.95434;7.731;5.106;25.78;0.095;14.085;1.525;0.163;NaN
18HU18051_1704;281;47.83067;-63.25617;454699;26.28;21-oct-18;09:39:00;30.48;5.35;312.48602;8.115;6.9245;4.425;0.14;2.38;0.62;0.869;0.935
18HU18051_1704;281;47.83067;-63.25617;454700;15.67;21-oct-18;09:39:00;30.46;5.39;312.93262;8.127;NaN;NaN;NaN;NaN;NaN;0.967;0.925
18HU18051_1704;281;47.83067;-63.25617;454701;2.08;21-oct-18;09:39:00;30.46;5.57;313.33456;8.136;6.9675;4.18;0.14;2.19;0.6;1.026;1.075
18HU18051_1705;291;47.78583;-64.0325;454702;77.33;21-oct-18;14:25:00;31.8;1.22;255.41054;7.835;5.674;19.275;0.12;11.455;1.355;0.162;NaN
18HU18051_1705;291;47.78583;-64.0325;454703;25.78;21-oct-18;14:25:00;29.5;6.48;313.78116;8.166;6.991;1.715;0.12;1.565;0.515;0.814;0.96
18HU18051_1705;291;47.78583;-64.0325;454704;16.16;21-oct-18;14:25:00;29.43;6.49;315.0763;8.175;NaN;NaN;NaN;NaN;NaN;1.051;1.345
18HU18051_1705;291;47.78583;-64.0325;454705;2.38;21-oct-18;14:25:00;29.43;6.52;314.76368;8.179;7.0285;1.815;0.11;1.62;0.5;1.059;1.53
18HU18051_1706;301;47.934;-65.25283;454706;64.84;22-oct-18;03:12:00;31.1;3.24;270.28232;7.967;5.998;12.285;0.13;8.845;1.095;0.156;NaN
18HU18051_1706;301;47.934;-65.25283;454707;25.58;22-oct-18;03:12:00;29.7;7.19;305.87634;8.18;6.852;2.285;0.11;1.495;0.515;1.275;0.98
18HU18051_1706;301;47.934;-65.25283;454708;14.97;22-oct-18;03:12:00;29.7;7.19;306.01032;8.188;NaN;NaN;NaN;NaN;NaN;1.177;0.955
18HU18051_1706;301;47.934;-65.25283;454709;3.67;22-oct-18;03:12:00;29.7;7.21;305.74236;8.187;6.8415;2.295;0.12;1.535;0.52;1.224;1.02
18HU18051_1707;61;47.831;-63.75083;454616;73.66;15-oct-18;14:59:00;31.89;0.73;242.01254;7.854;5.4055;22.795;0.1;12.305;1.45;0.15;NaN
