CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU18028_1688;151;47.10567;-60.0025;454780;25.39;25-oct-18;21:02:00;29.52;9.03;289.12884;8.174;NaN;2.62;0.1;1.035;0.365;0.793;1.65
18HU18028_1688;151;47.10567;-60.0025;454781;16.06;25-oct-18;21:02:00;29.49;9.11;289.21816;8.184;NaN;2.545;0.105;0.955;0.345;0.825;1.77
18HU18028_1688;151;47.10567;-60.0025;454782;5.16;25-oct-18;21:02:00;29.46;9.11;289.53078;8.186;6.586;2.57;0.105;0.93;0.33;0.859;1.83
18HU18028_1688;151;47.10567;-60.0025;454783;2.88;25-oct-18;21:02:00;29.47;9.11;289.1735;8.185;NaN;2.535;0.105;0.935;0.345;0.85;1.735
18HU18028_1689;161;47.26383;-59.78667;454784;454.18;25-oct-18;23:27:00;34.98;5.9;155.55078;7.916;3.452;33.225;0.025;22.9;1.765;0.077;NaN
18HU18028_1689;161;47.26383;-59.78667;454785;400.05;25-oct-18;23:27:00;34.97;6.05;153.13914;7.921;NaN;29.67;0.02;23.18;1.74;0.089;NaN
18HU18028_1689;161;47.26383;-59.78667;454786;300.85;25-oct-18;23:27:00;34.79;6.76;114.41892;7.853;NaN;30.48;0.015;24.15;1.805;0.095;NaN
18HU18028_1689;161;47.26383;-59.78667;454787;200.42;25-oct-18;23:27:00;34.13;5.64;174.48662;7.912;NaN;19.44;0.02;18.44;1.45;0.105;NaN
18HU18028_1689;161;47.26383;-59.78667;454788;100.53;25-oct-18;23:27:00;32.29;1.54;307.39478;7.999;NaN;5.835;0.02;7.48;0.89;0.117;0.06
18HU18028_1689;161;47.26383;-59.78667;454789;50.07;25-oct-18;23:27:00;31.86;3.44;317.7559;8.063;7.145;2.63;0.02667;3.42667;0.64667;0.239;0.25
18HU18028_1689;161;47.26383;-59.78667;454790;25.29;25-oct-18;23:27:00;30.65;8.16;297.56958;8.184;NaN;1.155;0.075;0.635;0.305;0.811;1.56
