CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU99053_551;11;46.8835;-60.14983;226402;149.5;04-dec-99;11:57:00;33.88;4.38;234.10772;4.53666659202866;15.4;0.15;16.58;1.3;0.03;0.05;0.769
18HU99053_551;11;46.8835;-60.14983;226403;98.55;04-dec-99;11:57:00;32.62;2.99;272.15804;6.347;8.21;0.15;11.39;1.19;0.03;0.05;0.832
18HU99053_551;11;46.8835;-60.14983;226404;49.78;04-dec-99;11:57:00;31.13;4.54;295.8725;7.077;5.45;0.24;4.73;0.79;0.28;0.26;1.375
18HU99053_551;11;46.8835;-60.14983;226405;24.69;04-dec-99;11:57:00;30.48;5.3;304.22392;7.23;5.64;0.34;5.36;0.87;0.57;0.5;1.388
18HU99053_551;11;46.8835;-60.14983;226406;14.78;04-dec-99;11:57:00;30.48;5.29;303.42004;7.233;4.72;0.26;4.69;0.77;0.42;0.36;1.998
18HU99053_551;11;46.8835;-60.14983;226407;5.16;04-dec-99;11:57:00;30.48;5.29;302.39286;7.227;5.08;0.27;4.93;0.8;0.49;0.4;1.179
18HU99053_551;11;46.8835;-60.14983;226408;2.98;04-dec-99;11:57:00;30.48;5.29;NaN;7.181;5.98;0.35;5.96;0.82;0.47;0.39;1.33
18HU99053_552;21;46.9835;-60.03367;226409;149.49;04-dec-99;13:17:00;33.74;4.06;232.9019;5.674;15.39;0.15;17.59;1.31;0.02;0.03;0.471
18HU99053_552;21;46.9835;-60.03367;226410;98.95;04-dec-99;13:17:00;32.94;3.03;255.05326;5.738;11.95;0.11;14.25;1.17;0.06;0.09;0.533
18HU99053_552;21;46.9835;-60.03367;226411;49.88;04-dec-99;13:17:00;31.73;3.96;273.36386;7.271;7.79;0.23;7.43;0.83;0.16;0.18;0.864
18HU99053_552;21;46.9835;-60.03367;226412;24.89;04-dec-99;13:17:00;30.53;5.23;291.13854;7.252;5.73;0.27;5.06;0.71;0.32;0.37;1.343
18HU99053_552;21;46.9835;-60.03367;226413;15.17;04-dec-99;13:17:00;30.53;5.23;292.0764;7.693;5.41;0.27;4.91;0.62;0.39;0.39;1.493
18HU99053_552;21;46.9835;-60.03367;226414;4.76;04-dec-99;13:17:00;30.53;5.23;291.1832;7.206;5.89;0.24;4.22;0.88;0.46;0.38;1.82
18HU99053_552;21;46.9835;-60.03367;226415;3.17;04-dec-99;13:17:00;30.53;5.23;291.09388;7.133;6.01;0.23;4.3;0.75;0.55;0.46;1.675
18HU99053_553;31;47.083;-59.91583;226416;370.76;04-dec-99;14:54:00;34.76;5.23;166.62646;3.674;32.64;0.07;23.42;1.74;0.01;0.01;0.392
18HU99053_553;31;47.083;-59.91583;226417;347.39;04-dec-99;14:54:00;34.73;5.36;169.39538;4.819;30.21;0.05;24.01;1.82;0.01;0.01;0.453
18HU99053_553;31;47.083;-59.91583;226418;297.98;04-dec-99;14:54:00;34.64;5.56;177.12156;4.026;28.03;0.06;23.85;1.79;0;0.01;0.484
18HU99053_553;31;47.083;-59.91583;226419;247.97;04-dec-99;14:54:00;34.52;5.81;192.79722;3.488;18.01;0.1;22.45;1.59;0;0.01;0.63
18HU99053_553;31;47.083;-59.91583;226420;198.14;04-dec-99;14:54:00;34.19;5.5;227.94464;5.866;16.94;0.07;19.58;1.51;0.01;0.02;0.332
18HU99053_553;31;47.083;-59.91583;226421;148.01;04-dec-99;14:54:00;33.42;2.95;263.31536;5.689;12.35;0.06;14.04;1.22;0.01;0.03;0.36
18HU99053_553;31;47.083;-59.91583;226422;97.96;04-dec-99;14:54:00;32.83;1.55;278.32112;6.684;8.46;0.06;9.9;1.1;0.03;0.04;0.368
18HU99053_553;31;47.083;-59.91583;226423;49.38;04-dec-99;14:54:00;31.79;4.58;306.63556;7.675;3.39;0.23;2.96;0.63;0.53;0.48;1.517
18HU99053_553;31;47.083;-59.91583;226424;14.78;04-dec-99;14:54:00;31.06;4.32;302.88412;7.418;5.49;0.25;4.3;0.67;0.51;0.44;1.698
18HU99053_553;31;47.083;-59.91583;226425;5.55;04-dec-99;14:54:00;31.05;4.33;303.10742;7.393;5.27;0.26;4.43;0.71;0.58;0.5;1.794
18HU99053_553;31;47.083;-59.91583;226426;2.08;04-dec-99;14:54:00;31.05;4.33;302.66082;7.414;5.36;0.26;4.42;0.71;0.52;0.45;1.726
18HU99053_554;41;47.18183;-59.80033;226428;396.09;04-dec-99;16:20:00;34.79;5.14;168.32354;3.615;34.23;0.07;23.96;1.66;0;0.01;0.554
18HU99053_554;41;47.18183;-59.80033;226429;347.59;04-dec-99;16:20:00;34.74;5.29;168.94878;3.37;18.53;0.05;19.72;1.54;0;0.01;0.586
18HU99053_554;41;47.18183;-59.80033;226430;297.69;04-dec-99;16:20:00;34.69;5.74;182.57008;3.65;12.73;0.04;14.98;1.32;0;0.01;0.522
