CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL11050_1175;861;47.58317;-59.34067;345935;246.87;13-aug-11;01:46:00;34.64;6.43;178.68466;8.29;3.9945;NaN;NaN;NaN;NaN;NaN;0.19
18TL11050_1175;861;47.58317;-59.34067;345936;4.86;13-aug-11;01:46:00;30.95;14.52;272.78328;8.557;6.102;NaN;NaN;NaN;NaN;NaN;2.656
18TL11050_1176;871;47.43317;-59.55567;345937;457.73;13-aug-11;03:17:00;34.91;5;216.64566;8.32;4.825;21.97;0.01;19.97;1.41;NaN;0.2
18TL11050_1176;871;47.43317;-59.55567;345938;250.64;13-aug-11;03:17:00;34.76;6.4;174.12934;8.299;NaN;17.53;0.005;21.725;1.475;NaN;0.222
18TL11050_1176;871;47.43317;-59.55567;345939;51.26;13-aug-11;03:17:00;32.25;3;323.38306;8.403;NaN;2.5;0.185;2.385;0.605;0.405;1.009
18TL11050_1176;871;47.43317;-59.55567;345940;16.66;13-aug-11;03:17:00;31.08;14.05;273.94444;8.541;NaN;0.62;0.005;0.06;0.14;0.32;1.675
18TL11050_1176;871;47.43317;-59.55567;345941;5.65;13-aug-11;03:17:00;30.25;15.41;264.20856;8.58;5.913;0.615;0.005;0.05;0.09;0.465;1.243
18TL11050_1177;921;47.60017;-59.90083;345943;521.54;13-aug-11;14:52:00;34.91;5.08;210.7952;8.31;4.7235;22.39;0.01;20.365;1.43;NaN;0.204
18TL11050_1177;921;47.60017;-59.90083;345944;249.84;13-aug-11;14:52:00;34.67;6.48;164.61676;8.278;NaN;17.925;0.005;21.185;1.48;NaN;0.218
18TL11050_1177;921;47.60017;-59.90083;345945;50.87;13-aug-11;14:52:00;32.3;2.9;334.5034;8.431;NaN;1.695;0.175;1.68;0.565;0.465;1.404
18TL11050_1177;921;47.60017;-59.90083;345946;33.02;13-aug-11;14:52:00;32.01;5.15;320.12288;8.447;NaN;1.685;0.18;1;0.455;0.455;1.518
18TL11050_1177;921;47.60017;-59.90083;345947;16.26;13-aug-11;14:52:00;31.08;13.99;272.91726;8.535;NaN;0.545;0.01;0.055;0.15;0.37;1.675
18TL11050_1177;921;47.60017;-59.90083;345948;6.45;13-aug-11;14:52:00;30.56;14.7;268.94252;8.573;6.0465;0.68;0.005;0.045;0.12;0.28;1.156
18TL11050_1178;941;47.76717;-60.38817;345949;427.74;13-aug-11;20:50:00;34.9;5.38;179.3099;8.263;4.013;NaN;NaN;NaN;NaN;NaN;0.245
18TL11050_1178;941;47.76717;-60.38817;345950;4.96;13-aug-11;20:50:00;30.19;15.11;268.98718;8.568;6.0395;NaN;NaN;NaN;NaN;NaN;1.724
18TL11050_1179;961;47.95717;-60.89233;345951;245.28;14-aug-11;01:53:00;34.31;5.08;125.89654;8.098;2.827;NaN;NaN;NaN;NaN;NaN;0.22
18TL11050_1179;961;47.95717;-60.89233;345952;5.55;14-aug-11;01:53:00;29.32;15.55;267.33476;8.558;6.0195;NaN;NaN;NaN;NaN;NaN;1.58
