CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL08041_988;101;47.28833;-60.28083;291122;214.29;26-jul-08;20:57:00;34.54;5.41;151.75468;150.10226;24.125;0.02;22.795;1.63;NaN;0.253
18TL08041_988;101;47.28833;-60.28083;291123;50.57;26-jul-08;20:57:00;32.31;0.85;340.21988;NaN;3.475;0.155;4.885;0.745;0.115;0.486
18TL08041_988;101;47.28833;-60.28083;291124;11.01;26-jul-08;20:57:00;30;9.4;297.25696;NaN;1.16;0.01;0.1;0.285;1.215;3.26
18TL08041_988;101;47.28833;-60.28083;291125;15.67;26-jul-08;20:57:00;31.38;6.89;312.8433;NaN;0.97;0.01;0.12;0.35;0.975;2.864
18TL08041_988;101;47.28833;-60.28083;291126;1.19;26-jul-08;20:57:00;27.88;18.88;NaN;284.23857;2.22;0.005;0.145;0.05;0.94;2.568
18TL08041_989;11;46.9585;-60.218;291077;75.65;26-jul-08;00:13:00;32.46;0.72;315.83552;317.3093;NaN;NaN;NaN;NaN;NaN;0.28
18TL08041_989;11;46.9585;-60.218;291078;50.77;26-jul-08;00:13:00;32.1;0.75;326.37528;NaN;NaN;NaN;NaN;NaN;NaN;0.333
18TL08041_989;11;46.9585;-60.218;291079;12.99;26-jul-08;00:13:00;29.63;11.32;290.69194;NaN;NaN;NaN;NaN;NaN;NaN;4.66
18TL08041_989;11;46.9585;-60.218;291080;12.99;26-jul-08;00:13:00;29.64;11.28;290.69194;NaN;NaN;NaN;NaN;NaN;NaN;4.678
18TL08041_989;11;46.9585;-60.218;291081;2.78;26-jul-08;00:13:00;28.05;19.49;254.87462;259.94353;NaN;NaN;NaN;NaN;NaN;2.185
18TL08041_990;111;47.7975;-60.32167;291131;466.72;27-jul-08;00:47:00;34.79;4.99;169.17208;170.08761;30.34;0.01;22.275;1.68;NaN;0.249
18TL08041_990;111;47.7975;-60.32167;291132;250.63;27-jul-08;00:47:00;34.48;5.52;157.47116;154.32263;21.665;0.015;22.345;1.64;NaN;0.222
18TL08041_990;111;47.7975;-60.32167;291133;50.86;27-jul-08;00:47:00;31.95;0.6;359.2897;NaN;3.1;0.215;3.53;0.735;0.31;0.812
18TL08041_990;111;47.7975;-60.32167;291134;30.94;27-jul-08;00:47:00;31.26;6.12;329.45682;NaN;2.13;0.01;0.11;0.47;1.835;4.721
18TL08041_990;111;47.7975;-60.32167;291135;15.47;27-jul-08;00:47:00;30.88;15.51;272.96192;NaN;0.545;0.01;0.085;0.28;0.41;1.783
18TL08041_990;111;47.7975;-60.32167;291136;2.78;27-jul-08;00:47:00;30.3;16.9;258.62606;265.30273;0.755;0.02;0.125;0.27;0.26;1.157
18TL08041_991;131;47.794;-60.65633;291137;202.59;27-jul-08;04:06:00;34.26;4.96;128.66546;126.3878;27.46;0.04;23.645;1.865;NaN;0.267
18TL08041_991;131;47.794;-60.65633;291138;49.58;27-jul-08;04:06:00;32.14;0.31;351.34022;NaN;4.63;0.225;4.9;0.82;0.195;0.706
18TL08041_991;131;47.794;-60.65633;291139;24.89;27-jul-08;04:06:00;31.59;2.06;366.6586;NaN;3.61;0.055;0.415;0.595;2.3;5.309
18TL08041_991;131;47.794;-60.65633;291140;14.87;27-jul-08;04:06:00;31.04;11.19;284.17158;NaN;0.77;0.015;0.11;0.295;0.565;2.507
18TL08041_991;131;47.794;-60.65633;291141;2.78;27-jul-08;04:06:00;29.76;18.26;251.34648;255.92413;0.4;0.015;0.105;0.155;0.295;1.041
18TL08041_992;21;47.02333;-60.11617;291082;175.95;26-jul-08;01:00:00;34.26;4.93;168.68082;168.07791;20.74;0.04;19.32;1.44;NaN;0.239
18TL08041_992;21;47.02333;-60.11617;291083;50.67;26-jul-08;01:00:00;31.83;0.52;331.91312;NaN;6.68;0.21;5.755;0.85;0.13;0.566
18TL08041_992;21;47.02333;-60.11617;291084;15.67;26-jul-08;01:00:00;30.02;7.91;295.06862;NaN;1.87;0.035;0.24;0.35;1.775;4.231
18TL08041_992;21;47.02333;-60.11617;291085;15.67;26-jul-08;01:00:00;30.01;7.93;295.06862;NaN;1.585;0.03;0.205;0.34;1.78;4.276
18TL08041_992;21;47.02333;-60.11617;291086;2.48;26-jul-08;01:00:00;28.17;19.35;255.6785;260.43479;1.485;0.01;0.145;0.03;0.68;2.098
18TL08041_993;31;47.10283;-59.98417;291087;329.47;26-jul-08;03:41:00;34.75;5.21;159.61484;160.50804;27.675;0.025;22.675;1.65;NaN;0.234
18TL08041_993;31;47.10283;-59.98417;291088;250.05;26-jul-08;03:41:00;34.56;5.41;156.39932;155.50612;23.79;0.025;22.725;1.635;NaN;0.238
18TL08041_993;31;47.10283;-59.98417;291089;50.57;26-jul-08;03:41:00;32.03;0.72;351.51886;NaN;3.865;0.245;4.275;0.735;0.285;0.857
18TL08041_993;31;47.10283;-59.98417;291090;21.52;26-jul-08;03:41:00;31.09;8.37;316.05882;NaN;1.24;0.015;0.12;0.375;1.52;3.704
18TL08041_993;31;47.10283;-59.98417;291091;15.67;26-jul-08;03:41:00;31.07;11.02;297.03366;NaN;0.99;0.01;0.1;0.31;1.01;2.877
