CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL17177_2419;1071;47.689;-64.17633;441611;4.07;23-sep-17;11:33:00;27.86;14.27;281.04538;1.175;1.91;0.145;0.18;0.02;283.32304;3.767
18TL17177_2420;1081;47.81517;-64.37283;441612;29.65;23-sep-17;14:23:00;29.9;6.6;270.23766;0.13;8.68;0.745;4.23;0.14;266.57554;0.459
18TL17177_2420;1081;47.81517;-64.37283;441613;4.66;23-sep-17;14:23:00;27.99;14.27;278.76772;1.795;2.24;0.22;0.395;0.02;279.03568;5.996
18TL17177_2421;1091;47.57383;-64.39617;441614;45.51;23-sep-17;17:25:00;30.81;3.46;282.29586;0.18;7.465;0.795;4.85;0.13;286.47157;0.525
18TL17177_2421;1091;47.57383;-64.39617;441615;23.9;23-sep-17;17:25:00;28.81;10.22;298.28414;0.22;2.02;0.275;0.69;0.04;NaN;0.907
18TL17177_2421;1091;47.57383;-64.39617;441616;3.47;23-sep-17;17:25:00;28.05;13.9;287.8337;0.98;1.415;0.11;0.105;0.02;291.76378;2.645
18TL17177_2422;11;46.06833;-63.31083;437791;16.26;05-sep-17;23:14:00;28.49;16.1;231.47278;3.83;2.71;0.605;0.42;0.08;246.2999;9.686
18TL17177_2422;11;46.06833;-63.31083;437792;4.46;05-sep-17;23:14:00;28.26;17.46;273.40852;2.46;1.345;0.4;0.34;0.04;271.01921;7.619
18TL17177_2423;1101;47.43583;-64.66;441617;28.06;23-sep-17;20:27:00;29.65;7.48;242.10186;0.19;10.975;0.845;4.535;0.16;243.01739;0.573
18TL17177_2423;1101;47.43583;-64.66;441618;4.16;23-sep-17;20:27:00;27.54;16.42;265.727;1.11;1.91;0.1;0.105;0.02;268.47359;3.609
18TL17177_2424;111;46.0605;-62.056;437811;37.29;07-sep-17;07:31:00;30.41;3.73;264.96778;0.125;11.07;0.86;3.415;0.42;NaN;0.355
18TL17177_2424;111;46.0605;-62.056;437812;24.89;07-sep-17;07:31:00;29.79;6.33;254.7853;0.18;9.87;0.765;3.03;0.405;NaN;0.806
18TL17177_2424;111;46.0605;-62.056;437813;4.66;07-sep-17;07:31:00;27.17;18.07;251.52512;1.045;1.555;0.075;0.27;0.04;252.68628;4.007
18TL17177_2425;1111;47.32433;-64.39067;441619;49.58;23-sep-17;23:18:00;31.28;1.36;259.07266;0.13;17.485;1.205;10.19;0.12;255.94646;0.502
18TL17177_2425;1111;47.32433;-64.39067;441620;24.49;23-sep-17;23:18:00;29.39;9.01;290.0667;0.245;3.08;0.52;2.16;0.08;NaN;1.051
18TL17177_2425;1111;47.32433;-64.39067;441621;4.76;23-sep-17;23:18:00;27.69;15.91;269.70174;0.915;1.71;0.08;0.145;0.02;277.24928;3.413
18TL17177_2426;1121;47.24367;-64.51233;441622;36.99;24-sep-17;01:31:00;30.47;3.95;253.84744;0.095;14.865;1.025;7.575;0.135;253.11055;0.377
18TL17177_2426;1121;47.24367;-64.51233;441623;23.9;24-sep-17;01:31:00;29.45;7.84;267.46874;0.17;7.75;0.79;4.84;0.13;NaN;0.761
18TL17177_2426;1121;47.24367;-64.51233;441624;4.66;24-sep-17;01:31:00;27.29;16.73;264.02992;1.06;2.29;0.125;0.285;0.02;265.21341;3.821
18TL17177_2427;1131;47.095;-64.638;441625;25.19;24-sep-17;04:41:00;29.25;8.68;217.98546;0.45;11.805;0.81;3.94;0.245;223.59029;0.923
18TL17177_2427;1131;47.095;-64.638;441626;4.86;24-sep-17;04:41:00;27.49;16.24;267.0668;1.93;3.13;0.22;0.41;0.035;262.33284;4.596
18TL17177_2428;1141;47.1615;-64.33183;441627;41.55;24-sep-17;07:32:00;30.68;2.27;235.3582;0.13;21.69;1.18;10.015;0.12;234.44267;0.392
18TL17177_2428;1141;47.1615;-64.33183;441628;24.29;24-sep-17;07:32:00;28.64;10.79;247.59504;0.61;6.365;0.59;2.9;0.13;NaN;1.242
18TL17177_2428;1141;47.1615;-64.33183;441629;4.96;24-sep-17;07:32:00;27.66;15.75;268.6299;1.25;1.535;0.165;0.1;0.02;271.9794;4.175
18TL17177_2429;1151;46.89583;-64.54083;441630;30.24;24-sep-17;11:14:00;29.46;5.47;217.22624;0.315;17.105;1.1;7.015;0.125;217.06993;0.975
18TL17177_2429;1151;46.89583;-64.54083;441631;4.36;24-sep-17;11:14:00;27.47;16.22;261.0377;1.29;5.49;0.37;1.4;0.05;249.93969;4.022
18TL17177_2430;1161;46.99133;-64.32967;441632;33.52;24-sep-17;14:31:00;30.32;2.47;210.97384;0.16;20.52;1.19;9.065;0.115;214.68062;0.519
18TL17177_2430;1161;46.99133;-64.32967;441633;23.8;24-sep-17;14:31:00;29.41;7.09;237.3679;0.2;16.84;1.06;7.915;0.11;NaN;0.685
18TL17177_2430;1161;46.99133;-64.32967;441634;3.17;24-sep-17;14:31:00;27.42;16.4;261.61828;1.19;3.715;0.23;0.785;0.04;255.09792;3.695
18TL17177_2431;1171;47.03983;-64.24917;441635;36.69;24-sep-17;16:28:00;30.76;1.58;198.02244;0.12;25.95;1.305;9.96;0.135;194.271;0.457
18TL17177_2431;1171;47.03983;-64.24917;441636;24.1;24-sep-17;16:28:00;28.83;7.76;214.01072;0.71;12.675;0.86;5.395;0.13;NaN;1.42
18TL17177_2431;1171;47.03983;-64.24917;441637;3.77;24-sep-17;16:28:00;27.66;15.83;268.36194;1.35;2.99;0.19;0.69;0.035;263.38235;4.97
18TL17177_2432;1191;47.43367;-64.01133;441638;39.17;25-sep-17;01:19:00;31.16;1.66;264.11924;0.07;16.625;1.13;9.565;0.125;260.74741;0.311
18TL17177_2432;1191;47.43367;-64.01133;441639;24.49;25-sep-17;01:19:00;30.31;3.77;279.125;0.115;10.225;0.895;7.085;0.1;NaN;0.482
18TL17177_2432;1191;47.43367;-64.01133;441640;3.97;25-sep-17;01:19:00;27.66;16;264.8338;0.71;4.53;0.445;2.5;0.07;271.46581;4.651
18TL17177_2433;1201;47.5285;-63.84367;441641;63.06;25-sep-17;03:58:00;31.8;0.43;235.22422;0.06;21.825;1.41;13.505;0.1;239.62323;0.245
18TL17177_2433;1201;47.5285;-63.84367;441642;49.18;25-sep-17;03:58:00;31.73;0.42;234.33102;0.06;21.855;1.435;13.505;0.09;NaN;0.19
18TL17177_2433;1201;47.5285;-63.84367;441643;24.49;25-sep-17;03:58:00;29.98;4.49;249.60474;0.09;16.07;1.105;9.695;0.1;NaN;0.583
18TL17177_2433;1201;47.5285;-63.84367;441644;4.66;25-sep-17;03:58:00;27.81;15.92;263.18138;0.93;3.01;0.235;1.035;0.03;269.99203;4.482
18TL17177_2434;121;45.9015;-62.10417;437814;36.1;07-sep-17;10:08:00;30.72;2.6;255.85714;0.11;14.455;1.025;4.045;0.355;NaN;0.499
18TL17177_2434;121;45.9015;-62.10417;437815;24.1;07-sep-17;10:08:00;29.18;9.96;239.64556;1.055;7.06;0.59;0.775;0.11;NaN;2.71
18TL17177_2434;121;45.9015;-62.10417;437816;4.36;07-sep-17;10:08:00;28.04;17.45;256.88432;1.085;2.03;0.14;0.25;0.04;258.20179;3.732
18TL17177_2435;1211;47.471;-63.837;441645;59.89;25-sep-17;06:14:00;31.78;0.43;241.92322;0.07;21.19;1.4;13.195;0.1;242.12419;0.289
18TL17177_2435;1211;47.471;-63.837;441646;48.98;25-sep-17;06:14:00;31.6;0.43;252.06104;0.05;20.735;1.325;12.83;0.08;NaN;0.17
18TL17177_2435;1211;47.471;-63.837;441647;24.59;25-sep-17;06:14:00;29.95;4.59;269.5231;0.09;10.47;0.955;7.52;0.1;NaN;0.576
18TL17177_2435;1211;47.471;-63.837;441648;4.86;25-sep-17;06:14:00;27.65;16.08;262.73478;1.095;1.895;0.105;0.195;0.02;267.42408;4.007
18TL17177_2436;1221;47.4635;-63.65317;441649;65.14;25-sep-17;08:34:00;31.84;0.28;220.97768;0.1;24.605;1.44;14.135;0.14;224.84077;0.306
18TL17177_2436;1221;47.4635;-63.65317;441650;49.48;25-sep-17;08:34:00;31.74;0.12;220.35244;0.075;23.955;1.555;13.87;0.135;NaN;0.25
18TL17177_2436;1221;47.4635;-63.65317;441651;24;25-sep-17;08:34:00;29.85;4.13;265.45904;0.08;14.22;1.075;9.065;0.095;NaN;0.587
18TL17177_2436;1221;47.4635;-63.65317;441652;4.46;25-sep-17;08:34:00;27.69;16.11;260.76974;1.385;1.84;0.095;0.1;0.02;255.56685;4.509
18TL17177_2437;1231;47.361;-63.40533;441653;68.71;25-sep-17;11:02:00;31.85;0.09;212.84956;0.06;25.85;1.595;14.115;0.12;212.98354;0.256
18TL17177_2437;1231;47.361;-63.40533;441654;48.29;25-sep-17;11:02:00;31.1;0.55;259.51926;0.045;18.785;1.325;11.63;0.1;NaN;0.219
18TL17177_2437;1231;47.361;-63.40533;441655;23.2;25-sep-17;11:02:00;29.11;7.65;260.72508;0.19;7.92;0.805;4.89;0.08;NaN;1.146
18TL17177_2437;1231;47.361;-63.40533;441656;3.97;25-sep-17;11:02:00;27.7;15.87;263.36002;1.38;1.795;0.125;0.14;0.02;264.81147;4.332
18TL17177_2438;1241;47.48283;-63.20783;441657;74.36;25-sep-17;13:54:00;31.75;-0.11;218.47672;0.05;25.535;1.555;13.45;0.115;216.22139;0.268
18TL17177_2438;1241;47.48283;-63.20783;441658;48.88;25-sep-17;13:54:00;31.55;-0.37;218.92332;0.06;23.735;1.59;12.86;0.09;NaN;0.235
18TL17177_2438;1241;47.48283;-63.20783;441659;23.6;25-sep-17;13:54:00;29.02;7.77;257.55422;0.165;8.715;1.23;5.83;0.095;NaN;1.035
