CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;SSAL_XX;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3)
18PZ94029_080;CAST#1;43.4833;-62.45;123842;80;28-oct-94;17:15:00;33.884;7.028;236.38538;NaN;8.0955;1.0005;11.4265
18PZ94029_080;CAST#1;43.4833;-62.45;123843;50;28-oct-94;17:15:00;32.998;5.206;269.9697;NaN;5.734;0.8685;8.0065
18PZ94029_080;CAST#1;43.4833;-62.45;123844;35;28-oct-94;17:15:00;33.296;14.227;275.23958;NaN;2.097;0.3605;1.093
18PZ94029_080;CAST#1;43.4833;-62.45;123845;20;28-oct-94;17:15:00;31.702;13.103;277.69588;NaN;1.083;0.278;0.0695
18PZ94029_080;CAST#1;43.4833;-62.45;123846;12;28-oct-94;17:15:00;31.666;13.073;281.73761;NaN;0.963;0.2635;0.04
18PZ94029_080;CAST#1;43.4833;-62.45;123847;2;28-oct-94;17:15:00;31.65;13.065;291.8531;NaN;0.939;0.239;0
18PZ94029_080;CAST#1;43.4833;-62.45;123848;75;28-oct-94;17:15:00;33.884;7.027;NaN;33.91;8.352;1.0075;10.9955
18PZ94029_080;17;43.48333;-63.45;123848;75;28-oct-94;17:42:00;33.884;7.027;NaN;33.91;8.352;1.0075;10.9955
18PZ94029_080;17;43.48333;-63.45;123849;50;28-oct-94;17:42:00;32.998;5.206;NaN;32.958;4.73;0.8185;6.0705
18PZ94029_080;CAST#1;43.4833;-62.45;123849;50;28-oct-94;17:15:00;32.998;5.206;NaN;32.958;4.73;0.8185;6.0705
18PZ94029_080;17;43.48333;-63.45;123850;25;28-oct-94;17:42:00;31.852;12.83;NaN;31.792;1.027;0.2725;0.116
18PZ94029_080;CAST#1;43.4833;-62.45;123850;25;28-oct-94;17:15:00;31.852;12.83;NaN;31.792;1.027;0.2725;0.116
18PZ94029_080;CAST#1;43.4833;-62.45;123851;10;28-oct-94;17:15:00;31.65;13.07;NaN;31.669;0.9715;0.259;0.0565
18PZ94029_080;17;43.48333;-63.45;123851;10;28-oct-94;17:42:00;31.65;13.07;NaN;31.669;0.9715;0.259;0.0565
18PZ94029_091;CAST#1;43.18;-62.0983;123852;80;28-oct-94;20:06:00;33.873;7.412;252.06104;NaN;6.725;0.9035;10.07
18PZ94029_091;CAST#1;43.18;-62.0983;123853;50;28-oct-94;20:06:00;32.718;4.708;289.93272;NaN;4.9715;0.7965;6.4055
18PZ94029_091;CAST#1;43.18;-62.0983;123854;25;28-oct-94;20:06:00;31.78;12.62;282.2512;NaN;1.811;0.3845;1.347
