CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;OXYM_01;SSAL_XX;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);((none));(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
180167001_284;A;44.58333;-64.03333;-33;25;19-mar-67;00:00:00;NaN;350;31.407;0.6;9.64;0.75;5.09;0.25
180167001_284;A;44.58333;-64.03333;-34;40;19-mar-67;00:00:00;NaN;335;31.566;1;6.68;1.32;5.95;0.33
180167001_284;A;44.58333;-64.03333;-35;53;19-mar-67;00:00:00;NaN;325;31.613;1;10.75;0.88;6.58;0.25
180167001_285;A;44.58333;-64.03333;-344;1;06-nov-67;00:00:00;NaN;305;30.696;11.5;3.25;0.29;0.08;2.09
180167001_285;A;44.58333;-64.03333;-345;5;06-nov-67;00:00:00;NaN;300;30.657;11.2;2.9;0.26;0.09;2.36
180167001_285;A;44.58333;-64.03333;-346;10;06-nov-67;00:00:00;NaN;320;30.985;11.6;3.37;0.29;0.24;1.36
180167001_285;A;44.58333;-64.03333;-347;15;06-nov-67;00:00:00;NaN;305;31.149;11.6;2.5;0.23;0.31;1.06
180167001_285;A;44.58333;-64.03333;-348;25;06-nov-67;00:00:00;NaN;285;31.124;11.1;2.9;0.28;0.31;0.83
180167001_285;A;44.58333;-64.03333;-349;40;06-nov-67;00:00:00;NaN;290;31.43;8.1;8.31;0.7;3.49;0.54
180167001_285;A;44.58333;-64.03333;-350;53;06-nov-67;00:00:00;NaN;290;32.11;5.1;12.9;1.03;7.1;0.33
180167001_286;1;44.61465;-64.04746;501001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.21;0.077;2.294
180167001_286;1;44.61465;-64.04746;501005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.22;0.023;2.127
180167001_286;1;44.61465;-64.04746;501010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.25;0.179;1.481
180167001_286;1;44.61465;-64.04746;501015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3;0.186;1.647
180167001_287;2;44.62528;-63.96609;502001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.31;0.072;1.731
180167001_287;2;44.62528;-63.96609;502005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.31;0.111;1.564
180167001_287;2;44.62528;-63.96609;502010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.34;0.053;1.314
180167001_287;2;44.62528;-63.96609;502015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.25;0.311;0.667
180167001_287;2;44.62528;-63.96609;502025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.54;1.278;0.5
180167001_288;3;44.5894;-63.99681;503001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.19;0.002;1.481
180167001_288;3;44.5894;-63.99681;503005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.21;0.005;1.731
180167001_288;3;44.5894;-63.99681;503010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.002;1.731
180167001_288;3;44.5894;-63.99681;503015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.25;0.002;1.981
180167001_288;3;44.5894;-63.99681;503025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.32;0.731;0.897
180167001_289;4;44.59501;-63.95696;504001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.21;0.017;1.981
180167001_289;4;44.59501;-63.95696;504005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.24;0.005;1.397
180167001_289;4;44.59501;-63.95696;504010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.22;0.055;1.564
180167001_289;4;44.59501;-63.95696;504015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.27;0.005;1.314
180167001_289;4;44.59501;-63.95696;504025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.33;1.533;0.584
180167001_290;5;44.54876;-64.01628;505001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.21;0.338;1.23
180167001_290;5;44.54876;-64.01628;505005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.002;1.481
180167001_290;5;44.54876;-64.01628;505010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.24;0.065;1.397
180167001_290;5;44.54876;-64.01628;505015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.28;0.206;2.127
180167001_290;5;44.54876;-64.01628;505025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.47;2.338;0.334
180167001_290;5;44.54876;-64.01628;505040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.57;3.343;0.25
180167001_290;5;44.54876;-64.01628;505055;55;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.98;5.651;0.25
180167001_291;6;44.54725;-63.96935;506001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.002;1.564
180167001_291;6;44.54725;-63.96935;506005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.16;0.016;1.314
180167001_291;6;44.54725;-63.96935;506010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.003;1.543
180167001_291;6;44.54725;-63.96935;506015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.24;0.132;0.897
180167001_291;6;44.54725;-63.96935;506025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.35;0.624;0.667
180167001_291;6;44.54725;-63.96935;506040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3;0.761;0.73
180167001_292;7;44.60661;-64.00075;507001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.38;0.116;1.981
180167001_292;7;44.60661;-64.00075;507005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.41;0.082;1.898
180167001_292;7;44.60661;-64.00075;507010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.36;0.086;2.044
180167001_292;7;44.60661;-64.00075;507015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.35;0.097;1.898
180167001_293;8;44.52234;-63.99193;508001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.26;0.072;1.481
180167001_293;8;44.52234;-63.99193;508005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.24;0.042;1.721
180167001_293;8;44.52234;-63.99193;508010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.24;0.042;2.044
180167001_293;8;44.52234;-63.99193;508015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.25;0.051;2.044
180167001_293;8;44.52234;-63.99193;508025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.27;0.236;1.481
180167001_293;8;44.52234;-63.99193;508040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.68;2.031;0.25
180167001_293;8;44.52234;-63.99193;508055;55;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.96;6.369;0.167
180167001_294;9;44.58809;-64.03958;509001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.29;0.08;2.085
180167001_294;9;44.58809;-64.03958;509005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.26;0.09;2.356
180167001_294;9;44.58809;-64.03958;509010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.29;0.24;1.355
180167001_294;9;44.58809;-64.03958;509015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.23;0.31;1.064
180167001_294;9;44.58809;-64.03958;509025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.28;0.31;0.834
180167001_294;9;44.58809;-64.03958;509040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.7;3.49;0.542
180167001_294;9;44.58809;-64.03958;509055;55;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1.03;7.1;0.334
180167001_295;A;44.58333;-64.03333;-351;1;08-dec-67;00:00:00;NaN;325;30.305;4.4;8.13;0.57;3.79;2.11
180167001_295;A;44.58333;-64.03333;-352;5;08-dec-67;00:00:00;NaN;320;30.443;4.5;7.67;0.54;3.86;2.11
180167001_295;A;44.58333;-64.03333;-353;10;08-dec-67;00:00:00;NaN;320;30.885;4.6;7.09;0.56;3.36;0.83
180167001_295;A;44.58333;-64.03333;-354;15;08-dec-67;00:00:00;NaN;320;30.894;5.1;6.39;0.54;4.04;0.71
180167001_295;A;44.58333;-64.03333;-355;25;08-dec-67;00:00:00;NaN;305;31.218;5.1;7.03;0.65;5.16;0.5
180167001_295;A;44.58333;-64.03333;-356;40;08-dec-67;00:00:00;NaN;300;31.533;5.1;8.13;0.69;5.73;0.38
180167001_295;A;44.58333;-64.03333;-357;53;08-dec-67;00:00:00;NaN;285;31.817;5;10.34;0.95;6.52;0.33
180167001_296;L1;44.55;-64;-386;10;03-may-67;17:00:00;1.835;NaN;NaN;NaN;0.23;0.34;0.37;NaN
180167001_296;L1;44.55;-64;-387;25;03-may-67;17:00:00;1.96;NaN;NaN;NaN;1.22;0.37;0.44;NaN
180167001_296;L1;44.55;-64;-388;50;03-may-67;17:00:00;2.21;NaN;NaN;NaN;2.5;0.48;1.52;NaN
180167001_296;L1;44.55;-64;-389;75;03-may-67;17:00:00;1.689;NaN;NaN;NaN;3.66;0.66;2.64;NaN
180167001_296;L1;44.55;-64;-390;130;03-may-67;17:00:00;1.168;NaN;NaN;NaN;7.96;0.88;7.98;NaN
180167001_296;L1;44.55;-64;-391;170;03-may-67;17:00:00;0.521;NaN;NaN;NaN;12.78;1.24;12.99;NaN
180167001_297;L1;44.55;-64;-463;1;08-sep-67;08:00:00;0.209;NaN;NaN;NaN;1.8;0.2;0.06;NaN
180167001_297;L1;44.55;-64;-464;10;08-sep-67;08:00:00;0.25;NaN;NaN;NaN;1.51;0.19;0.09;NaN
180167001_297;L1;44.55;-64;-465;25;08-sep-67;08:00:00;0.334;NaN;NaN;NaN;2.03;0.34;2.76;NaN
180167001_297;L1;44.55;-64;-466;50;08-sep-67;08:00:00;0.167;NaN;NaN;NaN;5.29;0.74;6.56;NaN
180167001_297;L1;44.55;-64;-467;75;08-sep-67;08:00:00;0.083;NaN;NaN;NaN;10.92;0.96;11.17;NaN
180167001_297;L1;44.55;-64;-468;175;08-sep-67;08:00:00;0.021;NaN;NaN;NaN;11.1;1.1;13.66;NaN
180167001_298;L2;44.49833;-63.95833;-381;10;03-may-67;15:00:00;3.9;NaN;NaN;NaN;0.93;0.44;1.04;NaN
180167001_298;L2;44.49833;-63.95833;-382;25;03-may-67;15:00:00;3.9;NaN;NaN;NaN;2.09;0.42;1.35;NaN
180167001_298;L2;44.49833;-63.95833;-383;50;03-may-67;15:00:00;5.213;NaN;NaN;NaN;1.16;0.43;1.33;NaN
180167001_298;L2;44.49833;-63.95833;-384;75;03-may-67;15:00:00;1.293;NaN;NaN;NaN;0.58;0.57;2.01;NaN
180167001_298;L2;44.49833;-63.95833;-385;130;03-may-67;15:00:00;0.918;NaN;NaN;NaN;0.87;0.87;7.2;NaN
180167001_299;L2;44.49833;-63.95833;-457;1;08-sep-67;06:00:00;0.334;NaN;NaN;NaN;2.15;0.18;0.08;NaN
180167001_299;L2;44.49833;-63.95833;-458;10;08-sep-67;06:00:00;0.25;NaN;NaN;NaN;1.74;0.18;0.18;NaN
180167001_299;L2;44.49833;-63.95833;-459;25;08-sep-67;06:00:00;0.834;NaN;NaN;NaN;2.96;0.39;7.82;NaN
180167001_299;L2;44.49833;-63.95833;-460;50;08-sep-67;06:00:00;0.25;NaN;NaN;NaN;7.44;0.71;5.4;NaN
180167001_299;L2;44.49833;-63.95833;-461;75;08-sep-67;06:00:00;0.083;NaN;NaN;NaN;12.14;0.96;13.14;NaN
180167001_299;L2;44.49833;-63.95833;-462;140;08-sep-67;06:00:00;0.083;NaN;NaN;NaN;14.76;1.11;13;NaN
180167001_300;L3;44.40833;-63.91667;-376;10;03-may-67;14:00:00;1.272;NaN;NaN;NaN;0.23;0.44;0.27;NaN
180167001_300;L3;44.40833;-63.91667;-377;25;03-may-67;14:00:00;1.355;NaN;NaN;NaN;1.16;0.3;0.24;NaN
180167001_300;L3;44.40833;-63.91667;-378;50;03-may-67;14:00:00;2.44;NaN;NaN;NaN;1.51;0.44;1.19;NaN
180167001_300;L3;44.40833;-63.91667;-379;75;03-may-67;14:00:00;2.842;NaN;NaN;NaN;0.81;0.51;1.56;NaN
180167001_300;L3;44.40833;-63.91667;-380;120;03-may-67;14:00:00;2.356;NaN;NaN;NaN;2.09;0.47;2.51;NaN
180167001_301;L3;44.40833;-63.91667;-451;1;08-sep-67;04:00:00;0.834;NaN;NaN;NaN;2.03;0.2;0.08;NaN
180167001_301;L3;44.40833;-63.91667;-452;10;08-sep-67;04:00:00;0.25;NaN;NaN;NaN;1.86;0.19;0.06;NaN
180167001_301;L3;44.40833;-63.91667;-453;25;08-sep-67;04:00:00;0.5;NaN;NaN;NaN;4.59;0.56;0.34;NaN
180167001_301;L3;44.40833;-63.91667;-454;50;08-sep-67;04:00:00;0.23;NaN;NaN;NaN;7.32;0.81;5.56;NaN
180167001_301;L3;44.40833;-63.91667;-455;75;08-sep-67;04:00:00;0.083;NaN;NaN;NaN;10.17;0.89;8.2;NaN
180167001_301;L3;44.40833;-63.91667;-456;125;08-sep-67;04:00:00;0.125;NaN;NaN;NaN;14.76;1.15;10.39;NaN
180167001_302;L4;44.29167;-63.975;-371;1;03-may-67;11:00:00;0.167;NaN;NaN;NaN;0.7;1.57;0.24;NaN
180167001_302;L4;44.29167;-63.975;-372;10;03-may-67;11:00:00;1.001;NaN;NaN;NaN;1.22;0.38;0.21;NaN
180167001_302;L4;44.29167;-63.975;-373;25;03-may-67;11:00:00;0.083;NaN;NaN;NaN;1.28;0.34;0.22;NaN
180167001_302;L4;44.29167;-63.975;-374;50;03-may-67;11:00:00;3.712;NaN;NaN;NaN;1.51;0.35;0.4;NaN
180167001_302;L4;44.29167;-63.975;-375;90;03-may-67;11:00:00;1.272;NaN;NaN;NaN;2.27;0.53;1.92;NaN
180167001_303;L4;44.29167;-63.975;-446;1;08-sep-67;01:30:00;0.459;NaN;NaN;NaN;2.21;0.13;0.09;NaN
180167001_303;L4;44.29167;-63.975;-447;10;08-sep-67;01:30:00;0.751;NaN;NaN;NaN;2.61;0.2;0.11;NaN
180167001_303;L4;44.29167;-63.975;-448;25;08-sep-67;01:30:00;1.064;NaN;NaN;NaN;3.72;0.57;1.47;NaN
180167001_303;L4;44.29167;-63.975;-449;50;08-sep-67;01:30:00;0.25;NaN;NaN;NaN;7.03;0.77;5.22;NaN
180167001_303;L4;44.29167;-63.975;-450;75;08-sep-67;01:30:00;0.5;NaN;NaN;NaN;8.02;0.86;6.44;NaN
180167001_304;A;44.58333;-64.03333;-36;1;22-mar-67;00:00:00;NaN;365;31.051;0.1;10.23;0.77;5.32;0.5
180167001_304;A;44.58333;-64.03333;-37;5;22-mar-67;00:00:00;NaN;360;31.061;0.1;9.41;0.77;5.89;0.5
180167001_304;A;44.58333;-64.03333;-38;10;22-mar-67;00:00:00;NaN;365;31.075;0.2;9.3;0.74;4.45;0.54
180167001_304;A;44.58333;-64.03333;-39;15;22-mar-67;00:00:00;NaN;370;31.088;0.3;9.94;0.8;4.76;0.46
180167001_304;A;44.58333;-64.03333;-40;25;22-mar-67;00:00:00;NaN;360;31.124;0.6;9.53;0.78;5.58;0.46
180167001_304;A;44.58333;-64.03333;-41;40;22-mar-67;00:00:00;NaN;340;31.47;1;9.88;0.87;6.11;0.25
180167001_304;A;44.58333;-64.03333;-42;53;22-mar-67;00:00:00;NaN;325;31.604;1.3;11.16;0.95;6.53;0.33
180167001_305;L5;44.18333;-63.81667;-367;1;03-may-67;01:00:00;NaN;NaN;NaN;NaN;1.45;0.59;0.26;NaN
180167001_305;L5;44.18333;-63.81667;-368;10;03-may-67;01:00:00;0.25;NaN;NaN;NaN;0.99;0.36;0.26;NaN
180167001_305;L5;44.18333;-63.81667;-369;25;03-may-67;01:00:00;NaN;NaN;NaN;NaN;1.28;0.86;0.24;NaN
180167001_305;L5;44.18333;-63.81667;-370;50;03-may-67;01:00:00;1.48;NaN;NaN;NaN;2.32;0.42;0.56;NaN
180167001_306;L5;44.18333;-63.81667;-442;1;07-sep-67;22:30:00;0.834;NaN;NaN;NaN;3.14;0.25;0.32;NaN
180167001_306;L5;44.18333;-63.81667;-443;10;07-sep-67;22:30:00;0.792;NaN;NaN;NaN;2.85;0.22;1.26;NaN
180167001_306;L5;44.18333;-63.81667;-444;25;07-sep-67;22:30:00;0.459;NaN;NaN;NaN;5.75;0.61;3.46;NaN
180167001_306;L5;44.18333;-63.81667;-445;45;07-sep-67;22:30:00;0.292;NaN;NaN;NaN;6.33;0.71;4.84;NaN
180167001_307;L6;44.08333;-63.75;-363;1;02-may-67;23:00:00;0.167;NaN;NaN;NaN;1.39;0.3;0.23;NaN
180167001_307;L6;44.08333;-63.75;-364;10;02-may-67;23:00:00;0.334;NaN;NaN;NaN;1.39;0.29;0.22;NaN
180167001_307;L6;44.08333;-63.75;-365;25;02-may-67;23:00:00;0.334;NaN;NaN;NaN;1.22;0.27;0.22;NaN
180167001_307;L6;44.08333;-63.75;-366;50;02-may-67;23:00:00;0.542;NaN;NaN;NaN;2.27;0.44;1.14;NaN
180167001_308;L6;44.08333;-63.75;-438;1;07-sep-67;20:00:00;1.064;NaN;NaN;NaN;5.46;0.44;0.5;NaN
180167001_308;L6;44.08333;-63.75;-439;10;07-sep-67;20:00:00;0.626;NaN;NaN;NaN;5.69;0.58;1.46;NaN
180167001_308;L6;44.08333;-63.75;-440;25;07-sep-67;20:00:00;0.417;NaN;NaN;NaN;5.46;0.67;3.53;NaN
180167001_308;L6;44.08333;-63.75;-441;45;07-sep-67;20:00:00;0.271;NaN;NaN;NaN;8.46;0.78;4.9;NaN
180167001_309;L7;43.93333;-63.68333;-358;1;02-may-67;20:00:00;1.043;NaN;NaN;NaN;3.08;0.45;0.38;NaN
180167001_309;L7;43.93333;-63.68333;-359;10;02-may-67;20:00:00;1.043;NaN;NaN;NaN;2.44;0.39;0.3;NaN
180167001_309;L7;43.93333;-63.68333;-360;25;02-may-67;20:00:00;0.667;NaN;NaN;NaN;2.73;0.39;0.42;NaN
180167001_309;L7;43.93333;-63.68333;-361;40;02-may-67;20:00:00;1.084;NaN;NaN;NaN;2.21;0.33;0.4;NaN
180167001_309;L7;43.93333;-63.68333;-362;60;02-may-67;20:00:00;1.481;NaN;NaN;NaN;2.03;0.5;0.94;NaN
180167001_310;L7;43.93333;-63.68333;-433;1;07-sep-67;18:00:00;1.001;NaN;NaN;NaN;5.34;0.42;0.46;NaN
180167001_310;L7;43.93333;-63.68333;-434;10;07-sep-67;18:00:00;0.834;NaN;NaN;NaN;5.23;0.52;1.08;NaN
180167001_310;L7;43.93333;-63.68333;-435;25;07-sep-67;18:00:00;0.334;NaN;NaN;NaN;6.27;0.67;2.83;NaN
180167001_310;L7;43.93333;-63.68333;-436;40;07-sep-67;18:00:00;0.209;NaN;NaN;NaN;6.97;0.68;3.41;NaN
180167001_310;L7;43.93333;-63.68333;-437;60;07-sep-67;18:00:00;0.25;NaN;NaN;NaN;10.05;0.85;4.97;NaN
180167001_315;A;44.58333;-64.03333;-43;1;27-mar-67;00:00:00;NaN;360;31.103;0.6;9.64;0.71;4.18;0.63
180167001_315;A;44.58333;-64.03333;-44;5;27-mar-67;00:00:00;NaN;365;31.113;0.6;9.81;0.7;4.98;0.63
180167001_315;A;44.58333;-64.03333;-45;10;27-mar-67;00:00:00;NaN;370;31.107;0.4;10.11;0.66;5.22;0.67
180167001_315;A;44.58333;-64.03333;-46;15;27-mar-67;00:00:00;NaN;370;31.118;0.4;9.99;0.73;5.5;0.71
180167001_315;A;44.58333;-64.03333;-47;25;27-mar-67;00:00:00;NaN;365;31.266;0.3;9.76;0.88;5.55;0.46
180167001_315;A;44.58333;-64.03333;-48;40;27-mar-67;00:00:00;NaN;345;31.423;0.6;10.46;0.9;6.04;0.29
180167001_315;A;44.58333;-64.03333;-49;53;27-mar-67;00:00:00;NaN;330;31.579;0.9;12.2;0.93;6.13;0.25
180167001_326;A;44.58333;-64.03333;-50;1;01-apr-67;00:00:00;NaN;360;31.232;0.5;9.53;0.72;5.58;0.5
180167001_326;A;44.58333;-64.03333;-51;5;01-apr-67;00:00:00;NaN;370;31.231;0.5;9.82;0.71;5.08;0.81
180167001_326;A;44.58333;-64.03333;-52;10;01-apr-67;00:00:00;NaN;370;31.218;0.5;9.35;0.71;5.16;0.81
180167001_326;A;44.58333;-64.03333;-53;15;01-apr-67;00:00:00;NaN;370;31.277;0.4;9.7;0.65;3.87;0.63
180167001_326;A;44.58333;-64.03333;-54;25;01-apr-67;00:00:00;NaN;370;31.322;0.3;9.7;0.82;4.6;0.46
180167001_326;A;44.58333;-64.03333;-55;40;01-apr-67;00:00:00;NaN;360;31.327;0.3;10.28;0.99;5.45;0.29
180167001_326;A;44.58333;-64.03333;-56;53;01-apr-67;00:00:00;NaN;355;31.447;0.3;10.46;0.79;6.23;0.25
180167001_339;A;44.58333;-64.03333;-57;1;03-apr-67;00:00:00;NaN;370;31.073;1.8;9.76;0.69;5.24;0.71
180167001_339;A;44.58333;-64.03333;-58;5;03-apr-67;00:00:00;NaN;370;31.163;1.7;9.35;0.6;4.19;0.63
180167001_339;A;44.58333;-64.03333;-59;10;03-apr-67;00:00:00;NaN;370;31.258;1.1;9.7;0.71;4.35;0.71
180167001_339;A;44.58333;-64.03333;-60;15;03-apr-67;00:00:00;NaN;365;31.257;1;8.66;0.69;5.49;0.5
180167001_339;A;44.58333;-64.03333;-61;25;03-apr-67;00:00:00;NaN;365;31.297;0.8;10.17;0.75;5.52;0.46
180167001_339;A;44.58333;-64.03333;-62;40;03-apr-67;00:00:00;NaN;365;31.333;0.8;9.3;0.94;5.22;0.5
180167001_339;A;44.58333;-64.03333;-63;53;03-apr-67;00:00:00;NaN;360;31.356;0.8;9.53;0.77;4.7;0.38
180167001_411;CAST#1;44.29167;-63.84167;-392;1;10-may-67;21:30:00;0.209;373;NaN;NaN;1.57;0.41;0.33;NaN
180167001_411;CAST#1;44.29167;-63.84167;-393;5;10-may-67;21:30:00;0.334;370;NaN;NaN;1.39;0.39;0.43;NaN
180167001_411;CAST#1;44.29167;-63.84167;-394;10;10-may-67;21:30:00;0.417;376;NaN;NaN;1.1;0.37;0.51;NaN
180167001_411;CAST#1;44.29167;-63.84167;-395;20;10-may-67;21:30:00;0.375;374;NaN;NaN;1.1;0.42;0.76;NaN
180167001_411;CAST#1;44.29167;-63.84167;-396;50;10-may-67;21:30:00;0.626;362;NaN;NaN;2.09;0.53;2.2;NaN
180167001_411;CAST#1;44.29167;-63.84167;-397;85;10-may-67;21:30:00;0.834;355;NaN;NaN;3.08;0.57;1.99;NaN
180167001_412;CAST#1;44.29167;-63.95;-398;1;11-may-67;21:30:00;0.125;373;NaN;NaN;2.09;0.35;0.34;NaN
180167001_412;CAST#1;44.29167;-63.95;-399;5;11-may-67;21:30:00;0.271;370;NaN;NaN;1.51;0.39;0.36;NaN
180167001_412;CAST#1;44.29167;-63.95;-400;10;11-may-67;21:30:00;0.083;373;NaN;NaN;1.92;0.37;0.36;NaN
180167001_412;CAST#1;44.29167;-63.95;-401;20;11-may-67;21:30:00;0.083;373;NaN;NaN;1.98;0.4;0.47;NaN
180167001_412;CAST#1;44.29167;-63.95;-402;50;11-may-67;21:30:00;0.125;380;NaN;NaN;1.51;0.37;0.5;NaN
180167001_413;CAST#1;44.15;-63.95;-403;1;13-may-67;22:30:00;0.209;NaN;NaN;NaN;1.74;0.39;0.3;NaN
180167001_413;CAST#1;44.15;-63.95;-404;5;13-may-67;22:30:00;0.167;NaN;NaN;NaN;1.74;0.37;0.33;NaN
180167001_413;CAST#1;44.15;-63.95;-405;10;13-may-67;22:30:00;0.083;NaN;31.354;1.7;1.74;0.34;0.34;NaN
180167001_413;CAST#1;44.15;-63.95;-406;20;13-may-67;22:30:00;0.083;NaN;31.369;1.74;1.92;0.43;0.35;NaN
180167001_413;CAST#1;44.15;-63.95;-407;50;13-may-67;22:30:00;0.334;NaN;NaN;NaN;2.5;0.46;1.28;NaN
180167001_413;CAST#1;44.15;-63.95;-408;75;13-may-67;22:30:00;0.459;NaN;NaN;NaN;2.38;0.69;1.39;NaN
180167001_414;CAST#1;44.11667;-63.91667;-409;1;14-may-67;23:00:00;0.042;365;NaN;NaN;1.86;0.5;0.4;NaN
180167001_414;CAST#1;44.11667;-63.91667;-410;5;14-may-67;23:00:00;0.083;366;NaN;NaN;2.09;0.56;0.49;NaN
180167001_414;CAST#1;44.11667;-63.91667;-411;10;14-may-67;23:00:00;0.167;366;NaN;NaN;1.63;0.38;0.47;NaN
180167001_414;CAST#1;44.11667;-63.91667;-412;20;14-may-67;23:00:00;0.042;370;NaN;NaN;1.86;0.42;0.39;NaN
180167001_414;CAST#1;44.11667;-63.91667;-413;50;14-may-67;23:00:00;0.125;364;NaN;NaN;2.27;0.69;1.35;NaN
180167001_414;CAST#1;44.11667;-63.91667;-414;120;14-may-67;23:00:00;0.167;239;NaN;NaN;12.78;1.13;9.51;NaN
180167001_415;CAST#1;44.09167;-63.775;-415;1;15-may-67;21:30:00;0.042;365;NaN;NaN;1.68;0.39;0.43;NaN
180167001_415;CAST#1;44.09167;-63.775;-416;5;15-may-67;21:30:00;0.083;365;NaN;NaN;1.63;0.41;0.47;NaN
180167001_415;CAST#1;44.09167;-63.775;-417;10;15-may-67;21:30:00;0.167;366;NaN;NaN;1.63;0.37;0.45;NaN
180167001_415;CAST#1;44.09167;-63.775;-418;20;15-may-67;21:30:00;0.083;367;NaN;NaN;1.74;0.35;0.44;NaN
180167001_415;CAST#1;44.09167;-63.775;-419;50;15-may-67;21:30:00;0.167;361;NaN;NaN;2.27;0.54;2.18;NaN
180167001_415;CAST#1;44.09167;-63.775;-420;120;15-may-67;21:30:00;0.125;252;NaN;NaN;11.16;1.09;10.9;NaN
180167001_416;CAST#1;44.11667;-63.78333;-421;1;16-may-67;22:00:00;0.125;370;NaN;NaN;1.74;0.32;0.29;NaN
180167001_416;CAST#1;44.11667;-63.78333;-422;5;16-may-67;22:00:00;0.083;368;NaN;NaN;1.68;0.35;0.26;NaN
180167001_416;CAST#1;44.11667;-63.78333;-423;10;16-may-67;22:00:00;0.104;368;NaN;NaN;1.68;0.42;0.24;NaN
180167001_416;CAST#1;44.11667;-63.78333;-424;20;16-may-67;22:00:00;0.083;368;NaN;NaN;1.63;0.32;0.37;NaN
180167001_416;CAST#1;44.11667;-63.78333;-425;50;16-may-67;22:00:00;0.125;360;NaN;NaN;2.44;0.54;1.61;NaN
180167001_416;CAST#1;44.11667;-63.78333;-426;120;16-may-67;22:00:00;0.125;266;NaN;NaN;9.88;1.01;9.11;NaN
180167001_417;CAST#1;44.03333;-63.58333;-427;1;17-may-67;23:00:00;0.042;366;NaN;NaN;2.15;0.38;0.38;NaN
180167001_417;CAST#1;44.03333;-63.58333;-428;5;17-may-67;23:00:00;0.125;362;NaN;NaN;2.44;0.39;0.34;NaN
180167001_417;CAST#1;44.03333;-63.58333;-429;10;17-may-67;23:00:00;0.063;350;NaN;NaN;2.21;0.4;0.43;NaN
180167001_417;CAST#1;44.03333;-63.58333;-430;20;17-may-67;23:00:00;0.209;373;NaN;NaN;2.03;0.4;2.84;NaN
