CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01;CHL_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU92053_366;2;41.39;-53.4;121006;300;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01
18HU92053_366;2;41.39;-53.4;121007;150;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.023
18HU92053_366;2;41.39;-53.4;121008;120;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.019
18HU92053_366;2;41.39;-53.4;121009;110;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.021
18HU92053_366;2;41.39;-53.4;121010;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.011
18HU92053_366;2;41.39;-53.4;121011;90;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.036
18HU92053_366;2;41.39;-53.4;121012;80;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.095
18HU92053_366;2;41.39;-53.4;121013;70;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.153
18HU92053_366;2;41.39;-53.4;121014;60;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.199
18HU92053_366;2;41.39;-53.4;121015;50;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.264
18HU92053_366;2;41.39;-53.4;121016;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.215
