CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
110;HL_07;42.52967;-61.40117;281792;28-oct-04;05:56:00;80.77;34.125;7.582;4.9;0.04213;6.7;0.906;11.06;NaN;NaN
110;HL_07;42.52967;-61.40117;281793;28-oct-04;05:57:00;60.41;33.404;5.036;5.7;0.06035;4.84;0.835;7.47;NaN;NaN
110;HL_07;42.52967;-61.40117;281794;28-oct-04;05:58:00;50.31;33.078;3.731;6;0.10862;4.53;0.822;6.55;NaN;NaN
110;HL_07;42.52967;-61.40117;281795;28-oct-04;05:59:00;39.9;32.99;6.263;6.1;NaN;NaN;NaN;NaN;NaN;NaN
110;HL_07;42.52967;-61.40117;281796;28-oct-04;06:01:00;30.42;33.611;11.695;5.6;0.4148;1.58;0.331;0.95;NaN;NaN
110;HL_07;42.52967;-61.40117;281797;28-oct-04;06:02:00;21;33.992;16.384;5;0.56564;1.28;0.164;0.15;NaN;NaN
110;HL_07;42.52967;-61.40117;281798;28-oct-04;06:03:00;9.29;33.946;16.331;5.1;0.57103;1.18;0.144;0.11;NaN;NaN
110;HL_07;42.52967;-61.40117;281799;28-oct-04;06:04:00;3.84;33.942;16.326;5.1;0.56025;1.28;0.17;0.12;NaN;5.461
114;HL_06;42.84883;-61.73783;281800;28-oct-04;11:22:00;1026.96;34.915;3.983;5.5;NaN;11.05;1.105;17.29;34.924;6.045
114;HL_06;42.84883;-61.73783;281801;28-oct-04;11:29:00;751.32;34.915;4.307;5.4;NaN;11.23;1.155;17.98;NaN;NaN
114;HL_06;42.84883;-61.73783;281802;28-oct-04;11:35:00;501.05;34.893;4.774;5.1;NaN;12.02;1.226;18.99;NaN;NaN
114;HL_06;42.84883;-61.73783;281803;28-oct-04;11:41:00;251.14;35.023;8.333;3.4;NaN;12.25;1.344;20.33;NaN;3.6765
114;HL_06;42.84883;-61.73783;281804;28-oct-04;11:44:00;99.57;34.103;6.806;5;0.06491;6.78;0.921;10.65;NaN;NaN
114;HL_06;42.84883;-61.73783;281805;28-oct-04;11:46:00;79.88;33.371;4.376;5.6;0.17869;6.57;0.935;9.03;NaN;NaN
114;HL_06;42.84883;-61.73783;281806;28-oct-04;11:47:00;59.99;32.937;3.445;5.9;0.22774;5.7;0.886;7.3;NaN;NaN
114;HL_06;42.84883;-61.73783;281807;28-oct-04;11:48:00;50.34;32.645;4.935;5.9;0.36632;4.01;0.733;4.87;NaN;NaN
114;HL_06;42.84883;-61.73783;281808;28-oct-04;11:49:00;39.24;34.444;16.493;5;0.61412;1.2;0.198;0.45;NaN;NaN
114;HL_06;42.84883;-61.73783;281809;28-oct-04;11:50:00;30.45;34.482;16.568;5;0.60873;1.29;0.183;0.44;NaN;NaN
114;HL_06;42.84883;-61.73783;281810;28-oct-04;11:51:00;20.65;34.481;16.554;5;0.64106;1.39;0.169;0.44;NaN;NaN
114;HL_06;42.84883;-61.73783;281811;28-oct-04;11:52:00;10.72;34.483;16.56;5;0.59796;1.46;0.167;0.44;NaN;NaN
114;HL_06;42.84883;-61.73783;281812;28-oct-04;11:52:00;4.38;34.483;16.558;5;0.58719;1.3;0.16;0.44;NaN;5.383
117;HL_05;43.18467;-62.11383;281813;28-oct-04;17:57:00;97.02;32.955;2.915;5.7;0.31783;7.73;0.96;8.78;32.961;6.3415
117;HL_05;43.18467;-62.11383;281814;28-oct-04;17:58:00;80.32;32.841;2.894;5.7;0.36093;7.49;0.972;8.45;NaN;NaN
117;HL_05;43.18467;-62.11383;281815;28-oct-04;17:59:00;61.88;32.691;3.327;5.8;0.23475;6.38;0.924;7.21;NaN;NaN
117;HL_05;43.18467;-62.11383;281816;28-oct-04;18:00:00;49.41;32.571;3.881;5.8;0.26081;5.67;0.859;6.47;NaN;NaN
117;HL_05;43.18467;-62.11383;281817;28-oct-04;18:01:00;39.09;32.382;6.313;5.8;0.39864;4;0.65;4.24;NaN;NaN
117;HL_05;43.18467;-62.11383;281818;28-oct-04;18:01:00;30.31;32.498;9.11;5.6;0.42557;3.71;0.566;3.69;NaN;NaN
117;HL_05;43.18467;-62.11383;281819;28-oct-04;18:02:00;19.9;32.789;12.837;5.5;0.86731;1.5;0.252;0.24;NaN;NaN
117;HL_05;43.18467;-62.11383;281820;28-oct-04;18:03:00;10.28;32.771;12.733;5.5;0.8727;1.61;0.269;0.27;NaN;NaN
117;HL_05;43.18467;-62.11383;281821;28-oct-04;18:04:00;4.14;32.76;12.697;5.5;0.88347;1.54;0.26;0.27;NaN;5.971
120;HL_04;43.476;-62.4555;281822;28-oct-04;21:35:00;81.19;33.021;3.357;5.7;0.03986;7.59;0.95;8.76;33.042;6.2905
120;HL_04;43.476;-62.4555;281823;28-oct-04;21:37:00;61.37;32.765;4.151;6;0.16468;4.34;0.752;5.08;NaN;NaN
120;HL_04;43.476;-62.4555;281824;28-oct-04;21:38:00;48.59;32.493;7.433;5.9;0.26935;3.39;0.599;3.24;NaN;NaN
120;HL_04;43.476;-62.4555;281825;28-oct-04;21:39:00;40.45;32.072;10.797;5.7;0.73264;2.07;0.368;0.79;NaN;NaN
120;HL_04;43.476;-62.4555;281826;28-oct-04;21:40:00;29.27;32.06;11.095;5.7;0.90502;2.07;0.33;0.59;NaN;NaN
120;HL_04;43.476;-62.4555;281827;28-oct-04;21:41:00;20.71;32.057;11.093;5.7;0.91041;1.93;0.346;0.65;NaN;NaN
120;HL_04;43.476;-62.4555;281828;28-oct-04;21:42:00;10.58;32.049;11.102;5.7;0.9158;1.77;0.332;0.58;NaN;NaN
120;HL_04;43.476;-62.4555;281829;28-oct-04;21:43:00;4.17;32.044;11.096;5.8;0.89963;1.76;0.314;0.58;NaN;6.2165
121;HL_03;43.88033;-62.88183;281830;29-oct-04;01:00:00;262.6;34.908;8.4;3.5;NaN;14.61;1.515;20.36;34.913;3.8375
121;HL_03;43.88033;-62.88183;281831;29-oct-04;01:02:00;200.52;34.872;9.155;2.5;NaN;21.09;1.732;21.25;NaN;NaN
121;HL_03;43.88033;-62.88183;281832;29-oct-04;01:05:00;100.41;33.414;4.661;5.6;0.03075;6.01;0.929;8.83;NaN;NaN
121;HL_03;43.88033;-62.88183;281833;29-oct-04;01:06:00;80.26;33.202;4.66;5.8;0.05694;4.86;0.828;6.65;NaN;NaN
121;HL_03;43.88033;-62.88183;281834;29-oct-04;01:07:00;59.7;32.595;3.482;6;0.16468;5.16;0.81;5.62;NaN;NaN
121;HL_03;43.88033;-62.88183;281835;29-oct-04;01:08:00;49.52;32.467;5.455;6;0.19271;4.04;0.736;4.48;NaN;NaN
121;HL_03;43.88033;-62.88183;281836;29-oct-04;01:10:00;41.03;31.632;11.365;5.6;0.39864;1.79;0.375;0.82;NaN;NaN
121;HL_03;43.88033;-62.88183;281837;29-oct-04;01:11:00;29.65;31.642;11.469;5.7;0.47945;1.73;0.316;0.4;NaN;NaN
121;HL_03;43.88033;-62.88183;281838;29-oct-04;01:12:00;19.55;31.642;11.477;5.7;0.47406;1.61;0.274;0.39;NaN;NaN
121;HL_03;43.88033;-62.88183;281839;29-oct-04;01:13:00;9.6;31.641;11.475;5.7;0.47406;1.48;0.305;0.4;NaN;NaN
121;HL_03;43.88033;-62.88183;281840;29-oct-04;01:14:00;3.15;31.638;11.478;5.7;0.46867;1.46;0.302;0.38;NaN;6.1665
124;HL_02;44.267;-63.316;281841;29-oct-04;04:47:00;147.37;33.399;4.392;4.7;0.01253;12.91;1.227;12.94;33.423;5.194
124;HL_02;44.267;-63.316;281842;29-oct-04;04:49:00;100.99;32.7;2.49;5.6;0.02676;8.86;1.055;9.33;NaN;NaN
124;HL_02;44.267;-63.316;281843;29-oct-04;04:50:00;79.95;32.292;2.978;5.9;0.04327;6.48;0.909;6.9;NaN;NaN
124;HL_02;44.267;-63.316;281844;29-oct-04;04:51:00;74.33;32.247;3.075;5.9;0.03758;6.92;0.927;7.16;NaN;NaN
124;HL_02;44.267;-63.316;281845;29-oct-04;04:52:00;60.73;31.782;5.727;5.8;0.06092;4.5;0.762;4.79;NaN;NaN
124;HL_02;44.267;-63.316;281846;29-oct-04;04:54:00;50.28;31.081;8.454;5.6;0.06149;4.11;0.671;2.74;NaN;NaN
124;HL_02;44.267;-63.316;281847;29-oct-04;04:55:00;40.28;30.71;11.813;5.6;0.32861;1.5;0.319;0.26;NaN;NaN
124;HL_02;44.267;-63.316;281848;29-oct-04;04:56:00;31.01;30.605;11.86;5.7;0.67338;1.21;0.266;0;NaN;NaN
124;HL_02;44.267;-63.316;281849;29-oct-04;04:58:00;20.59;30.598;11.87;5.7;0.70031;1.51;0.273;0;NaN;NaN
124;HL_02;44.267;-63.316;281850;29-oct-04;04:59:00;11.09;30.597;11.868;5.7;0.69493;1.11;0.284;0;NaN;NaN
124;HL_02;44.267;-63.316;281851;29-oct-04;05:00:00;5.14;30.597;11.858;5.7;0.72186;1.12;0.272;0;NaN;NaN
124;HL_02;44.267;-63.316;281852;29-oct-04;05:01:00;3.17;30.597;11.864;5.7;0.7057;1.07;0.273;0;NaN;6.0655
127;HL_01;44.39967;-63.447;281853;29-oct-04;07:20:00;78.12;31.847;5.671;5.7;0.04783;5.79;0.83;5.09;NaN;6.187
127;HL_01;44.39967;-63.447;281854;29-oct-04;07:22:00;60.68;30.84;10.56;5.5;0.11037;2.96;0.598;1.68;NaN;NaN
127;HL_01;44.39967;-63.447;281855;29-oct-04;07:23:00;50.41;30.601;11.83;5.6;0.25319;1.61;0.34;0.36;NaN;NaN
127;HL_01;44.39967;-63.447;281856;29-oct-04;07:24:00;40.22;30.546;12.018;5.6;0.50099;1.22;0.304;0.08;NaN;NaN
127;HL_01;44.39967;-63.447;281857;29-oct-04;07:25:00;30.67;30.528;12.049;5.6;0.56564;1.19;0.307;0.07;NaN;NaN
127;HL_01;44.39967;-63.447;281858;29-oct-04;07:27:00;20.49;30.528;12.047;5.6;0.57641;1.22;0.24;0.06;NaN;NaN
127;HL_01;44.39967;-63.447;281859;29-oct-04;07:28:00;10.46;30.529;12.042;5.6;0.59796;1.18;0.274;0.07;NaN;NaN
127;HL_01;44.39967;-63.447;281860;29-oct-04;07:29:00;3.74;30.528;12.064;5.6;0.5818;1.19;0.26;0.06;NaN;5.979
