CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL_BS;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(ml/l)
WT624_213;FC-17;47;-47.0167;260010;19-jul-05;02:36:00;5.79;32.21;291.2
WT624_226;FC-18;47;-46.8333;260011;19-jul-05;06:35:00;1189.69;34.9;276.9
WT624_226;FC-18;47;-46.8333;260012;19-jul-05;06:35:00;151.01;34.59;288.9
WT624_226;FC-18;47;-46.8333;260013;19-jul-05;06:35:00;100.77;34.37;294.3
WT624_226;FC-18;47;-46.8333;260014;19-jul-05;06:35:00;75.61;34.15;301
WT624_226;FC-18;47;-46.8333;260015;19-jul-05;06:35:00;50.37;33.88;308.6
WT624_226;FC-18;47;-46.8333;260016;19-jul-05;06:35:00;40.53;33.87;309.5
WT624_226;FC-18;47;-46.8333;260017;19-jul-05;06:35:00;30.18;34.07;316.6
WT624_226;FC-18;47;-46.8333;260018;19-jul-05;06:35:00;20.05;33.54;331.8
WT624_226;FC-18;47;-46.8333;260019;19-jul-05;06:35:00;9.97;32.67;296.5
WT624_226;FC-18;47;-46.8333;260020;19-jul-05;06:35:00;5.36;32.67;296.5
WT624_239;FC-01;47;-52.8317;259909;17-jul-05;07:00:00;99.32;32.74;352.4
WT624_239;FC-01;47;-52.8317;259910;17-jul-05;07:00:00;75.27;32.67;360
WT624_239;FC-01;47;-52.8317;259911;17-jul-05;07:00:00;50.42;32.56;370.7
WT624_239;FC-01;47;-52.8317;259912;17-jul-05;07:00:00;39.73;32.48;371.6
WT624_239;FC-01;47;-52.8317;259913;17-jul-05;07:00:00;30.66;32.38;373.4
WT624_239;FC-01;47;-52.8317;259914;17-jul-05;07:00:00;20.54;32.17;361.7
WT624_239;FC-01;47;-52.8317;259915;17-jul-05;07:00:00;10.25;31.92;268
WT624_239;FC-01;47;-52.8317;259916;17-jul-05;07:00:00;4.38;31.35;218.8
WT624_242;FC-19;47;-46.67;260021;19-jul-05;10:03:00;902.26;34.89;280.9
WT624_257;FC-20;47;-46.4833;260022;19-jul-05;11:44:00;347.01;34.88;277.8
WT624_257;FC-20;47;-46.4833;260023;19-jul-05;11:44:00;150.97;34.69;268.9
WT624_257;FC-20;47;-46.4833;260024;19-jul-05;11:44:00;100.99;34.52;272.4
WT624_257;FC-20;47;-46.4833;260025;19-jul-05;11:44:00;75.31;34.34;280.5
WT624_257;FC-20;47;-46.4833;260026;19-jul-05;11:44:00;50.29;34.17;282.7
WT624_257;FC-20;47;-46.4833;260027;19-jul-05;11:44:00;40.32;34.06;288.1
WT624_257;FC-20;47;-46.4833;260028;19-jul-05;11:44:00;30.37;33.99;296.5
WT624_257;FC-20;47;-46.4833;260029;19-jul-05;11:44:00;20.36;33.88;308.6
WT624_257;FC-20;47;-46.4833;260030;19-jul-05;11:44:00;10.3;33.18;287.2
WT624_257;FC-20;47;-46.4833;260031;19-jul-05;11:44:00;5.25;33.18;287.2
WT624_270;FC-21;47;-46.0167;260032;19-jul-05;15:09:00;299.63;34.88;270.6
WT624_270;FC-21;47;-46.0167;260033;19-jul-05;15:09:00;150.18;34.75;253.2
WT624_270;FC-21;47;-46.0167;260034;19-jul-05;15:09:00;100.44;34.45;279.1
WT624_270;FC-21;47;-46.0167;260035;19-jul-05;15:09:00;74.63;34.25;285.8
WT624_270;FC-21;47;-46.0167;260036;19-jul-05;15:09:00;50.37;34.08;288.9
WT624_270;FC-21;47;-46.0167;260037;19-jul-05;15:09:00;40.36;33.98;286.3
WT624_270;FC-21;47;-46.0167;260038;19-jul-05;15:09:00;29.83;33.95;304.1
WT624_270;FC-21;47;-46.0167;260039;19-jul-05;15:09:00;19.98;33.91;308.6
WT624_270;FC-21;47;-46.0167;260040;19-jul-05;15:09:00;10.19;33.39;283.1
WT624_270;FC-21;47;-46.0167;260041;19-jul-05;15:09:00;5.38;33.39;283.1
WT624_283;FC-22;47;-45.73;260042;19-jul-05;17:42:00;272.96;34.87;269.3
WT624_297;FC-23;47;-45.5;260043;19-jul-05;19:05:00;244.39;34.84;244.7
WT624_310;FC-24;47;-45.2133;260044;19-jul-05;20:44:00;163.09;34.7;242.1
WT624_310;FC-24;47;-45.2133;260045;19-jul-05;20:44:00;149.14;34.68;243.8
WT624_310;FC-24;47;-45.2133;260046;19-jul-05;20:44:00;98.98;34.42;278.2
WT624_310;FC-24;47;-45.2133;260047;19-jul-05;20:44:00;74.74;34.15;284.5
WT624_310;FC-24;47;-45.2133;260048;19-jul-05;20:44:00;50.42;34.06;291.6
WT624_310;FC-24;47;-45.2133;260049;19-jul-05;20:44:00;40.09;34.03;290.7
WT624_310;FC-24;47;-45.2133;260050;19-jul-05;20:44:00;30;33.93;301
WT624_310;FC-24;47;-45.2133;260051;19-jul-05;20:44:00;20.31;33.92;306.8
WT624_310;FC-24;47;-45.2133;260052;19-jul-05;20:44:00;10.43;33.6;280
WT624_310;FC-24;47;-45.2133;260053;19-jul-05;20:44:00;4.97;33.6;280
WT624_323;FC-25;47;-44.9883;260054;19-jul-05;22:42:00;146.48;34.65;242.9
WT624_337;FC-26;47;-44.7717;260055;20-jul-05;00:03:00;144.9;34.58;244.3
WT624_337;FC-26;47;-44.7717;260056;20-jul-05;00:03:00;100.53;34.45;263.9
WT624_337;FC-26;47;-44.7717;260057;20-jul-05;00:03:00;74.82;34.3;276.9
WT624_337;FC-26;47;-44.7717;260058;20-jul-05;00:03:00;50.61;34.11;284
WT624_337;FC-26;47;-44.7717;260059;20-jul-05;00:03:00;39.49;34.05;288.5
WT624_337;FC-26;47;-44.7717;260060;20-jul-05;00:03:00;29.71;34;294.8
WT624_337;FC-26;47;-44.7717;260061;20-jul-05;00:03:00;20.61;33.96;304.1
WT624_337;FC-26;47;-44.7717;260062;20-jul-05;00:03:00;10.21;33.89;281.4
WT624_337;FC-26;47;-44.7717;260063;20-jul-05;00:03:00;6.02;33.89;281.4
WT624_350;FC-27;47;-44.5783;260064;20-jul-05;02:04:00;135.3;34.57;243.8
WT624_363;FC-28;47;-44.4333;260065;20-jul-05;03:03:00;150.49;34.68;233.1
WT624_376;FC-02;47;-52.705;259917;17-jul-05;09:23:00;183.06;33.22;287.2
WT624_379;FC-29;47;-44.2317;260066;20-jul-05;04:25:00;274.88;34.85;256.8
WT624_379;FC-29;47;-44.2317;260067;20-jul-05;04:25:00;150.32;34.67;262.6
WT624_379;FC-29;47;-44.2317;260068;20-jul-05;04:25:00;99.26;34.38;279.6
WT624_379;FC-29;47;-44.2317;260069;20-jul-05;04:25:00;75.7;34.27;279.6
WT624_379;FC-29;47;-44.2317;260070;20-jul-05;04:25:00;50.16;34.12;285.4
WT624_379;FC-29;47;-44.2317;260071;20-jul-05;04:25:00;40.35;34.02;291.2
WT624_379;FC-29;47;-44.2317;260072;20-jul-05;04:25:00;30.84;33.88;302.8
WT624_379;FC-29;47;-44.2317;260073;20-jul-05;04:25:00;20.64;33.81;293
WT624_379;FC-29;47;-44.2317;260074;20-jul-05;04:25:00;10.44;33.81;280.9
WT624_379;FC-29;47;-44.2317;260075;20-jul-05;04:25:00;5.4;33.8;280.9
WT624_392;FC-30;47;-44.0833;260076;20-jul-05;06:22:00;327.19;34.87;265.3
WT624_397;FC-31;47;-43.8333;260077;20-jul-05;08:13:00;562.74;34.88;281.8
WT624_397;FC-31;47;-43.8333;260078;20-jul-05;08:13:00;151.26;34.78;274.7
WT624_397;FC-31;47;-43.8333;260079;20-jul-05;08:13:00;100.68;34.58;284.5
WT624_397;FC-31;47;-43.8333;260080;20-jul-05;08:13:00;75.81;34.48;284.5
WT624_397;FC-31;47;-43.8333;260081;20-jul-05;08:13:00;50.47;34.08;295.6
WT624_397;FC-31;47;-43.8333;260082;20-jul-05;08:13:00;40.32;33.95;303.2
WT624_397;FC-31;47;-43.8333;260083;20-jul-05;08:13:00;29.95;33.85;322.4
WT624_397;FC-31;47;-43.8333;260084;20-jul-05;08:13:00;19.95;33.77;313.5
WT624_397;FC-31;47;-43.8333;260085;20-jul-05;08:13:00;9.93;33.66;282.2
WT624_397;FC-31;47;-43.8333;260086;20-jul-05;08:13:00;5.26;33.66;281.8
WT624_403;FC-33;47;-43.4;260087;20-jul-05;11:42:00;996.51;34.9;280.5
WT624_409;BB-15;50.3317;-47.9467;260098;24-jul-05;02:36:00;1009.87;34.87;297
WT624_418;BB-14;50.145;-48.4717;260099;24-jul-05;06:30:00;1008.76;34.87;296.1
WT624_418;BB-14;50.145;-48.4717;260100;24-jul-05;06:30:00;150.51;34.81;302.3
WT624_418;BB-14;50.145;-48.4717;260101;24-jul-05;06:30:00;101.02;34.77;303.2
WT624_418;BB-14;50.145;-48.4717;260102;24-jul-05;06:30:00;76.25;34.72;304.1
WT624_418;BB-14;50.145;-48.4717;260103;24-jul-05;06:30:00;50.94;34.55;309.9
WT624_418;BB-14;50.145;-48.4717;260104;24-jul-05;06:30:00;40.39;34.46;318.4
WT624_418;BB-14;50.145;-48.4717;260105;24-jul-05;06:30:00;30.76;34.2;348.3
WT624_418;BB-14;50.145;-48.4717;260106;24-jul-05;06:30:00;20.72;34.16;327.8
WT624_418;BB-14;50.145;-48.4717;260107;24-jul-05;06:30:00;10.25;33.73;305.9
WT624_418;BB-14;50.145;-48.4717;260108;24-jul-05;06:30:00;5.12;33.55;297.9
WT624_428;BB-13;50;-49;260109;24-jul-05;11:48:00;1005.94;34.87;299.2
WT624_428;BB-13;50;-49;260110;24-jul-05;11:48:00;150.68;34.8;276
WT624_428;BB-13;50;-49;260111;24-jul-05;11:48:00;100.07;34.72;286.3
WT624_428;BB-13;50;-49;260112;24-jul-05;11:48:00;75.49;34.68;289.4
WT624_428;BB-13;50;-49;260113;24-jul-05;11:48:00;50.02;34.65;282.7
WT624_428;BB-13;50;-49;260114;24-jul-05;11:48:00;40.57;34.64;278.2
WT624_428;BB-13;50;-49;260115;24-jul-05;11:48:00;30.32;34.48;293.9
WT624_428;BB-13;50;-49;260116;24-jul-05;11:48:00;20.39;34.37;312.6
WT624_428;BB-13;50;-49;260117;24-jul-05;11:48:00;10.43;33.94;293.9
WT624_428;BB-13;50;-49;260118;24-jul-05;11:48:00;4.93;33.72;293
WT624_436;BB-12;49.85;-49.5;260119;24-jul-05;16:52:00;999.6;34.87;293.4
WT624_436;BB-12;49.85;-49.5;260120;24-jul-05;16:52:00;150.48;34.78;294.8
WT624_436;BB-12;49.85;-49.5;260121;24-jul-05;16:52:00;99.83;34.66;297
WT624_436;BB-12;49.85;-49.5;260122;24-jul-05;16:52:00;75.06;34.59;296.1
WT624_436;BB-12;49.85;-49.5;260123;24-jul-05;16:52:00;49.76;34.47;301.5
WT624_436;BB-12;49.85;-49.5;260124;24-jul-05;16:52:00;40.14;34.36;306.8
WT624_436;BB-12;49.85;-49.5;260125;24-jul-05;16:52:00;30.83;34.29;338.5
WT624_436;BB-12;49.85;-49.5;260126;24-jul-05;16:52:00;20.06;34.13;367.5
WT624_436;BB-12;49.85;-49.5;260127;24-jul-05;16:52:00;10.09;33.27;301.9
WT624_436;BB-12;49.85;-49.5;260128;24-jul-05;16:52:00;5.02;33.27;298.3
WT624_444;BB-11;49.6883;-50.0033;260129;24-jul-05;21:50:00;597.29;34.87;294.8
WT624_444;BB-11;49.6883;-50.0033;260130;24-jul-05;21:50:00;150.34;34.56;298.3
WT624_444;BB-11;49.6883;-50.0033;260131;24-jul-05;21:50:00;99.82;34.23;308.2
WT624_444;BB-11;49.6883;-50.0033;260132;24-jul-05;21:50:00;76.35;34.05;307.3
WT624_444;BB-11;49.6883;-50.0033;260133;24-jul-05;21:50:00;51.01;33.86;318.9
WT624_444;BB-11;49.6883;-50.0033;260134;24-jul-05;21:50:00;39.06;33.78;340.8
WT624_444;BB-11;49.6883;-50.0033;260135;24-jul-05;21:50:00;30.13;33.69;415.3
WT624_444;BB-11;49.6883;-50.0033;260136;24-jul-05;21:50:00;20.85;33.08;385.4
WT624_444;BB-11;49.6883;-50.0033;260137;24-jul-05;21:50:00;10.16;32.55;329.1
WT624_444;BB-11;49.6883;-50.0033;260138;24-jul-05;21:50:00;5.87;32.37;303.2
WT624_450;BB-10;49.5167;-50.5333;260139;25-jul-05;03:02:00;323.8;34.79;265.7
WT624_450;BB-10;49.5167;-50.5333;260140;25-jul-05;03:02:00;149.01;34.33;291.2
WT624_450;BB-10;49.5167;-50.5333;260141;25-jul-05;03:02:00;101.55;33.94;314.9
WT624_450;BB-10;49.5167;-50.5333;260142;25-jul-05;03:02:00;75.58;33.78;324.7
WT624_450;BB-10;49.5167;-50.5333;260143;25-jul-05;03:02:00;50.85;33.33;333.6
WT624_450;BB-10;49.5167;-50.5333;260144;25-jul-05;03:02:00;40.58;33.21;360
WT624_450;BB-10;49.5167;-50.5333;260145;25-jul-05;03:02:00;30.92;33.04;395.7
WT624_450;BB-10;49.5167;-50.5333;260146;25-jul-05;03:02:00;20.4;32.7;348.3
WT624_450;BB-10;49.5167;-50.5333;260147;25-jul-05;03:02:00;10.76;32.57;293.4
WT624_450;BB-10;49.5167;-50.5333;260148;25-jul-05;03:02:00;5.33;32.57;293
WT624_454;FC-03;47;-52.58;259918;17-jul-05;10:58:00;152.88;33.13;266.6
WT624_454;FC-03;47;-52.58;259919;17-jul-05;10:58:00;100.56;32.9;343
WT624_454;FC-03;47;-52.58;259920;17-jul-05;10:58:00;74.76;32.77;352.4
WT624_454;FC-03;47;-52.58;259921;17-jul-05;10:58:00;50;32.67;359.1
WT624_454;FC-03;47;-52.58;259922;17-jul-05;10:58:00;40.59;32.64;381.4
WT624_454;FC-03;47;-52.58;259923;17-jul-05;10:58:00;29.85;32.48;393.9
WT624_454;FC-03;47;-52.58;259924;17-jul-05;10:58:00;20.2;32.1;347.5
WT624_454;FC-03;47;-52.58;259925;17-jul-05;10:58:00;10.05;32.07;325.1
WT624_454;FC-03;47;-52.58;259926;17-jul-05;10:58:00;4.59;31.77;306.4
WT624_456;BB-09;49.3667;-51.0167;260149;25-jul-05;06:37:00;335.98;34.79;257.7
WT624_469;BB-08;49.28;-51.28;260150;25-jul-05;09:51:00;318.83;34.77;260.8
WT624_469;BB-08;49.28;-51.28;260151;25-jul-05;09:51:00;150.2;34.22;299.2
WT624_469;BB-08;49.28;-51.28;260152;25-jul-05;09:51:00;100.31;33.76;314.9
WT624_469;BB-08;49.28;-51.28;260153;25-jul-05;09:51:00;74.86;33.43;328.2
WT624_469;BB-08;49.28;-51.28;260154;25-jul-05;09:51:00;49.55;33.04;381.8
WT624_469;BB-08;49.28;-51.28;260155;25-jul-05;09:51:00;40.01;32.96;387.6
WT624_469;BB-08;49.28;-51.28;260156;25-jul-05;09:51:00;29.44;32.77;335.4
WT624_469;BB-08;49.28;-51.28;260157;25-jul-05;09:51:00;19.88;32.7;328.2
WT624_469;BB-08;49.28;-51.28;260158;25-jul-05;09:51:00;9.53;32.06;287.6
WT624_469;BB-08;49.28;-51.28;260159;25-jul-05;09:51:00;4.61;31.79;280.5
WT624_475;BB-07;49.19;-51.5417;260160;25-jul-05;12:30:00;309.57;34.71;245.2
WT624_481;BB-06;49.1;-51.83;260161;25-jul-05;14:25:00;284.9;34.55;253.2
WT624_481;BB-06;49.1;-51.83;260162;25-jul-05;14:25:00;150.86;33.67;315.3
WT624_481;BB-06;49.1;-51.83;260163;25-jul-05;14:25:00;101.1;33.25;330.9
WT624_481;BB-06;49.1;-51.83;260164;25-jul-05;14:25:00;75.89;33;334.5
WT624_481;BB-06;49.1;-51.83;260165;25-jul-05;14:25:00;50.56;32.75;343.4
WT624_481;BB-06;49.1;-51.83;260166;25-jul-05;14:25:00;40.5;32.59;355.9
WT624_481;BB-06;49.1;-51.83;260167;25-jul-05;14:25:00;30.5;32.39;385
WT624_481;BB-06;49.1;-51.83;260168;25-jul-05;14:25:00;19.74;32.3;350.6
WT624_481;BB-06;49.1;-51.83;260169;25-jul-05;14:25:00;10.72;31.66;291.6
WT624_481;BB-06;49.1;-51.83;260170;25-jul-05;14:25:00;5.52;31.5;280.5
WT624_486;BB-05;49.025;-52.0667;260171;25-jul-05;17:07:00;283.05;34.45;273.8
WT624_492;BB-04;48.9167;-52.4;260172;25-jul-05;19:23:00;345.8;34.62;245.2
WT624_492;BB-04;48.9167;-52.4;260173;25-jul-05;19:23:00;151.2;33.49;321.5
WT624_492;BB-04;48.9167;-52.4;260174;25-jul-05;19:23:00;100.42;33.1;333.2
WT624_492;BB-04;48.9167;-52.4;260175;25-jul-05;19:23:00;75.41;32.84;339.4
WT624_492;BB-04;48.9167;-52.4;260176;25-jul-05;19:23:00;51.04;32.68;355.5
WT624_492;BB-04;48.9167;-52.4;260177;25-jul-05;19:23:00;40.82;32.59;360
WT624_492;BB-04;48.9167;-52.4;260178;25-jul-05;19:23:00;30.69;32.44;367.5
WT624_492;BB-04;48.9167;-52.4;260179;25-jul-05;19:23:00;19.56;32.2;370.7
WT624_492;BB-04;48.9167;-52.4;260180;25-jul-05;19:23:00;10.11;31.58;315.3
WT624_492;BB-04;48.9167;-52.4;260181;25-jul-05;19:23:00;5.53;31.34;282.7
WT624_498;BB-03;48.8333;-52.65;260182;25-jul-05;21:56:00;241.92;34.36;256.3
WT624_503;BB-02;48.8;-52.75;260183;25-jul-05;22:51:00;169.58;33.31;322
WT624_503;BB-02;48.8;-52.75;260184;25-jul-05;22:51:00;150.42;32.98;334.1
WT624_503;BB-02;48.8;-52.75;260185;25-jul-05;22:51:00;99.96;32.88;340.3
WT624_503;BB-02;48.8;-52.75;260186;25-jul-05;22:51:00;74.93;32.76;346.1
WT624_503;BB-02;48.8;-52.75;260187;25-jul-05;22:51:00;49.74;32.62;353.7
WT624_503;BB-02;48.8;-52.75;260188;25-jul-05;22:51:00;39.3;32.56;364.9
WT624_503;BB-02;48.8;-52.75;260189;25-jul-05;22:51:00;30.27;32.42;398.8
WT624_503;BB-02;48.8;-52.75;260190;25-jul-05;22:51:00;20.46;32.16;361.7
WT624_503;BB-02;48.8;-52.75;260191;25-jul-05;22:51:00;10.48;31.72;324.2
WT624_503;BB-02;48.8;-52.75;260192;25-jul-05;22:51:00;5.46;31.09;273.3
WT624_506;BB-01;48.7333;-52.9667;260193;26-jul-05;01:00:00;96.17;32.58;355.9
WT624_509;SI-01;53.2333;-55.65;260194;27-jul-05;10:19:00;59.56;32.25;366.7
WT624_512;FC-04;47;-52.3217;259927;17-jul-05;13:21:00;121.44;33.14;272.4
WT624_512;FC-04;47;-52.3217;259928;17-jul-05;13:21:00;100.89;32.98;332.7
WT624_512;FC-04;47;-52.3217;259929;17-jul-05;13:21:00;75.68;32.8;351.5
WT624_512;FC-04;47;-52.3217;259930;17-jul-05;13:21:00;50.21;32.63;369.3
WT624_512;FC-04;47;-52.3217;259931;17-jul-05;13:21:00;40.71;32.59;402.8
WT624_512;FC-04;47;-52.3217;259932;17-jul-05;13:21:00;30;32.34;362.2
WT624_512;FC-04;47;-52.3217;259933;17-jul-05;13:21:00;20.09;32.18;329.6
WT624_512;FC-04;47;-52.3217;259934;17-jul-05;13:21:00;10.05;32.09;314.9
WT624_512;FC-04;47;-52.3217;259935;17-jul-05;13:21:00;4.88;32.01;300.1
WT624_515;SI-02;53.3333;-55.5;260195;27-jul-05;11:28:00;124.6;32.87;323.3
