CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l)
IML-2000-01 Monitorage 2000_2031;116;49.24083;-66.215;227674;19-nov-00;18:41:00;29.87;4.04;NaN
IML-2000-01 Monitorage 2000_2031;116;49.24083;-66.215;227675;19-nov-00;18:41:00;29.27;3.58;NaN
IML-2000-01 Monitorage 2000_2031;116;49.24083;-66.215;227676;19-nov-00;18:41:00;29.15;3.49;332.0471
IML-2000-01 Monitorage 2000_2032;12;49.23933;-66.20217;216221;25-feb-00;19:19:00;33.79;3.56;NaN
IML-2000-01 Monitorage 2000_2032;12;49.23933;-66.20217;216223;25-feb-00;19:19:00;31.19;-1.57;NaN
IML-2000-01 Monitorage 2000_2032;12;49.23933;-66.20217;216224;25-feb-00;19:19:00;30.17;-1.55;NaN
IML-2000-01 Monitorage 2000_2032;12;49.23933;-66.20217;216225;25-feb-00;19:19:00;30.08;-1.56;NaN
IML-2000-01 Monitorage 2000_2032;12;49.23933;-66.20217;216226;25-feb-00;19:19:00;30.05;-1.55;NaN
IML-2000-01 Monitorage 2000_2032;12;49.23933;-66.20217;216227;25-feb-00;19:19:00;30.03;-1.53;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216244;09-mar-00;15:49:00;33.68;3.33;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216245;09-mar-00;15:49:00;32.86;1.43;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216246;09-mar-00;15:49:00;31.98;-1.51;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216247;09-mar-00;15:49:00;30.23;-1.24;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216248;09-mar-00;15:49:00;29.58;-0.98;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216249;09-mar-00;15:49:00;29.36;-0.11;NaN
IML-2000-01 Monitorage 2000_2033;13;49.24133;-66.20083;216250;09-mar-00;15:49:00;29.18;0.12;NaN
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216251;04-may-00;21:51:00;33.7;3.41;155.4168
IML-2000-01 Monitorage 2000_2034;14;49.23933;-66.19883;216252;04-may-00;21:51:00;32.56;0.41;NaN
