CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CNTR;nCNTR;PRES;PRES_SDEV;TE90;TE90_SDEV;PSAL;SIGT;FLOR;DOXY;SECC;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;OXY_02;Q_OXY;OXY_02;Q_OXY;CHL_01;Q_CHL;CHL_01;Q_CHL;PHA_01;PHA_01;CHL_03;Q_CHL;CHL_03;Q_CHL;NO2_02;Q_NO2;NO2_02;Q_NO2;NO2_02;Q_NO2;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;PO4_02;Q_PO4;PO4_02;Q_PO4;Si_02;Q_Si;Si_02;Q_Si;Si_02;Q_Si;Si_02;Q_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(scan);(nombre_scan);(dbar);(dbar);(celsius);(celsius);(psu);(kg/m**3);(mg/m**3);(ml/l);(m);(PSU);((none));(ml/l);((none));(ml/l);((none));(ml/l);((none));(mg/m**3);((none));(mg/m**3);((none));(mg/m**3);(mg/m**3);(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none))
q64a002;TDC2;47.02533;-60.11317;247010;25.4;29-nov-01;14:15:45;26108;240;25.4;0.31;4.41;0.001;31.56;25.01;2.004;7.448;NaN;31.59;1;7.316;1;NaN;NaN;NaN;NaN;1.17;1;1.05;1;-0.3;-0.22;0.89;1;0.82;1;0.09;1;0.1;1;NaN;NaN;1.53;1;2.06;1;1.3;3;NaN;NaN;NaN;NaN;0.53;1;0.58;1;1.87;1;1.87;1;NaN;NaN;NaN;NaN
q64a002;TDC2;47.02533;-60.11317;247011;15.5;29-nov-01;14:15:45;28835;240;15.5;0.37;4.04;0.044;31.33;24.86;2.463;7.42;NaN;31.32;1;7.378;1;NaN;NaN;NaN;NaN;1.53;1;1.56;1;-0.42;-0.43;1.14;1;1.18;1;0.12;1;0.15;1;NaN;NaN;2.7;1;3.02;1;2.49;3;NaN;NaN;NaN;NaN;0.6;1;0.63;1;4.06;1;3.81;1;3.91;1;NaN;NaN
q64a002;TDC2;47.02533;-60.11317;247012;4.9;29-nov-01;14:15:45;30755;240;4.9;0.38;3.93;0.002;31.26;24.82;2.137;7.465;NaN;31.29;1;7.377;1;NaN;NaN;NaN;NaN;1.32;1;1.59;1;-0.39;-0.51;1;1;1.15;1;0.16;1;0.13;1;NaN;NaN;3.09;1;2.86;1;NaN;NaN;NaN;NaN;NaN;NaN;0.64;1;0.66;1;4.13;1;4.14;1;4.29;1;NaN;NaN
q64a002;TDC2;47.02533;-60.11317;247013;4.4;29-nov-01;14:15:45;32800;240;4.4;0.44;3.92;0.001;31.25;24.81;2.159;7.466;NaN;31.28;1;7.364;1;NaN;NaN;NaN;NaN;1.44;1;1.32;1;-0.38;-0.69;1.09;1;1.02;1;0.13;1;0.13;1;0.12;1;2.86;1;3.1;1;3.15;1;NaN;NaN;NaN;NaN;0.92;1;0.87;1;4.31;1;4.24;1;NaN;NaN;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247014;327.7;29-nov-01;15:46:47;16255;27;327.7;0.44;5.4;0;34.77;27.45;0.435;3.721;NaN;34.8;1;3.664;1;3.66;1;3.664;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.02;1;0.06;1;NaN;NaN;20.66;1;22.2;1;18.07;3;NaN;NaN;NaN;NaN;1.76;1;1.74;1;27.92;1;27.57;3;28.86;1;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247015;301.2;29-nov-01;15:46:47;15501;65;301.2;0.56;5.6;0.004;34.73;27.39;0.212;3.718;NaN;34.77;1;3.617;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01;1;0.03;1;NaN;NaN;19.96;1;22.48;1;18.19;3;NaN;NaN;NaN;NaN;1.7;1;1.63;1;24.61;1;24.77;1;25.14;1;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247016;199.8;29-nov-01;15:46:47;12589;53;199.8;0.61;5.48;0.028;34.23;27.01;0.412;4.299;NaN;34.29;1;4.132;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01;1;0;1;NaN;NaN;18.42;1;18.26;1;15.15;3;15.56;3;NaN;NaN;1.42;1;1.43;1;17.22;1;16.48;1;17.21;1;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247017;100.1;29-nov-01;15:46:47;9802;46;100.1;0.6;1.47;0.088;32.84;26.28;0.345;6.895;NaN;32.75;1;7.171;1;NaN;NaN;NaN;NaN;0.03;1;0.03;1;0;0;0.03;1;0.03;1;0.01;1;0.02;1;NaN;NaN;6.75;1;7.47;1;6.06;3;NaN;NaN;NaN;NaN;0.92;1;0.91;1;4.76;1;5.42;1;NaN;NaN;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247018;49.3;29-nov-01;15:46:47;8347;58;49.3;0.59;3.88;0.074;31.86;25.3;0.915;7.229;NaN;32.02;1;7.104;1;NaN;NaN;NaN;NaN;0.26;1;0.27;1;-0.15;-0.16;0.17;1;0.17;1;0.14;1;0.14;1;NaN;NaN;3.99;1;4.42;1;3.66;3;NaN;NaN;NaN;NaN;0.7;1;0.7;1;3.48;1;3.93;1;NaN;NaN;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247019;24.6;29-nov-01;15:46:47;7591;60;24.6;0.59;4.25;0.001;31.57;25.03;2.247;7.476;NaN;31.6;1;7.348;1;NaN;NaN;NaN;NaN;0.81;1;0.9;1;-0.42;-0.47;0.69;1;0.74;1;0.11;1;0.11;1;NaN;NaN;1.89;1;2.12;1;1.72;3;NaN;NaN;NaN;NaN;0.53;1;0.53;1;2.12;1;2.71;1;NaN;NaN;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247020;14.8;29-nov-01;15:46:47;7311;53;14.8;0.59;4.25;0.001;31.57;25.03;2.351;7.487;NaN;31.6;1;7.391;1;NaN;NaN;NaN;NaN;0.8;1;0.84;1;-0.33;-0.44;0.65;1;0.81;1;0.11;1;0.11;1;NaN;NaN;1.9;1;2.09;1;1.74;3;NaN;NaN;NaN;NaN;0.52;1;0.51;1;2.11;1;2.59;1;NaN;NaN;NaN;NaN
q64a003;TDC3;47.09717;-59.9925;247021;5.7;29-nov-01;15:46:47;7047;75;5.7;0.54;4.25;0.004;31.57;25.03;2.159;7.478;NaN;31.6;1;7.37;1;NaN;NaN;NaN;NaN;0.87;1;0.8;1;-0.43;-0.34;0.82;1;0.66;1;0.11;1;0.11;1;NaN;NaN;1.87;1;2.05;1;1.71;3;NaN;NaN;NaN;NaN;0.54;1;0.51;1;2.01;1;2.42;1;NaN;NaN;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247022;463.1;29-nov-01;19:41:05;17135;240;463.1;0.24;5.1;0;34.84;27.54;0.152;4.106;NaN;34.87;1;4.039;1;4.033;1;4.017;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.01;1;0.02;1;NaN;NaN;19.85;1;21.6;1;17.21;3;NaN;NaN;NaN;NaN;1.64;1;1.66;1;30.13;1;29.64;1;NaN;NaN;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247023;399;29-nov-01;19:41:05;22165;240;399;0.18;5.15;0;34.83;27.52;0.142;3.998;NaN;34.91;1;3.95;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1;0.03;1;NaN;NaN;20.21;1;22.07;1;17.42;3;NaN;NaN;NaN;NaN;1.67;1;1.69;1;28.9;1;29;1;NaN;NaN;NaN;NaN
q64a004;TDC4;47.2705;-59.77933;247024;300.5;29-nov-01;19:41:05;33160;240;300.5;0.13;5.63;0.004;34.71;27.37;0.112;3.707;NaN;34.74;1;3.632;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1;0;1;NaN;NaN;21.86;1;21.94;1;20.2;1;17.57;3;NaN;NaN;1.68;1;1.69;1;23.81;1;23.97;1;NaN;NaN;NaN;NaN
