CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l);(ml/l);(celsius);(g/kg)
70;LL_04;45.15217;-59.17483;281672;24-oct-04;18:24:00;49.74;31.858;4.829;6;0.08409;6.52;0.77;5.33;NaN;NaN;6;4.829;31.858
70;LL_04;45.15217;-59.17483;281673;24-oct-04;18:25:00;39.33;31.58;7.077;6;0.19621;3.23;0.531;2.05;NaN;NaN;6;7.077;31.58
70;LL_04;45.15217;-59.17483;281674;24-oct-04;18:25:00;30.27;31.321;9.143;6;0.36632;2.21;0.422;0.51;NaN;NaN;6;9.143;31.321
70;LL_04;45.15217;-59.17483;281675;24-oct-04;18:26:00;20.25;30.743;10.602;5.9;0.5387;2.12;0.289;0;NaN;NaN;5.9;10.602;30.743
70;LL_04;45.15217;-59.17483;281676;24-oct-04;18:27:00;10.21;30.744;10.607;5.9;0.53332;1.63;0.274;0;NaN;NaN;5.9;10.607;30.744
70;LL_04;45.15217;-59.17483;281677;24-oct-04;18:28:00;3.7;30.739;10.603;6;0.47945;1.58;0.274;0;NaN;6.2485;6;10.603;30.739
73;LL_03;45.49133;-59.51467;281678;24-oct-04;21:56:00;144.93;33.42;2.796;4.7;NaN;15.02;1.296;13.67;33.4;5.141;4.7;2.796;33.42
73;LL_03;45.49133;-59.51467;281679;24-oct-04;21:58:00;100.81;32.871;1.507;5.6;0.0205;10.83;1.127;11.29;NaN;NaN;5.6;1.507;32.871
73;LL_03;45.49133;-59.51467;281680;24-oct-04;22:00:00;79.94;32.609;1.361;5.8;0.03075;9.32;1.034;9.52;NaN;NaN;5.8;1.361;32.609
73;LL_03;45.49133;-59.51467;281681;24-oct-04;22:02:00;59.59;32.317;2.148;6.3;0.12614;4.46;0.796;6.07;NaN;NaN;6.3;2.148;32.317
73;LL_03;45.49133;-59.51467;281682;24-oct-04;22:03:00;50.38;32.006;3.701;6.3;0.14365;4.83;0.733;5.14;NaN;NaN;6.3;3.701;32.006
73;LL_03;45.49133;-59.51467;281683;24-oct-04;22:04:00;40.31;31.538;5.839;5.9;0.11037;5.05;0.648;3.68;NaN;NaN;5.9;5.839;31.538
73;LL_03;45.49133;-59.51467;281684;24-oct-04;22:06:00;29.39;31.092;8.781;5.8;0.23125;3.69;0.495;1.68;NaN;NaN;5.8;8.781;31.092
73;LL_03;45.49133;-59.51467;281685;24-oct-04;22:07:00;19.1;30.594;10.002;6;1.19128;2.77;0.312;0.04;NaN;NaN;6;10.002;30.594
73;LL_03;45.49133;-59.51467;281686;24-oct-04;22:08:00;10.72;30.573;10.045;6;1.15405;2.6;0.307;0;NaN;NaN;6;10.045;30.573
73;LL_03;45.49133;-59.51467;281687;24-oct-04;22:10:00;4.2;30.571;10.038;6;1.15405;2.76;0.31;0.02;NaN;6.303;6;10.038;30.571
77;LL_02;45.66083;-59.69867;281688;25-oct-04;00:45:00;129.82;33.188;2.101;5.2;NaN;13.56;1.243;13.12;33.2;3.0905;5.2;2.101;33.188
77;LL_02;45.66083;-59.69867;281689;25-oct-04;00:46:00;100.69;32.684;1.082;6.1;0.02733;6.63;0.934;8.61;NaN;NaN;6.1;1.082;32.684
77;LL_02;45.66083;-59.69867;281690;25-oct-04;00:48:00;80.72;32.513;1.36;6.3;0.04897;5.43;0.872;7.41;NaN;NaN;6.3;1.36;32.513
77;LL_02;45.66083;-59.69867;281691;25-oct-04;00:50:00;60.53;32.208;2.414;6.2;0.06263;5.54;0.816;6.28;NaN;NaN;6.2;2.414;32.208
77;LL_02;45.66083;-59.69867;281692;25-oct-04;00:51:00;49.61;31.947;3.883;6;0.12614;5.93;0.758;5.46;NaN;NaN;6;3.883;31.947
77;LL_02;45.66083;-59.69867;281693;25-oct-04;00:52:00;40.85;31.561;5.654;6;0.15767;5.36;0.673;4.34;NaN;NaN;6;5.654;31.561
77;LL_02;45.66083;-59.69867;281694;25-oct-04;00:53:00;30.6;31.438;9.106;6;0.43096;2.38;0.356;0.32;NaN;NaN;6;9.106;31.438
77;LL_02;45.66083;-59.69867;281695;25-oct-04;00:54:00;20.51;31.28;9.194;6;0.42557;2.65;0.354;0.41;NaN;NaN;6;9.194;31.28
77;LL_02;45.66083;-59.69867;281696;25-oct-04;00:56:00;10.51;30.657;9.877;6;0.75957;2.29;0.298;0;NaN;NaN;6;9.877;30.657
77;LL_02;45.66083;-59.69867;281697;25-oct-04;00:57:00;4.06;30.79;9.825;6;0.72186;2.29;0.298;0;NaN;6.2725;6;9.825;30.79
79;LL_01;45.82333;-59.8525;281698;25-oct-04;02:23:00;84.42;32.515;1.827;6;0.06132;7.8;0.93;8.13;32.531;6.442;6;1.827;32.515
79;LL_01;45.82333;-59.8525;281699;25-oct-04;02:25:00;60.42;31.944;3.749;6;0.06482;7.53;0.905;7.99;NaN;NaN;6;3.749;31.944
79;LL_01;45.82333;-59.8525;281700;25-oct-04;02:26:00;49.58;31.242;6.408;5.8;0.0946;5.45;0.662;4.02;NaN;NaN;5.8;6.408;31.242
79;LL_01;45.82333;-59.8525;281701;25-oct-04;02:28:00;39.94;30.384;9.664;5.8;0.22074;3;0.398;1.03;NaN;NaN;5.8;9.664;30.384
79;LL_01;45.82333;-59.8525;281702;25-oct-04;02:29:00;30.14;29.909;10.648;5.8;0.42557;2.56;0.352;0.66;NaN;NaN;5.8;10.648;29.909
79;LL_01;45.82333;-59.8525;281703;25-oct-04;02:30:00;20.28;29.827;10.817;5.8;0.68954;2.27;0.324;0.48;NaN;NaN;5.8;10.817;29.827
79;LL_01;45.82333;-59.8525;281704;25-oct-04;02:32:00;10.81;29.827;10.817;5.8;0.66799;2.18;0.32;0.44;NaN;NaN;5.8;10.817;29.827
79;LL_01;45.82333;-59.8525;281705;25-oct-04;02:33:00;4.38;29.827;10.816;5.8;0.68415;2.3;0.321;0.45;NaN;5.989;5.8;10.816;29.827
81;CSL_01;46.95717;-60.21667;281706;26-oct-04;04:25:00;75.56;32.38;1.796;6.1;0.04099;6.54;0.856;7;32.458;6.4635;6.1;1.796;32.38
81;CSL_01;46.95717;-60.21667;281707;26-oct-04;04:27:00;59.35;32.088;2.534;6;0.06307;6.95;0.838;6.82;NaN;NaN;6;2.534;32.088
81;CSL_01;46.95717;-60.21667;281708;26-oct-04;04:28:00;50.38;31.495;3.998;5.8;0.06482;7.73;0.867;6.38;NaN;NaN;5.8;3.998;31.495
81;CSL_01;46.95717;-60.21667;281709;26-oct-04;04:29:00;39.86;31.05;5.341;5.5;0.05431;8.12;0.856;5.11;NaN;NaN;5.5;5.341;31.05
81;CSL_01;46.95717;-60.21667;281710;26-oct-04;04:30:00;30.34;30.089;9.399;5.4;0.08059;4.14;0.516;2.09;NaN;NaN;5.4;9.399;30.089
81;CSL_01;46.95717;-60.21667;281711;26-oct-04;04:31:00;18.88;28.896;12.155;5.6;0.32322;1.41;0.234;0.21;NaN;NaN;5.6;12.155;28.896
81;CSL_01;46.95717;-60.21667;281712;26-oct-04;04:32:00;9.88;28.825;12.445;5.6;0.68954;1.03;0.186;0;NaN;NaN;5.6;12.445;28.825
81;CSL_01;46.95717;-60.21667;281713;26-oct-04;04:34:00;3.78;28.825;12.444;5.6;0.71109;1;0.176;0;NaN;5.757;5.6;12.444;28.825
87;CSL_02;47.01733;-60.11917;281714;26-oct-04;06:55:00;170.47;33.944;4.048;3.1;NaN;24.9;1.598;18.63;33.97;3.345;3.1;4.048;33.944
87;CSL_02;47.01733;-60.11917;281715;26-oct-04;06:57:00;150.09;33.925;3.996;3.2;NaN;25.3;1.629;19.25;NaN;NaN;3.2;3.996;33.925
87;CSL_02;47.01733;-60.11917;281716;26-oct-04;06:59:00;100.75;32.936;1.598;5.4;0.01936;11.4;1.107;11.96;NaN;NaN;5.4;1.598;32.936
87;CSL_02;47.01733;-60.11917;281717;26-oct-04;07:00:00;80.38;32.573;1.344;6;0.02961;7.27;0.96;8.58;NaN;NaN;6;1.344;32.573
87;CSL_02;47.01733;-60.11917;281718;26-oct-04;07:01:00;59.87;32.246;2.197;5.9;0.05781;7.97;0.922;7.95;NaN;NaN;5.9;2.197;32.246
87;CSL_02;47.01733;-60.11917;281719;26-oct-04;07:03:00;52.4;31.86;2.345;5.7;0.06307;8.96;0.91;7.28;NaN;NaN;5.7;2.345;31.86
87;CSL_02;47.01733;-60.11917;281720;26-oct-04;07:04:00;41.28;31.445;3.489;5.6;0.06307;9.3;0.937;6.68;NaN;NaN;5.6;3.489;31.445
87;CSL_02;47.01733;-60.11917;281721;26-oct-04;07:05:00;29.91;30.131;9.103;5.3;0.07007;5.05;0.617;2.66;NaN;NaN;5.3;9.103;30.131
87;CSL_02;47.01733;-60.11917;281722;26-oct-04;07:06:00;21.28;29.347;11.247;5.5;0.19621;2.94;0.378;0.99;NaN;NaN;5.5;11.247;29.347
87;CSL_02;47.01733;-60.11917;281723;26-oct-04;07:08:00;10.37;28.898;12.028;5.7;0.66799;1.24;0.226;0.19;NaN;NaN;5.7;12.028;28.898
87;CSL_02;47.01733;-60.11917;281724;26-oct-04;07:09:00;3.5;28.887;12.072;5.7;0.30706;0.95;0.197;0.04;NaN;5.8585;5.7;12.072;28.887
90;CSL_03;47.09733;-59.99333;281725;26-oct-04;08:45:00;324.69;34.746;5.739;2.9;NaN;28.74;1.932;23.17;34.772;3.1365;2.9;5.739;34.746
90;CSL_03;47.09733;-59.99333;281726;26-oct-04;08:49:00;200.37;33.902;3.946;3.4;NaN;24.34;1.676;19.78;NaN;NaN;3.4;3.946;33.902
90;CSL_03;47.09733;-59.99333;281727;26-oct-04;08:50:00;150.62;33.283;2.259;4.9;NaN;13.11;1.157;13.05;NaN;NaN;4.9;2.259;33.283
90;CSL_03;47.09733;-59.99333;281728;26-oct-04;08:52:00;100.42;32.594;0.69;6.2;0.02847;5.78;0.92;7.91;NaN;NaN;6.2;0.69;32.594
90;CSL_03;47.09733;-59.99333;281729;26-oct-04;08:54:00;79.69;32.439;1.089;6.3;0.0148;4.25;0.85;6.6;NaN;NaN;6.3;1.089;32.439
90;CSL_03;47.09733;-59.99333;281730;26-oct-04;08:55:00;60.04;32.217;2.036;6.5;0.26979;3.43;0.772;4.92;NaN;NaN;6.5;2.036;32.217
90;CSL_03;47.09733;-59.99333;281731;26-oct-04;08:56:00;50.06;32.063;2.47;6.3;0.0981;4.19;0.736;5;NaN;NaN;6.3;2.47;32.063
90;CSL_03;47.09733;-59.99333;281732;26-oct-04;08:57:00;40.2;31.831;3.059;6.2;0.10161;5.47;0.786;5.65;NaN;NaN;6.2;3.059;31.831
90;CSL_03;47.09733;-59.99333;281733;26-oct-04;08:57:00;29.57;31.431;4.168;5.8;0.06657;7.4;0.855;5.29;NaN;NaN;5.8;4.168;31.431
90;CSL_03;47.09733;-59.99333;281734;26-oct-04;08:58:00;20.54;30.227;9.775;5.7;0.28013;3;0.5;1.36;NaN;NaN;5.7;9.775;30.227
90;CSL_03;47.09733;-59.99333;281735;26-oct-04;08:59:00;9.72;29.338;11.312;5.8;0.60335;1.27;0.259;0.12;NaN;NaN;5.8;11.312;29.338
90;CSL_03;47.09733;-59.99333;281736;26-oct-04;09:00:00;3.69;28.773;11.696;5.8;0.83499;1.1;0.215;0.05;NaN;6.123;5.8;11.696;28.773
95;CSL_04;47.27233;-59.79017;281737;26-oct-04;12:41:00;461.1;34.875;5.043;3.8;NaN;25.85;1.619;19.66;34.884;4.125;3.8;5.043;34.875
95;CSL_04;47.27233;-59.79017;281738;26-oct-04;12:45:00;298.99;34.767;5.914;3.2;NaN;22.75;1.647;21.65;NaN;NaN;3.2;5.914;34.767
95;CSL_04;47.27233;-59.79017;281739;26-oct-04;12:47:00;200.27;34.207;5.096;3.7;NaN;17.47;1.473;17.7;NaN;NaN;3.7;5.096;34.207
95;CSL_04;47.27233;-59.79017;281740;26-oct-04;12:49:00;149.53;33.249;2.271;5.1;NaN;11.78;1.185;12.88;NaN;NaN;5.1;2.271;33.249
95;CSL_04;47.27233;-59.79017;281741;26-oct-04;12:51:00;102.34;32.66;0.927;6.2;0.02277;5.4;0.952;8.07;NaN;NaN;6.2;0.927;32.66
95;CSL_04;47.27233;-59.79017;281742;26-oct-04;12:52:00;79.44;32.54;1.411;6.3;0.03758;3.86;0.802;5.71;NaN;NaN;6.3;1.411;32.54
95;CSL_04;47.27233;-59.79017;281743;26-oct-04;12:53:00;59.84;32.356;1.669;6.4;0.06605;3.11;0.77;5.16;NaN;NaN;6.4;1.669;32.356
95;CSL_04;47.27233;-59.79017;281744;26-oct-04;12:54:00;49.33;32.303;2.265;6.4;0.14716;2.94;0.72;4.25;NaN;NaN;6.4;2.265;32.303
95;CSL_04;47.27233;-59.79017;281745;26-oct-04;12:55:00;40.61;32.123;5.146;6.3;0.25577;2.37;0.586;2.62;NaN;NaN;6.3;5.146;32.123
95;CSL_04;47.27233;-59.79017;281746;26-oct-04;12:56:00;30.11;31.807;8.975;6;0.60335;1.57;0.358;0.14;NaN;NaN;6;8.975;31.807
95;CSL_04;47.27233;-59.79017;281747;26-oct-04;12:57:00;19.7;31.806;9.109;6.1;0.73264;1.1;0.322;0.03;NaN;NaN;6.1;9.109;31.806
95;CSL_04;47.27233;-59.79017;281748;26-oct-04;12:58:00;10.1;30.765;9.655;6.1;0.59796;1.06;0.317;0.03;NaN;NaN;6.1;9.655;30.765
95;CSL_04;47.27233;-59.79017;281749;26-oct-04;12:59:00;3.62;30.709;9.673;6;0.54948;1.21;0.268;0.02;NaN;6.4075;6;9.673;30.709
99;CSL_05;47.43683;-59.574;281750;26-oct-04;16:21:00;474.42;34.876;5.033;3.9;NaN;27.54;1.556;20.89;34.882;4.2365;3.9;5.033;34.876
99;CSL_05;47.43683;-59.574;281751;26-oct-04;16:25:00;301.37;34.811;5.774;3.3;NaN;20.95;1.494;20.08;NaN;NaN;3.3;5.774;34.811
99;CSL_05;47.43683;-59.574;281752;26-oct-04;16:27:00;201.68;34.36;5.472;3.6;NaN;19.25;1.483;19.64;NaN;NaN;3.6;5.472;34.36
99;CSL_05;47.43683;-59.574;281753;26-oct-04;16:29:00;149.78;33.345;2.516;5;NaN;11.8;1.165;12.37;NaN;NaN;5;2.516;33.345
99;CSL_05;47.43683;-59.574;281754;26-oct-04;16:31:00;100.73;32.624;0.946;6.2;0.03302;4.87;0.867;6.56;NaN;NaN;6.2;0.946;32.624
99;CSL_05;47.43683;-59.574;281755;26-oct-04;16:32:00;79.92;32.566;1.114;6.4;0.0353;4.09;0.822;5.39;NaN;NaN;6.4;1.114;32.566
99;CSL_05;47.43683;-59.574;281756;26-oct-04;16:33:00;59.94;32.437;2.024;6.4;0.09635;3.8;0.805;5.05;NaN;NaN;6.4;2.024;32.437
99;CSL_05;47.43683;-59.574;281757;26-oct-04;16:33:00;49.91;32.367;2.725;6.3;0.21023;2.85;0.714;3.98;NaN;NaN;6.3;2.725;32.367
99;CSL_05;47.43683;-59.574;281758;26-oct-04;16:34:00;38.99;31.917;7.708;6;0.38248;1.61;0.481;0.93;NaN;NaN;6;7.708;31.917
99;CSL_05;47.43683;-59.574;281759;26-oct-04;16:35:00;31.06;31.821;8.819;6.1;0.69493;1.29;0.345;0.07;NaN;NaN;6.1;8.819;31.821
99;CSL_05;47.43683;-59.574;281760;26-oct-04;16:36:00;20.14;31.784;8.897;6.1;0.85654;1.16;0.354;0.04;NaN;NaN;6.1;8.897;31.784
99;CSL_05;47.43683;-59.574;281761;26-oct-04;16:37:00;10.81;31.783;9.171;6.1;0.80267;1.25;0.334;0.03;NaN;NaN;6.1;9.171;31.783
99;CSL_05;47.43683;-59.574;281762;26-oct-04;16:37:00;3.19;30.59;9.829;6.1;0.84576;1.34;0.298;0.02;NaN;6.4905;6.1;9.829;30.59
103;CSL_06;47.57983;-59.3425;281763;26-oct-04;19:35:00;266.53;34.695;5.478;3.7;NaN;21.27;1.468;21.17;34.703;4.044;3.7;5.478;34.695
103;CSL_06;47.57983;-59.3425;281764;26-oct-04;19:37:00;199.76;34.066;4.476;3.7;NaN;18.4;1.417;18.04;NaN;NaN;3.7;4.476;34.066
103;CSL_06;47.57983;-59.3425;281765;26-oct-04;19:39:00;151.29;32.785;1.187;5.9;NaN;7.19;1.005;9.32;NaN;NaN;5.9;1.187;32.785
103;CSL_06;47.57983;-59.3425;281766;26-oct-04;19:40:00;100.32;32.387;2.909;6.3;0.06491;3.76;0.746;5;NaN;NaN;6.3;2.909;32.387
103;CSL_06;47.57983;-59.3425;281767;26-oct-04;19:41:00;79.83;32.115;5.556;6.3;0.15767;2.64;0.62;2.74;NaN;NaN;6.3;5.556;32.115
103;CSL_06;47.57983;-59.3425;281768;26-oct-04;19:42:00;60.73;31.822;8.459;5.9;0.23475;1.35;0.416;0.62;NaN;NaN;5.9;8.459;31.822
103;CSL_06;47.57983;-59.3425;281769;26-oct-04;19:43:00;49.96;31.653;9.104;5.9;0.26629;1.1;0.374;0.33;NaN;NaN;5.9;9.104;31.653
103;CSL_06;47.57983;-59.3425;281770;26-oct-04;19:44:00;40.3;31.531;9.316;5.9;0.32861;1.18;0.366;0.27;NaN;NaN;5.9;9.316;31.531
103;CSL_06;47.57983;-59.3425;281771;26-oct-04;19:45:00;30.51;31.447;9.383;5.9;0.49022;1.3;0.348;0.19;NaN;NaN;5.9;9.383;31.447
103;CSL_06;47.57983;-59.3425;281772;26-oct-04;19:45:00;21.04;31.437;9.392;6;0.93196;1.24;0.316;0.09;NaN;NaN;6;9.392;31.437
103;CSL_06;47.57983;-59.3425;281773;26-oct-04;19:46:00;10.36;31.416;9.399;6;0.85654;1.29;0.324;0.09;NaN;NaN;6;9.399;31.416
103;CSL_06;47.57983;-59.3425;281774;26-oct-04;19:47:00;3.19;31.414;9.398;6;0.79728;1.24;0.328;0.11;NaN;6.476;6;9.398;31.414
106;GULD_03;44.01433;-59.048;281775;27-oct-04;13:30:00;364.04;34.71;5.007;5;NaN;10.95;1.115;15.91;34.73;5.4765;5;5.007;34.71
106;GULD_03;44.01433;-59.048;281776;27-oct-04;13:33:00;249.42;34.829;7.285;4;NaN;12.6;1.281;19.82;NaN;NaN;4;7.285;34.829
106;GULD_03;44.01433;-59.048;281777;27-oct-04;13:37:00;100.85;33.301;3.39;5.5;0.04555;8.5;0.998;10.41;NaN;NaN;5.5;3.39;33.301
106;GULD_03;44.01433;-59.048;281778;27-oct-04;13:38:00;80.5;32.982;3.181;5.7;0.05694;7.42;0.946;9.07;NaN;NaN;5.7;3.181;32.982
106;GULD_03;44.01433;-59.048;281779;27-oct-04;13:39:00;59.48;32.714;3.357;5.7;0.13314;6.33;0.876;7.41;NaN;NaN;5.7;3.357;32.714
106;GULD_03;44.01433;-59.048;281780;27-oct-04;13:40:00;50.73;32.467;3.058;5.7;0.14891;6.46;0.891;7.35;NaN;NaN;5.7;3.058;32.467
106;GULD_03;44.01433;-59.048;281781;27-oct-04;13:41:00;40.63;32.325;3.389;5.6;0.14541;7.25;0.944;7.98;NaN;NaN;5.6;3.389;32.325
106;GULD_03;44.01433;-59.048;281782;27-oct-04;13:41:00;29.78;32.125;6.241;5.8;0.2909;3.46;0.59;3.24;NaN;NaN;5.8;6.241;32.125
106;GULD_03;44.01433;-59.048;281783;27-oct-04;13:42:00;19.49;32.119;10.55;5.8;0.80267;1.28;0.279;0.11;NaN;NaN;5.8;10.55;32.119
106;GULD_03;44.01433;-59.048;281784;27-oct-04;13:43:00;8.97;32.128;10.728;5.8;0.84038;1.29;0.266;0.08;NaN;NaN;5.8;10.728;32.128
106;GULD_03;44.01433;-59.048;281785;27-oct-04;13:44:00;3.71;32.129;10.729;5.8;0.73802;1.25;0.252;0.07;NaN;6.235;5.8;10.729;32.129
110;HL_07;42.52967;-61.40117;281786;28-oct-04;05:01:00;2875.27;34.916;2.867;5.6;NaN;17.64;1.13;17.63;34.926;6.259;5.6;2.867;34.916
110;HL_07;42.52967;-61.40117;281787;28-oct-04;05:26:00;1500.15;34.936;3.713;5.5;NaN;12.83;1.135;18.01;NaN;NaN;5.5;3.713;34.936
110;HL_07;42.52967;-61.40117;281788;28-oct-04;05:36:00;1000.55;34.957;4.172;5.3;NaN;12.09;1.174;18.55;NaN;NaN;5.3;4.172;34.957
110;HL_07;42.52967;-61.40117;281789;28-oct-04;05:45:00;501.39;34.963;5.469;4.6;NaN;13.15;1.298;20.56;NaN;NaN;4.6;5.469;34.963
110;HL_07;42.52967;-61.40117;281790;28-oct-04;05:51:00;249.78;35.106;8.77;3.2;NaN;14.22;1.469;23.54;NaN;3.4915;3.2;8.77;35.106
110;HL_07;42.52967;-61.40117;281791;28-oct-04;05:54:00;100.33;34.872;9.927;4.2;0.01822;7.3;0.972;13.89;NaN;NaN;4.2;9.927;34.872
110;HL_07;42.52967;-61.40117;281792;28-oct-04;05:56:00;80.77;34.125;7.582;4.9;0.04213;6.7;0.906;11.06;NaN;NaN;4.9;7.582;34.125
110;HL_07;42.52967;-61.40117;281793;28-oct-04;05:57:00;60.41;33.404;5.036;5.7;0.06035;4.84;0.835;7.47;NaN;NaN;5.7;5.036;33.404
110;HL_07;42.52967;-61.40117;281794;28-oct-04;05:58:00;50.31;33.078;3.731;6;0.10862;4.53;0.822;6.55;NaN;NaN;6;3.731;33.078
110;HL_07;42.52967;-61.40117;281795;28-oct-04;05:59:00;39.9;32.99;6.263;6.1;NaN;NaN;NaN;NaN;NaN;NaN;6.1;6.263;32.99
110;HL_07;42.52967;-61.40117;281796;28-oct-04;06:01:00;30.42;33.611;11.695;5.6;0.4148;1.58;0.331;0.95;NaN;NaN;5.6;11.695;33.611
110;HL_07;42.52967;-61.40117;281797;28-oct-04;06:02:00;21;33.992;16.384;5;0.56564;1.28;0.164;0.15;NaN;NaN;5;16.384;33.992
110;HL_07;42.52967;-61.40117;281798;28-oct-04;06:03:00;9.29;33.946;16.331;5.1;0.57103;1.18;0.144;0.11;NaN;NaN;5.1;16.331;33.946
110;HL_07;42.52967;-61.40117;281799;28-oct-04;06:04:00;3.84;33.942;16.326;5.1;0.56025;1.28;0.17;0.12;NaN;5.461;5.1;16.326;33.942
114;HL_06;42.84883;-61.73783;281800;28-oct-04;11:22:00;1026.96;34.915;3.983;5.5;NaN;11.05;1.105;17.29;34.924;6.045;5.5;3.983;34.915
114;HL_06;42.84883;-61.73783;281801;28-oct-04;11:29:00;751.32;34.915;4.307;5.4;NaN;11.23;1.155;17.98;NaN;NaN;5.4;4.307;34.915
114;HL_06;42.84883;-61.73783;281802;28-oct-04;11:35:00;501.05;34.893;4.774;5.1;NaN;12.02;1.226;18.99;NaN;NaN;5.1;4.774;34.893
114;HL_06;42.84883;-61.73783;281803;28-oct-04;11:41:00;251.14;35.023;8.333;3.4;NaN;12.25;1.344;20.33;NaN;3.6765;3.4;8.333;35.023
114;HL_06;42.84883;-61.73783;281804;28-oct-04;11:44:00;99.57;34.103;6.806;5;0.06491;6.78;0.921;10.65;NaN;NaN;5;6.806;34.103
114;HL_06;42.84883;-61.73783;281805;28-oct-04;11:46:00;79.88;33.371;4.376;5.6;0.17869;6.57;0.935;9.03;NaN;NaN;5.6;4.376;33.371
114;HL_06;42.84883;-61.73783;281806;28-oct-04;11:47:00;59.99;32.937;3.445;5.9;0.22774;5.7;0.886;7.3;NaN;NaN;5.9;3.445;32.937
114;HL_06;42.84883;-61.73783;281807;28-oct-04;11:48:00;50.34;32.645;4.935;5.9;0.36632;4.01;0.733;4.87;NaN;NaN;5.9;4.935;32.645
114;HL_06;42.84883;-61.73783;281808;28-oct-04;11:49:00;39.24;34.444;16.493;5;0.61412;1.2;0.198;0.45;NaN;NaN;5;16.493;34.444
114;HL_06;42.84883;-61.73783;281809;28-oct-04;11:50:00;30.45;34.482;16.568;5;0.60873;1.29;0.183;0.44;NaN;NaN;5;16.568;34.482
114;HL_06;42.84883;-61.73783;281810;28-oct-04;11:51:00;20.65;34.481;16.554;5;0.64106;1.39;0.169;0.44;NaN;NaN;5;16.554;34.481
114;HL_06;42.84883;-61.73783;281811;28-oct-04;11:52:00;10.72;34.483;16.56;5;0.59796;1.46;0.167;0.44;NaN;NaN;5;16.56;34.483
114;HL_06;42.84883;-61.73783;281812;28-oct-04;11:52:00;4.38;34.483;16.558;5;0.58719;1.3;0.16;0.44;NaN;5.383;5;16.558;34.483
117;HL_05;43.18467;-62.11383;281813;28-oct-04;17:57:00;97.02;32.955;2.915;5.7;0.31783;7.73;0.96;8.78;32.961;6.3415;5.7;2.915;32.955
117;HL_05;43.18467;-62.11383;281814;28-oct-04;17:58:00;80.32;32.841;2.894;5.7;0.36093;7.49;0.972;8.45;NaN;NaN;5.7;2.894;32.841
117;HL_05;43.18467;-62.11383;281815;28-oct-04;17:59:00;61.88;32.691;3.327;5.8;0.23475;6.38;0.924;7.21;NaN;NaN;5.8;3.327;32.691
117;HL_05;43.18467;-62.11383;281816;28-oct-04;18:00:00;49.41;32.571;3.881;5.8;0.26081;5.67;0.859;6.47;NaN;NaN;5.8;3.881;32.571
117;HL_05;43.18467;-62.11383;281817;28-oct-04;18:01:00;39.09;32.382;6.313;5.8;0.39864;4;0.65;4.24;NaN;NaN;5.8;6.313;32.382
117;HL_05;43.18467;-62.11383;281818;28-oct-04;18:01:00;30.31;32.498;9.11;5.6;0.42557;3.71;0.566;3.69;NaN;NaN;5.6;9.11;32.498
117;HL_05;43.18467;-62.11383;281819;28-oct-04;18:02:00;19.9;32.789;12.837;5.5;0.86731;1.5;0.252;0.24;NaN;NaN;5.5;12.837;32.789
117;HL_05;43.18467;-62.11383;281820;28-oct-04;18:03:00;10.28;32.771;12.733;5.5;0.8727;1.61;0.269;0.27;NaN;NaN;5.5;12.733;32.771
117;HL_05;43.18467;-62.11383;281821;28-oct-04;18:04:00;4.14;32.76;12.697;5.5;0.88347;1.54;0.26;0.27;NaN;5.971;5.5;12.697;32.76
120;HL_04;43.476;-62.4555;281822;28-oct-04;21:35:00;81.19;33.021;3.357;5.7;0.03986;7.59;0.95;8.76;33.042;6.2905;5.7;3.357;33.021
120;HL_04;43.476;-62.4555;281823;28-oct-04;21:37:00;61.37;32.765;4.151;6;0.16468;4.34;0.752;5.08;NaN;NaN;6;4.151;32.765
120;HL_04;43.476;-62.4555;281824;28-oct-04;21:38:00;48.59;32.493;7.433;5.9;0.26935;3.39;0.599;3.24;NaN;NaN;5.9;7.433;32.493
120;HL_04;43.476;-62.4555;281825;28-oct-04;21:39:00;40.45;32.072;10.797;5.7;0.73264;2.07;0.368;0.79;NaN;NaN;5.7;10.797;32.072
120;HL_04;43.476;-62.4555;281826;28-oct-04;21:40:00;29.27;32.06;11.095;5.7;0.90502;2.07;0.33;0.59;NaN;NaN;5.7;11.095;32.06
120;HL_04;43.476;-62.4555;281827;28-oct-04;21:41:00;20.71;32.057;11.093;5.7;0.91041;1.93;0.346;0.65;NaN;NaN;5.7;11.093;32.057
120;HL_04;43.476;-62.4555;281828;28-oct-04;21:42:00;10.58;32.049;11.102;5.7;0.9158;1.77;0.332;0.58;NaN;NaN;5.7;11.102;32.049
120;HL_04;43.476;-62.4555;281829;28-oct-04;21:43:00;4.17;32.044;11.096;5.8;0.89963;1.76;0.314;0.58;NaN;6.2165;5.8;11.096;32.044
