CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
13;BBL_02;42.992;-65.48167;281535;20-oct-04;09:20:00;9.41;31.148;14.415;5.3;0.52793;1;NaN;9;NaN;9;0;1;0.168;1;0.92;1;0;0.00;0.00
13;BBL_02;42.992;-65.48167;281534;20-oct-04;09:19:00;19.7;31.148;14.422;5.3;0.5387;1;NaN;9;NaN;9;0;1;0.168;1;0.93;1;0;0.00;0.00
13;BBL_02;42.992;-65.48167;281533;20-oct-04;09:18:00;29.67;31.147;14.423;5.3;0.50638;1;NaN;9;NaN;9;0;1;0.154;1;0.82;1;0;0.00;0.00
13;BBL_02;42.992;-65.48167;281532;20-oct-04;09:17:00;40.49;31.142;14.321;5.3;0.46329;1;NaN;9;NaN;9;0.18;2;0.22;1;1.16;1;2048;0.82;0.16
13;BBL_02;42.992;-65.48167;281531;20-oct-04;09:16:00;49.83;31.939;5.981;5.8;0.10511;1;NaN;9;NaN;9;4.64;1;0.744;1;4.74;1;0;6.24;0.98
13;BBL_02;42.992;-65.48167;281530;20-oct-04;09:15:00;60.3;32.226;3.858;5.9;0.06149;1;NaN;9;NaN;9;5.19;1;0.786;1;5;1;0;6.60;1.04
13;BBL_02;42.992;-65.48167;281529;20-oct-04;09:14:00;80.03;32.71;2.734;5.5;0.02164;1;NaN;9;NaN;9;8.63;1;0.988;1;9.08;1;0;8.73;0.95
13;BBL_02;42.992;-65.48167;281528;20-oct-04;09:13:00;109.51;32.774;2.868;5.5;0.02505;1;32.823;1;5.9015;1;9.34;1;1.008;1;8.84;1;0;9.27;1.06
16;BBL_03;42.7515;-65.4845;281546;20-oct-04;12:12:00;3.08;31.312;13.642;5.5;0.37709;1;NaN;9;5.777;1;0;1;0.223;1;1.32;1;0;0.00;0.00
16;BBL_03;42.7515;-65.4845;281545;20-oct-04;12:11:00;9.83;31.316;13.633;5.4;0.34477;1;NaN;9;NaN;9;0;1;0.206;1;1.1;1;0;0.00;0.00
16;BBL_03;42.7515;-65.4845;281544;20-oct-04;12:11:00;19.8;31.302;13.628;5.4;0.35016;1;NaN;9;NaN;9;0;1;0.207;1;1.07;1;0;0.00;0.00
16;BBL_03;42.7515;-65.4845;281543;20-oct-04;12:10:00;30.52;31.539;10.829;5.9;0.28013;1;NaN;9;NaN;9;2.02;1;0.5;1;2.34;1;0;4.04;0.86
16;BBL_03;42.7515;-65.4845;281542;20-oct-04;12:09:00;38.97;32.061;5.596;6.1;0.1857;1;NaN;9;NaN;9;3.5;1;0.668;1;3.45;1;0;5.24;1.01
16;BBL_03;42.7515;-65.4845;281541;20-oct-04;12:08:00;51.38;32.604;3.487;5.8;0.08409;1;NaN;9;NaN;9;6.52;1;0.854;1;5.9;1;0;7.63;1.11
16;BBL_03;42.7515;-65.4845;281540;20-oct-04;12:07:00;57.21;32.669;3.484;5.6;0.04441;1;NaN;9;NaN;9;8.57;1;0.973;1;7.75;1;0;8.81;1.11
16;BBL_03;42.7515;-65.4845;281539;20-oct-04;12:06:00;78.69;32.942;3.699;5.2;0.02847;1;NaN;9;NaN;9;10.96;1;1.085;1;9.9;1;0;10.10;1.11
16;BBL_03;42.7515;-65.4845;281538;20-oct-04;12:04:00;95.81;32.963;3.711;5.2;0.02619;1;32.977;1;5.6155;1;10.26;1;1.028;1;9.35;1;0;9.98;1.10
22;BBL_04;42.43933;-65.51967;281555;20-oct-04;16:19:00;2.64;31.758;12.281;5.5;0.9158;1;NaN;9;6.0085;1;0.55;1;0.283;1;1.9;1;0;1.94;0.29
22;BBL_04;42.43933;-65.51967;281554;20-oct-04;16:18:00;10.43;31.758;12.277;5.6;0.85115;1;NaN;9;NaN;9;0.57;1;0.299;1;1.9;1;0;1.91;0.30
22;BBL_04;42.43933;-65.51967;281553;20-oct-04;16:17:00;19.82;31.762;12.237;5.6;0.8296;1;NaN;9;NaN;9;0.65;1;0.306;1;1.98;1;0;2.12;0.33
