CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;CHL_01;OXYM_01;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18VA17668_1716;11;47.78333;-64.03333;329960;0.99;14-may-17;11:07:00;29.63;5.1;343.07812;8.812;0.305;NaN;0.369;0.04333;1;1.87667;1;0.22333;1;0.24667;1;0;8.40;7.61
18VA17668_1716;11;47.78333;-64.03333;329959;4.96;14-may-17;11:07:00;29.83;3.15;356.52078;8.838;0.88;NaN;0.881;0.05;1;1.97;1;0.24;1;0.22333;1;0;8.21;8.82
18VA17668_1716;11;47.78333;-64.03333;329958;9.92;14-may-17;11:07:00;29.93;2.78;363.26444;8.853;2.41;NaN;2.1;0.07333;1;2.22667;1;0.29667;1;0.96;1;0;7.51;2.32
18VA17668_1716;11;47.78333;-64.03333;329957;19.83;14-may-17;11:07:00;30.13;2.26;375.23332;8.897;2.39;NaN;2.564;0.04667;1;1.89;1;0.23;1;0.09333;1;0;8.22;20.25
18VA17668_1716;11;47.78333;-64.03333;329956;29.75;14-may-17;11:07:00;30.2;1.74;366.39064;8.897;3.59;NaN;6.239;0.05667;1;1.86;1;0.25;1;0.11;1;0;7.44;16.91
18VA17668_1716;11;47.78333;-64.03333;329955;39.66;14-may-17;11:07:00;30.43;0.46;344.23928;8.812;10.69;NaN;3.667;0.11667;1;2.07;1;0.39667;1;0.26333;1;0;5.22;7.86
18VA17668_1716;11;47.78333;-64.03333;329954;49.58;14-may-17;11:07:00;30.91;-0.24;331.24322;8.685;2.48;NaN;0.443;0.13333;1;5.29333;1;0.91;1;9.3;1;0;5.82;0.57
18VA17668_1716;11;47.78333;-64.03333;329953;59.49;14-may-17;11:07:00;31.36;-0.73;316.4161;8.624;0.22;NaN;0.362;0.13333;1;6.5;1;0.96333;1;11.13333;1;0;6.75;0.58
18VA17668_1716;11;47.78333;-64.03333;329952;69.4;14-may-17;11:07:00;31.7;-0.4;265.45904;8.555;0.18;NaN;0.364;0.15;1;7.92;1;1.12;1;12.83333;1;0;7.07;0.62
18VA17668_1716;11;47.78333;-64.03333;329951;74.36;14-may-17;11:07:00;31.8;-0.29;255.18724;8.498;0.12;NaN;0.335;0.18333;1;10.59667;1;1.32667;1;18.22333;1;0;7.99;0.58
18VA17668_1717;21;47.78333;-64.03333;329970;1.29;09-jul-17;10:22:00;25.59;16.16;252.1057;8.872;0.175;NaN;2.674;0.375;1;5.095;1;0.85;1;7.295;1;0;5.99;0.70
18VA17668_1717;21;47.78333;-64.03333;329969;4.96;09-jul-17;10:22:00;25.6;16.14;252.19502;8.873;0.7;NaN;2.694;0.255;1;3.575;1;0.595;1;5.74;1;0;6.01;0.62
18VA17668_1717;21;47.78333;-64.03333;329968;9.92;09-jul-17;10:22:00;28.31;7.49;279.7949;8.853;2.12;NaN;1.578;0.035;1;0.145;1;0.17;1;2.13;1;0;0.85;0.07
18VA17668_1717;21;47.78333;-64.03333;329967;19.83;09-jul-17;10:22:00;29.42;3.79;299.71326;8.735;2.2;NaN;0.694;0.04;1;0.085;1;0.485;1;2.145;1;0;0.18;0.04
18VA17668_1717;21;47.78333;-64.03333;329966;29.75;09-jul-17;10:22:00;30.47;1.3;299.4453;8.693;2.2;NaN;0.365;0.045;1;0.09;1;0.185;1;1.965;1;0;0.49;0.05
18VA17668_1717;21;47.78333;-64.03333;329965;39.66;09-jul-17;10:22:00;31.22;-0.34;247.28242;8.498;0.09;NaN;0.308;0.305;1;6.995;1;1.17;1;9.245;1;0;5.98;0.76
18VA17668_1717;21;47.78333;-64.03333;329964;49.58;09-jul-17;10:22:00;31.5;0;274.70366;8.486;0.07;NaN;0.229;0.155;1;9.095;1;1.345;1;15.19;1;0;6.76;0.60
18VA17668_1717;21;47.78333;-64.03333;329963;59.49;09-jul-17;10:22:00;31.75;0.01;253.62414;8.447;0.115;NaN;0.221;0.125;1;7.925;1;1.115;1;11.705;1;0;7.11;0.68
18VA17668_1717;21;47.78333;-64.03333;329962;69.4;09-jul-17;10:22:00;31.97;0.34;253.75812;8.419;0.63;NaN;0.229;0.19;1;5.22;7;0.805;1;9.595;1;512;6.48;0.54
18VA17668_1717;21;47.78333;-64.03333;329961;74.36;09-jul-17;10:22:00;32;0.34;250.36396;8.411;0.155;NaN;0.242;0.175;1;11.005;7;1.35;1;18.34;1;512;8.15;0.60
18VA17668_1718;31;47.78317;-64.03117;348141;1.29;22-sep-17;14:11:00;28.44;13;270.77358;NaN;NaN;NaN;NaN;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348140;4.96;22-sep-17;14:11:00;28.32;12.56;301.36568;NaN;NaN;298.59676;NaN;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348139;14.87;22-sep-17;14:11:00;29.34;10.72;299.26666;NaN;NaN;NaN;NaN;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348138;24.79;22-sep-17;14:11:00;30.3;5.82;313.24524;NaN;NaN;296.78803;NaN;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348137;49.58;22-sep-17;14:11:00;31.38;1.62;311.10156;NaN;NaN;NaN;NaN;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18VA17668_1718;31;47.78317;-64.03117;348136;79.31;22-sep-17;14:11:00;32.17;0.7;239.69022;NaN;NaN;228.48056;NaN;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
