CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU00001_014;SEGB-07;45.4583;-52;221550;10;02-nov-00;09:27:00;10.27;303.6853;0.25;0.14;0;0.49;0.45
18HU00001_014;SEGB-07;45.4583;-52;221551;5;02-nov-00;09:27:00;5.27;303.6853;0.34;0.19;0;0.47;0.44
18HU00001_015;S27-06;47.79;-51.42;222651;135;10-nov-00;22:47:00;136.59;319.7627;NaN;NaN;NaN;NaN;NaN
18HU00001_016;S27-05;47.74;-51.65;222652;151;11-nov-00;00:12:00;152.3;316.19;17.27;1.24;11.96;NaN;NaN
18HU00001_016;S27-05;47.74;-51.65;222653;101;11-nov-00;00:12:00;101.48;351.0244;9.72;1.22;10.2;0.03;0.02
18HU00001_016;S27-05;47.74;-51.65;222654;76;11-nov-00;00:12:00;76.34;358.6166;7.06;1.17;8.08;0.08;0.06
18HU00001_016;S27-05;47.74;-51.65;222655;51;11-nov-00;00:12:00;51.29;378.2668;3.96;0.95;5.14;0.13;0.11
18HU00001_016;S27-05;47.74;-51.65;222656;41;11-nov-00;00:12:00;41.16;363.0826;2.63;0.63;2.14;0.27;0.21
18HU00001_016;S27-05;47.74;-51.65;222657;30;11-nov-00;00:12:00;30.74;350.5779;0.87;0.4;0.03;1.04;0.83
18HU00001_016;S27-05;47.74;-51.65;222658;21;11-nov-00;00:12:00;20.97;203.6478;1.06;0.4;0.09;1.18;0.97
18HU00001_016;S27-05;47.74;-51.65;222659;11;11-nov-00;00:12:00;11.13;348.3449;1.1;0.4;0.11;1.1;0.9
18HU00001_016;S27-05;47.74;-51.65;222660;6;11-nov-00;00:12:00;6.06;350.1313;1.28;0.37;0.17;1.18;1
18HU00001_017;S27-04;47.68;-51.88;222661;179;11-nov-00;02:02:00;180.31;318.4229;NaN;NaN;NaN;NaN;NaN
18HU00001_018;S27-03;47.63;-52.12;222662;159;11-nov-00;03:25:00;160.66;318.8695;16.03;1.31;12.02;NaN;NaN
18HU00001_018;S27-03;47.63;-52.12;222663;148;11-nov-00;03:25:00;149.59;328.248;12.85;1.24;11.41;NaN;NaN
18HU00001_018;S27-03;47.63;-52.12;222664;99;11-nov-00;03:25:00;99.86;342.9857;9.84;1.21;9.85;0.04;0.02
18HU00001_018;S27-03;47.63;-52.12;222665;74;11-nov-00;03:25:00;74.92;347.8983;8.89;1.2;8.79;0.05;0.03
18HU00001_018;S27-03;47.63;-52.12;222666;50;11-nov-00;03:25:00;50.41;362.636;4.59;0.85;4.51;0.16;0.12
18HU00001_018;S27-03;47.63;-52.12;222667;40;11-nov-00;03:25:00;40.37;365.3155;2.4;0.56;1.75;0.36;0.33
18HU00001_018;S27-03;47.63;-52.12;222668;30;11-nov-00;03:25:00;30.15;364.4223;2.34;0.49;1.47;0.57;0.51
18HU00001_018;S27-03;47.63;-52.12;222669;20;11-nov-00;03:25:00;20.28;363.5291;2.37;0.49;1.2;0.81;0.65
18HU00001_018;S27-03;47.63;-52.12;222670;10;11-nov-00;03:25:00;10.22;358.17;1.71;0.43;0.6;1.26;1.05
18HU00001_018;S27-03;47.63;-52.12;222671;5;11-nov-00;03:25:00;5.26;356.8302;1.7;0.49;0.47;1.3;1.11
18HU00001_019;S27-02;47.58;-52.35;222672;159;11-nov-00;05:15:00;159.79;319.3161;NaN;NaN;NaN;NaN;NaN
18HU00001_020;STN27;47.5467;-52.5867;222673;169;11-nov-00;06:39:00;170.14;317.5298;16.1;1.33;10.82;NaN;NaN
18HU00001_020;STN27;47.5467;-52.5867;222674;149;11-nov-00;06:39:00;150.47;317.0832;15.17;1.48;10.71;NaN;NaN
18HU00001_020;STN27;47.5467;-52.5867;222675;99;11-nov-00;06:39:00;100.24;359.9564;6.11;1.19;5.55;0.06;0.05
18HU00001_020;STN27;47.5467;-52.5867;222676;74;11-nov-00;06:39:00;74.47;362.636;3.26;0.69;2.24;0.16;0.13
