CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_014;SEGB-05;46.07;-52.5;197926;83;23-apr-00;12:13:00;84.16;310.3842;12.44;2.09;10.03;3.12;3.33
18TL00002_014;SEGB-05;46.07;-52.5;197927;50;23-apr-00;12:13:00;50.86;373.8008;0.04;0.68;0.58;3.34;3.76
18TL00002_014;SEGB-05;46.07;-52.5;197928;39;23-apr-00;12:13:00;38.94;376.4804;0.08;0.66;0.62;3.37;3.89
18TL00002_014;SEGB-05;46.07;-52.5;197929;30;23-apr-00;12:13:00;29.94;378.7134;0.17;0.76;0.4;3.29;3.97
18TL00002_014;SEGB-05;46.07;-52.5;197930;20;23-apr-00;12:13:00;19.9;374.2474;0.11;0.79;0.77;2.69;2.23
18TL00002_014;SEGB-05;46.07;-52.5;197931;10;23-apr-00;12:13:00;10.34;372.4611;0.08;0.75;0.93;2.74;2.39
18TL00002_014;SEGB-05;46.07;-52.5;197932;5;23-apr-00;12:13:00;4.77;371.5678;0.02;0.66;1;2.03;2.27
18TL00002_025;SEGB-06;45.7883;-52.2667;197933;76;23-apr-00;15:24:00;76.84;324.6753;9.51;1.48;8.41;2.68;2.32
18TL00002_025;SEGB-06;45.7883;-52.2667;197934;49;23-apr-00;15:24:00;49.35;364.8689;0.14;0.8;1.68;2.45;2.11
18TL00002_025;SEGB-06;45.7883;-52.2667;197935;39;23-apr-00;15:24:00;39.72;366.6553;0.03;0.71;1.61;3;2.64
18TL00002_025;SEGB-06;45.7883;-52.2667;197936;29;23-apr-00;15:24:00;29.11;366.6553;0.02;0.84;1.79;2.85;2.2
18TL00002_025;SEGB-06;45.7883;-52.2667;197937;19;23-apr-00;15:24:00;19.58;366.2087;0.06;0.85;1.81;2.65;2.31
18TL00002_025;SEGB-06;45.7883;-52.2667;197938;9;23-apr-00;15:24:00;9.36;366.2087;0.06;0.86;1.91;2.97;2.61
18TL00002_025;SEGB-06;45.7883;-52.2667;197939;5;23-apr-00;15:24:00;5.26;366.6553;0.05;0.85;1.9;2.18;2.54
18TL00002_036;SEGB-07;45.4583;-52;197940;77;23-apr-00;18:32:00;77.16;313.5104;8.11;1.83;7.4;4.57;5.07
18TL00002_036;SEGB-07;45.4583;-52;197941;50;23-apr-00;18:32:00;50.27;359.9564;0;0.86;2.08;0.46;0.55
