CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU95003_005;CAST#1;44.13417;-58.17383;154468;444.31;16-may-95;00:53:00;448.4;34.9325;5.2456;224.46116;13.6863;NaN;20.2686
18HU95003_005;CAST#1;44.13417;-58.17383;154469;296.08;16-may-95;00:53:00;298.693;35.0416;7.5579;169.4847;13.75503;1.39701;22.10404
18HU95003_005;CAST#1;44.13417;-58.17383;154470;196.59;16-may-95;00:53:00;198.276;35.0581;9.0837;166.09054;12.16354;1.2895;20.881
18HU95003_005;CAST#1;44.13417;-58.17383;154471;99.56;16-may-95;00:53:00;100.393;34.6748;9.1464;226.6495;6.18798;0.81053;10.29056
18HU95003_005;CAST#1;44.13417;-58.17383;154472;10.28;16-may-95;00:53:00;10.36;33.3065;6.3125;328.16168;1.29354;0.41345;0.33804
18HU95003_006;CAST#1;44.47633;-58.50683;154473;52.8;16-may-95;04:04:00;53.232;32.519;2.1382;351.6975;1.22898;0.50199;0.25253
18HU95003_006;CAST#1;44.47633;-58.50683;154474;31.03;16-may-95;04:04:00;31.285;32.383;1.9002;363.979;0.83196;0.51751;0
18HU95003_006;CAST#1;44.47633;-58.50683;154475;10.68;16-may-95;04:04:00;10.765;32.2745;2.3547;367.93141;0.43504;0.4245;0
18HU95003_007;CAST#1;44.81417;-58.8495;154476;244.01;16-may-95;06:58:00;246.15;32.8311;1.0355;282.83178;10.49653;1.10553;10.25397
18HU95003_007;CAST#1;44.81417;-58.8495;154477;175.3;16-may-95;06:58:00;176.803;32.6925;0.9245;289.70942;9.92403;1.08452;9.45997
18HU95003_007;CAST#1;44.81417;-58.8495;154478;77.83;16-may-95;06:58:00;78.478;32.3897;0.6976;305.87634;6.98301;1.01802;7.705
18HU95003_007;CAST#1;44.81417;-58.8495;154479;21.52;16-may-95;06:58:00;21.692;31.6948;1.834;371.83916;2.11696;0.36802;0
18HU95003_008;CAST#2;45.1565;-59.17433;154480;94.7;16-may-95;09:34:00;95.496;32.3431;0.7093;297.8822;8.71452;1.04502;8.12505
18HU95003_008;CAST#2;45.1565;-59.17433;154481;49.68;16-may-95;09:34:00;50.095;31.8148;-0.3351;365.58676;2.05901;0.70899;2.04898
18HU95003_008;CAST#2;45.1565;-59.17433;154482;10.56;16-may-95;09:34:00;10.642;31.1463;2.8859;362.68386;0.74597;0.37647;0
18HU95003_009;CAST#2;45.48733;-59.516;154483;139.17;16-may-95;11:58:00;140.365;32.8446;1.0977;278.32112;11.97902;1.10554;10.80997
