CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU13038_1311;11;47.66617;-59.86533;349450;515.6;19-oct-13;06:03:00;34.91;5.4;166.89442;166.5818;31.955;0.025;22.73;1.705;NaN;0.066
18HU13038_1311;11;47.66617;-59.86533;349451;400.23;19-oct-13;06:03:00;34.86;5.42;177.16622;NaN;25.4;0.025;22.2;1.58;NaN;0.064
18HU13038_1311;11;47.66617;-59.86533;349452;300.05;19-oct-13;06:03:00;34.68;5.82;176.98758;NaN;19.055;0.025;21.635;1.505;NaN;0.064
18HU13038_1311;11;47.66617;-59.86533;349453;200.51;19-oct-13;06:03:00;34.31;5.85;201.8632;NaN;16.35;0.025;18.145;1.345;NaN;0.066
18HU13038_1311;11;47.66617;-59.86533;349454;100.23;19-oct-13;06:03:00;32.83;1.59;303.77732;NaN;6.445;0.065;8.915;0.92;0.045;0.074
18HU13038_1311;11;47.66617;-59.86533;349455;50.17;19-oct-13;06:03:00;32.48;2.02;319.67628;321.64132;3.835;0.13;5.875;0.76;0.165;0.102
18HU13038_1311;11;47.66617;-59.86533;349456;24.39;19-oct-13;06:03:00;31.85;7.28;317.13066;NaN;1.48;0.11;1.12;0.38;1.68;0.29
18HU13038_1311;11;47.66617;-59.86533;349457;15.87;19-oct-13;06:03:00;31.56;9.33;298.95404;NaN;0.615;0.02667;0.05;0.27;1.97;0.346
18HU13038_1311;11;47.66617;-59.86533;349458;4.66;19-oct-13;06:03:00;31.2;10.54;288.86088;289.26282;1.22;0.01667;0.03333;0.225;0.905;0.191
18HU13038_1312;1161;47.9185;-69.78017;349731;109.94;31-oct-13;11:43:00;31.34;1.84;279.97354;266.35224;13.075;0.14;12.255;1.22;NaN;0.088
18HU13038_1312;1161;47.9185;-69.78017;349732;99.93;31-oct-13;11:43:00;31.34;1.84;279.88422;NaN;13.135;0.14;12.285;1.22;0.12;0.085
18HU13038_1312;1161;47.9185;-69.78017;349733;50.47;31-oct-13;11:43:00;30.83;2.16;283.8143;284.05993;12.805;0.14;12.07;1.17;0.175;0.089
18HU13038_1312;1161;47.9185;-69.78017;349734;26.47;31-oct-13;11:43:00;30.42;2.18;286.18128;NaN;13.225;0.135;12.09;1.165;0.195;0.093
18HU13038_1312;1161;47.9185;-69.78017;349735;14.68;31-oct-13;11:43:00;28.82;2.79;295.82784;NaN;13.59;0.14;12.27;1.12;0.185;0.101
18HU13038_1312;1161;47.9185;-69.78017;349736;5.16;31-oct-13;11:43:00;25.17;3.87;269.88038;306.90352;15.02;0.13;13.435;1.015;0.24;0.116
18HU13038_1312;1161;47.9185;-69.78017;349737;1.69;31-oct-13;11:43:00;24.58;4.02;266.8435;NaN;15.16;0.13;13.595;1.005;0.21;0.116
18HU13038_1313;1541;47.99283;-60.505;349988;452.57;04-nov-13;20:51:00;34.91;5.4;166.22452;166.29151;NaN;NaN;NaN;NaN;NaN;0.068
18HU13038_1313;1541;47.99283;-60.505;349989;24.49;04-nov-13;20:51:00;31.25;8.06;299.84724;302.7948;NaN;NaN;NaN;NaN;1.09;0.212
18HU13038_1313;1541;47.99283;-60.505;349990;3.17;04-nov-13;20:51:00;31.25;8.1;302.52684;303.50936;NaN;NaN;NaN;NaN;1.085;0.198
18HU13038_1314;1561;47.89467;-60.83233;350001;122.03;05-nov-13;03:19:00;32.76;1.26;284.39488;281.5813;NaN;NaN;NaN;NaN;NaN;0.072
18HU13038_1314;1561;47.89467;-60.83233;350002;25.38;05-nov-13;03:19:00;31.15;7.23;309.13652;308.6006;NaN;NaN;NaN;NaN;1.1;0.23
18HU13038_1314;1561;47.89467;-60.83233;350003;3.17;05-nov-13;03:19:00;31.1;7.49;306.54624;300.96374;NaN;NaN;NaN;NaN;1.245;0.23
18HU13038_1315;1571;47.51133;-60.4515;350004;206.16;05-nov-13;06:17:00;34.27;5.56;162.3391;160.44105;NaN;NaN;NaN;NaN;NaN;0.067
18HU13038_1315;1571;47.51133;-60.4515;350005;24.89;05-nov-13;06:17:00;31.01;7.57;301.94626;304.02295;NaN;NaN;NaN;NaN;1.37;0.226
18HU13038_1315;1571;47.51133;-60.4515;350006;2.88;05-nov-13;06:17:00;30.96;7.62;270.37164;305.65304;NaN;NaN;NaN;NaN;1.62;0.255
18HU13038_1316;1581;47.56467;-61.19317;350007;25.29;05-nov-13;11:38:00;30.5;8;298.46278;298.41812;NaN;NaN;NaN;NaN;1.525;0.241
18HU13038_1316;1581;47.56467;-61.19317;350008;2.78;05-nov-13;11:38:00;30.38;8.12;294.88998;299.28899;NaN;NaN;NaN;NaN;1.785;0.282
18HU13038_1317;1591;47.5985;-61.74333;350009;20.72;05-nov-13;14:13:00;30.71;7.38;303.50936;304.89382;NaN;NaN;NaN;NaN;1.415;0.241
18HU13038_1317;1591;47.5985;-61.74333;350010;1.98;05-nov-13;14:13:00;30.67;7.36;302.43752;305.05013;NaN;NaN;NaN;NaN;1.58;0.253
18HU13038_1318;1601;46.55167;-62.04083;350011;35.1;05-nov-13;20:34:00;29.83;8.62;290.87058;291.11621;NaN;NaN;NaN;NaN;0.71;0.157
