CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3)
18BA68003_1753;541;47.365;-59.8133;364;10;08-may-68;17:24:00;353.2606
18BA68003_1753;541;47.365;-59.8133;365;20;08-may-68;17:24:00;337.183
18BA68003_1753;541;47.365;-59.8133;366;30;08-may-68;17:24:00;336.2898
18BA68003_1753;541;47.365;-59.8133;367;49;08-may-68;17:24:00;336.2898
18BA68003_1753;541;47.365;-59.8133;368;74;08-may-68;17:24:00;338.0762
18BA68003_1753;541;47.365;-59.8133;369;99;08-may-68;17:24:00;327.8044
18BA68003_1753;541;47.365;-59.8133;370;148;08-may-68;17:24:00;257.6882
18BA68003_1753;541;47.365;-59.8133;371;197;08-may-68;17:24:00;203.203
18BA68003_1753;541;47.365;-59.8133;372;296;08-may-68;17:24:00;198.737
18BA68003_1753;541;47.365;-59.8133;373;394;08-may-68;17:24:00;194.271
18BA68003_1753;541;47.365;-59.8133;374;468;08-may-68;17:24:00;194.271
18BA68003_1754;551;47.2583;-59.9833;375;1;09-may-68;00:54:00;344.3286
18BA68003_1754;551;47.2583;-59.9833;376;10;09-may-68;00:54:00;338.9694
18BA68003_1754;551;47.2583;-59.9833;377;20;09-may-68;00:54:00;323.785
18BA68003_1754;551;47.2583;-59.9833;378;30;09-may-68;00:54:00;331.8238
18BA68003_1754;551;47.2583;-59.9833;379;50;09-may-68;00:54:00;330.9306
18BA68003_1754;551;47.2583;-59.9833;380;75;09-may-68;00:54:00;317.9792
18BA68003_1754;551;47.2583;-59.9833;381;100;09-may-68;00:54:00;314.4064
18BA68003_1754;551;47.2583;-59.9833;382;150;09-may-68;00:54:00;231.7854
18BA68003_1754;551;47.2583;-59.9833;383;200;09-may-68;00:54:00;200.0768
18BA68003_1754;551;47.2583;-59.9833;384;300;09-may-68;00:54:00;195.1642
18BA68003_1754;551;47.2583;-59.9833;385;400;09-may-68;00:54:00;192.9312
18BA68003_1754;551;47.2583;-59.9833;386;440;09-may-68;00:54:00;190.2516
18BA68003_1755;561;47.1083;-60.275;387;1;09-may-68;08:30:00;347.4548
18BA68003_1755;561;47.1083;-60.275;388;9;09-may-68;08:30:00;357.28
18BA68003_1755;561;47.1083;-60.275;389;18;09-may-68;08:30:00;328.251
18BA68003_1755;561;47.1083;-60.275;390;27;09-may-68;08:30:00;355.047
18BA68003_1755;561;47.1083;-60.275;391;46;09-may-68;08:30:00;336.2898
18BA68003_1755;561;47.1083;-60.275;392;68;09-may-68;08:30:00;314.4064
18BA68003_1755;561;47.1083;-60.275;393;91;09-may-68;08:30:00;280.9114
18BA68003_1755;561;47.1083;-60.275;394;136;09-may-68;08:30:00;203.203
18BA68003_1755;561;47.1083;-60.275;395;150;09-may-68;08:30:00;193.3778
