CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_047;SEGB-13;43.2;-50.1667;255653;5;11-nov-02;22:20:00;4.61;32.558;287.0719;7.294;3.34;0.43;1.44;0.47
18HU02070_058;SEGB-14;42.92;-49.9417;255654;177;12-nov-02;00:38:00;178.77;34.329;268.1809;2.771;NaN;NaN;NaN;NaN
18HU02070_069;SEGB-15;42.85;-49.8867;255655;399;12-nov-02;01:25:00;401.78;34.706;263.6703;3.663;10.46;1.53;16.99;NaN
18HU02070_069;SEGB-15;42.85;-49.8867;255656;150;12-nov-02;01:25:00;150.97;34.375;234.2396;4.67;10.58;1.87;16.44;NaN
18HU02070_069;SEGB-15;42.85;-49.8867;255657;99;12-nov-02;01:25:00;100.18;33.65;294.2174;1.902;8.77;1.46;9.97;0.04
18HU02070_069;SEGB-15;42.85;-49.8867;255658;74;12-nov-02;01:25:00;74.68;33.317;297.7902;1.492;9;1.41;8.77;0.1
18HU02070_069;SEGB-15;42.85;-49.8867;255659;49;12-nov-02;01:25:00;49.57;33.015;298.3261;3.943;5.7;0.94;5.16;0.33
18HU02070_069;SEGB-15;42.85;-49.8867;255660;39;12-nov-02;01:25:00;39.6;32.883;299.6659;4.169;5.54;0.92;3.96;0.65
18HU02070_069;SEGB-15;42.85;-49.8867;255661;29;12-nov-02;01:25:00;29.71;32.781;298.0582;4.558;4.99;0.62;3.05;0.62
18HU02070_069;SEGB-15;42.85;-49.8867;255662;19;12-nov-02;01:25:00;19.65;32.673;295.7359;5.033;4.43;0.61;3.06;0.53
18HU02070_069;SEGB-15;42.85;-49.8867;255663;10;12-nov-02;01:25:00;9.9;32.556;296.4951;5.667;4.46;0.47;2.5;0.59
18HU02070_069;SEGB-15;42.85;-49.8867;255664;5;12-nov-02;01:25:00;4.87;32.55;296.8524;6.075;4.67;0.54;1.94;0.61
18HU02070_080;SEGB-16;42.775;-49.8283;255665;1490;12-nov-02;03:24:00;1497.08;34.868;277.4701;3.424;NaN;NaN;NaN;NaN
18HU02070_091;SEGB-17;42.5883;-49.6833;255666;2573;12-nov-02;06:05:00;2578.73;34.91;268.5382;2.84;10.78;1.87;14.69;NaN
18HU02070_091;SEGB-17;42.5883;-49.6833;255667;148;12-nov-02;06:05:00;149.6;34.56;213.5622;6.111;9.63;2.21;16.65;NaN
18HU02070_091;SEGB-17;42.5883;-49.6833;255668;100;12-nov-02;06:05:00;100.29;34.187;254.8723;4.305;7.46;1.45;12.6;0
18HU02070_091;SEGB-17;42.5883;-49.6833;255669;75;12-nov-02;06:05:00;75.29;34.023;266.8858;4.092;5.57;1.46;8.41;0
18HU02070_091;SEGB-17;42.5883;-49.6833;255670;49;12-nov-02;06:05:00;49.64;33.379;287.0719;6.177;3.79;0.81;3.53;0.12
18HU02070_091;SEGB-17;42.5883;-49.6833;255671;40;12-nov-02;06:05:00;40.32;33.343;281.3108;7.287;2.5;0.32;1.84;0.15
