CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU01064_590;31;47.09717;-59.9925;247018;48.88;29-nov-01;15:46:00;31.86;3.88;322.84714;317.26464;3.705;0.14;0.7;4.02333;NaN;NaN;NaN;0.265;0.17;0.915;NaN
18HU01064_590;31;47.09717;-59.9925;247019;24.39;29-nov-01;15:46:00;31.57;4.25;333.87816;328.16168;2.415;0.11;0.53;1.91;NaN;NaN;NaN;0.855;0.715;2.247;NaN
18HU01064_590;31;47.09717;-59.9925;247020;14.68;29-nov-01;15:46:00;31.57;4.25;334.36942;330.08206;2.35;0.11;0.515;1.91;NaN;NaN;NaN;0.82;0.73;2.351;NaN
18HU01064_590;31;47.09717;-59.9925;247021;5.65;29-nov-01;15:46:00;31.57;4.25;333.96748;329.1442;2.215;0.11;0.525;1.87667;NaN;NaN;NaN;0.835;0.74;2.159;NaN
18HU01064_591;41;47.2705;-59.77933;247022;458.73;29-nov-01;19:41:00;34.84;5.1;183.37396;179.96491;29.885;0.015;1.65;19.55333;NaN;NaN;NaN;NaN;NaN;0.152;NaN
18HU01064_591;41;47.2705;-59.77933;247023;395.3;29-nov-01;19:41:00;34.83;5.15;178.55068;176.407;28.95;0.015;1.68;19.9;NaN;NaN;NaN;NaN;NaN;0.142;NaN
18HU01064_591;41;47.2705;-59.77933;247024;297.78;29-nov-01;19:41:00;34.71;5.63;165.55462;162.20512;23.89;0;1.685;20.3925;NaN;NaN;NaN;NaN;NaN;0.112;NaN
18HU01064_591;41;47.2705;-59.77933;247025;197.94;29-nov-01;19:41:00;34.32;5.88;191.54674;179.9798;17.24;0.02;1.445;16.93333;NaN;NaN;NaN;NaN;NaN;0.201;NaN
18HU01064_591;41;47.2705;-59.77933;247026;98.35;29-nov-01;19:41:00;32.84;0.81;318.2025;314.58504;7.005;0.015;0.97;7.43333;NaN;NaN;NaN;0.03;0.04;0.245;NaN
18HU01064_591;41;47.2705;-59.77933;247027;48.78;29-nov-01;19:41:00;32.46;1.78;325.70538;326.86654;4.24;0.03;0.81;5.18667;NaN;NaN;NaN;0.06;0.06;0.129;NaN
18HU01064_591;41;47.2705;-59.77933;247028;24.69;29-nov-01;19:41:00;31.82;4.69;330.21604;324.99082;2.52333;0.15;0.51;2.04333;NaN;NaN;NaN;0.87;0.755;1.977;NaN
18HU01064_591;41;47.2705;-59.77933;247029;15.07;29-nov-01;19:41:00;31.82;4.69;330.30536;325.39276;2.40333;0.15;0.49;1.99333;NaN;NaN;NaN;0.975;0.81;2.041;NaN
18HU01064_591;41;47.2705;-59.77933;247030;5.16;29-nov-01;19:41:00;31.82;4.68;330.39468;324.85684;2.34;0.165;0.51;1.98333;NaN;NaN;NaN;0.84;0.72;2.143;NaN
18HU01064_591;41;47.2705;-59.77933;247031;3.47;29-nov-01;19:41:00;31.82;4.68;330.75196;325.5714;2.41;0.155;0.505;1.98;NaN;NaN;NaN;0.915;0.8;2.163;NaN
18HU01064_592;51;47.43267;-59.558;247032;467.73;29-nov-01;22:08:00;34.85;5.02;196.32536;192.88654;26.22333;0.005;1.54;19.89667;NaN;NaN;NaN;NaN;NaN;0.202;NaN
18HU01064_592;51;47.43267;-59.558;247033;399.65;29-nov-01;22:08:00;34.84;5.11;182.16814;178.59534;28.87;0.015;1.59;19.30333;NaN;NaN;NaN;NaN;NaN;0.208;NaN
18HU01064_592;51;47.43267;-59.558;247034;296.79;29-nov-01;22:08:00;34.73;5.74;165.50996;161.57988;23.225;0.015;1.575;19.71;NaN;NaN;NaN;NaN;NaN;0.198;NaN
18HU01064_592;51;47.43267;-59.558;247035;199.23;29-nov-01;22:08:00;34.47;6.43;185.69628;179.04194;15.785;0.015;1.37;17.02;NaN;NaN;NaN;NaN;NaN;0.133;NaN
18HU01064_592;51;47.43267;-59.558;247036;99.74;29-nov-01;22:08:00;32.89;0.88;309.35982;311.59282;6.84667;0.015;0.985;7.59333;NaN;NaN;NaN;0.04;0.04;0.086;NaN
18HU01064_592;51;47.43267;-59.558;247037;50.27;29-nov-01;22:08:00;32.19;3.97;321.9986;319.319;2.58;0.105;0.62;3.32333;NaN;NaN;NaN;0.25;0.185;0.573;NaN
18HU01064_592;51;47.43267;-59.558;247038;25.29;29-nov-01;22:08:00;31.8;5.44;325.43742;319.94424;1.76667;0.11;0.515;1.4825;NaN;NaN;NaN;0.9;1.015;2.124;NaN
