CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL09051_1050;101;47.73983;-60.0555;342788;500.46;01-aug-09;20:24:00;34.84;5.05;174.3973;8.106;151.68769;23.95;0.02333;19.53333;1.58;NaN;0.121
18TL09051_1050;101;47.73983;-60.0555;342789;250.43;01-aug-09;20:24:00;34.46;5.26;175.64778;8.114;176.67496;21;0.015;17.53;1.425;NaN;0.107
18TL09051_1050;101;47.73983;-60.0555;342790;50.67;01-aug-09;20:24:00;31.96;2.02;344.14996;8.285;344.23928;1.89;0.13;3.06;0.78;0.295;0.995
18TL09051_1050;101;47.73983;-60.0555;342791;25.09;01-aug-09;20:24:00;31.18;11.41;307.4841;8.326;305.87634;0.28;0.015;0.115;0.395;0.39;2.273
18TL09051_1050;101;47.73983;-60.0555;342792;14.68;01-aug-09;20:24:00;30.69;15.95;268.98718;8.351;270.81824;0.19;0.015;0.085;0.29;0.295;1.466
18TL09051_1050;101;47.73983;-60.0555;342793;1.49;01-aug-09;20:24:00;30.56;16.96;267.91534;8.394;NaN;NaN;NaN;NaN;NaN;NaN;1.163
18TL09051_1051;11;46.95933;-60.21917;342751;79.32;31-jul-09;20:22:00;32.44;0.75;307.35012;8.239;NaN;NaN;NaN;NaN;NaN;NaN;0.446
18TL09051_1051;11;46.95933;-60.21917;342752;48.59;31-jul-09;20:22:00;31.74;0.08;305.11712;8.126;278.4551;NaN;NaN;NaN;NaN;NaN;0.687
18TL09051_1051;11;46.95933;-60.21917;342753;16.36;31-jul-09;20:22:00;28.98;17.22;273.05124;8.397;NaN;NaN;NaN;NaN;NaN;NaN;3.177
18TL09051_1051;11;46.95933;-60.21917;342754;12.4;31-jul-09;20:22:00;28.95;17.25;274.8823;8.429;NaN;NaN;NaN;NaN;NaN;NaN;3.608
18TL09051_1051;11;46.95933;-60.21917;342755;2.18;31-jul-09;20:22:00;28.82;18.79;273.5425;8.449;NaN;NaN;NaN;NaN;NaN;NaN;1.966
18TL09051_1052;21;47.02667;-60.11117;342757;163.56;31-jul-09;22:44:00;33.33;2.28;240.76206;8.109;232.94656;13.575;0.06;14.97;1.345;NaN;0.175
18TL09051_1052;21;47.02667;-60.11117;342758;49.58;31-jul-09;22:44:00;31.51;0.34;317.13066;8.139;NaN;8.13;0.2;5.33;1.04;0.23;0.82
