CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU93039_002;CAST#1;44.09933;-58.29983;130501;407.6;16-nov-93;17:19:00;411.31;34.9546;6.4923;185.69628;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130502;407.23;16-nov-93;17:19:00;410.94;34.9554;6.4962;185.5623;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130503;407.28;16-nov-93;17:19:00;410.99;34.9556;6.4984;185.76327;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130504;407.91;16-nov-93;17:19:00;411.62;34.9562;6.5018;178.28272;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130505;407.93;16-nov-93;17:19:00;411.64;34.9569;6.506;181.85552;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130506;408.11;16-nov-93;17:19:00;411.83;34.9572;6.5137;185.96424;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130507;408.49;16-nov-93;17:19:00;412.21;34.9575;6.5116;185.1157;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130508;407.19;16-nov-93;17:19:00;410.9;34.9576;6.5142;183.95454;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130509;405.56;16-nov-93;17:19:00;409.25;34.9576;6.5147;185.5623;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130510;405.87;16-nov-93;17:19:00;409.56;34.9577;6.5164;185.07104;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130511;407.91;16-nov-93;17:19:00;411.62;34.9562;6.5018;184.4458;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130512;408.5;16-nov-93;17:19:00;412.22;34.9588;6.5195;NaN;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130513;408.27;16-nov-93;17:19:00;411.99;34.9589;6.52;184.53512;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130514;407.3;16-nov-93;17:19:00;411.01;34.9589;6.5227;184.35648;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130515;407.03;16-nov-93;17:19:00;410.73;34.9591;6.5245;183.86522;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130516;403.35;16-nov-93;17:19:00;407.02;34.9589;6.5276;183.95454;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130517;404.42;16-nov-93;17:19:00;408.1;34.9598;6.5328;184.17784;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130518;403.11;16-nov-93;17:19:00;406.78;34.9601;6.5351;186.36618;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130519;402.79;16-nov-93;17:19:00;406.45;34.9611;6.5383;184.98172;NaN;NaN;NaN
18HU93039_002;CAST#1;44.09933;-58.29983;130520;403.23;16-nov-93;17:19:00;406.9;34.9624;6.5418;184.4458;NaN;NaN;NaN
18HU93039_003;CAST#1;40.32883;-50.2435;130649;4242.97;20-nov-93;04:28:00;4319.27;34.897;2.2278;288.7269;20.34357;1.15803;16.94304
18HU93039_003;CAST#1;40.32883;-50.2435;130650;3973.28;20-nov-93;04:28:00;4042.2;34.8997;2.2783;287.43176;23.91249;1.21846;17.69752
18HU93039_003;CAST#1;40.32883;-50.2435;130651;3571.42;20-nov-93;04:28:00;3629.97;34.9098;2.4179;284.35022;21.95105;1.20995;17.62604
18HU93039_003;CAST#1;40.32883;-50.2435;130652;3296.99;20-nov-93;04:28:00;3348.89;34.9178;2.6412;289.79874;16.22496;1.15897;16.88247
18HU93039_003;CAST#1;40.32883;-50.2435;130653;3301.05;20-nov-93;04:28:00;3353.04;34.9181;2.6401;288.7269;15.69252;1.15497;16.60855
18HU93039_003;CAST#1;40.32883;-50.2435;130654;2613.25;20-nov-93;04:28:00;2650.11;34.9656;3.3995;NaN;8.98554;0.90601;13.60056
18HU93039_003;CAST#1;40.32883;-50.2435;130655;2330.07;20-nov-93;04:28:00;2361.35;34.9634;3.575;279.16966;14.88297;1.22046;18.06104
