CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;SSAL_XX;TEMP_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));(celsius)
181071040_036;CAST#1;44.7663;-63.156;-1;4;26-jan-71;17:53:00;293;27;-0.75
181071040_036;CAST#1;44.7663;-63.156;-10;19;26-jan-71;17:53:00;292;27.5;-0.75
181071040_036;CAST#1;44.7663;-63.156;-2;6;26-jan-71;17:53:00;293;27.13;-0.7
181071040_036;CAST#1;44.7663;-63.156;-3;8;26-jan-71;17:53:00;294;27.27;-0.7
181071040_036;CAST#1;44.7663;-63.156;-4;10;26-jan-71;17:53:00;293;27.3;-0.7
181071040_036;CAST#1;44.7663;-63.156;-5;12;26-jan-71;17:53:00;293;27.38;-0.7
181071040_036;CAST#1;44.7663;-63.156;-6;14;26-jan-71;17:53:00;292;27.42;-0.8
181071040_036;CAST#1;44.7663;-63.156;-7;15;26-jan-71;17:53:00;293;27.42;-0.8
181071040_036;CAST#1;44.7663;-63.156;-8;16;26-jan-71;17:53:00;292;27.42;-0.8
181071040_036;CAST#1;44.7663;-63.156;-9;17;26-jan-71;17:53:00;292;27.46;-0.85
181071040_047;CAST#1;44.7663;-63.156;-11;1;17-feb-71;16:15:00;361;0.9;-0.4
181071040_047;CAST#1;44.7663;-63.156;-12;2;17-feb-71;16:15:00;358;18.2;-0.4
181071040_047;CAST#1;44.7663;-63.156;-13;3;17-feb-71;16:15:00;345;19.4;-0.4
181071040_047;CAST#1;44.7663;-63.156;-14;4;17-feb-71;16:15:00;357;22.6;-0.5
181071040_047;CAST#1;44.7663;-63.156;-15;5;17-feb-71;16:15:00;366;24.2;-0.6
181071040_047;CAST#1;44.7663;-63.156;-16;6;17-feb-71;16:15:00;330;26.31;-0.8
181071040_047;CAST#1;44.7663;-63.156;-17;7;17-feb-71;16:15:00;315;27.15;-0.8
181071040_047;CAST#1;44.7663;-63.156;-18;8;17-feb-71;16:15:00;308;27.69;-0.8
181071040_047;CAST#1;44.7663;-63.156;-19;9;17-feb-71;16:15:00;305;27.72;-0.8
181071040_047;CAST#1;44.7663;-63.156;-20;10;17-feb-71;16:15:00;305;27.82;-0.8
181071040_047;CAST#1;44.7663;-63.156;-21;11;17-feb-71;16:15:00;314;27.9;-0.8
181071040_047;CAST#1;44.7663;-63.156;-22;12;17-feb-71;16:15:00;308;27.92;-0.8
181071040_047;CAST#1;44.7663;-63.156;-23;13;17-feb-71;16:15:00;305;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-24;14;17-feb-71;16:15:00;299;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-25;15;17-feb-71;16:15:00;301;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-26;16;17-feb-71;16:15:00;297;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-27;18;17-feb-71;16:15:00;295;28.01;-0.7
181071040_047;CAST#1;44.7663;-63.156;-28;19;17-feb-71;16:15:00;293;28.01;-0.7
181071040_047;CAST#1;44.7663;-63.156;-29;20;17-feb-71;16:15:00;297;28.01;-0.7
181071040_047;CAST#1;44.7663;-63.156;-30;21;17-feb-71;16:15:00;301;28.1;-0.7
181071040_058;CAST#1;44.7663;-63.156;-31;1;09-mar-71;17:00:00;392;13.393;0.5
181071040_058;CAST#1;44.7663;-63.156;-32;2;09-mar-71;17:00:00;390;19.516;0.3
181071040_058;CAST#1;44.7663;-63.156;-33;3;09-mar-71;17:00:00;377;21.218;0.25
181071040_058;CAST#1;44.7663;-63.156;-34;4;09-mar-71;17:00:00;349;22.032;0
181071040_058;CAST#1;44.7663;-63.156;-35;5;09-mar-71;17:00:00;359;22.788;-0.1
181071040_058;CAST#1;44.7663;-63.156;-36;6;09-mar-71;17:00:00;358;24.565;-0.2
181071040_058;CAST#1;44.7663;-63.156;-37;8;09-mar-71;17:00:00;297;27.025;-0.55
181071040_058;CAST#1;44.7663;-63.156;-38;9;09-mar-71;17:00:00;297;27.216;-0.6
181071040_058;CAST#1;44.7663;-63.156;-39;10;09-mar-71;17:00:00;285;27.591;-0.6
181071040_058;CAST#1;44.7663;-63.156;-40;11;09-mar-71;17:00:00;262;28.402;-0.5
181071040_058;CAST#1;44.7663;-63.156;-41;12;09-mar-71;17:00:00;271;28.143;-0.5
181071040_058;CAST#1;44.7663;-63.156;-42;13;09-mar-71;17:00:00;261;28.38;-0.5
181071040_058;CAST#1;44.7663;-63.156;-43;14;09-mar-71;17:00:00;260;28.366;-0.5
181071040_058;CAST#1;44.7663;-63.156;-44;15;09-mar-71;17:00:00;259;28.392;-0.5
181071040_058;CAST#1;44.7663;-63.156;-45;16;09-mar-71;17:00:00;259;28.449;-0.5
181071040_058;CAST#1;44.7663;-63.156;-46;17;09-mar-71;17:00:00;257;28.44;-0.5
181071040_058;CAST#1;44.7663;-63.156;-47;18;09-mar-71;17:00:00;254;28.455;-0.5
181071040_058;CAST#1;44.7663;-63.156;-48;19;09-mar-71;17:00:00;256;28.453;-0.5
181071040_058;CAST#1;44.7663;-63.156;-49;20;09-mar-71;17:00:00;255;28.466;-0.5
