CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL15031_1472;881;47.6735;-59.869;417021;250.63;13-aug-15;11:24:00;34.78;7.06;154.9702;308.22099;NaN;NaN;NaN;NaN;NaN;0.286
18TL15031_1472;881;47.6735;-59.869;417022;50.67;13-aug-15;11:24:00;31.89;0.39;344.7752;347.52179;3.765;0.15;4.76;0.835;0.105;0.523
18TL15031_1472;881;47.6735;-59.869;417023;20.72;13-aug-15;11:24:00;31.04;8.91;309.2705;NaN;0.835;0.015;0.05;0.27;0.855;2.826
18TL15031_1472;881;47.6735;-59.869;417024;15.67;13-aug-15;11:24:00;30.52;14.95;271.84542;270.57261;0.63;0.01;0.015;0.135;0.53;1.795
18TL15031_1472;881;47.6735;-59.869;417025;2.28;13-aug-15;11:24:00;30.39;15.46;267.91534;NaN;0.68;0.01;0.005;0.12;0.57;1.502
18TL15031_1473;901;47.95867;-60.1945;417026;478.19;13-aug-15;16:18:00;34.9;5.61;162.24978;161.08862;32.285;0.015;22.765;1.815;NaN;0.279
18TL15031_1473;901;47.95867;-60.1945;417027;250.82;13-aug-15;16:18:00;34.7;6.86;158.27504;158.34203;NaN;NaN;NaN;NaN;NaN;0.268
18TL15031_1473;901;47.95867;-60.1945;417028;49.08;13-aug-15;16:18:00;31.15;5.38;329.90342;328.05003;0.535;0.025;0.345;0.42;0.235;0.81
18TL15031_1473;901;47.95867;-60.1945;417029;32.32;13-aug-15;16:18:00;30.75;12.53;284.35022;NaN;0.53;0.005;0.03;0.18;0.845;2.704
18TL15031_1473;901;47.95867;-60.1945;417030;15.27;13-aug-15;16:18:00;30.49;15.76;266.30758;265.01244;0.525;0.015;0.025;0.125;0.44;0.931
18TL15031_1473;901;47.95867;-60.1945;417031;2.58;13-aug-15;16:18:00;30.48;15.86;265.90564;NaN;0.525;0.015;0.02;0.12;0.47;0.648
