CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL05601_069;SEGB-15;42.85;-49.8867;259642;375;02-may-05;11:01:00;377.97;34.52;284;3.24;10.66;1.12;15.03;NaN
18TL05601_069;SEGB-15;42.85;-49.8867;259643;150;02-may-05;11:01:00;150.77;33.78;307.3;1.3;8.73;0.83;10.1;NaN
18TL05601_069;SEGB-15;42.85;-49.8867;259644;99;02-may-05;11:01:00;99.94;33.41;321.1;0.13;7.92;0.78;8.41;1.49
18TL05601_069;SEGB-15;42.85;-49.8867;259645;74;02-may-05;11:01:00;74.86;33.15;333.6;-0.45;4.68;0.77;6.49;5.96
18TL05601_069;SEGB-15;42.85;-49.8867;259646;50;02-may-05;11:01:00;50.56;33.08;355.5;-0.03;2.56;0.45;3.28;6.26
18TL05601_069;SEGB-15;42.85;-49.8867;259647;40;02-may-05;11:01:00;40.32;33.03;357.7;-0.11;2.11;0.49;2.77;7.34
18TL05601_069;SEGB-15;42.85;-49.8867;259648;29;02-may-05;11:01:00;29.42;32.97;381.4;0.29;1.11;0.23;0.5;4.82
18TL05601_069;SEGB-15;42.85;-49.8867;259649;20;02-may-05;11:01:00;19.76;32.94;377.8;0.03;1.19;0.36;0.74;11.1
18TL05601_069;SEGB-15;42.85;-49.8867;259650;9;02-may-05;11:01:00;9.15;32.77;414;0.4;1.01;0.21;0.74;1.95
18TL05601_069;SEGB-15;42.85;-49.8867;259651;6;02-may-05;11:01:00;5.69;32.77;415.8;0.3;0.89;0.19;0.79;2.21
18TL05601_080;SEGB-16;42.775;-49.8283;259652;1015;02-may-05;12:58:00;1020.47;34.89;276.9;3.76;NaN;NaN;NaN;NaN
18TL05601_113;SEGB-01;46.5833;-52.9333;259577;50;01-may-05;02:05:00;50.01;32.22;360.8;-0.08;1.29;0.39;1.06;1.94
18TL05601_113;SEGB-01;46.5833;-52.9333;259578;40;01-may-05;02:05:00;40.44;32.21;362.2;-0.05;1.41;0.42;1.12;2.1
18TL05601_113;SEGB-01;46.5833;-52.9333;259579;30;01-may-05;02:05:00;29.81;32.15;372;0.44;1.02;0.27;0.41;1.37
18TL05601_113;SEGB-01;46.5833;-52.9333;259580;20;01-may-05;02:05:00;20.25;32.11;371.1;0.44;0.94;0.26;0.35;1.44
18TL05601_113;SEGB-01;46.5833;-52.9333;259581;10;01-may-05;02:05:00;10.01;32.08;371.1;0.75;1.7;0.31;1.47;0.43
18TL05601_113;SEGB-01;46.5833;-52.9333;259582;5;01-may-05;02:05:00;5.31;32.08;370.7;0.77;1.01;0.25;0.39;0.46
18TL05601_160;FC-12;47;-48.1167;259695;130;04-may-05;12:59:00;130.88;33.48;285.4;0.33;8.38;1.71;8.73;NaN
18TL05601_160;FC-12;47;-48.1167;259696;100;04-may-05;12:59:00;100.79;33.23;322.4;-0.2;5.77;0.83;7.59;1.74
18TL05601_160;FC-12;47;-48.1167;259697;75;04-may-05;12:59:00;76.02;33.03;331.8;-0.9;2.9;0.77;6.46;5.3
18TL05601_160;FC-12;47;-48.1167;259698;49;04-may-05;12:59:00;49.49;32.76;349.7;-0.78;2.15;1.16;3.51;5.27
18TL05601_160;FC-12;47;-48.1167;259699;39;04-may-05;12:59:00;39.59;32.65;374.2;-0.23;1.2;0.38;0;4.35
18TL05601_160;FC-12;47;-48.1167;259700;29;04-may-05;12:59:00;29.69;32.63;380.9;0.04;1.05;0.38;0;5.19
18TL05601_160;FC-12;47;-48.1167;259701;19;04-may-05;12:59:00;19.45;32.63;384.1;1.29;2.57;1.12;2.29;1.03
18TL05601_160;FC-12;47;-48.1167;259702;11;04-may-05;12:59:00;10.79;32.63;383.6;1.31;1.45;0.3;1.09;1.08
18TL05601_160;FC-12;47;-48.1167;259703;6;04-may-05;12:59:00;5.56;32.63;383.6;1.32;1.39;0.28;0.98;1.17
18TL05601_171;FC-11;47;-48.6167;259704;100;04-may-05;16:44:00;101.31;33.24;280.9;-0.02;NaN;NaN;NaN;NaN
18TL05601_182;FC-10;47;-49.1167;259705;75;04-may-05;18:58:00;75.85;32.88;316.2;-0.06;4.42;1.04;3.96;2.84
