CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL07031_893;1051;47.82983;-61.745;291977;50.47;27-jun-07;19:08:00;32.26;0.17;306.76954;7.978;302.3482;0.15333;1.24;9.65;17.37;0.23;8.005
18TL07031_893;1051;47.82983;-61.745;291978;24.99;27-jun-07;19:08:00;31.79;1.07;363.13046;8.118;NaN;0.06;0.875;4.76;5.99;0.72;4.761
18TL07031_893;1051;47.82983;-61.745;291979;15.47;27-jun-07;19:08:00;31.36;2.87;348.92858;8.2;NaN;0.04;0.645;2.64;1.99;0.885;NaN
18TL07031_893;1051;47.82983;-61.745;291980;5.26;27-jun-07;19:08:00;31.07;9.38;319.49764;8.261;NaN;0.05;0.65;2.62;1.955;0.52;NaN
18TL07031_893;1051;47.82983;-61.745;291981;0.59;27-jun-07;19:08:00;31.08;9.6;319.36366;8.271;317.086;0.01;0.315;0.115;0.55;0.47;NaN
18TL07031_894;1101;47.82633;-62.25083;291992;49.97;28-jun-07;07:56:00;32.25;0.09;311.7268;8.009;309.0472;0.17667;1.18;9.3;16.12333;0.255;14.127
18TL07031_894;1101;47.82633;-62.25083;291993;24.89;28-jun-07;07:56:00;31.61;3.21;360.76348;8.245;NaN;0.03333;0.65;2.11;2.55;1.505;6.225
18TL07031_894;1101;47.82633;-62.25083;291994;14.97;28-jun-07;07:56:00;31.18;7.66;335.44126;8.289;NaN;0.01;0.37;0.17333;0.75;0.85;NaN
18TL07031_894;1101;47.82633;-62.25083;291995;4.86;28-jun-07;07:56:00;30.47;10.27;318.55978;8.31;NaN;0.01;0.21;0.07;0.375;0.635;NaN
18TL07031_894;1101;47.82633;-62.25083;291996;1.09;28-jun-07;07:56:00;30.39;10.41;312.66466;8.321;309.7171;0.00667;0.185;0.06;0.365;0.485;NaN
18TL07031_895;1111;47.82833;-62.75317;291997;50.67;28-jun-07;10:07:00;32.11;0.41;358.79844;8.126;351.2509;0.13;0.885;5.75;5.88667;0.27;7.346
18TL07031_895;1111;47.82833;-62.75317;291998;25.48;28-jun-07;10:07:00;30.84;2.69;346.87422;8.252;NaN;0.055;0.58;2.16;0.875;0.175;6.152
18TL07031_895;1111;47.82833;-62.75317;291999;15.77;28-jun-07;10:07:00;30.4;8.57;314.71902;8.298;NaN;0.03;0.3;0.51;0.475;0.835;2.626
18TL07031_895;1111;47.82833;-62.75317;292000;4.96;28-jun-07;10:07:00;29.09;12.12;295.82784;8.356;NaN;0.01;0.075;0.07;0;0.83;NaN
18TL07031_895;1111;47.82833;-62.75317;292001;1.59;28-jun-07;10:07:00;29.09;12.13;295.73852;8.36;298.5521;0.015;0.07;0.065;0;0.805;NaN
18TL07031_896;1171;47.82967;-63.24833;292017;50.37;29-jun-07;02:48:00;31.84;-0.33;322.13258;7.993;310.1637;0.185;1.33;10.32;17.03;0.115;0.352
18TL07031_896;1171;47.82967;-63.24833;292018;25.28;29-jun-07;02:48:00;31.32;2.18;357.32466;8.253;NaN;0.06;0.73;3.095;2.075;0.155;0.477
18TL07031_896;1171;47.82967;-63.24833;292019;15.27;29-jun-07;02:48:00;30.73;4.93;334.90534;8.322;NaN;0.025;0.45;0.91;0.78;0.65;1.036
18TL07031_896;1171;47.82967;-63.24833;292020;4.96;29-jun-07;02:48:00;29.48;12.1;304.22392;8.368;NaN;0.01;0.11;0.035;0.43;0.76;2.268
18TL07031_896;1171;47.82967;-63.24833;292021;0.89;29-jun-07;02:48:00;29.31;12.58;301.27636;8.388;303.9113;0.01;0.1;0.075;0.42;0.72;2.179
18TL07031_897;401;47.43333;-59.559;291785;455.95;21-jun-07;04:40:00;34.79;4.76;192.7079;7.878;199.8535;0.04;1.41;19.755;27.355;NaN;0.233
18TL07031_897;401;47.43333;-59.559;291786;399.45;21-jun-07;04:40:00;34.8;4.98;176.94292;7.869;NaN;0.02;1.505;20.225;27.68;NaN;0.227
18TL07031_897;401;47.43333;-59.559;291787;300.15;21-jun-07;04:40:00;34.63;5.33;178.95262;7.9;NaN;0.01;1.395;20.23;18.215;NaN;0.207
18TL07031_897;401;47.43333;-59.559;291788;200.02;21-jun-07;04:40:00;34.19;5;180.91766;7.886;NaN;0.04;1.36;17.82;17.79;NaN;0.226
18TL07031_897;401;47.43333;-59.559;291789;100.23;21-jun-07;04:40:00;32.82;0.86;312.93262;8.024;NaN;0.09;0.84;5.225;4.155;0.035;0.261
18TL07031_897;401;47.43333;-59.559;291790;50.07;21-jun-07;04:40:00;32.35;0.45;335.26262;8.027;NaN;0.135;0.795;4.675;3.945;0.08;0.364
18TL07031_897;401;47.43333;-59.559;291791;25.29;21-jun-07;04:40:00;32.13;1.28;328.96556;8.039;NaN;0.135;0.805;4.435;5.32;0.745;1.767
18TL07031_897;401;47.43333;-59.559;291792;15.67;21-jun-07;04:40:00;31.87;5.22;323.785;8.133;NaN;0.05;0.51;1.47;2.37;0.775;2.357
18TL07031_897;401;47.43333;-59.559;291793;5.55;21-jun-07;04:40:00;31.99;7.31;305.34042;8.128;NaN;0.01;0.305;0.065;0.335;0.2;0.766
18TL07031_897;401;47.43333;-59.559;291794;0.99;21-jun-07;04:40:00;31.99;7.32;310.78894;8.132;327.1345;0.01;0.31;0.03;0.135;0.18;0.753
18TL07031_898;411;47.5835;-59.34317;291795;251.33;21-jun-07;08:36:00;34.35;4.86;195.25352;7.89;204.3195;0.105;1.295;17.64;16.545;NaN;0.231
