CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18OL03064_668;251;47.8285;-64.24917;275187;40.75;26-oct-03;23:49:00;30.92;5.43;302.61616;301.85694;0.15;0.70333;3.49333;5.615;0.44;4.646
18OL03064_668;251;47.8285;-64.24917;275188;25.09;26-oct-03;23:49:00;30.3;6.87;304.62586;303.06276;0.11333;0.51667;1.61667;3.86667;1.08;10.227
18OL03064_668;251;47.8285;-64.24917;275189;14.97;26-oct-03;23:49:00;30.16;7.14;306.18896;304.89382;0.09;0.495;1.595;3.715;1.735;16.72
18OL03064_668;251;47.8285;-64.24917;275190;5.16;26-oct-03;23:49:00;30.2;7.07;305.38508;304.44722;0.14333;0.52;1.625;3.46;1.63;15.264
18OL03064_668;251;47.8285;-64.24917;275191;1.09;26-oct-03;23:49:00;30.15;7.17;305.07246;305.34042;0.13;0.515;1.715;3.995;1.97;18.133
18OL03064_669;261;47.74083;-63.99767;275192;73.27;27-oct-03;01:36:00;32.31;0.42;265.14642;268.1833;0.11;1.47;12.825;19.09;0.19;2.121
18OL03064_669;261;47.74083;-63.99767;275193;51.36;27-oct-03;01:36:00;32;1.63;320.4355;313.24524;0.135;1.03;7.44;8.195;0.155;2.038
18OL03064_669;261;47.74083;-63.99767;275194;25.19;27-oct-03;01:36:00;30.62;6.45;310.6103;310.11904;0.08667;0.51;1.29667;2.975;1.47;13.817
18OL03064_669;261;47.74083;-63.99767;275195;15.27;27-oct-03;01:36:00;30.49;6.62;309.76176;309.9404;0.08667;0.50667;1.36667;2.97;1.72;15.843
18OL03064_669;261;47.74083;-63.99767;275196;4.76;27-oct-03;01:36:00;30.28;6.92;306.3676;307.79672;0.09667;0.51333;1.43;3.19;1.585;15.714
18OL03064_669;261;47.74083;-63.99767;275197;1.88;27-oct-03;01:36:00;30.29;6.91;304.93848;307.97536;0.09667;0.5;1.36;3.42;1.59;15.9
18OL03064_670;271;47.66;-63.7495;275198;62.76;29-oct-03;04:16:00;32.17;0.82;273.67648;278.9017;0.11667;1.35667;11.35;17.1;0.145;2.199
18OL03064_670;271;47.66;-63.7495;275199;49.97;29-oct-03;04:16:00;32.16;0.91;288.5036;281.44732;0.11667;1.34333;11.04333;15.735;0.13;1.99
18OL03064_670;271;47.66;-63.7495;275200;25.09;29-oct-03;04:16:00;31.52;3.41;308.42196;309.33749;0.16;0.9;5.63667;6.385;0.195;2.483
18OL03064_670;271;47.66;-63.7495;275201;14.87;29-oct-03;04:16:00;30.56;6.55;313.2899;311.41418;0.08667;0.5;1.35;2.725;1.73;18.534
18OL03064_670;271;47.66;-63.7495;275202;5.06;29-oct-03;04:16:00;30.56;6.57;307.79672;312.8433;0.09;0.48333;1.29;2.58;1.84;19.165
18OL03064_670;271;47.66;-63.7495;275203;1.19;29-oct-03;04:16:00;30.54;6.63;308.73458;314.00446;0.11;0.49;1.29;2.98;1.895;9.381
18OL03064_671;281;47.5005;-63.2495;275204;75.05;29-oct-03;06:44:00;32.19;0.08;245.13874;250.096;0.125;1.565;12.9;24.685;0.195;2.451
18OL03064_671;281;47.5005;-63.2495;275205;50.07;29-oct-03;06:44:00;32.05;0.02;260.76974;250.22998;0.11;1.59667;12.6;24.35;0.125;2.442
18OL03064_671;281;47.5005;-63.2495;275206;24.99;29-oct-03;06:44:00;29.89;9.05;294.62202;289.93272;0.1;0.425;1.16;2.97;1.12;11.022
18OL03064_671;281;47.5005;-63.2495;275207;15.07;29-oct-03;06:44:00;29.84;9.32;294.13076;290.69194;0.08;0.385;0.79;2.49;1.38;13.521
18OL03064_671;281;47.5005;-63.2495;275208;5.06;29-oct-03;06:44:00;29.84;9.33;293.59484;289.97738;0.065;0.385;0.76;2.58;1.485;13.427
18OL03064_671;281;47.5005;-63.2495;275209;1.19;29-oct-03;06:44:00;29.84;9.32;293.50552;290.69194;0.075;0.36;0.72;2.6;1.395;13.759
18OL03064_672;291;47.32917;-62.74933;275210;50.37;29-oct-03;09:12:00;31.93;0.09;265.23574;270.193;0.185;1.5;10.495;19.455;0.255;3.135
18OL03064_672;291;47.32917;-62.74933;275211;25.29;29-oct-03;09:12:00;30.59;8.33;299.53462;295.33658;0.1;0.46;1.045;3.095;1.22;12.265
